angle_1_e angle_1_t d_theta_1_t angle_2_e angle_2_t d_theta_2_t
-1.22809 -1.62504 0 2.16188 2.15139 0
-1.22784 -1.62504 0 2.16165 2.15139 0
-1.22758 -1.62504 0 2.16141 2.15139 0
-1.22732 -1.62504 0 2.16117 2.15139 0
-1.22706 -1.62504 0 2.16093 2.15139 0
-1.2268 -1.62504 0 2.16069 2.15139 0
-1.22654 -1.62504 0 2.16046 2.15139 0
-1.22628 -1.62504 0 2.16022 2.15139 0
-1.22602 -1.62504 0 2.15998 2.15139 0
-1.22576 -1.62504 0 2.15974 2.15139 0
-1.2255 -1.62504 0 2.1595 2.15139 0
-1.22524 -1.62504 0 2.15926 2.15139 0
-1.22498 -1.62504 0 2.15903 2.15139 0
-1.22472 -1.62504 0 2.15879 2.15139 0
-1.22446 -1.62504 0 2.15855 2.15139 0
-1.2242 -1.62504 0 2.15831 2.15139 0
-1.22394 -1.62504 0 2.15807 2.15139 0
-1.22368 -1.62504 0 2.15783 2.15139 0
-1.22342 -1.62504 0 2.15759 2.15139 0
-1.22316 -1.62504 0 2.15735 2.15139 0
-1.22291 -1.62504 0 2.15712 2.15139 0
-1.22265 -1.62504 0 2.15688 2.15139 0
-1.22239 -1.62504 0 2.15664 2.15139 0
-1.22213 -1.62504 0 2.1564 2.15139 0
-1.22187 -1.62504 0 2.15616 2.15139 0
-1.22163 -1.62504 0 2.15591 2.15139 0
-1.2214 -1.62504 0 2.15566 2.15139 0
-1.22116 -1.62504 0 2.15542 2.15139 0
-1.22092 -1.62504 0 2.15517 2.15139 0
-1.22069 -1.62504 0 2.15492 2.15139 0
-1.22045 -1.62504 0 2.15467 2.15139 0
-1.22021 -1.62504 0 2.15442 2.15139 0
-1.21998 -1.62504 0 2.15417 2.15139 0
-1.21974 -1.62504 0 2.15392 2.15139 0
-1.21951 -1.62504 0 2.15368 2.15139 0
-1.21927 -1.62504 0 2.15343 2.15139 0
-1.21904 -1.62504 0 2.15318 2.15139 0
-1.2188 -1.62504 0 2.15293 2.15139 0
-1.21856 -1.62504 0 2.15268 2.15139 0
-1.21833 -1.62504 0 2.15243 2.15139 0
-1.21809 -1.62504 0 2.15218 2.15139 0
-1.21786 -1.62504 0 2.15193 2.15139 0
-1.21762 -1.62504 0 2.15169 2.15139 0
-1.21739 -1.62504 0 2.15144 2.15139 0
-1.21715 -1.62504 0 2.15119 2.15139 0
-1.21691 -1.62504 0 2.15094 2.15139 0
-1.21668 -1.62504 0 2.15069 2.15139 0
-1.21644 -1.62504 0 2.15044 2.15139 0
-1.21621 -1.62504 0 2.15019 2.15139 0
-1.21597 -1.62504 0 2.14994 2.15139 0
-1.21574 -1.62504 0 2.14969 2.15139 0
-1.2155 -1.62504 0 2.14944 2.15139 0
-1.21527 -1.62504 0 2.14919 2.15139 0
-1.21503 -1.62504 0 2.14894 2.15139 0
-1.2148 -1.62504 0 2.14869 2.15137 0
-1.21456 -1.62504 0 2.14844 2.15137 0
-1.21433 -1.62504 0 2.1482 2.15137 0
-1.21409 -1.62504 0 2.14795 2.15137 0
-1.21386 -1.62504 0 2.1477 2.15137 0
-1.21362 -1.62504 0 2.14745 2.15134 0.0610556
-1.21339 -1.62504 0 2.1472 2.15131 0
-1.21315 -1.62504 0 2.14695 2.15131 0
-1.21293 -1.62504 0 2.14669 2.15128 0.0465185
-1.2127 -1.62504 0 2.14644 2.15122 0.00581481
-1.21247 -1.62504 0 2.14619 2.15116 0
-1.21224 -1.62504 0 2.14594 2.15113 0
-1.21201 -1.62504 0 2.14568 2.1511 0.00581481
-1.21178 -1.62504 0 2.14543 2.15105 0.0465185
-1.21155 -1.62504 0 2.14518 2.15102 0
-1.21133 -1.62504 0 2.14493 2.15099 0.0465185
-1.2111 -1.62504 0 2.14467 2.15096 0.0377963
-1.21087 -1.62504 0 2.14442 2.1509 0.0232593
-1.21064 -1.62504 0 2.14417 2.15084 0
-1.21041 -1.62504 0 2.14392 2.15081 0.0377963
-1.21018 -1.62504 0 2.14366 2.15076 0.014537
-1.20995 -1.62504 0 2.14341 2.1507 0.0610556
-1.20973 -1.62504 0 2.14316 2.15067 0
-1.2095 -1.62504 0 2.1429 2.15058 0.00581481
-1.20927 -1.62504 0 2.14265 2.15052 0.0290741
-1.20904 -1.62504 0 2.1424 2.15049 0.0610556
-1.20881 -1.62504 0 2.14214 2.15044 0
-1.20859 -1.62504 0 2.14189 2.15038 0.00581481
-1.20836 -1.62504 0 2.14164 2.15032 0.0610556
-1.20813 -1.62504 0 2.14139 2.15023 0.0552407
-1.2079 -1.62504 0 2.14113 2.15017 0.0377963
-1.20767 -1.62504 0 2.14088 2.15009 0.0232593
-1.20745 -1.62504 0 2.14063 2.15003 0.0465185
-1.20722 -1.62504 0 2.14037 2.14994 0.0377963
-1.20699 -1.62504 0 2.14012 2.14985 0.0785
-1.20676 -1.62504 0 2.13987 2.14977 0.0552407
-1.20653 -1.62504 0 2.13961 2.14968 0.0610556
-1.20631 -1.62504 0 2.13936 2.14956 0.0697778
-1.20608 -1.62504 0 2.13911 2.14945 0.0785
-1.20585 -1.62504 0 2.13885 2.14936 0.0290741
-1.20562 -1.62504 0 2.1386 2.14924 0.0610556
-1.2054 -1.62504 0 2.13834 2.14913 0.0377963
-1.20517 -1.62504 0 2.13809 2.14901 0.0785
-1.20494 -1.62504 0 2.13784 2.14889 0.0697778
-1.20471 -1.62504 0 2.13758 2.14881 0.0552407
-1.20448 -1.62504 0 2.13733 2.14869 0.0785
-1.20426 -1.62504 0 2.13708 2.14857 0.0872222
-1.20403 -1.62504 0 2.13682 2.14846 0.0610556
-1.20381 -1.62504 0 2.13657 2.14834 0.0610556
-1.2036 -1.62504 0 2.13631 2.14823 0.0377963
-1.20338 -1.62504 0 2.13605 2.14811 0.0552407
-1.20317 -1.62504 0 2.13578 2.14799 0.0610556
-1.20296 -1.62504 0 2.13552 2.14791 0.0697778
-1.20275 -1.62504 0 2.13526 2.14776 0.0552407
-1.20254 -1.62504 0 2.135 2.14764 0.0465185
-1.20233 -1.62504 0 2.13474 2.14756 0.0377963
-1.20212 -1.62504 0 2.13448 2.14744 0.0552407
-1.20191 -1.62504 0 2.13422 2.14732 0.0610556
-1.2017 -1.62504 0 2.13396 2.14724 0.0697778
-1.20149 -1.62504 0 2.1337 2.14709 0.0552407
-1.20128 -1.62504 0 2.13344 2.14698 0.0697778
-1.20107 -1.62504 0 2.13318 2.14683 0.0697778
-1.20085 -1.62504 0 2.13292 2.14671 0.0610556
-1.20064 -1.62504 0 2.13266 2.14657 0.0552407
-1.20043 -1.62504 0 2.1324 2.14642 0.110481
-1.20022 -1.62504 0 2.13213 2.14628 0.0785
