angle_1_e,angle_1_t,d_theta_1_t,angle_2_e,angle_2_t,d_theta_2_t
-1.22809,-1.2483,0,2.16188,2.13503,0
-1.22784,-1.2483,0,2.16165,2.13503,0
-1.22758,-1.2483,0,2.16141,2.13503,0
-1.22732,-1.24821,0.0552407,2.16117,2.13497,0
-1.22706,-1.24815,0.0465185,2.16093,2.13494,0
-1.2268,-1.24809,0.0552407,2.16069,2.13497,-0.0290741
-1.22654,-1.24803,0.0465185,2.16046,2.135,-0.0377963
-1.22628,-1.24798,0.0552407,2.16022,2.13505,-0.0465185
-1.22602,-1.24789,0.0610556,2.15998,2.13514,-0.0872222
-1.22576,-1.24777,0.0552407,2.15974,2.13526,-0.119204
-1.2255,-1.24771,0.0697778,2.1595,2.13546,-0.142463
-1.22524,-1.24757,0.0872222,2.15926,2.13561,-0.157
-1.22498,-1.24745,0.0785,2.15903,2.13581,-0.183167
-1.22472,-1.24722,0.0610556,2.15879,2.13622,-0.197704
-1.22446,-1.24707,0.0872222,2.15855,2.13642,-0.197704
-1.2242,-1.24687,0.0872222,2.15831,2.1366,-0.220963
-1.22394,-1.2467,0.110481,2.15807,2.13674,-0.206426
-1.22368,-1.24646,0.125019,2.15783,2.13683,-0.188981
-1.22342,-1.24626,0.125019,2.15759,2.13694,-0.165722
-1.22316,-1.24603,0.110481,2.15735,2.137,-0.165722
-1.22291,-1.24579,0.125019,2.15712,2.13703,-0.174444
-1.22265,-1.24553,0.142463,2.15688,2.13703,-0.142463
-1.22239,-1.24527,0.151185,2.15664,2.137,-0.133741
-1.22213,-1.24495,0.174444,2.1564,2.13689,-0.133741
-1.22187,-1.24466,0.183167,2.15616,2.13677,-0.093037
-1.22163,-1.2444,0.165722,2.15591,2.13668,-0.119204
-1.2214,-1.24414,0.174444,2.15566,2.13657,-0.101759
-1.22116,-1.24388,0.157,2.15542,2.13645,-0.0872222
-1.22092,-1.24359,0.165722,2.15517,2.1363,-0.093037
-1.22069,-1.24332,0.174444,2.15492,2.13619,-0.0785
-1.22045,-1.243,0.206426,2.15467,2.13599,-0.0785
-1.22021,-1.24268,0.197704,2.15442,2.13581,-0.0872222
-1.21998,-1.24236,0.188981,2.15417,2.13567,-0.093037
-1.21974,-1.24202,0.183167,2.15392,2.13552,-0.0610556
-1.21951,-1.24164,0.157,2.15368,2.13535,-0.119204
-1.21927,-1.24132,0.165722,2.15343,2.13523,-0.101759
-1.21904,-1.24097,0.183167,2.15318,2.13514,-0.119204
-1.2188,-1.24062,0.183167,2.15293,2.13505,-0.142463
-1.21856,-1.2403,0.183167,2.15268,2.13503,-0.151185
-1.21833,-1.23998,0.157,2.15243,2.13503,-0.174444
-1.21809,-1.23969,0.183167,2.15218,2.13505,-0.183167
-1.21786,-1.23946,0.157,2.15193,2.13517,-0.188981
-1.21762,-1.23917,0.157,2.15169,2.13523,-0.197704
-1.21739,-1.23888,0.151185,2.15144,2.13535,-0.215148
-1.21715,-1.23856,0.183167,2.15119,2.13546,-0.252944
-1.21691,-1.23829,0.174444,2.15094,2.13561,-0.252944
-1.21668,-1.238,0.151185,2.15069,2.13578,-0.279111
-1.21644,-1.23774,0.174444,2.15044,2.13599,-0.279111
-1.21621,-1.23748,0.133741,2.15019,2.13622,-0.279111
-1.21597,-1.23722,0.174444,2.14994,2.13645,-0.30237
-1.21574,-1.23693,0.174444,2.14969,2.13668,-0.311093
-1.2155,-1.23661,0.183167,2.14944,2.13694,-0.343074
-1.21527,-1.23626,0.183167,2.14919,2.13718,-0.334352
-1.21503,-1.23594,0.174444,2.14894,2.13744,-0.334352
-1.2148,-1.23565,0.174444,2.14869,2.1377,-0.348889
-1.21456,-1.23539,0.174444,2.14844,2.13799,-0.316907
-1.21433,-1.23504,0.188981,2.1482,2.13822,-0.343074
-1.21409,-1.23472,0.197704,2.14795,2.13849,-0.334352
-1.21386,-1.2344,0.206426,2.1477,2.13869,-0.316907
-1.21362,-1.23405,0.206426,2.14745,2.13883,-0.30237
-1.21339,-1.23376,0.188981,2.1472,2.13898,-0.279111
-1.21315,-1.23344,0.165722,2.14695,2.1391,-0.270389
-1.21293,-1.23312,0.215148,2.14669,2.13918,-0.229685
-1.2127,-1.23277,0.183167,2.14644,2.13924,-0.238407
-1.21247,-1.23242,0.188981,2.14619,2.13924,-0.206426
-1.21224,-1.2321,0.206426,2.14594,2.13921,-0.188981
-1.21201,-1.23175,0.197704,2.14568,2.13915,-0.183167
-1.21178,-1.23143,0.183167,2.14543,2.1391,-0.142463
-1.21155,-1.23111,0.183167,2.14518,2.13907,-0.142463
-1.21133,-1.23082,0.165722,2.14493,2.13898,-0.125019
-1.2111,-1.23056,0.142463,2.14467,2.13892,-0.133741
-1.21087,-1.23024,0.174444,2.14442,2.13883,-0.133741
-1.21064,-1.22998,0.165722,2.14417,2.13875,-0.101759
-1.21041,-1.22972,0.151185,2.14392,2.13866,-0.093037
-1.21018,-1.22943,0.165722,2.14366,2.13854,-0.093037
-1.20995,-1.22916,0.151185,2.14341,2.13846,-0.0872222
-1.20973,-1.22893,0.151185,2.14316,2.13837,-0.0785
-1.2095,-1.22867,0.133741,2.1429,2.13825,-0.0697778
-1.20927,-1.22847,0.133741,2.14265,2.13814,-0.0552407
-1.20904,-1.22826,0.133741,2.1424,2.13802,-0.0785
-1.20881,-1.22803,0.133741,2.14214,2.13787,-0.014537
-1.20859,-1.22783,0.125019,2.14189,2.13773,0
-1.20836,-1.22762,0.110481,2.14164,2.13756,-0.014537
-1.20813,-1.22739,0.125019,2.14139,2.13738,-0.0290741
-1.2079,-1.22722,0.101759,2.14113,2.13721,0
-1.20767,-1.22704,0.101759,2.14088,2.13706,0
-1.20745,-1.22687,0.101759,2.14063,2.13689,0
-1.20722,-1.22669,0.093037,2.14037,2.13674,-0.0552407
-1.20699,-1.22652,0.0697778,2.14012,2.1366,0
-1.20676,-1.22634,0.0697778,2.13987,2.13642,0
-1.20653,-1.2262,0.093037,2.13961,2.1363,-0.00581481
-1.20631,-1.22605,0.0872222,2.13936,2.13616,0
-1.20608,-1.22591,0.0785,2.13911,2.13604,-0.0552407
-1.20585,-1.22576,0.0785,2.13885,2.1359,0
-1.20562,-1.22565,0.0377963,2.1386,2.13578,0
-1.2054,-1.22553,0.0377963,2.13834,2.13572,-0.0610556
-1.20517,-1.22541,0.0697778,2.13809,2.13561,0
-1.20494,-1.22524,0.0872222,2.13784,2.13543,0
-1.20471,-1.22509,0.0872222,2.13758,2.13529,0
-1.20448,-1.22501,0.0465185,2.13733,2.1352,0
-1.20426,-1.22489,0.0377963,2.13708,2.13508,0
-1.20403,-1.2248,0.0697778,2.13682,2.135,0
-1.20381,-1.22466,0.0785,2.13657,2.13485,0
-1.2036,-1.22448,0.093037,2.13631,2.13468,0
-1.20338,-1.22434,0.0785,2.13605,2.13453,0
-1.20317,-1.22422,0.0785,2.13578,2.13442,0
-1.20296,-1.22413,0.0552407,2.13552,2.13433,0
-1.20275,-1.22405,0.0610556,2.13526,2.13424,0
-1.20254,-1.22396,0.0697778,2.135,2.13415,0
-1.20233,-1.22379,0.101759,2.13474,2.13398,0
-1.20212,-1.22364,0.093037,2.13448,2.13383,0
-1.20191,-1.22352,0.0872222,2.13422,2.13372,0
-1.2017,-1.22341,0.0785,2.13396,2.1336,0
-1.20149,-1.22332,0.0610556,2.1337,2.13351,0
-1.20128,-1.22323,0.0785,2.13344,2.13343,0
-1.20107,-1.22312,0.0697778,2.13318,2.13331,0
-1.20085,-1.22297,0.0785,2.13292,2.13316,0
-1.20064,-1.2228,0.0872222,2.13266,2.13299,0
-1.20043,-1.22268,0.0697778,2.1324,2.13287,0
-1.20022,-1.22259,0.014537,2.13213,2.13279,0
-1.20001,-1.22251,0.0610556,2.13187,2.1327,0
-1.1998,-1.22233,0.0610556,2.13161,2.13253,0
-1.19959,-1.22216,0.0872222,2.13135,2.13235,0
-1.19938,-1.22201,0.093037,2.13109,2.13221,0
-1.19917,-1.22187,0.0610556,2.13083,2.13206,0
-1.19896,-1.22181,0.0552407,2.13057,2.132,0
-1.19875,-1.22172,0.0552407,2.13031,2.13191,0
-1.19854,-1.22161,0.0785,2.13004,2.1318,0
-1.19833,-1.22149,0.0872222,2.12978,2.13168,0
-1.19812,-1.22131,0.0785,2.12952,2.13151,0
-1.19791,-1.2212,0.0552407,2.12926,2.13139,0
-1.1977,-1.22108,0.0785,2.129,2.13128,0
-1.19749,-1.22099,0.0785,2.12874,2.13119,0
-1.19728,-1.22088,0.0377963,2.12848,2.13107,0
-1.19707,-1.22073,0.0552407,2.12821,2.13093,0
-1.19686,-1.22059,0.0872222,2.12795,2.13081,-0.0290741
-1.19665,-1.22041,0.093037,2.12769,2.13064,0
-1.19644,-1.2203,0.0785,2.12743,2.13052,0
-1.19623,-1.22018,0.0697778,2.12717,2.1304,0
-1.19602,-1.22006,0.0232593,2.12691,2.13029,0
-1.19581,-1.21995,0.0552407,2.12664,2.1302,0
-1.19559,-1.21977,0.0697778,2.12638,2.13002,0
-1.19538,-1.21957,0.119204,2.12612,2.12982,0
-1.19517,-1.2194,0.0872222,2.12586,2.12968,0
-1.19496,-1.21928,0.0610556,2.1256,2.12956,0
-1.19475,-1.21919,0.0290741,2.12534,2.1295,-0.0552407
-1.19454,-1.21908,0.0697778,2.12507,2.12939,0
-1.19433,-1.21887,0.110481,2.12481,2.12918,0
-1.19413,-1.21864,0.125019,2.12455,2.12898,-0.0610556
-1.19392,-1.21847,0.110481,2.12429,2.1288,0
-1.19371,-1.21835,0.0465185,2.12403,2.12872,0
-1.1935,-1.21823,0.0610556,2.12376,2.1286,0
-1.19329,-1.21809,0.0552407,2.1235,2.12845,0
-1.19308,-1.21791,0.101759,2.12324,2.12831,-0.0552407
-1.19287,-1.21765,0.142463,2.12298,2.12805,0
-1.19266,-1.21745,0.119204,2.12271,2.12784,0
-1.19245,-1.2173,0.0872222,2.12245,2.12773,-0.0232593
-1.19225,-1.21719,0.014537,2.12218,2.12761,0
-1.19205,-1.2171,0.0552407,2.12192,2.12752,0
-1.19185,-1.2169,0.110481,2.12165,2.12735,0
-1.19165,-1.21663,0.142463,2.12139,2.12709,0
-1.19145,-1.21637,0.165722,2.12112,2.12683,0
-1.19124,-1.21626,0.0872222,2.12086,2.12671,0
-1.19104,-1.21614,0.0465185,2.12059,2.12659,0
-1.19084,-1.21605,0.0290741,2.12032,2.12651,0
-1.19064,-1.21588,0.093037,2.12006,2.12633,0
-1.19044,-1.21565,0.133741,2.11979,2.1261,0
-1.19024,-1.21535,0.165722,2.11953,2.12581,0
-1.19004,-1.21515,0.125019,2.11926,2.12561,0
-1.18983,-1.21503,0.0872222,2.11899,2.12549,0
-1.18963,-1.21498,0.014537,2.11873,2.12543,0
-1.18943,-1.21486,0.0697778,2.11846,2.12531,0
-1.18923,-1.21466,0.101759,2.1182,2.12511,0
-1.18903,-1.21439,0.142463,2.11793,2.12485,0
-1.18883,-1.21416,0.142463,2.11766,2.12462,0
-1.18863,-1.21399,0.101759,2.1174,2.12444,0
-1.18842,-1.21387,0.0785,2.11713,2.12433,0
-1.18822,-1.21378,0.0697778,2.11687,2.12424,0
-1.18802,-1.21367,0.0610556,2.1166,2.12412,0
-1.18782,-1.21344,0.0872222,2.11633,2.12389,0
-1.18762,-1.21323,0.142463,2.11607,2.12369,0
-1.18742,-1.21294,0.157,2.1158,2.1234,0
-1.18722,-1.21277,0.119204,2.11554,2.12322,0
-1.18702,-1.21265,0.0697778,2.11527,2.12311,0
-1.18681,-1.21262,0.0232593,2.115,2.12308,0
-1.18661,-1.21253,0.0465185,2.11474,2.12299,0
-1.18641,-1.21236,0.110481,2.11447,2.12281,0
-1.18621,-1.21207,0.157,2.1142,2.12252,0
-1.18601,-1.21181,0.157,2.11394,2.12226,0
-1.18581,-1.21163,0.110481,2.11367,2.12209,0
-1.18561,-1.21155,0.0232593,2.1134,2.122,0
-1.18541,-1.21152,0,2.11314,2.12197,0
-1.18521,-1.21131,0.0610556,2.11287,2.12177,0
-1.185,-1.21099,0.165722,2.1126,2.12145,0
-1.1848,-1.21067,0.183167,2.11234,2.12113,0
-1.1846,-1.2105,0.119204,2.11207,2.12095,0
-1.1844,-1.21044,0.0552407,2.1118,2.1209,0
-1.1842,-1.21044,0,2.11154,2.1209,0
-1.184,-1.21032,0.0697778,2.11127,2.12078,0
-1.1838,-1.21009,0.119204,2.111,2.12055,0
-1.1836,-1.2098,0.165722,2.11074,2.12026,0
-1.1834,-1.20951,0.157,2.11047,2.11997,0
-1.1832,-1.20939,0.0785,2.1102,2.11985,0
-1.183,-1.20937,0.014537,2.10993,2.11982,0
-1.18279,-1.20931,0.00581481,2.10967,2.11976,0
-1.18259,-1.20913,0.093037,2.1094,2.11959,0
-1.18239,-1.2089,0.125019,2.10913,2.11935,0
-1.18219,-1.20864,0.165722,2.10887,2.11909,0
-1.18199,-1.20841,0.119204,2.1086,2.11886,0
-1.18179,-1.20832,0.0697778,2.10833,2.11877,0
-1.18159,-1.20826,0,2.10806,2.11872,0
-1.18139,-1.20814,0.0232593,2.1078,2.1186,0
-1.18119,-1.20794,0.110481,2.10753,2.1184,0
-1.18099,-1.20768,0.183167,2.10726,2.11813,0
-1.1808,-1.20742,0.142463,2.10699,2.11787,0
-1.18062,-1.2073,0.0785,2.10672,2.11776,0
