torque_1 torque_1_t torque_2 torque_2_t
-2 -0.240625 0.285337 -0.109375
-2 0.459375 0.298357 0.153125
-2 -0.109375 0.311377 0.240625
-2 -0.175 0.324397 0.35
-2 -0.0875 0.337417 0.35
-2 0.525 0.350437 0.371875
-2 0.459375 0.363457 0.371875
-2 -0.13125 0.376897 0.371875
-2 0.109375 0.389917 0.546875
-2 0.415625 0.402937 0.415625
-2 0 0.415957 0.459375
-2 -0.065625 0.428977 0.328125
-2 0.021875 0.441997 0.48125
-2 -0.175 0.455017 0.503125
-2 -0.196875 0.468457 0.503125
-2 0.109375 0.480256 0.48125
-2 -0.021875 0.493276 0.56875
-2 -0.153125 0.503854 0.6125
-2 -0.021875 0.516874 0.503125
-2 -0.04375 0.530417 0.48125
-2 -0.065625 0.541693 0.503125
-2 -0.30625 0.553912 0.7
-2 -0.109375 0.574433 0.678125
-2 -0.065625 0.591465 0.678125
-2 -0.109375 0.588087 0.6125
-2 -0.196875 0.599886 0.721875
-2 0.56875 0.618663 0.634375
-2 -0.0875 0.630184 0.721875
-2 -0.2625 0.655589 0.809375
-2 -0.0875 0.66355 0.590625
-2 -0.21875 0.660696 0.678125
-2 -0.04375 0.68488 0.765625
-2 -0.284375 0.694237 0.83125
-2 -0.0875 0.701572 0.83125
-2 -0.065625 0.709707 0.809375
-2 -0.328125 0.719238 0.83125
-2 -0.065625 0.726153 0.896875
-2 -0.109375 0.740219 0.83125
-2 -0.284375 0.743716 0.91875
-2 -0.0875 0.752026 0.940625
-2 -0.196875 0.764872 0.91875
-2 -0.328125 0.765506 0.91875
-2 -0.0875 0.780968 0.896875
-2 -0.065625 0.782197 0.896875
-2 -0.0875 0.780389 0.91875
-2 -0.065625 0.789572 0.91875
-2 -0.21875 0.787938 0.9625
-2 0.546875 0.790143 0.940625
-2 -0.2625 0.800268 1.00625
-2 -0.0875 0.801426 0.940625
-2 -0.021875 0.805724 0.940625
-2 -0.196875 0.803044 0.940625
-2 -0.065625 0.804098 1.00625
-2 -0.240625 0.793743 0.875
-2 -0.109375 0.792633 0.91875
-2 -0.0875 0.782626 0.896875
-2 -0.175 0.780017 0.91875
-2 -0.109375 0.77315 0.74375
-2 -0.065625 0.755817 1.00625
-2 -0.284375 0.732029 0.940625
-2 -0.2625 0.72 0.9625
-2 -0.196875 0.720286 0.875
-2 -0.2625 0.692312 0.940625
-2 -0.240625 0.680386 1.02812
-2 0.04375 0.656669 0.940625
-2 -0.109375 0.627997 0.91875
-2 -0.13125 0.609792 0.809375
-2 -0.13125 0.594972 0.940625
-2 -0.2625 0.580953 0.940625
-2 -0.21875 0.556118 0.940625
-2 -0.13125 0.538262 0.940625
-2 0.590625 0.524314 0.91875
-2 -0.13125 0.513435 0.875
-2 -0.13125 0.508138 0.809375
-2 0.415625 0.499249 0.74375
-2 -0.04375 0.483137 0.721875
-2 -0.2625 0.486912 0.74375
-2 -0.065625 0.478824 0.74375
-2 -0.153125 0.473773 0.678125
-2 -0.109375 0.469697 0.7
-2 -0.13125 0.465098 0.65625
-2 -0.153125 0.456035 0.634375
-2 -0.109375 0.45475 0.546875
-2 0.546875 0.454513 0.634375
-2 -0.13125 0.460452 0.6125
-2 -0.21875 0.447305 0.56875
-2 -0.153125 0.437124 0.48125
-2 0.590625 0.444633 0.525
-2 0.503125 0.440732 0.546875
-2 -0.109375 0.432993 0.503125
-2 -0.240625 0.424976 0.525
-2 -0.175 0.424389 0.525
-2 0.525 0.413162 0.459375
-2 0.503125 0.406017 0.56875
-2 0.065625 0.397232 0.546875
-2 -0.21875 0.387923 0.503125
-2 -0.240625 0.375719 0.503125
-2 -0.13125 0.355769 0.525
-2 -0.153125 0.348903 0.546875
-2 0.459375 0.333559 0.48125
-2 -0.21875 0.320238 0.459375
-2 -0.109375 0.307615 0.371875
-2 -0.175 0.287562 0.415625
-2 -0.175 0.274938 0.459375
-2 -0.0875 0.258723 0.415625
-2 -0.13125 0.250112 0.459375
-2 -0.065625 0.233476 0.328125
-2 -0.21875 0.216737 0.39375
-2 -0.109375 0.206556 0.371875
-2 -0.2625 0.185385 0.546875
-2 -0.21875 0.173705 0.284375
-2 -0.21875 0.163 0.284375
-2 -0.2625 0.14661 0.153125
-2 -0.21875 0.136604 0.284375
-2 -0.240625 0.125027 0.30625
-2 -0.2625 0.123116 0.415625
-2 -0.284375 0.119215 0.328125
-2 -0.153125 0.118176 0.328125
-2 -0.153125 0.128928 0.328125
-2 -0.2625 0.119096 0.328125
-2 -0.109375 0.138467 0.2625
-2 -0.13125 0.157418 0.153125
-2 -0.21875 0.150972 0.328125
-2 -0.175 0.176552 0.21875
-2 -0.13125 0.181095 0.21875
-2 0 0.195685 0.196875
-2 -0.240625 0.199983 0.196875
-2 -0.13125 0.211678 0.175
-2 0.546875 0.218069 0.21875
-2 0.525 0.227148 0.196875
-2 -0.109375 0.239296 0.21875
-2 0.459375 0.248026 0.175
-2 0.525 0.251103 0.240625
-2 -0.13125 0.258192 0.240625
-2 -0.240625 0.262909 0.284375
-2 -0.109375 0.263369 0.35
-2 -0.153125 0.272099 0.328125
-2 -0.284375 0.279014 0.39375
-2 -0.30625 0.283208 0.328125
-2 -0.2625 0.288727 0.328125
-2 -0.21875 0.292049 0.39375
-2 0.546875 0.295649 0.39375
-2 0.48125 0.313625 0.328125
-2 -0.13125 0.30763 0.371875
-2 -0.13125 0.336422 0.39375
-2 0.48125 0.329904 0.415625
-2 0.4375 0.343344 0.35
-2 0.459375 0.356364 0.415625
-2 -0.153125 0.369804 0.48125
-2 -0.2625 0.382824 0.525
-2 -0.175 0.396264 0.415625
-2 -0.175 0.409284 0.4375
-2 -0.175 0.422724 0.459375
-2 0.415625 0.435744 0.525
-2 -0.2625 0.459302 0.590625
-2 -0.109375 0.460983 0.503125
-2 -0.065625 0.474423 0.56875
-2 -0.240625 0.498956 0.546875
-2 -0.35 0.511175 0.503125
-2 0.415625 0.526114 0.56875
-2 -0.065625 0.535367 0.6125
-2 -0.21875 0.547689 0.6125
-2 -0.153125 0.549267 0.65625
-2 -0.13125 0.568218 0.765625
-2 -0.153125 0.57939 0.765625
-2 -0.04375 0.586305 0.634375
-2 -0.2625 0.596779 0.65625
-2 -0.13125 0.604915 0.7
-2 -0.284375 0.612424 0.809375
-2 -0.153125 0.620734 0.83125
-2 -0.04375 0.626847 0.74375
-2 0.56875 0.634356 0.809375
-2 0.525 0.636212 0.809375
-2 0.590625 0.64372 0.809375
-2 -0.0875 0.649414 0.984375
-2 -0.0875 0.659888 0.809375
-2 0.48125 0.660523 0.853125
-2 -0.109375 0.662275 0.853125
-2 -0.2625 0.667167 0.984375
-2 0.503125 0.67286 1.00625
-2 0.525 0.678974 0.9625
-2 -0.153125 0.68205 1.00625
-2 -0.153125 0.694618 1.05
-2 -0.2625 0.693683 1.05
-2 -0.13125 0.707646 0.984375
-2 -0.175 0.709747 0.940625
-2 -0.196875 0.719278 0.9625
-2 -0.35 0.720158 0.896875
-2 0.525 0.732306 1.00625
-2 -0.21875 0.735803 0.91875
-2 0.503125 0.743137 0.984375
-2 -0.35 0.755285 0.875
-2 0.48125 0.753548 0.984375
-2 0.30625 0.768313 0.984375
-2 -0.30625 0.77617 0.91875
-2 0.56875 0.782284 0.9625
-2 0.39375 0.786756 0.984375
-2 0.503125 0.796882 0.984375
-2 0.546875 0.803169 1.05
-2 -0.153125 0.810782 1.07187
-2 -0.2625 0.810615 1.11563
-2 -0.13125 0.816483 0.984375
-2 -0.30625 0.820328 1.15938
-2 0.48125 0.825918 1.18125
-2 0.546875 0.826902 1.07187
-2 -0.21875 0.829526 1.02812
-2 -0.13125 0.833895 1.3125
-2 0.546875 0.837669 1.02812
-2 0.415625 0.831397 1.05
-2 -0.153125 0.833324 1.1375
-2 0.678125 0.837622 1.05
-2 0.48125 0.840595 1.07187
-2 -0.109375 0.822984 1.05
-2 0.4375 0.824316 1.02812
-2 -0.153125 0.820137 0.9625
-2 -0.2625 0.814388 0.91875
-2 -0.2625 0.802812 0.9625
-2 -0.109375 0.802122 0.984375
-2 -0.2625 0.785732 0.984375
-2 -0.04375 0.784447 0.984375
-2 -0.175 0.776256 0.984375
-2 -0.153125 0.765448 1.00625
-2 -0.153125 0.751255 0.984375
-2 -0.2625 0.730155 1.02812
-2 0.021875 0.732256 0.940625
-2 -0.13125 0.707842 0.875
-2 -0.2625 0.68667 0.896875
-2 -0.2625 0.671153 0.875
-2 -0.04375 0.662613 0.853125
-2 -0.153125 0.631847 0.91875
-2 -0.153125 0.608479 0.896875
-2 -0.196875 0.583716 0.875
-2 -0.153125 0.552673 0.875
-2 -0.240625 0.539003 0.940625
-2 -0.13125 0.513367 0.896875
-2 -0.2625 0.492267 0.875
-2 -0.153125 0.470747 0.896875
-2 -0.04375 0.452613 0.7875
-2 -0.240625 0.442852 0.853125
-2 -0.240625 0.424543 0.721875
-2 -0.240625 0.410349 0.6125
-2 -0.175 0.406694 0.765625
-2 -0.109375 0.394665 0.634375
-2 0.546875 0.3938 0.634375
-2 -0.153125 0.385713 0.546875
-2 -0.2625 0.379615 0.525
-2 -0.240625 0.375959 0.525
-2 0.30625 0.380154 0.525
-2 -0.284375 0.372415 0.48125
-2 -0.35 0.374516 0.48125
-2 0.546875 0.369116 0.459375
-2 -0.21875 0.360053 0.459375
-2 -0.21875 0.359712 0.48125
-2 0.525 0.352845 0.4375
-2 0.48125 0.3457 0.48125
-2 -0.2625 0.338033 0.4375
-2 -0.153125 0.327225 0.459375
-2 0.459375 0.318963 0.4375
-2 0.546875 0.305887 0.4375
-2 0.590625 0.296998 0.4375
-2 -0.109375 0.277468 0.39375
-2 0.13125 0.258462 0.35
-2 -0.109375 0.24514 0.371875
-2 -0.21875 0.23189 0.35
-2 -0.13125 0.214628 0.30625
-2 -0.109375 0.196319 0.284375
-2 -0.13125 0.18429 0.328125
-2 0.546875 0.162493 0.30625
-2 -0.175 0.142892 0.30625
-2 -0.175 0.126676 0.2625
-2 -0.065625 0.109763 0.30625
-2 -0.13125 0.0911049 0.240625
-2 -0.2625 0.0809949 0.175
-2 -0.153125 0.0675704 0.196875
-2 -0.240625 0.0532027 0.196875
-2 -0.109375 0.0491982 0.284375
-2 -0.21875 0.0408327 0.328125
-2 -0.240625 0.0373516 0.30625
-2 -0.175 0.0377082 0.30625
-2 -0.153125 0.0406816 0.30625
-2 -0.13125 0.0490627 0.2625
-2 -0.13125 0.053186 0.175
-2 -0.21875 0.0584271 0.175
-2 0.0875 0.0668082 0.109375
-2 0.415625 0.0790271 0.065625
-2 -0.153125 0.0952582 0.0875
-2 -0.21875 0.0923004 0.0875
-2 -0.2625 0.11987 0.065625
-2 -0.30625 0.135229 0.109375
-2 -0.13125 0.133596 0.109375
-2 -0.109375 0.136395 0.04375
-2 0.328125 0.167977 0.109375
-2 -0.21875 0.171299 0.109375
-2 -0.153125 0.185088 0.153125
-2 -0.21875 0.184049 0.153125
-2 -0.21875 0.195222 0.0875
-2 -0.109375 0.211976 0.153125
-2 0.4375 0.220532 0.240625
-2 -0.240625 0.218097 0.175
-2 -0.13125 0.227454 0.175
-2 -0.21875 0.232869 0.175
-2 -0.2625 0.259218 0.30625
-2 -0.284375 0.251027 0.371875
-2 -0.175 0.266386 0.39375
-2 -0.153125 0.269883 0.2625
-2 -0.2625 0.282102 0.284375
-2 -0.153125 0.303043 0.2625
-2 0.7 0.30776 0.30625
-2 -0.175 0.3212 0.284375
-2 0.328125 0.33464 0.328125
-2 0.546875 0.34808 0.328125
-2 0.525 0.360299 0.328125
-2 -0.328125 0.373739 0.371875
-2 -0.13125 0.387179 0.39375
-2 -0.21875 0.399398 0.39375
-2 0.546875 0.412418 0.39375
-2 0.503125 0.423416 0.415625
-2 -0.13125 0.45273 0.4375
-2 -0.109375 0.446633 0.48125
-2 0.13125 0.474203 0.459375
-2 -0.175 0.485724 0.525
-2 -0.13125 0.481545 0.48125
-2 -0.109375 0.503533 0.525
-2 -0.109375 0.509472 0.503125
-2 -0.21875 0.530238 0.56875
-2 0 0.537573 0.546875
-2 -0.109375 0.549268 0.6125
-2 -0.109375 0.556603 0.6125
-2 -0.109375 0.566554 0.65625
-2 -0.13125 0.575807 0.634375
-2 -0.13125 0.574943 0.65625
-2 -0.21875 0.588034 0.721875
-2 -0.065625 0.596938 0.65625
-2 -0.2625 0.596074 0.74375
-2 -0.109375 0.60271 0.74375
-2 -0.153125 0.610219 0.74375
-2 -0.21875 0.615112 0.7875
-2 -0.04375 0.618608 0.765625
-2 -0.13125 0.6235 0.83125
-2 -0.21875 0.629614 0.765625
-2 -0.109375 0.633182 0.809375
-2 -0.065625 0.641039 0.809375
-2 -0.04375 0.642792 0.83125
-2 -0.109375 0.650126 0.896875
-2 -0.109375 0.657635 0.853125
-2 -0.065625 0.657119 0.83125
-2 -0.21875 0.671083 0.809375
-2 -0.175 0.670567 0.83125
-2 -0.0875 0.677902 1.09375
-2 -0.13125 0.685236 0.83125
-2 -0.109375 0.696583 0.896875
-2 -0.065625 0.698684 0.853125
-2 -0.065625 0.714392 0.940625
-2 0.35 0.716144 0.83125
-2 -0.065625 0.726618 0.853125
-2 -0.109375 0.727149 0.9625
-2 -0.153125 0.736299 0.984375
-2 -0.109375 0.744157 0.875
-2 0.065625 0.750445 0.853125
-2 -0.109375 0.756733 0.940625
-2 -0.109375 0.771219 0.7875
-2 -0.240625 0.771053 0.875
-2 0.328125 0.776119 0.896875
-2 0.196875 0.785547 1.00625
