torque_1,torque_1_t,torque_2,torque_2_t
-1,0.04375,-0.518404,-0.21875
-1,0.546875,-0.509104,0.065625
-1,0.65625,-0.500677,-0.415625
-0.784258,0.809375,-0.493993,-0.525
-0.828894,0.721875,-0.48731,-0.459375
-0.828161,0.875,-0.527145,-0.503125
-0.786883,0.9625,-0.533254,-0.48125
-0.946507,0.91875,-0.50214,-0.525
-0.992452,0.984375,-0.460858,-0.590625
-0.831811,1.05,-0.516393,-0.415625
-0.742997,1.26875,-0.516688,-0.459375
-0.66872,1.11563,-0.507388,-0.56875
-0.741122,1.05,-0.51088,-0.546875
-0.785308,0.984375,-0.515536,-0.525
-1,1.07187,-0.534429,-0.525
-0.989569,1.05,-0.52164,-0.48125
-0.624551,1.15938,-0.52426,-0.525
-0.547207,0.896875,-0.529788,-0.546875
-0.542999,0.853125,-0.54113,-0.56875
-0.570481,0.83125,-0.536191,-0.56875
-0.612501,0.853125,-0.521658,-0.56875
-0.815736,0.74375,-0.50508,-0.6125
-0.697398,0.875,-0.504212,-0.546875
-0.372067,0.853125,-0.485608,-0.590625
-0.36655,0.721875,-0.479506,-0.48125
-0.316114,0.678125,-0.47544,-0.525
-0.470055,0.678125,-0.453929,-0.634375
-0.423544,0.590625,-0.447817,-0.525
-0.534323,0.634375,-0.412641,-0.525
-0.45743,0.6125,-0.38328,-0.503125
-0.292006,0.6125,-0.380958,-0.525
-0.286039,0.525,-0.330082,-0.65625
-0.279214,0.590625,-0.339099,-0.459375
-0.317308,0.48125,-0.297517,-0.459375
-0.311792,0.65625,-0.28124,-0.56875
-0.217744,0.415625,-0.234725,-0.4375
-0.253222,0.48125,-0.246358,-0.459375
-0.130959,0.35,-0.191121,-0.415625
-0.241739,0.459375,-0.194604,-0.459375
-0.352519,0.459375,-0.166406,-0.328125
-0.273008,0.415625,-0.161467,-0.39375
-0.103659,0.4375,-0.183277,-0.39375
-0.0506065,0.4375,-0.16729,-0.2625
-0.116017,0.503125,-0.163795,-0.284375
-0.269099,0.39375,-0.166416,-0.30625
-0.471026,0.371875,-0.112341,-0.284375
-0.423206,0.546875,-0.170493,-0.153125
-0.346313,0.30625,-0.164682,-0.196875
-0.135969,0.35,-0.128334,-0.109375
-0.127836,0.415625,-0.157121,-0.196875
-0.122319,0.35,-0.102756,-0.13125
-0.395173,0.196875,-0.104795,-0.196875
-0.523106,0.30625,-0.120199,-0.153125
-0.521515,0.35,-0.0902563,-0.13125
-0.475004,0.35,-0.124277,-0.153125
-0.310438,0.525,-0.0466526,-0.109375
-0.189933,0.371875,-0.0492637,-0.065625
-0.345182,0.415625,-0.0917156,-0.0875
-0.414968,0.328125,-0.0248489,-0.0875
-0.529222,0.415625,-0.0335748,-0.065625
-0.498556,0.721875,-0.0137989,0.0875
-0.451595,0.721875,-0.0466563,-0.0875
-0.448695,0.634375,-0.00479333,-0.065625
-0.358123,0.7875,0.000145556,0.021875
-0.400143,0.546875,0.00538444,0
-0.440404,0.65625,0.00945111,0
-0.438812,0.546875,0.01439,-0.021875
-0.393609,0.56875,0.0196289,-0.065625
-0.435179,0.546875,0.0245678,-0.065625
-0.507581,0.525,0.0303789,-0.021875
-0.594069,0.7875,0.03619,0.175
-0.505256,0.65625,0.0414289,0.21875
-0.47414,0.6125,0.0463678,0.240625
-0.382709,0.590625,0.0495622,0.175
-0.627797,0.503125,0.0548011,-0.021875
-0.540292,0.590625,0.0606122,-0.04375
-0.584928,0.634375,0.0672956,-0.021875
-0.701799,0.74375,0.0739789,-0.065625
-0.656596,0.56875,0.0792178,0.04375
-0.465573,0.721875,0.0841567,0
-0.376759,0.459375,0.0890956,0.065625
-0.330248,0.721875,0.0934622,0
-0.490731,0.56875,0.100146,0
-0.738885,0.590625,0.106829,0.175
-0.931058,0.678125,0.115557,0.30625
-0.785405,0.83125,0.121368,0.021875
-0.493072,0.984375,0.126307,0.175
-0.168599,0.7,0.129801,0.2625
-0.412829,0.56875,0.133868,0.021875
-0.455706,0.546875,0.139679,0.175
-0.64833,0.590625,0.148407,0.240625
-0.928175,0.7875,0.156834,0.459375
-0.581169,0.940625,0.16439,-0.021875
-0.418362,0.678125,0.168757,-0.021875
-0.32824,0.721875,0.172823,0.13125
-0.457031,0.56875,0.177762,0.21875
-0.647038,0.678125,0.184746,0.021875
-0.575378,0.765625,0.191429,0.153125
-0.692249,0.590625,0.198112,0.21875
-0.575669,0.7,0.204223,0.21875
-0.618997,0.74375,0.210034,0.240625
-0.619572,0.7875,0.216718,0.284375
-0.458073,0.853125,0.221957,0.175
-0.45779,0.83125,0.227768,0.21875
-0.457056,0.678125,0.233879,0.21875
-0.485847,0.7,0.23969,0.196875
-0.530483,0.74375,0.246373,0.2625
-0.779496,0.765625,0.254229,0.2625
-0.853206,0.83125,0.260912,0.2625
-0.533108,0.91875,0.266723,0.21875
-0.458381,0.7875,0.271962,0.175
-0.250655,0.765625,0.275157,0.30625
-0.407662,0.65625,0.279523,0.2625
-0.523225,0.65625,0.285334,0.30625
-0.643163,0.74375,0.293762,0.371875
-0.645496,0.91875,0.301618,0.35
-0.530225,0.721875,0.308301,0.39375
-0.364351,0.65625,0.310923,0.39375
-0.316531,0.503125,0.314118,0.30625
-0.357243,0.546875,0.318184,0.284375
-0.474564,0.6125,0.323423,0.2625
-0.635046,0.525,0.330107,0.328125
-0.680991,0.7,0.337962,0.371875
-0.521658,0.721875,0.344646,0.35
-0.40377,0.721875,0.349884,0.284375
-0.284124,0.678125,0.353951,0.39375
-0.352601,0.56875,0.357146,0.35
-0.511775,0.48125,0.363257,0.13125
-0.671399,0.765625,0.369068,0.153125
-0.831881,0.678125,0.375179,0.39375
-0.511783,0.875,0.38099,0.7
-0.435748,0.65625,0.385357,0.371875
-0.345626,0.56875,0.389423,0.503125
-0.298665,0.6125,0.39349,0.371875
-0.458289,0.590625,0.399601,0.525
-0.749605,0.678125,0.406284,0.48125
-0.590722,0.74375,0.413268,0.525
-0.620371,0.65625,0.419951,0.415625
-0.386187,0.721875,0.424318,0.415625
-0.426448,0.634375,0.428384,0.371875
-0.381245,0.6125,0.433623,0.525
-0.452339,0.546875,0.438562,0.459375
-0.451606,0.6125,0.46706,0.459375
-0.538544,0.56875,0.449612,0.48125
-0.495508,0.590625,0.456596,0.48125
-0.582447,0.634375,0.467349,0.503125
-0.376887,0.65625,0.466773,0.48125
-0.420215,0.56875,0.518231,0.48125
-0.373254,0.590625,0.476079,0.7
-0.37297,0.590625,0.481018,0.678125
-0.41499,0.48125,0.486257,0.7
-0.646849,0.546875,0.505733,0.7875
-0.649182,0.6125,0.499051,0.765625
-0.444931,0.65625,0.541786,0.678125
-0.574172,0.590625,0.509229,0.74375
-0.28139,0.65625,0.551092,0.74375
-0.27849,0.546875,0.571159,0.7
-0.40904,0.48125,0.521729,0.65625
-0.524603,0.875,0.564764,0.65625
-0.875825,0.48125,0.55691,0.6125
-0.600196,0.765625,0.539762,0.634375
-0.409623,0.634375,0.581625,0.678125
-0.27589,0.590625,0.547323,0.7
-0.316151,0.546875,0.550518,0.65625
-0.315868,0.56875,0.555757,0.765625
-0.521269,0.6125,0.56244,0.634375
-0.872492,0.65625,0.569423,0.678125
-0.874825,0.940625,0.576107,0.678125
-0.523894,0.940625,0.579601,0.7
-0.317476,0.721875,0.582796,0.678125
-0.240582,0.7,0.585418,0.765625
-0.428831,0.765625,0.596471,0.896875
-0.591071,0.7,0.626414,0.83125
-0.872225,0.7875,0.643864,0.853125
-0.596596,0.875,0.611879,1.02812
-0.481325,0.875,0.664509,0.853125
-0.437431,0.65625,0.658981,0.940625
-0.435389,0.765625,0.625551,0.91875
-0.638624,0.65625,0.629918,0.940625
-0.566964,0.940625,0.658116,0.809375
-0.596613,0.65625,0.686614,0.39375
-0.478725,0.896875,0.698531,0.875
-0.683269,0.30625,0.676731,1.1375
-0.525244,0.459375,0.659283,0.853125
-0.598955,0.634375,0.718018,0.809375
-0.527294,0.634375,0.731979,0.853125
-0.568864,0.721875,0.743023,0.853125
-0.569889,0.634375,0.715409,0.9625
-0.730821,0.809375,0.728197,0.896875
-0.762229,0.896875,0.769488,0.984375
-0.880408,0.91875,0.742746,0.940625
-0.648841,0.9625,0.74594,0.9625
-0.327434,0.896875,0.765134,0.91875
-0.369004,0.721875,0.775307,0.984375
-0.573547,0.6125,0.770079,0.940625
-0.883325,0.721875,0.798577,1.00625
-0.888275,0.853125,0.803516,0.984375
-0.891467,0.875,0.762236,0.984375
-0.542294,1.02812,0.788118,0.9625
-0.335426,0.74375,0.80236,1.02812
-0.451439,0.7,0.812833,1.00625
-0.744063,0.91875,0.802362,1.29062
-0.894383,0.853125,0.821266,1.00625
-0.899333,1.00625,0.811968,1.1375
-0.901217,1.07187,0.807312,1.00625
-0.464822,1.225,0.801212,0.984375
-0.462781,1.00625,0.834071,1.02812
-0.507417,0.853125,0.821857,0.984375
-0.903558,0.896875,0.818373,1.09375
-0.90675,1.05,0.831462,1.05
-0.9117,0.940625,0.842216,1.02812
-0.766905,1.02812,0.840768,1.05
-0.637096,1.02812,0.849205,1.07187
-0.679974,1.02812,0.850655,0.940625
-0.725919,1.02812,0.848334,1.09375
-0.728252,1.02812,0.858516,1.09375
-0.920425,1.02812,0.86171,1.07187
-0.733777,1.11563,0.866077,1.00625
-0.691191,1.02812,0.886144,1.11563
-0.620389,1.05,0.879744,1.20312
-0.900234,0.940625,0.906497,1.1375
-0.9325,1.02812,0.904177,1.225
-0.585944,1.1375,0.911442,1.18125
-0.585661,0.9625,0.91232,1.15938
-0.584928,0.940625,0.921047,1.20312
-0.661255,0.853125,0.941114,1.20312
-0.9411,0.984375,0.92512,1.225
-0.9456,1.1375,0.959723,1.3125
-0.95055,1.1375,0.938214,1.24687
-0.512847,1.1375,0.976879,1.225
-0.48304,0.91875,0.956823,1.35625
-0.600361,0.940625,0.979216,1.18125
-0.647614,1.09375,0.994921,1.33438
-0.957392,0.809375,1,1.33438
-0.962342,0.56875,1,1.46562
-0.965983,1.02812,1,0.984375
-0.616361,0.7875,1,1.29062
-0.616078,1.29062,1,1.35625
-0.733399,1.05,1,1.3125
-0.970492,0.678125,1,1.35625
-0.975442,1.18125,1,1.29062
-0.980392,0.853125,1,1.225
-0.676139,1.37813,1,1.53125
-0.5908,1.18125,1,1.15938
-0.914256,1.26875,1,1.26875
-0.991892,1.20312,1,1.3125
-0.996392,1.26875,1,1.18125
-1,1.26875,1,1.3125
-1,1.53125,1,1.1375
-1,1.3125,1,1.18125
-1,1.37813,1,1.35625
-1,1.37813,1,1.35625
-0.904112,1.29062,1,1.35625
-1,1.3125,1,1.225
-1,1.55313,1,1.33438
-1,1.37813,1,1.24687
-1,1.46562,1,1.18125
-1,1.46562,1,1.20312
-1,1.50937,1,1.15938
-1,1.50937,1,1.24687
-1,1.44375,1,1.33438
-1,1.46562,0.990947,1.33438
-1,1.46562,0.968266,1.33438
-1,1.37813,0.929312,1.35625
-1,1.46562,0.91449,1.33438
-1,1.42188,0.877281,1.44375
-1,1.50937,0.841816,1.3125
-1,1.50937,0.82961,1.35625
-1,1.55313,0.781925,1.46562
-1,1.225,0.72669,1.24687
-1,1.20312,0.717973,1.26875
-1,1.3125,0.679892,1.20312
-1,1.26875,0.659255,1.02812
-1,1.3125,0.616812,1.02812
-1,1.33438,0.608959,0.940625
-1,1.55313,0.571168,0.91875
-1,1.44375,0.579023,1.07187
-1,1.37813,0.588623,0.875
-1,1.42188,0.598223,0.765625
-1,1.61875,0.607823,0.765625
-0.966877,1.35625,0.617423,0.875
-1,1.42188,0.626723,0.459375
-1,1.37813,0.695634,0.765625
-1,1.46562,0.643307,1.00625
-0.937382,1.42188,0.649418,0.809375
-0.823419,1.3125,0.656401,0.765625
-0.899746,1.37813,0.710775,0.765625
-0.871247,1.20312,0.730551,0.896875
-1,1.225,0.691016,0.896875
-1,1.42188,0.68229,1.07187
-1,1.35625,0.700321,1.02812
-0.787675,1.18125,0.74452,0.83125
-0.71209,1.18125,0.739292,0.875
-0.740881,1.09375,0.710805,1.00625
-0.740147,1.15938,0.756747,1.00625
-0.873314,1.11563,0.707618,1.3125
-0.947024,1.09375,0.713729,0.83125
-0.786383,1.15938,0.718968,1.09375
-0.712106,1.05,0.724207,0.940625
-0.547991,0.875,0.741066,0.896875
-0.545091,0.984375,0.730896,0.940625
-0.659345,0.91875,0.736134,1.00625
-0.77405,1.09375,0.741373,0.91875
-0.891371,1.20312,0.748357,1.09375
-0.700798,1.1375,0.753596,0.940625
-0.565306,1.02812,0.75709,0.91875
-0.489721,0.984375,0.761457,0.91875
-0.603118,0.9625,0.765823,1.18125
-0.556606,1.09375,0.77019,0.74375
-0.685848,1.07187,0.775429,1.26875
-0.596584,0.9625,0.780668,1.05
-0.711289,0.525,0.785907,1.02812
-0.635704,0.91875,0.790273,1.00625
-0.545581,0.91875,0.79464,1.1375
-0.629904,0.721875,0.799007,0.9625
-0.627862,0.853125,0.803946,0.91875
-0.669881,0.721875,0.809184,0.940625
-0.624679,0.896875,0.814423,1.02812
-0.694464,0.853125,0.81879,0.9625
-0.736483,0.896875,0.824029,0.7875
-0.822972,0.9625,0.83014,1.05
-0.570326,1.02812,0.832762,1.20312
-0.404902,0.940625,0.835384,0.853125
-0.489224,0.809375,0.839751,1.3125
-0.808756,0.875,0.845862,1.18125
-1,1.00625,0.85459,1.1375
-0.886966,1.07187,0.862446,1.1375
-0.726775,1.07187,0.868557,1.20312
-0.445055,0.9625,0.871179,1.29062
-0.485766,0.875,0.875546,1.20312
-0.60047,0.875,0.880784,1.26875
-0.880316,0.940625,0.889512,1.24687
-0.999804,1.02812,0.89824,1.26875
-0.84223,1.11563,0.906096,1.225
-0.608045,1.07187,0.911334,1.24687
-0.561534,0.875,0.915701,1.26875
-0.603554,0.853125,0.92094,1.3125
-0.765794,0.896875,0.928796,1.26875
-0.884424,1.02812,0.936651,1.3125
-0.886757,1.1375,0.944507,1.1375
-0.930085,1.1375,0.950918,1.15938
-0.84213,1.09375,0.993953,1.15938
-0.683247,1.07187,0.96314,1.24687
-0.930094,1.05,1,1.20312
-0.683989,1.1375,0.979433,1.24687
-0.889841,0.984375,0.980601,1.24687
-0.933169,1.18125,0.986712,1.29062
-1,1.1375,0.992823,1.225
-0.892916,1.24687,0.999807,1.3125
-0.85033,1.20312,1,1.35625
-0.659756,1.3125,1,1.3125
-0.849763,1.1375,1,1.4875
-0.732733,1.1375,1,1.00625
-0.733758,0.896875,1,1.35625
-0.894691,0.83125,1,0.940625
-1,1.05,1,1.37813
-1,1.20312,1,1.15938
-0.737858,1.225,1,1.26875
-0.575051,1.07187,1,1.3125
-0.529848,1.05,1,1.35625
-0.820306,0.984375,1,1.4
-0.896632,1.26875,1,1.35625
-0.942577,1.225,1,1.35625
-0.943602,1.11563,1,1.26875
-0.694881,1.07187,1,1.225
-0.502999,1.00625,1,1.26875
-0.500099,0.91875,1,1.20312
-0.614804,0.940625,1,1.26875
-0.778353,0.9625,1,1.3125
-1,0.9625,1,1.225
-1,1.05,1,1.46562
-0.695514,1.11563,1,1.44375
-0.53009,1.02812,1,0.91875
-0.409135,0.984375,1,1.37813
-0.683747,0.9625,1,1.37813
-0.845988,1.05,1,1.37813
-1,1.09375,1,1.4875
-0.892957,1.1375,1,1.37813
-0.687847,1.09375,1,1.37813
-0.452355,1.00625,1,1.4
-0.491757,0.853125,1,1.37813
-0.723617,1.05,1,1.44375
-0.724642,0.940625,1,1.575
-1,1.00625,1,1.46562
-0.883982,1.1375,1,1.46562
-0.678872,1.07187,1,1.46562
-0.442071,0.984375,1,1.50937
-0.510548,1.05,1,1.46562
-0.668864,0.984375,1,1.4
-0.802031,0.984375,1,1.24687
-1,1.07187,1,1.3125
-0.808006,1.18125,1,1.35625
-0.717883,1.26875,1,1.44375
-0.553318,1.00625,1,1.46562
-0.476424,0.83125,1,1.24687
-0.63474,0.91875,1,1.4
-0.824746,0.9625,1,1.4875
-0.82708,1.07187,1,1.35625
-1,1.07187,1,1.4
-0.918969,1.1375,1,1.46562
-0.507723,1.11563,1,1.37813
-0.43083,1.07187,1,1.3125
-0.471541,0.765625,1,1.33438
-0.660239,0.875,1,1.37813
-1,0.9625,1,1.4
-0.82743,1.11563,1,1.3125
-0.98967,0.853125,1,1.35625
-0.63919,1.15938,1,1.37813
-0.505456,0.940625,1,1.37813
-0.501248,0.809375,1,1.35625
-0.660872,0.809375,1,1.35625
-0.910335,0.940625,1,1.4
-0.797681,1.11563,1,1.37813
-0.872699,0.940625,1,1.37813
-0.667589,1.07187,1,1.37813
-0.798139,0.984375,1,1.35625
-0.593029,0.984375,1,1.4
-0.707733,1.00625,1,1.37813
-0.591154,1.02812,1,1.4
-0.867074,1.00625,1,1.37813
-0.825796,1.00625,1,1.4
-0.82813,0.940625,1,1.4
-0.798772,1.05,1,1.37813
-0.667656,1.09375,1,1.46562
-0.63699,1.18125,1,1.35625
-0.591787,1.15938,1,1.33438
-0.70825,1.05,1,1.37813
-0.754194,1.26875,1,1.37813
-0.990429,1.20312,1,1.37813
-1,1.29062,1,1.26875
-0.716275,1.35625,1,1.4
-0.552159,1.15938,1,1.37813
-0.550568,1.1375,1,1.4
-0.637506,1.1375,1,1.35625
-1,1.18125,1,1.35625
-0.874766,1.26875,1,1.4
-0.804414,1.18125,1,1.37813
-0.716908,1.09375,1,1.4
-0.759378,1.02812,1,1.4
-0.597879,1.1375,1,1.33438
-0.7152,1.00625,1,1.35625
-0.716225,1.07187,1,1.35625
-0.833546,1.05,1,1.4
-0.879491,1.11563,1,1.37813
-1,1.15938,1,1.4
-0.766553,1.26875,1,1.37813
-0.766269,1.11563,1,1.3125
-0.676597,1.09375,1,1.225
-0.836221,1.00625,1,1.24687
-0.837246,1.20312,1,1.35625
-0.883191,0.765625,1,1.35625
-0.927827,1.11563,1,1.35625
-0.768944,1.15938,1,1.18125
-0.680131,1.1375,1,1.225
-0.767519,1.07187,1,1.50937
-0.722317,1.02812,1,1.35625
-0.768261,1.29062,1,1.35625
-0.888199,1.1375,1,1.44375
-0.932835,1.18125,1,1.35625
-0.775261,1.3125,1,1.4875
-0.980255,1.07187,1,1.37813
-0.731533,1.29062,1,1.37813
-0.614954,1.18125,1,1.42188
-0.730967,1.07187,1,1.4
-0.820522,1.02812,1,1.4
-1,1.225,1,1.4
-0.944552,1.225,1,1.4875
-0.742058,1.15938,1,1.42188
-0.696856,0.91875,1,1.37813
-0.738875,1.02812,1,1.4875
-0.899807,1.26875,1,1.225
-1,1.1375,1,1.3125
-0.992146,0.765625,1,1.29062
-0.702431,1.18125,1,1.225
-0.789369,1.1375,1,1.225
-0.745475,1.18125,1,1.3125
-0.907716,1.11563,1,1.4
-1,1.20312,1,1.35625
-0.751167,1.29062,1,1.35625
-0.750883,1.1375,1,1.3125
-0.794211,1.05,1,1.3125
-0.912841,1.02812,1,1.24687
-1,1.1375,1,1.225
-0.87128,1.11563,1,1.3125
-0.638404,1.05,1,1.3125
-0.709497,1.09375,1,1.3125
-0.796436,1.11563,1,1.3125
-1,1.11563,1,1.3125
-1,1.29062,1,1.3125
-1,1.18125,1,1.35625
-0.597468,1.26875,1,1.05
-0.594568,1.11563,1,1.42188
-0.635279,0.984375,1,1.18125
-1,0.984375,1,1.4
-1,1.225,1,1.35625
-0.7625,1.15938,1,1.4
-0.685606,1.15938,1,1.20312
-0.755392,1.09375,1,1.4
-0.758175,1.09375,1,1.35625
-1,1.15938,1,1.50937
-1,1.26875,1,1.35625
-0.877546,1.24687,1,1.37813
-0.803269,1.07187,1,1.35625
-0.64177,1.09375,1,1.4
-0.875388,1.00625,1,1.37813
-0.876863,1.11563,1,1.37813
-0.924116,1.07187,1,1.4
-0.763925,1.09375,1,1.44375
-0.718722,1.05,1,1.26875
-0.718439,1.1375,1,1.24687
-0.879371,1.09375,1,1.24687
-0.765408,1.11563,1,1.50937
-0.969094,1.07187,1,1.37813
-0.720372,1.29062,1,1.4875
-0.646095,1.05,1,1.35625
-0.686806,1.07187,1,1.3125
-1,1.02812,1,1.35625
-0.966819,1.26875,1,1.05
-0.763017,1.18125,1,1.4
-0.55529,1.18125,1,1.24687
-0.522007,0.9625,1,1.55313
-0.713322,1.00625,1,1.29062
-1,1.11563,1,1.29062
-1,1.18125,1,1.29062
-0.924291,1.24687,1,1.29062
-0.68749,1.20312,1,1.44375
-0.523374,1.09375,1,1.29062
-0.683448,0.9625,1,1.35625
-1,1.02812,1,1.20312
-1,1.24687,1,1.33438
-0.849047,0.940625,1,1.64062
-0.68669,1.15938,1,1.35625
-0.685098,1.11563,1,1.29062
-0.683506,1.07187,1,1.29062
-0.800828,1.09375,1,1.26875
-0.876296,1.18125,1,1.4
-0.803328,1.15938,1,1.33438
-0.715822,1.24687,1,1.26875
-0.714231,1.00625,1,1.26875
-0.917916,0.940625,1,1.29062
-0.876638,1.18125,1,1.44375
-0.847281,1.1375,1,1.4
-0.599009,1.05,1,1.35625
-0.55119,0.940625,1,1.29062
-0.68174,1.15938,1,1.05
-0.960277,0.853125,1,1.55313
-1,1.225,1,1.29062
-0.759258,1.1375,1,1.29062
-0.480155,1.02812,1,1.29062
-0.432785,1.00625,1,1.26875
-0.591101,0.91875,1,1.26875
-1,1.02812,1,1.29062
-0.875038,1.33438,1,1.24687
-1,1.09375,1,1.55313
-0.641879,1.20312,1,1.26875
-0.550898,1.02812,1,1.55313
-0.430394,1.05,1,1.37813
-0.751233,0.809375,1,1.29062
-0.958844,1.05,1,1.29062
-0.917566,1.09375,1,1.29062
-0.758683,1.24687,1,1.18125
-0.712622,1.07187,1,1.35625
-0.549815,1.00625,1,1.24687
-0.591834,0.984375,1,1.225
-0.839131,0.984375,1,1.24687
-0.797853,1.18125,1,1.33438
-0.798878,1.20312,1,1.18125
-0.799044,1.20312,1,1.225
-0.711539,1.1375,1,1.29062
-0.711256,1.11563,1,1.26875
-0.798194,1.09375,1,1.29062
-0.681615,1.09375,1,1.33438
-0.710856,1.05,1,1.4
-0.636579,0.940625,1,1.37813
-0.707672,0.590625,1,0.853125
-0.999438,0.984375,1,1.3125
-0.753783,1.26875,1,1.33438
-0.67689,0.9625,1,1.4
-0.537923,1.05,1,1.3125
-0.623554,0.940625,1,1.26875
-0.784936,0.984375,1,1.29062
-0.861263,1.05,1,1.4
-0.950819,1.02812,1,1.4
-0.790628,1.07187,1,1.24687
-0.584659,1.00625,1,1.24687
-0.464155,1.11563,1,1.24687
-0.578859,1.07187,1,1.35625
-0.665798,1.07187,1,1.29062
-0.858871,1.02812,1,1.29062
-0.861205,1.1375,1,1.29062
-0.788236,1.20312,1,1.29062
-0.670348,1.02812,1,1.225
-0.463071,1.1375,1,1.3125
-0.532856,1.07187,1,1.29062
-0.619795,0.83125,1,1.29062
-0.941085,0.7875,1,0.9625
-0.985721,1.05,1,1.24687
-0.825531,1.09375,1,1.24687
-0.577259,0.984375,1,1.42188
-0.456755,1.24687,1,1.29062
-0.570151,0.9625,1,1.3125
-0.818756,1.05,1,1.225
-1,0.984375,1,1.24687
-0.819497,1.24687,1,1.44375
-0.613529,1.15938,1,1.07187
-0.564401,0.896875,1,1.4
-0.648723,0.896875,1,1.09375
-0.836563,0.503125,1,1.44375
-0.676372,1.05,1,1.00625
-0.644398,1.02812,1,1.29062
-0.511115,1.1375,1,1.3125
-0.551826,0.91875,1,1.35625
-0.667839,0.83125,1,1.4
-0.712925,0.91875,1,1.4
-0.638648,1.00625,1,1.4
-0.504915,0.83125,1,1.37813
-0.472082,0.7875,1,1.3125
-0.498256,0.7875,1,1.26875
-0.790472,0.83125,1,1.37813
-0.746578,0.875,1,1.29062
-0.701375,0.853125,1,1.3125
-0.421413,0.809375,1,1.26875
-0.372285,0.7,1,1.3125
-0.413446,0.721875,1,1.24687
-0.647064,0.765625,1,1.35625
-0.895219,0.809375,1,1.29062
-0.853082,0.9625,1,1.29062
-0.647972,0.875,1,1.26875
-0.294017,0.809375,1,1.42188
-0.244889,0.7,1,1.4
-0.518643,0.678125,1,1.4
-0.957087,0.765625,1,1.29062
-0.931655,0.940625,1,1.29062
-0.771914,0.91875,1,1.26875
-0.402971,0.896875,1,1.3125
-0.354294,0.765625,1,1.24687
-0.395005,0.721875,1,1.35625
-0.757289,0.678125,1,1.3125
-0.947295,0.809375,1,1.61875
-0.757172,1.05,1,1.4875
-0.460915,0.83125,1,1.4
-0.295941,0.721875,1,1.4
-0.423874,0.74375,1,1.44375
-0.657492,0.7,1,1.59688
-0.936479,0.765625,1,1.35625
-0.821207,0.91875,1,1.4
-0.586165,1.02812,1,1.44375
-0.33221,0.503125,1,1.29062
-0.416982,0.721875,1,1.1375
-0.649292,0.546875,1,1.6625
-0.897896,0.678125,1,1.50937
-0.695403,0.678125,1,1.59688
-0.444515,1.02812,1,1.35625
-0.32401,0.853125,1,1.26875
-0.482776,0.74375,1,1.35625
-0.687319,0.74375,1,1.35625
-0.762788,0.7,1,1.50937
-0.733881,0.809375,1,1.4
-0.409857,0.9625,1,1.225
-0.318877,0.74375,1,1.35625
-0.519495,0.74375,1,1.44375
-0.885705,0.765625,1,1.35625
-1,0.896875,1,1.29062
-0.594847,1.00625,1,1.3125
-0.313577,0.875,1,1.35625
-0.148603,0.7875,1,1.35625
-0.510437,0.328125,1,1.35625
-1,0.83125,1,1.46562
-1,1.00625,1,1.70625
-1,1.00625,1,1.46562
-0.402657,1.05,1,1.4
-0.0764676,0.91875,1,1.35625
-0.261691,0.74375,1,1.29062
-0.671511,0.7,1,1.37813
-1,0.853125,1,1.35625
-1,1.02812,1,1.3125
-0.886855,1.05,1,1.44375
-0.242158,0.940625,1,1.35625
-0.237092,0.546875,1,1.29062
-0.423623,0.875,1,1.29062
