angle_1_e,angle_1_t,d_theta_1_t,angle_2_e,angle_2_t,d_theta_2_t
-1.01353,-0.914845,0,2.44001,2.37041,0.0697778
-1.01344,-0.914845,0,2.4397,2.37029,0.0552407
-1.01335,-0.914874,0,2.43939,2.37029,0.0465185
-1.01325,-0.915077,-0.110481,2.43908,2.37067,-0.101759
-1.01316,-0.915368,-0.174444,2.43878,2.37134,-0.206426
-1.01306,-0.915775,-0.24713,2.43847,2.3723,-0.30237
-1.01297,-0.91624,-0.279111,2.43816,2.37346,-0.407037
-1.01287,-0.916734,-0.30237,2.43785,2.37477,-0.508796
-1.01278,-0.9172,-0.293648,2.43754,2.3762,-0.572759
-1.01269,-0.917636,-0.261667,2.43724,2.37771,-0.636722
-1.01259,-0.918072,-0.252944,2.43693,2.37934,-0.668704
-1.0125,-0.918392,-0.197704,2.43662,2.38073,-0.668704
-1.0124,-0.918711,-0.197704,2.43631,2.38213,-0.628
-1.01231,-0.919031,-0.183167,2.43601,2.38338,-0.572759
-1.01221,-0.919322,-0.157,2.4357,2.38445,-0.471
-1.01212,-0.919555,-0.142463,2.43539,2.38535,-0.453556
-1.01202,-0.919787,-0.157,2.43508,2.3862,-0.412852
-1.01193,-0.92002,-0.165722,2.43477,2.38695,-0.357611
-1.01183,-0.920311,-0.142463,2.43447,2.38777,-0.32563
-1.01174,-0.92063,-0.165722,2.43416,2.38849,-0.261667
-1.01164,-0.920892,-0.183167,2.43385,2.38902,-0.188981
-1.01155,-0.921183,-0.188981,2.43354,2.38948,-0.125019
-1.01145,-0.921503,-0.183167,2.43323,2.38986,-0.0610556
-1.01136,-0.921881,-0.197704,2.43293,2.39021,0
-1.01126,-0.922229,-0.188981,2.43262,2.39044,0.0785
-1.01117,-0.922578,-0.206426,2.43231,2.39067,0.0610556
-1.01107,-0.922927,-0.188981,2.432,2.39085,0.0785
-1.01098,-0.923218,-0.206426,2.43169,2.39099,0.101759
-1.01088,-0.923538,-0.197704,2.43139,2.39114,0.119204
-1.01078,-0.923829,-0.197704,2.43108,2.39123,0.125019
-1.01069,-0.924148,-0.206426,2.43077,2.39131,0.142463
-1.01059,-0.924497,-0.206426,2.43046,2.39143,0.133741
-1.0105,-0.924788,-0.188981,2.43015,2.39146,0.174444
-1.0104,-0.925137,-0.215148,2.42985,2.39149,0.165722
-1.01031,-0.925457,-0.206426,2.42954,2.39152,0.206426
-1.01021,-0.925776,-0.197704,2.42923,2.39149,0.229685
-1.01012,-0.926125,-0.238407,2.42892,2.39146,0.252944
-1.01002,-0.926503,-0.229685,2.42861,2.39137,0.293648
-1.00992,-0.92691,-0.252944,2.42831,2.39126,0.334352
-1.00983,-0.927317,-0.270389,2.428,2.39108,0.357611
-1.00973,-0.927724,-0.270389,2.42769,2.39088,0.407037
-1.00964,-0.928131,-0.279111,2.42738,2.39064,0.407037
-1.00954,-0.928597,-0.30237,2.42707,2.39041,0.444833
-1.00944,-0.929033,-0.30237,2.42677,2.39015,0.502981
-1.00935,-0.929527,-0.293648,2.42646,2.38989,0.462278
-1.00925,-0.929992,-0.311093,2.42615,2.38966,0.494259
-1.00915,-0.930574,-0.316907,2.42584,2.38934,0.471
-1.00906,-0.931155,-0.343074,2.42553,2.38916,0.508796
-1.00896,-0.931708,-0.343074,2.42522,2.38899,0.444833
-1.00887,-0.932347,-0.357611,2.42492,2.3889,0.453556
-1.00877,-0.932929,-0.366333,2.42461,2.38884,0.430296
-1.00868,-0.933626,-0.389593,2.4243,2.38873,0.430296
-1.00859,-0.934441,-0.430296,2.42399,2.38876,0.430296
-1.0085,-0.935342,-0.439019,2.42368,2.3889,0.38087
-1.00841,-0.936272,-0.462278,2.42337,2.38913,0.38087
-1.00832,-0.937174,-0.508796,2.42307,2.38942,0.38087
-1.00823,-0.938075,-0.508796,2.42276,2.38971,0.357611
-1.00815,-0.938831,-0.508796,2.42245,2.38989,0.348889
-1.00806,-0.939906,-0.5495,2.42214,2.39027,0.366333
-1.00797,-0.94075,-0.508796,2.42183,2.39041,0.38087
-1.00788,-0.941854,-0.566944,2.42152,2.3907,0.398315
-1.00779,-0.942901,-0.590204,2.42121,2.39099,0.453556
-1.0077,-0.943861,-0.613463,2.42091,2.39111,0.462278
-1.00761,-0.944965,-0.590204,2.4206,2.39108,0.572759
-1.00752,-0.946186,-0.572759,2.42029,2.39099,0.636722
-1.00744,-0.947088,-0.508796,2.41998,2.39059,0.71813
-1.00735,-0.948164,-0.517519,2.41967,2.39021,0.764648
-1.00726,-0.949036,-0.517519,2.41936,2.38969,0.805352
-1.00717,-0.950141,-0.581481,2.41905,2.38928,0.85187
-1.00708,-0.951129,-0.628,2.41875,2.38884,0.878037
-1.00699,-0.952147,-0.613463,2.41844,2.38844,0.860593
-1.0069,-0.953135,-0.604741,2.41813,2.38794,0.901296
-1.00681,-0.954095,-0.604741,2.41782,2.38745,0.892574
-1.00672,-0.955112,-0.566944,2.41751,2.38692,0.860593
-1.00663,-0.956072,-0.566944,2.4172,2.38646,0.837333
-1.00654,-0.957031,-0.540778,2.41689,2.38605,0.782093
-1.00645,-0.958107,-0.572759,2.41658,2.38573,0.741389
-1.00636,-0.959037,-0.604741,2.41628,2.38556,0.723944
-1.00628,-0.960084,-0.636722,2.41597,2.38538,0.709407
-1.00619,-0.961247,-0.659981,2.41566,2.38544,0.700685
-1.0061,-0.962235,-0.654167,2.41535,2.38535,0.709407
-1.00601,-0.963195,-0.636722,2.41504,2.38527,0.71813
-1.00592,-0.964154,-0.622185,2.41473,2.38495,0.71813
-1.00583,-0.965143,-0.534963,2.41442,2.38448,0.750111
-1.00574,-0.966189,-0.566944,2.41411,2.38422,0.79663
-1.00565,-0.967236,-0.572759,2.41381,2.38384,0.819889
-1.00556,-0.968312,-0.572759,2.4135,2.38323,0.828611
-1.00547,-0.969388,-0.581481,2.41319,2.38279,0.869315
-1.00538,-0.970289,-0.572759,2.41288,2.38218,0.860593
-1.00529,-0.971219,-0.526241,2.41257,2.3816,0.85187
-1.0052,-0.972266,-0.526241,2.41226,2.38102,0.814074
-1.00511,-0.973313,-0.517519,2.41195,2.38056,0.764648
-1.00502,-0.974243,-0.462278,2.41164,2.38012,0.71813
-1.00493,-0.975348,-0.534963,2.41133,2.38,0.622185
-1.00484,-0.976365,-0.508796,2.41102,2.38,0.534963
-1.00474,-0.977238,-0.508796,2.41072,2.38,0.485537
-1.00465,-0.978168,-0.508796,2.41041,2.38015,0.375056
