torque_1,torque_1_t,torque_2,torque_2_t
-0.91361,0.284375,-0.92931,-0.240625
-0.92201,0.459375,-0.93111,-0.13125
-0.93006,0.525,-0.932038,-0.328125
-0.84202,0.634375,-0.957097,-0.30625
-0.764593,0.7,-0.980412,-0.35
-0.755925,0.7875,-0.996458,-0.503125
-0.824885,0.875,-1.00989,-0.9625
-0.855904,0.9625,-1.06693,-0.590625
-0.777808,1.00625,-1.07978,-0.7875
-0.781788,0.984375,-1.09815,-0.875
-0.849731,1.02812,-1.12699,-0.7
-0.806174,1.05,-1.1317,-0.9625
-0.743138,1.07187,-1.13465,-1.225
-0.7461,0.9625,-1.14866,-0.634375
-0.729932,1.00625,-1.13767,-1.42188
-0.720247,0.984375,-1.13569,-1.53125
-0.76871,0.984375,-1.10231,-1.59688
-0.734748,1.07187,-1.11021,-1.46562
-0.725063,1.07187,-1.05765,-1.37813
-0.736952,1.00625,-1.03211,-1.11563
-0.643824,0.984375,-0.98826,-1.35625
-0.689234,0.940625,-0.943541,-1.225
-0.624163,0.9625,-0.883704,-1.64062
-0.641517,0.91875,-0.839567,-1.29062
-0.640758,0.896875,-0.782347,-1.64062
-0.687186,0.896875,-0.735875,-1.09375
-0.603653,0.896875,-0.69261,-1.20312
-0.619989,0.853125,-0.651962,-1.20312
-0.600769,0.83125,-0.61771,-0.74375
-0.59966,0.83125,-0.595079,-0.74375
-0.633441,0.83125,-0.553558,-0.940625
-0.631315,0.721875,-0.542856,-0.6125
-0.613112,0.853125,-0.517908,-1.02812
-0.646893,0.875,-0.509241,-1.05
-0.561642,0.83125,-0.518919,-0.940625
-0.638538,0.809375,-0.520447,-0.875
-0.598788,0.7,-0.526636,-0.371875
-0.613756,0.809375,-0.544164,-0.721875
-0.63076,0.853125,-0.553832,-0.809375
-0.576619,0.809375,-0.56729,-0.48125
-0.639123,0.809375,-0.588297,-0.2625
-0.573352,0.83125,-0.587508,-0.328125
-0.624227,0.74375,-0.609388,-0.35
-0.588897,0.853125,-0.628369,-0.415625
-0.604533,0.721875,-0.62728,-0.371875
-0.584613,0.83125,-0.656729,-0.328125
-0.584172,0.83125,-0.658547,-0.284375
-0.562884,0.765625,-0.684797,-0.590625
-0.530317,0.765625,-0.670625,-0.809375
-0.527841,0.765625,-0.687862,-0.415625
-0.541442,0.721875,-0.692297,-0.634375
-0.504077,0.7875,-0.696451,-0.7
-0.482121,0.7,-0.706119,-0.678125
-0.496072,0.6125,-0.699516,-0.634375
-0.461119,0.7,-0.713545,-0.503125
-0.400205,0.525,-0.689206,-0.875
-0.379994,0.7875,-0.661079,-0.853125
-0.403189,0.678125,-0.625982,-0.65625
-0.398678,0.7,-0.586225,-1.02812
-0.375705,0.6125,-0.536001,-0.984375
-0.370176,0.7,-0.501777,-0.940625
-0.352668,0.590625,-0.45824,-0.83125
-0.327659,0.634375,-0.415003,-0.65625
-0.304686,0.590625,-0.387456,-0.91875
-0.297122,0.634375,-0.34828,-0.7
-0.271764,0.546875,-0.318999,-0.459375
-0.216664,0.6125,-0.300175,-0.503125
-0.227562,0.48125,-0.273501,-0.525
-0.249072,0.590625,-0.269804,-0.415625
-0.277415,0.525,-0.259993,-0.371875
-0.287963,0.546875,-0.243786,-0.328125
-0.216436,0.48125,-0.249103,-0.30625
-0.220502,0.503125,-0.244525,-0.48125
-0.213956,0.4375,-0.259427,-0.13125
-0.158856,0.4375,-0.264743,-0.175
-0.234734,0.48125,-0.269179,-0.04375
-0.209376,0.415625,-0.270706,-0.109375
-0.186403,0.4375,-0.281247,-0.13125
-0.197301,0.371875,-0.276969,-0.284375
-0.225644,0.371875,-0.283149,0.021875
-0.167781,0.39375,-0.291073,-0.371875
-0.212201,0.240625,-0.291456,-0.39375
-0.18379,0.328125,-0.291258,-0.4375
-0.175876,0.284375,-0.307632,-0.74375
-0.1495,0.21875,-0.257717,-0.590625
-0.125159,0.175,-0.245299,-0.21875
-0.167544,0.175,-0.240449,-0.503125
-0.161665,0.21875,-0.226004,0.021875
-0.103453,0.175,-0.213886,0
-0.0965565,0.153125,-0.205247,0.021875
-0.125567,0.13125,-0.18964,0
-0.100208,0.109375,-0.180429,-0.328125
-0.0943296,0.065625,-0.167138,-0.021875
-0.12334,0.04375,-0.146297,-0.21875
-0.0630926,0.109375,-0.133306,-0.109375
-0.109547,0.13125,-0.104325,-0.13125
-0.103669,0.13125,-0.11313,-0.0875
-0.0454565,0.21875,-0.097523,-0.0875
-0.0922611,0.13125,-0.0923822,-0.065625
-0.0863824,0.13125,-0.0907211,-0.04375
-0.110595,0.13125,-0.0820915,-0.2625
-0.121144,0.2625,-0.0900248,-0.240625
-0.0687463,0.30625,-0.088373,-0.153125
-0.110404,0.30625,-0.0974785,-0.065625
-0.122987,0.196875,-0.0859322,-0.35
-0.12772,0.196875,-0.105504,-0.35
-0.0941352,0.196875,-0.115482,-0.175
-0.118348,0.21875,-0.12516,0.04375
-0.167856,0.153125,-0.133393,-0.065625
-0.147585,0.240625,-0.130569,-0.240625
-0.126297,0.196875,-0.147816,0.0875
-0.168972,0.196875,-0.166216,-0.04375
-0.154867,0.196875,-0.162238,-0.04375
-0.16367,0.196875,-0.160586,0.175
-0.179306,0.21875,-0.179277,0.175
-0.160054,0.175,-0.192743,0.175
-0.158245,0.240625,-0.199804,-0.284375
-0.155769,0.240625,-0.192919,-0.196875
-0.217924,0.240625,-0.217716,-0.21875
-0.170615,0.240625,-0.209086,-0.240625
-0.233787,0.21875,-0.236499,-0.240625
-0.232329,0.21875,-0.220019,-0.2625
-0.23052,0.284375,-0.232314,-0.240625
-0.212285,0.284375,-0.238803,-0.240625
-0.210477,0.2625,-0.262727,-0.240625
-0.197389,0.30625,-0.254669,-0.4375
-0.260561,0.284375,-0.261158,-0.13125
-0.206419,0.328125,-0.277814,0
-0.257962,0.328125,-0.288954,0
-0.206206,0.35,-0.276245,-0.4375
-0.258766,0.35,-0.305993,0
-0.258993,0.371875,-0.301425,0.109375
-0.272217,0.35,-0.298891,-0.04375
-0.260814,0.39375,-0.30538,-0.4375
-0.27267,0.30625,-0.321464,-0.021875
-0.290342,0.30625,-0.325336,-0.04375
-0.273792,0.35,-0.326891,-0.109375
-0.245962,0.35,-0.347336,-0.13125
-0.276281,0.35,-0.340741,-0.065625
-0.312414,0.35,-0.352464,-0.021875
-0.277752,0.35,-0.348495,-0.065625
-0.296441,0.35,-0.348588,-0.04375
-0.298353,0.328125,-0.355077,-0.240625
-0.29858,0.39375,-0.390358,-0.546875
-0.254323,0.328125,-0.392486,-0.196875
-0.302086,0.13125,-0.399847,-0.459375
-0.303331,0.371875,-0.391217,-0.196875
-0.322019,0.240625,-0.390738,-0.4375
-0.305819,0.415625,-0.424847,-0.546875
-0.353232,0.371875,-0.423486,-0.48125
-0.354477,0.4375,-0.429103,-0.678125
-0.39061,0.415625,-0.444614,-0.2625
-0.293003,0.4375,-0.463604,-0.48125
-0.359228,0.415625,-0.459627,-0.590625
