angle_1_e,angle_1_t,d_theta_1_t,angle_2_e,angle_2_t,d_theta_2_t
-0.8888,-0.920834,0,1.97372,1.95514,0
-0.88847,-0.920834,0,1.97336,1.95514,0
-0.88815,-0.920805,0,1.97301,1.95511,0
-0.88783,-0.920747,0.0697778,1.97266,1.95509,-0.00581481
-0.8875,-0.920659,0.0465185,1.9723,1.95503,0
-0.88718,-0.920543,0.0552407,1.97195,1.955,-0.0377963
-0.88685,-0.920398,0.0785,1.97159,1.95491,-0.0377963
-0.88653,-0.920223,0.110481,1.97124,1.95482,-0.0610556
-0.88621,-0.920049,0.093037,1.97088,1.9548,-0.0697778
-0.88588,-0.919874,0.0785,1.97053,1.95482,-0.119204
-0.88556,-0.919729,0.101759,1.97017,1.95494,-0.142463
-0.88523,-0.919555,0.093037,1.96982,1.95509,-0.165722
-0.88491,-0.91938,0.101759,1.96946,1.95529,-0.238407
-0.88459,-0.919206,0.119204,1.96911,1.95552,-0.261667
-0.88426,-0.919002,0.125019,1.96875,1.95581,-0.30237
-0.88394,-0.918799,0.142463,1.9684,1.95619,-0.348889
-0.88361,-0.918508,0.157,1.96804,1.9566,-0.375056
-0.88329,-0.918246,0.157,1.96769,1.95706,-0.439019
-0.88297,-0.917985,0.165722,1.96733,1.95759,-0.485537
-0.88264,-0.917665,0.183167,1.96698,1.95814,-0.508796
-0.88232,-0.917316,0.220963,1.96662,1.95869,-0.566944
-0.882,-0.916938,0.229685,1.96626,1.95921,-0.572759
-0.88167,-0.91656,0.24713,1.96591,1.95977,-0.558222
-0.88135,-0.916124,0.270389,1.96555,1.96026,-0.572759
-0.88103,-0.915717,0.261667,1.9652,1.96081,-0.5495
-0.8807,-0.915222,0.279111,1.96484,1.96116,-0.508796
-0.88038,-0.914786,0.284926,1.96448,1.96154,-0.508796
-0.88006,-0.914292,0.311093,1.96413,1.96174,-0.439019
-0.87973,-0.913798,0.293648,1.96377,1.96192,-0.421574
-0.87941,-0.913333,0.293648,1.96341,1.96206,-0.366333
-0.87909,-0.912809,0.311093,1.96306,1.96215,-0.366333
-0.87876,-0.912286,0.316907,1.9627,1.96212,-0.311093
-0.87844,-0.911734,0.32563,1.96234,1.96203,-0.293648
-0.87812,-0.91121,0.316907,1.96198,1.96192,-0.252944
-0.87779,-0.910658,0.316907,1.96162,1.96171,-0.238407
-0.87747,-0.910105,0.357611,1.96126,1.96145,-0.165722
-0.87714,-0.909524,0.366333,1.96089,1.96108,-0.125019
-0.87682,-0.908972,0.343074,1.96053,1.96067,-0.101759
-0.8765,-0.908419,0.375056,1.96017,1.9602,-0.0377963
-0.87617,-0.907838,0.343074,1.95981,1.95965,0
-0.87585,-0.907256,0.343074,1.95945,1.95907,0
-0.87552,-0.906646,0.357611,1.95909,1.95846,0
-0.8752,-0.906035,0.366333,1.95873,1.95785,0
-0.87488,-0.905337,0.357611,1.95837,1.95715,0
-0.87455,-0.904698,0.357611,1.95801,1.95651,0
-0.87423,-0.904116,0.32563,1.95764,1.95593,0
-0.87391,-0.903593,0.311093,1.95728,1.95541,0
-0.87358,-0.903099,0.316907,1.95692,1.95494,-0.0290741
-0.87326,-0.902604,0.30237,1.95656,1.95448,0
-0.87293,-0.902052,0.311093,1.9562,1.95398,0
-0.87261,-0.901558,0.284926,1.95583,1.95352,0
-0.87229,-0.901063,0.316907,1.95547,1.95305,0
-0.87196,-0.900569,0.293648,1.95511,1.95259,-0.014537
-0.87164,-0.900046,0.293648,1.95475,1.95212,-0.0610556
-0.87132,-0.89961,0.279111,1.95438,1.95174,0
-0.87099,-0.899115,0.270389,1.95402,1.95131,-0.014537
-0.87067,-0.898679,0.252944,1.95366,1.95093,-0.0290741
-0.87035,-0.898243,0.252944,1.9533,1.95055,-0.0465185
-0.87002,-0.897749,0.270389,1.95293,1.9502,-0.0465185
-0.8697,-0.897226,0.270389,1.95257,1.94977,-0.0377963
-0.86938,-0.896731,0.252944,1.95221,1.94939,-0.0610556
-0.86906,-0.896295,0.229685,1.95184,1.94907,-0.0697778
-0.86873,-0.895888,0.206426,1.95148,1.94878,-0.0232593
-0.86841,-0.89551,0.215148,1.95112,1.94849,-0.0377963
-0.86809,-0.895045,0.220963,1.95075,1.94817,-0.0610556
-0.86776,-0.894609,0.220963,1.95039,1.94782,-0.0610556
-0.86744,-0.894231,0.188981,1.95003,1.94753,-0.0610556
-0.86712,-0.893853,0.197704,1.94966,1.94724,0
-0.86679,-0.893446,0.174444,1.9493,1.94689,-0.0610556
-0.86647,-0.893068,0.197704,1.94894,1.94657,-0.0377963
-0.86615,-0.89269,0.174444,1.94857,1.94622,0
-0.86583,-0.892283,0.183167,1.94822,1.94581,0
-0.86551,-0.891963,0.157,1.94786,1.94549,0
-0.86519,-0.891643,0.174444,1.9475,1.94517,0
-0.86487,-0.891353,0.174444,1.94714,1.94488,0
-0.86455,-0.891062,0.165722,1.94678,1.94459,0
-0.86423,-0.8908,0.157,1.94642,1.94433,0
-0.86391,-0.89051,0.151185,1.94606,1.94401,0
-0.86359,-0.890248,0.157,1.94571,1.94372,0.0290741
-0.86327,-0.889986,0.142463,1.94535,1.94343,0.0552407
-0.86295,-0.889695,0.151185,1.94499,1.94308,0.0552407
-0.86263,-0.889405,0.165722,1.94463,1.94273,0
-0.86231,-0.889172,0.151185,1.94427,1.94244,0.014537
-0.86199,-0.88894,0.125019,1.94391,1.94218,0.014537
-0.86167,-0.888707,0.142463,1.94355,1.94189,0.0290741
-0.86135,-0.888445,0.142463,1.94319,1.9416,0.014537
-0.86103,-0.888184,0.125019,1.94283,1.94128,0.0290741
-0.86071,-0.887951,0.125019,1.94247,1.94096,0
-0.86039,-0.887689,0.133741,1.94211,1.94064,0
-0.86007,-0.887428,0.142463,1.94175,1.94032,0.0290741
-0.85975,-0.887137,0.125019,1.94139,1.93997,0.0290741
-0.85943,-0.886904,0.133741,1.94103,1.93968,0.0552407
-0.85911,-0.886614,0.110481,1.94067,1.9393,0.0290741
-0.85879,-0.886352,0.125019,1.94031,1.93898,0
-0.85847,-0.886061,0.142463,1.93995,1.93863,0
-0.85815,-0.885741,0.133741,1.93959,1.93822,0
-0.85783,-0.88548,0.142463,1.93923,1.93793,0
-0.85751,-0.88516,0.151185,1.93887,1.93755,0.0290741
-0.85719,-0.884869,0.151185,1.93851,1.93721,0
-0.85687,-0.884607,0.151185,1.93815,1.93694,0
-0.85655,-0.884375,0.165722,1.93779,1.93668,0.0232593
-0.85623,-0.884084,0.151185,1.93743,1.93639,0
-0.85591,-0.883793,0.165722,1.93706,1.9361,0
-0.85559,-0.883503,0.151185,1.9367,1.93581,0
-0.85528,-0.883212,0.165722,1.93634,1.93549,0
-0.85496,-0.882921,0.151185,1.93598,1.9352,0
-0.85464,-0.882601,0.133741,1.93562,1.93488,0
-0.85432,-0.882252,0.157,1.93526,1.93453,0
-0.854,-0.881991,0.157,1.9349,1.93427,0
-0.85368,-0.881642,0.183167,1.93453,1.93392,0
-0.85336,-0.881322,0.151185,1.93418,1.9336,0
-0.85305,-0.88106,0.157,1.93382,1.93334,0
-0.85273,-0.880682,0.165722,1.93346,1.93296,0
-0.85241,-0.880363,0.165722,1.9331,1.93264,0
-0.85209,-0.880043,0.157,1.93274,1.93232,0
-0.85178,-0.879665,0.174444,1.93238,1.93194,0
-0.85146,-0.879345,0.174444,1.93202,1.93162,0
-0.85114,-0.879025,0.157,1.93167,1.9313,0
-0.85082,-0.878676,0.165722,1.93131,1.93095,0
-0.85051,-0.878357,0.174444,1.93095,1.93063,0
-0.85019,-0.878008,0.165722,1.93059,1.93029,0
-0.84987,-0.877659,0.174444,1.93023,1.92994,0
-0.84955,-0.87731,0.174444,1.92987,1.92959,0
-0.84924,-0.877019,0.174444,1.92951,1.9293,0
-0.84892,-0.876641,0.151185,1.92915,1.92892,0
-0.8486,-0.87638,0.142463,1.92879,1.92866,0
-0.84829,-0.876089,0.165722,1.92843,1.92837,0
-0.84797,-0.875769,0.165722,1.92807,1.92808,0
-0.84765,-0.875449,0.174444,1.92771,1.92776,0
-0.84733,-0.875129,0.157,1.92735,1.92744,0
-0.84702,-0.87481,0.142463,1.92699,1.92712,0
-0.8467,-0.87449,0.157,1.92663,1.9268,0
-0.84638,-0.874141,0.165722,1.92627,1.92645,0
-0.84607,-0.873821,0.174444,1.92591,1.92613,0
-0.84575,-0.87353,0.165722,1.92555,1.92584,0
-0.84543,-0.87321,0.151185,1.92519,1.92552,0
-0.84512,-0.872978,0.151185,1.92483,1.92528,0
-0.8448,-0.872716,0.142463,1.92447,1.92502,0
-0.84448,-0.872455,0.165722,1.92411,1.92476,0
-0.84417,-0.872135,0.183167,1.92374,1.92444,0
-0.84385,-0.871844,0.151185,1.92338,1.92415,0
-0.84353,-0.871553,0.165722,1.92302,1.92386,0
-0.84322,-0.871233,0.165722,1.92266,1.92354,0
-0.8429,-0.870914,0.151185,1.9223,1.92322,0
-0.84258,-0.870623,0.157,1.92194,1.92293,0
-0.84227,-0.870361,0.165722,1.92158,1.92267,0
-0.84195,-0.8701,0.165722,1.92121,1.92241,0
-0.84163,-0.86978,0.183167,1.92085,1.92209,0
-0.84132,-0.869489,0.165722,1.92049,1.9218,0
-0.841,-0.869169,0.165722,1.92013,1.92148,0
-0.84069,-0.86882,0.165722,1.91977,1.92113,0
-0.84037,-0.8685,0.165722,1.91941,1.92081,0
-0.84005,-0.868239,0.151185,1.91904,1.92055,0
-0.83974,-0.86789,0.165722,1.91868,1.9202,0
-0.83942,-0.867599,0.165722,1.91832,1.91991,0
-0.83911,-0.867308,0.183167,1.91796,1.91962,0
-0.83879,-0.866989,0.183167,1.91759,1.9193,0
-0.83847,-0.866727,0.142463,1.91723,1.91903,0
-0.83816,-0.866407,0.151185,1.91687,1.91871,0
-0.83784,-0.866087,0.174444,1.91651,1.91839,0
-0.83753,-0.865738,0.174444,1.91615,1.91805,0
-0.83722,-0.865419,0.188981,1.91579,1.91773,0
-0.8369,-0.86507,0.165722,1.91544,1.91738,0
