torque_1 torque_1_t torque_2 torque_2_t
-0.19206 0.21875 -1.07332 0.0875
-0.20691 0.2625 -1.05892 -0.678125
-0.22131 0.2625 -1.04492 -0.721875
-0.23571 0.284375 -1.04808 -0.91875
-0.25056 0.021875 -1.0142 -1.05
-0.26496 0.371875 -1.00659 -1.15938
-0.27981 0.30625 -0.998588 -1.18125
-0.29421 0.328125 -0.972959 -1.35625
-0.30861 0.328125 -0.961175 -1.29062
-0.192627 0.328125 -0.942523 -1.33438
-0.33786 0.503125 -0.912423 -1.33438
0.145765 0.4375 -0.893481 -1.33438
-0.365802 -0.175 -0.886349 -1.33438
-0.380202 0.39375 -0.851707 -1.29062
-0.395052 0.56875 -0.837307 -1.3125
-0.408143 0.371875 -0.823307 -1.225
-0.368043 0.39375 -0.811233 -1.18125
-0.222827 0.48125 -0.799559 -1.1375
0.105557 0.371875 -0.787484 -1.15938
0.0933233 0.284375 -0.77581 -1.1375
-0.470577 0.2625 -0.76141 -1.1375
-0.484977 0.4375 -0.74701 -1.07187
-0.499827 0.328125 -0.73301 -1.05
-0.514227 0.415625 -0.71861 -1.05
-0.265652 0.56875 -0.705773 -1.05
-0.0436933 0.459375 -0.692536 -1.00625
-0.056785 0.39375 -0.679299 -0.9625
-0.568352 0.328125 -0.665299 -0.984375
-0.583202 0.415625 -0.650899 -0.9625
-0.597602 0.503125 -0.636499 -0.9625
-0.612002 0.590625 -0.622499 -0.91875
-0.0760433 0.525 -0.609262 -0.91875
-0.29716 0.371875 -0.597188 -0.896875
-0.100918 0.546875 -0.583951 -0.91875
-0.665268 0.371875 -0.569551 -0.83125
-0.680977 0.6125 -0.553988 -0.83125
-0.695827 0.590625 -0.539188 -0.83125
-0.710227 0.721875 -0.524788 -0.875
-0.460343 0.678125 -0.512714 -0.74375
-0.184743 0.634375 -0.50064 -0.91875
-0.40586 0.6125 -0.488566 -0.7
-0.628735 0.56875 -0.475329 -0.678125
-0.773968 0.65625 -0.460929 -0.7
-0.788368 0.74375 -0.446529 -0.678125
-0.803218 0.91875 -0.432129 -0.6125
-0.265502 0.9625 -0.419655 -0.65625
-0.405502 0.6125 -0.409907 -0.65625
-0.572118 0.590625 -0.400159 -0.6125
-0.794543 0.678125 -0.386921 -0.6125
-0.861727 0.7875 -0.372521 -0.6125
-0.874818 1.225 -0.358884 -0.546875
-0.334485 1.02812 -0.349136 -0.56875
-0.107293 0.721875 -0.340551 -0.56875
-0.11646 0.7 -0.330803 -0.525
