torque_1,torque_1_t,torque_2,torque_2_t
-1,-0.175,-0.833773,-0.0875
-1,0.459375,-0.822973,-0.284375
-1,0.721875,-0.812473,-0.415625
-1,0.721875,-0.82436,-0.546875
-1,0.853125,-0.84467,-0.74375
-1,1.05,-0.856557,-0.65625
-1,1.00625,-0.857677,-0.83125
-1,1.09375,-0.845433,-0.875
-1,1.20312,-0.870975,-0.896875
-1,1.33438,-0.865709,-0.91875
-1,1.37813,-0.897066,-1.00625
-1,1.29062,-0.890055,-1.11563
-1,1.20312,-0.873149,-1.1375
-1,1.35625,-0.856544,-1.09375
-1,1.35625,-0.87947,-1.07187
-1,1.37813,-0.838733,-1.07187
-1,1.26875,-0.829386,-1.3125
-1,1.42188,-0.813653,-1.15938
-1,1.4,-0.793549,-1.3125
-1,1.26875,-0.786247,-1.42188
-1,1.33438,-0.739977,-1.15938
-1,1.33438,-0.745749,-1.07187
-1,1.37813,-0.702396,-1.07187
-0.76223,1.4,-0.683746,-1.11563
-0.952528,1.15938,-0.665396,-1.18125
-0.925221,1.3125,-0.642675,-1.02812
-1,1.18125,-0.624897,-1.00625
-0.958237,1.33438,-0.616142,-0.91875
-0.88601,1.33438,-0.595166,-0.896875
-0.796179,1.24687,-0.595414,-0.875
-0.723502,1.11563,-0.574738,-1.05
-0.766264,1.07187,-0.577021,-0.896875
-0.883876,1.05,-0.568838,-0.896875
-0.883885,1.11563,-0.567342,-0.74375
-0.797121,1.18125,-0.576603,-0.765625
-0.721827,1.11563,-0.578886,-0.83125
-0.720977,1.09375,-0.562553,-0.765625
-0.792363,1.02812,-0.600016,-0.83125
-0.761989,0.940625,-0.599683,-0.74375
-0.673916,1.02812,-0.588883,-0.853125
-0.714919,1.02812,-0.634196,-0.853125
-0.786754,0.9625,-0.598392,-0.809375
-0.784146,1.00625,-0.609979,-0.721875
-0.782846,1.05,-0.652966,-0.7
-0.664391,1.15938,-0.629955,-0.765625
-0.618172,0.984375,-0.615366,-0.74375
-0.656558,0.940625,-0.622592,-0.765625
-0.772004,0.9625,-0.624003,-0.765625
-0.815624,1.02812,-0.620762,-0.853125
-0.743397,1.15938,-0.632349,-0.984375
-0.697177,1.00625,-0.630844,-0.940625
-0.576964,1.00625,-0.61481,-0.765625
-0.573498,0.896875,-0.59616,-0.721875
-0.642266,0.896875,-0.579836,-0.7875
-0.798257,0.896875,-0.564375,-0.765625
-0.677186,1.05,-0.53962,-0.765625
-0.580814,0.896875,-0.535797,-0.765625
-0.498978,0.853125,-0.514531,-0.634375
-0.566889,0.39375,-0.468542,-0.809375
-0.561664,0.809375,-0.465592,-0.91875
-0.689889,0.7875,-0.396644,-0.83125
-0.685972,0.875,-0.356179,-0.765625
-0.596591,0.940625,-0.277927,-0.721875
-0.518681,0.83125,-0.227296,-0.74375
-0.468537,0.7875,-0.203403,-0.7
-0.507373,0.83125,-0.133873,-0.634375
-0.503456,0.74375,-0.079753,-0.6125
-0.528614,0.74375,-0.0308567,-0.546875
-0.497381,0.765625,0.0264619,-0.48125
-0.611069,0.809375,0.0500544,-0.634375
-0.607152,0.7875,0.0344063,-0.371875
-0.399717,0.765625,0.0472322,-0.35
