torque_1 torque_1_t torque_2 torque_2_t
1.67522 0.021875 -0.307588 -0.0875
1.67477 -0.853125 -0.297988 -0.04375
1.67216 -1.15938 -0.286062 -0.21875
0.665598 -1.24687 -0.265596 -0.175
-0.134243 -0.590625 -0.243203 -0.196875
-0.306085 -1.00625 -0.22041 -0.196875
0.495473 -0.7875 -0.20267 -0.196875
1.62019 -1.02812 -0.19307 -0.21875
2 -1.55313 -0.187721 -0.196875
2 -1.94687 -0.182773 -0.196875
1.62931 -1.85938 -0.172773 -0.35
0.044465 -1.96875 -0.150381 -0.35
-0.969943 -1.15938 -0.122936 -0.328125
-0.778068 -0.7 -0.0810641 -0.30625
0.287773 -0.6125 -0.0781511 -0.175
1.57603 -0.459375 -0.0693141 -0.21875
2 -1.35625 -0.0774493 -0.30625
2 -1.09375 -0.0892548 -0.153125
1.94363 -1.70625 -0.0787826 -0.109375
-1.22691 -1.3125 -0.0374919 -0.109375
-2 -0.48125 0.00390815 -0.21875
-1.49209 0 0.0283359 -0.175
0.675365 0.2625 0.026997 -0.0875
2 -0.415625 0.031073 -0.065625
2 -0.853125 0.0207211 -0.065625
2 -1.4 0.0117137 0.065625
1.56454 -1.4875 0.0134637 0.240625
-0.442893 -0.940625 0.0417804 -0.04375
-1.69934 -0.56875 0.0583581 0.240625
-1.4342 0.0875 0.0901637 -0.21875
0.364307 0.35 0.10994 0.284375
2 -0.0875 0.0963896 -0.065625
2 -0.809375 0.0885452 0.30625
2 -1.02812 0.0869156 0.284375
1.52647 -1.68437 0.0953526 0.284375
-0.42601 -1.37813 0.118908 0.328125
-1.52154 -0.6125 0.148679 -0.04375
-1.09416 -0.021875 0.172234 -0.04375
0.391657 -0.021875 0.186886 0
1.52291 -0.2625 0.190671 -0.04375
2 -1.11563 0.186716 -0.021875
2 -1.02812 0.183523 -0.04375
2 -1.46562 0.191197 -0.04375
1.07452 -1.64062 0.207775 -0.04375
-1.17103 -1.225 0.235982 -0.04375
-1.772 -0.021875 0.283488 0.240625
-0.556152 0.546875 0.288145 0.35
1.43337 0.284375 0.296982 0.328125
2 -1.1375 0.290882 0.35
2 -1.09375 0.281693 0.35
2 -1.68437 0.28199 0.2625
1.47692 -1.29062 0.294316 0.196875
-0.76471 -0.91875 0.334443 0.35
-1.57371 -0.065625 0.364795 0.35
-0.441143 0.196875 0.377593 0.35
1.36521 -0.196875 0.384104 0.4375
2 -1.00625 0.370445 0.4375
2 -1.15938 0.38179 0.48125
2 -1.61875 0.371729 0.525
1.44801 -1.925 0.374641 0.525
-1.08714 -1.4875 0.41924 0.503125
-1.89744 -0.6125 0.441923 0.4375
-0.971593 0.284375 0.465588 0.48125
1.38251 0.371875 0.474606 0.525
2 -0.503125 0.459603 0.546875
2 -1.46562 0.453793 0.634375
2 -1.46562 0.447221 0.590625
1.42302 -1.8375 0.45653 0.4375
-1.32231 -1.42188 0.478451 0.56875
-2 -0.56875 0.513636 0.546875
-1.36769 -0.021875 0.537301 0.634375
