angle_1_e angle_1_t d_theta_1_t angle_2_e angle_2_t d_theta_2_t
-0.8888 -0.893068 0 1.97372 1.94689 0
-0.88847 -0.893068 0 1.97336 1.94689 0
-0.88815 -0.893068 0 1.97301 1.94689 0
-0.88783 -0.893068 0 1.97266 1.94692 -0.0610556
-0.8875 -0.893068 0 1.9723 1.94695 0
-0.88718 -0.893068 0 1.97195 1.947 -0.0290741
-0.88685 -0.893068 0 1.97159 1.94715 -0.0697778
-0.88653 -0.893068 0 1.97124 1.94726 -0.0465185
-0.88621 -0.893068 0 1.97088 1.94744 -0.0785
-0.88588 -0.893068 0.014537 1.97053 1.94756 -0.0785
-0.88556 -0.893068 0 1.97017 1.94764 -0.0377963
-0.88523 -0.893039 0.0552407 1.96982 1.9477 -0.0290741
-0.88491 -0.893039 0 1.96946 1.94776 -0.0610556
-0.88459 -0.893039 0 1.96911 1.94782 0
-0.88426 -0.893039 0 1.96875 1.94782 0
-0.88394 -0.89301 0 1.9684 1.94782 0
-0.88361 -0.892952 0.00581481 1.96804 1.94776 0
-0.88329 -0.892894 0.0232593 1.96769 1.9477 0
-0.88297 -0.892835 0.0610556 1.96733 1.94764 0
-0.88264 -0.892777 0.0610556 1.96698 1.94758 0
-0.88232 -0.892777 0 1.96662 1.94758 0
-0.882 -0.892777 0 1.96626 1.94758 0
-0.88167 -0.892777 0 1.96591 1.94758 0
-0.88135 -0.892777 0 1.96555 1.94758 0
-0.88103 -0.892748 0.0290741 1.9652 1.94756 0
-0.8807 -0.892719 0.0552407 1.96484 1.94753 0
-0.88038 -0.89269 0.0552407 1.96448 1.9475 0
-0.88006 -0.89269 0 1.96413 1.9475 0
-0.87973 -0.89269 0 1.96377 1.9475 0
-0.87941 -0.89269 0 1.96341 1.9475 0
-0.87909 -0.89269 0 1.96306 1.9475 0
-0.87876 -0.892661 0.0610556 1.9627 1.94747 0
-0.87844 -0.892603 0.0377963 1.96234 1.94741 0
-0.87812 -0.892574 0.0610556 1.96198 1.94738 0
-0.87779 -0.892574 0 1.96162 1.94738 0
-0.87747 -0.892603 0 1.96126 1.94741 0
-0.87714 -0.892603 0 1.96089 1.94741 0
-0.87682 -0.892603 0 1.96053 1.94741 0
-0.8765 -0.892545 0.0290741 1.96017 1.94735 0
-0.87617 -0.892487 0.0610556 1.95981 1.94729 0
-0.87585 -0.892428 0.0377963 1.95945 1.94724 0
-0.87552 -0.892399 0.014537 1.95909 1.94721 0
-0.8752 -0.892399 0 1.95873 1.94721 0
-0.87488 -0.892399 0 1.95837 1.94721 0
-0.87455 -0.892399 0 1.95801 1.94721 0
-0.87423 -0.892341 0.0610556 1.95764 1.94715 0
-0.87391 -0.892225 0.0465185 1.95728 1.94703 0
-0.87358 -0.892109 0.0290741 1.95692 1.94692 0
-0.87326 -0.892079 0.00581481 1.95656 1.94689 0
-0.87293 -0.892079 0 1.9562 1.94689 0
-0.87261 -0.89205 0 1.95583 1.94686 0
-0.87229 -0.891934 0.0610556 1.95547 1.94674 0
-0.87196 -0.891789 0.0872222 1.95511 1.9466 0
-0.87164 -0.891672 0.0872222 1.95475 1.94648 0
-0.87132 -0.891643 0 1.95438 1.94645 0
-0.87099 -0.891643 0 1.95402 1.94645 0
-0.87067 -0.891672 0 1.95366 1.94648 0
-0.87035 -0.891643 0 1.9533 1.94639 0.00581481
-0.87002 -0.891498 0.0610556 1.95293 1.94625 0
-0.8697 -0.891265 0.093037 1.95257 1.94601 0
-0.86938 -0.891062 0.119204 1.95221 1.94581 0
-0.86906 -0.890946 0.0465185 1.95184 1.94569 0
-0.86873 -0.890946 0 1.95148 1.94569 0
-0.86841 -0.890975 0 1.95112 1.94572 0
-0.86809 -0.891004 -0.0465185 1.95075 1.94575 0
-0.86776 -0.890946 0 1.95039 1.94569 0
-0.86744 -0.890626 0.142463 1.95003 1.94535 0
-0.86712 -0.89019 0.215148 1.94966 1.94491 0
-0.86679 -0.88987 0.165722 1.9493 1.94459 0
-0.86647 -0.889783 0.0552407 1.94894 1.9445 0
-0.86615 -0.889899 0 1.94857 1.94462 0
-0.86583 -0.890132 -0.142463 1.94822 1.94485 0
-0.86551 -0.890219 -0.0465185 1.94786 1.94494 0
