angle_1_e,angle_1_t,d_theta_1_t,angle_2_e,angle_2_t,d_theta_2_t
-0.8888,-0.858499,0.014537,1.97372,1.93494,0
-0.88847,-0.858412,0,1.97336,1.93485,0
-0.88815,-0.858383,0,1.97301,1.93482,0
-0.88783,-0.858383,0,1.97266,1.93485,0
-0.8875,-0.858383,0,1.9723,1.93485,0
-0.88718,-0.858354,0,1.97195,1.93485,0
-0.88685,-0.858325,0.014537,1.97159,1.93485,0
-0.88653,-0.858267,0,1.97124,1.93485,-0.0552407
-0.88621,-0.858237,0,1.97088,1.93488,-0.0552407
-0.88588,-0.858208,0,1.97053,1.93494,-0.0232593
-0.88556,-0.858179,0.00581481,1.97017,1.93505,-0.0552407
-0.88523,-0.858179,0,1.96982,1.93517,-0.0610556
-0.88491,-0.85815,0,1.96946,1.93529,-0.0872222
-0.88459,-0.858121,0,1.96911,1.93543,-0.0610556
-0.88426,-0.858121,0,1.96875,1.93561,-0.093037
-0.88394,-0.858092,0.0552407,1.9684,1.93572,-0.101759
-0.88361,-0.858092,0,1.96804,1.93584,-0.093037
-0.88329,-0.858092,0,1.96769,1.93601,-0.0785
-0.88297,-0.858092,0,1.96733,1.93613,-0.0377963
-0.88264,-0.858092,0,1.96698,1.93619,-0.0232593
-0.88232,-0.858092,0,1.96662,1.93628,-0.0610556
-0.882,-0.858092,0,1.96626,1.9363,-0.0465185
-0.88167,-0.858092,0,1.96591,1.9363,0
-0.88135,-0.858063,0,1.96555,1.93628,0
-0.88103,-0.858063,0,1.9652,1.93628,0
-0.8807,-0.858063,0,1.96484,1.93628,0
-0.88038,-0.858063,0,1.96448,1.93628,0
-0.88006,-0.858034,0.00581481,1.96413,1.93625,0
-0.87973,-0.858005,0,1.96377,1.93622,0
-0.87941,-0.858005,0,1.96341,1.93622,0
-0.87909,-0.857976,0,1.96306,1.93619,0
-0.87876,-0.857976,0,1.9627,1.93619,0
-0.87844,-0.857918,0.0232593,1.96234,1.93613,0
-0.87812,-0.857918,0,1.96198,1.93613,0
-0.87779,-0.857889,0.0290741,1.96162,1.9361,0
-0.87747,-0.857859,0,1.96126,1.93607,0
-0.87714,-0.85783,0,1.96089,1.93604,0
-0.87682,-0.85783,0,1.96053,1.93604,0
-0.8765,-0.857801,0,1.96017,1.93601,0
-0.87617,-0.857743,0,1.95981,1.93596,0
-0.87585,-0.857714,0,1.95945,1.93593,0
-0.87552,-0.857656,0.0377963,1.95909,1.93587,0
