torque_1,torque_1_t,torque_2,torque_2_t
-0.698697,0.2625,-0.780045,-0.13125
-0.736693,0.21875,-0.775245,-0.503125
-0.712853,0.2625,-0.771027,-0.634375
-0.678745,0.371875,-0.767771,-0.634375
-0.644638,0.503125,-0.779253,-0.7
-0.64193,0.56875,-0.762623,-0.721875
-0.639804,0.590625,-0.771197,-0.809375
-0.646982,0.7,-0.778608,-0.809375
-0.653579,0.678125,-0.755001,-0.7875
-0.64273,0.74375,-0.759504,-0.896875
-0.625486,0.7875,-0.774566,-0.9625
-0.636734,0.65625,-0.763079,-1.11563
-0.610186,0.765625,-0.775232,-1.00625
-0.582475,0.721875,-0.776538,-0.984375
-0.578604,0.721875,-0.77639,-0.9625
-0.566012,0.765625,-0.776914,-1.00625
-0.553419,0.721875,-0.777056,-0.940625
-0.548967,0.74375,-0.779906,-1.1375
-0.536375,0.74375,-0.775106,-0.940625
-0.516804,0.7,-0.786879,-0.940625
-0.51119,0.7,-0.791182,-1.05
-0.48813,0.7,-0.790162,-0.940625
-0.476119,0.65625,-0.801153,-0.940625
-0.443756,0.6125,-0.806819,-0.940625
-0.455004,0.6125,-0.807343,-0.9625
-0.431364,0.65625,-0.820569,-0.9625
-0.424004,0.6125,-0.826527,-0.91875
-0.383501,0.590625,-0.834029,-1.02812
-0.369745,0.56875,-0.852197,-1.00625
-0.368782,0.546875,-0.856791,-1.00625
-0.355608,0.65625,-0.861004,-1.02812
-0.347286,0.503125,-0.873158,-1.02812
-0.339927,0.415625,-0.850914,-1.02812
-0.304656,0.4375,-0.853764,-0.984375
-0.272293,0.39375,-0.856814,-0.984375
-0.272493,0.39375,-0.851432,-0.940625
-0.239549,0.39375,-0.829569,-1.02812
-0.212419,0.371875,-0.825351,-1.15938
-0.207967,0.328125,-0.827619,-1.05
-0.180256,0.30625,-0.818458,-1.09375
-0.137627,0.39375,-0.79863,-1.15938
-0.133756,0.240625,-0.799936,-1.1375
-0.114186,0.21875,-0.774293,-1.1375
-0.095197,0.175,-0.743036,-1.09375
-0.0837674,0.13125,-0.724862,-1.09375
-0.0554748,0.240625,-0.683229,-1.1375
-0.0506415,0.196875,-0.647319,-1.18125
-0.0264193,0.065625,-0.618479,-1.18125
-0.00219704,0.021875,-0.590129,-1.09375
0.0185363,0.04375,-0.567103,-1.07187
0.044503,0.021875,-0.539625,-1.1375
0.0702696,0.04375,-0.520088,-0.984375
0.0956548,-0.021875,-0.513543,-1.05
0.0919659,-0.065625,-0.493716,-0.809375
0.0952548,-0.30625,-0.497056,-1.1375
0.0764474,0.021875,-0.48973,-0.83125
0.108029,0,-0.491036,-0.7875
0.121784,0.021875,-0.492923,-0.875
0.127399,0.021875,-0.502751,-0.7875
0.117896,0.04375,-0.501149,-0.634375
0.120984,-0.13125,-0.523188,-0.875
0.124855,0,-0.530308,-0.7
0.132796,-0.065625,-0.53781,-0.809375
