angle_1_e,angle_1_t,d_theta_1_t,angle_2_e,angle_2_t,d_theta_2_t
-1.11708,-1.07507,0.0465185,1.8423,1.83257,0
-1.11694,-1.07507,0,1.84245,1.83257,0
-1.11679,-1.07507,0,1.84261,1.83257,0
-1.11665,-1.07516,0,1.84277,1.83266,0
-1.11651,-1.07528,-0.0872222,1.84292,1.83277,0
-1.11637,-1.07539,-0.0872222,1.84308,1.83292,-0.014537
-1.11622,-1.07551,-0.0610556,1.84323,1.83303,0
-1.11608,-1.07562,-0.0872222,1.84339,1.83315,0
-1.11594,-1.07568,-0.0697778,1.84355,1.83321,0
-1.1158,-1.0758,-0.0465185,1.8437,1.83332,0
-1.11565,-1.07586,-0.0377963,1.84386,1.83338,0
-1.11551,-1.07597,-0.0785,1.84401,1.8335,0
-1.11537,-1.07609,-0.0610556,1.84417,1.83361,0
-1.11522,-1.07618,-0.0697778,1.84433,1.8337,0
-1.11508,-1.07629,-0.0785,1.84448,1.83382,0
-1.11494,-1.07641,-0.0465185,1.84464,1.83393,0
-1.11479,-1.0765,-0.0697778,1.84479,1.83402,0
-1.11465,-1.07661,-0.0552407,1.84495,1.83414,0
-1.11451,-1.0767,-0.0697778,1.8451,1.83423,0
-1.11436,-1.07679,-0.0465185,1.84526,1.83431,0
-1.11422,-1.0769,-0.0785,1.84542,1.83443,0
-1.11408,-1.07702,-0.0697778,1.84557,1.83454,0
-1.11393,-1.07711,-0.0785,1.84573,1.83463,0
-1.11379,-1.07722,-0.0697778,1.84588,1.83475,0
-1.11364,-1.07728,-0.0785,1.84604,1.83481,0
-1.1135,-1.07737,-0.0465185,1.84619,1.83489,0
-1.11336,-1.07743,-0.0552407,1.84635,1.83495,0
-1.11321,-1.07754,-0.0785,1.8465,1.83507,0
-1.11307,-1.0776,-0.0697778,1.84666,1.83513,0
-1.11292,-1.07763,-0.0377963,1.84681,1.83516,0
-1.11278,-1.07772,-0.0290741,1.84696,1.83524,0
-1.11264,-1.07775,0,1.84712,1.83527,0
-1.11249,-1.07778,-0.0465185,1.84727,1.8353,0
-1.11235,-1.07783,-0.0465185,1.84743,1.83536,0
-1.1122,-1.07789,-0.0610556,1.84758,1.83542,0
-1.11206,-1.07792,0,1.84774,1.83545,0
-1.11191,-1.07795,0,1.84789,1.83548,0
-1.11177,-1.07798,0,1.84804,1.8355,0
-1.11162,-1.07804,-0.00581481,1.8482,1.83556,0
-1.11148,-1.0781,-0.0377963,1.84835,1.83562,0
-1.11133,-1.07812,-0.0610556,1.84851,1.83565,0
-1.11119,-1.07818,0,1.84866,1.83571,0
-1.11105,-1.07818,0,1.84882,1.83571,0
-1.1109,-1.07818,0,1.84898,1.83571,0
-1.11076,-1.07821,-0.0552407,1.84913,1.83574,0
-1.11061,-1.07824,0,1.84929,1.83577,0
-1.11047,-1.07827,0,1.84944,1.8358,0
-1.11032,-1.07827,0,1.8496,1.8358,0
-1.11018,-1.0783,-0.0610556,1.84975,1.83582,0
-1.11003,-1.07836,-0.0465185,1.84991,1.83588,0
-1.10989,-1.07839,-0.0290741,1.85006,1.83591,0
-1.10974,-1.07839,0,1.85021,1.83591,0
-1.1096,-1.07839,0,1.85037,1.83591,0
-1.10945,-1.07839,0,1.85052,1.83591,0
-1.10931,-1.07839,0,1.85068,1.83591,0
-1.10916,-1.07842,0,1.85083,1.83594,0
-1.10902,-1.07842,0,1.85099,1.83594,0
-1.10887,-1.07844,-0.0465185,1.85114,1.83597,0
-1.10873,-1.07844,0,1.8513,1.83597,0
-1.10858,-1.07844,0,1.85145,1.83597,0
-1.10844,-1.07844,0,1.8516,1.83597,0
-1.10829,-1.07844,0,1.85176,1.83597,0
-1.10815,-1.07844,0,1.85191,1.83597,0
-1.108,-1.07844,0,1.85207,1.83597,0
-1.10786,-1.07844,0,1.85222,1.83597,0
-1.10771,-1.07844,0,1.85237,1.83597,0
-1.10756,-1.07844,0,1.85253,1.83597,0
-1.10742,-1.07844,0,1.85268,1.83597,0
-1.10727,-1.07844,0,1.85283,1.83597,-0.0232593
-1.10713,-1.07844,0,1.85299,1.836,0
-1.10698,-1.07844,0,1.85314,1.836,0
-1.10683,-1.07842,0,1.85329,1.83597,0
-1.10669,-1.07842,0,1.85345,1.83597,0
-1.10654,-1.07842,0,1.8536,1.83597,0
-1.10639,-1.07839,0,1.85375,1.83594,0
-1.10625,-1.07839,0,1.85391,1.83594,0
-1.1061,-1.07836,0,1.85406,1.83591,0
-1.10595,-1.07836,0,1.85421,1.83591,0
-1.10581,-1.07836,0,1.85436,1.83594,0
-1.10566,-1.07836,0,1.85452,1.83594,-0.0465185
-1.10551,-1.07833,0.0377963,1.85467,1.83591,0
-1.10537,-1.07833,0,1.85482,1.83591,0
-1.10522,-1.0783,0.0377963,1.85498,1.83588,0
-1.10507,-1.0783,0,1.85513,1.83588,0
-1.10492,-1.0783,0,1.85528,1.83588,0
-1.10478,-1.07827,0,1.85543,1.83588,-0.0552407
-1.10463,-1.07824,0,1.85558,1.83585,0
-1.10448,-1.07824,0,1.85574,1.83585,0
-1.10434,-1.07821,0.0232593,1.85589,1.83585,0
-1.10419,-1.07818,0,1.85604,1.83582,0
-1.10404,-1.07818,0,1.85619,1.83582,0
-1.10389,-1.07812,0.0290741,1.85634,1.83577,0
-1.10374,-1.07812,0,1.8565,1.8358,0
-1.1036,-1.0781,0,1.85665,1.83577,-0.0290741
-1.10345,-1.07807,0.0465185,1.8568,1.83574,0
-1.1033,-1.07804,0,1.85695,1.83571,0
-1.10315,-1.07804,0,1.8571,1.83577,0
-1.103,-1.07801,0.014537,1.85724,1.83574,0
-1.10285,-1.07798,0,1.85739,1.83571,0
-1.10269,-1.07798,0,1.85753,1.83571,0
-1.10254,-1.07795,0,1.85768,1.83571,-0.0377963
-1.10239,-1.07792,0,1.85782,1.83568,0
-1.10224,-1.07792,0,1.85797,1.83568,0
-1.10209,-1.07786,0,1.85811,1.83562,0
-1.10193,-1.07786,0,1.85825,1.83565,-0.0377963
-1.10178,-1.0778,0.0465185,1.8584,1.83559,0
-1.10163,-1.0778,0,1.85854,1.83559,0
-1.10147,-1.07778,0.0552407,1.85869,1.83559,-0.00581481
-1.10132,-1.07778,0,1.85883,1.83559,0
-1.10117,-1.07778,0,1.85897,1.83559,0
-1.10102,-1.07775,0.014537,1.85912,1.83559,-0.0377963
-1.10086,-1.07775,0,1.85926,1.83559,0
-1.10071,-1.07772,0.014537,1.8594,1.83556,0
-1.10056,-1.07772,0,1.85955,1.83559,0
-1.1004,-1.07769,0.0377963,1.85969,1.83556,0
-1.10025,-1.07769,0,1.85983,1.83559,-0.0610556
-1.1001,-1.07766,0.0552407,1.85998,1.83556,0
-1.09994,-1.07766,0,1.86012,1.83559,-0.0552407
-1.09979,-1.07763,0,1.86026,1.83559,0
-1.09964,-1.07763,0,1.86041,1.83562,0
-1.09948,-1.07763,0,1.86055,1.83562,0
-1.09933,-1.07757,0,1.86069,1.83562,-0.0610556
-1.09918,-1.07757,0,1.86084,1.83562,0
-1.09902,-1.07754,0.0465185,1.86098,1.83562,-0.0552407
-1.09887,-1.07751,0,1.86112,1.83559,0
-1.09871,-1.07749,0,1.86126,1.83559,-0.0552407
-1.09856,-1.07749,0,1.86141,1.83559,0
-1.09841,-1.07746,0,1.86155,1.83559,-0.0290741
-1.09825,-1.07746,0,1.86169,1.83559,0
-1.0981,-1.07743,0,1.86183,1.83559,0
-1.09794,-1.0774,0.0465185,1.86198,1.83556,0
-1.09779,-1.07737,0.0552407,1.86212,1.83556,0
-1.09763,-1.07734,0,1.86226,1.83556,0
-1.09748,-1.07734,0,1.8624,1.83559,0
-1.09732,-1.07734,0,1.86254,1.83562,0
-1.09717,-1.07731,0.0465185,1.86269,1.83562,0
-1.09701,-1.07725,0.0290741,1.86283,1.83562,-0.0290741
-1.09686,-1.07722,0.00581481,1.86297,1.83562,0
-1.09671,-1.07722,0,1.86311,1.83565,0
-1.09655,-1.07717,0.0377963,1.86325,1.83562,-0.0465185
-1.0964,-1.07714,0.0232593,1.86339,1.83562,-0.0465185
-1.09624,-1.07711,0.0290741,1.86353,1.83565,0
-1.09608,-1.07708,0,1.86368,1.83568,0
-1.09593,-1.07705,0.0610556,1.86382,1.83568,-0.0232593
-1.09577,-1.07699,0.00581481,1.86396,1.83568,-0.0465185
-1.09562,-1.07696,0,1.8641,1.83571,-0.00581481
-1.09546,-1.07693,0.0465185,1.86424,1.83571,-0.0552407
-1.09531,-1.07685,0.0552407,1.86438,1.83568,-0.0232593
-1.09515,-1.07682,0.0290741,1.86452,1.83571,0
-1.095,-1.07679,0,1.86466,1.83571,-0.0290741
-1.09484,-1.07676,0.0377963,1.8648,1.83574,-0.0552407
-1.09469,-1.07667,0.00581481,1.86494,1.83571,0
-1.09453,-1.07664,0,1.86509,1.83574,-0.0552407
-1.09437,-1.07655,0.0465185,1.86523,1.83568,-0.0552407
-1.09422,-1.07647,0.0610556,1.86537,1.83568,0
-1.09406,-1.07641,0.0290741,1.86551,1.83565,-0.0232593
-1.09391,-1.07635,0.0290741,1.86565,1.83565,0
-1.09375,-1.07632,0,1.86579,1.83571,-0.0465185
-1.09359,-1.07626,0.0290741,1.86593,1.83568,-0.0552407
-1.09344,-1.07618,0.0610556,1.86607,1.83565,0
-1.09328,-1.07612,0.0610556,1.86621,1.83568,-0.014537
-1.09313,-1.07606,0,1.86635,1.83568,-0.00581481
-1.09297,-1.076,0,1.8665,1.83568,-0.0232593
-1.09282,-1.07594,0.0610556,1.86664,1.83571,-0.0610556
-1.09266,-1.07586,0.0552407,1.86679,1.83568,-0.0232593
-1.09251,-1.0758,0.0552407,1.86693,1.83571,-0.0465185
-1.09236,-1.07571,0.0552407,1.86707,1.83574,-0.0377963
-1.0922,-1.07565,0.0465185,1.86722,1.83574,-0.0377963
-1.09205,-1.0756,0.0610556,1.86736,1.8358,-0.014537
-1.09189,-1.07551,0.0552407,1.86751,1.83582,-0.0465185
-1.09174,-1.07545,0.0610556,1.86765,1.83585,-0.0232593
-1.09158,-1.07539,0.0552407,1.86779,1.83588,-0.0377963
