torque_1,torque_1_t,torque_2,torque_2_t
-0.406168,-0.175,-1.33312,-0.109375
-0.415468,0.21875,-1.33432,-0.7
-0.425068,0.2625,-1.33522,-0.7875
-0.422738,0.328125,-1.35707,-0.91875
-0.383775,0.35,-1.37891,-1.29062
-0.450351,0.415625,-1.40307,-1.37813
-0.459651,0.525,-1.43189,-1.46562
-0.375042,0.39375,-1.45751,-1.575
-0.354396,0.7,-1.46393,-1.64062
-0.40877,0.634375,-1.4913,-1.6625
-0.381436,0.590625,-1.49802,-1.35625
-0.406436,0.56875,-1.49805,-1.29062
-0.394803,0.35,-1.49983,-1.85938
-0.436375,0.6125,-1.48474,-1.72812
-0.377351,0.21875,-1.47577,-1.75
-0.400034,0.4375,-1.4694,-1.79375
-0.28606,0.35,-1.44007,-1.81563
-0.277625,0.35,-1.4212,-1.88125
-0.245931,0.74375,-1.3974,-1.8375
-0.264825,0.240625,-1.35352,-1.81563
-0.183423,0.56875,-1.29338,-1.925
-0.200573,0.2625,-1.26434,-2.1
-0.200279,0.415625,-1.22919,-1.925
-0.117705,0.30625,-1.19027,-1.37813
-0.0985215,0.371875,-1.15511,-1.33438
-0.0839807,0.04375,-1.09525,-1.72812
-0.0935715,0.021875,-1.06156,-1.81563
-0.0423974,0.39375,-1.02088,-1.6625
-0.057503,0.065625,-0.990712,-1.70625
-0.0542919,0.35,-0.955297,-1.37813
-0.0327641,0.0875,-0.944305,-1.53125
0.100117,0.21875,-0.92837,-1.4875
0.0870563,0.109375,-0.880744,-1.37813
0.109456,0.196875,-0.867716,-1.33438
0.0812674,0.021875,-0.841614,-1.29062
0.086223,0.13125,-0.831784,-1.26875
0.126067,0.109375,-0.842888,-1.225
0.114451,-0.04375,-0.817068,-1.24687
0.120279,-0.04375,-0.802296,-1.07187
0.172625,-0.065625,-0.807875,-1.20312
0.167695,-0.328125,-0.817816,-1.33438
0.173823,-0.065625,-0.786762,-1.18125
0.168312,-0.04375,-0.801364,-1.24687
0.258164,-0.175,-0.765077,-1.11563
0.230847,-0.39375,-0.759027,-1.33438
0.211962,-0.240625,-0.736986,-1.15938
