angle_1_e angle_1_t d_theta_1_t angle_2_e angle_2_t d_theta_2_t
-0.95875 -0.94168 0 1.9652 1.94671 0
-0.95849 -0.94168 0 1.96516 1.94671 0
-0.95823 -0.94168 0 1.96513 1.94671 0
-0.95797 -0.941738 0 1.9651 1.94686 -0.0610556
-0.95771 -0.941796 -0.0465185 1.96507 1.947 -0.0465185
-0.95746 -0.941825 0 1.96504 1.94718 -0.0872222
-0.9572 -0.941854 -0.0465185 1.96501 1.94738 -0.0785
-0.95694 -0.941883 -0.0465185 1.96498 1.94761 -0.125019
-0.95668 -0.941912 -0.0232593 1.96494 1.94788 -0.125019
-0.95642 -0.941971 0 1.96491 1.94817 -0.133741
-0.95616 -0.941971 0 1.96488 1.94843 -0.142463
-0.9559 -0.942 -0.0377963 1.96485 1.94869 -0.125019
-0.95564 -0.942058 -0.0465185 1.96482 1.94895 -0.125019
-0.95538 -0.942145 -0.0610556 1.96478 1.9493 -0.119204
-0.95512 -0.942145 0 1.96475 1.94947 -0.119204
-0.95486 -0.942145 0 1.96472 1.94968 -0.093037
-0.9546 -0.942174 0 1.96469 1.94991 -0.0872222
-0.95434 -0.942232 -0.0552407 1.96465 1.95008 -0.0785
-0.95408 -0.94229 -0.0465185 1.96462 1.95026 -0.0697778
-0.95382 -0.942319 0 1.96459 1.95043 -0.0465185
-0.95356 -0.942319 0 1.96455 1.95055 -0.0610556
-0.9533 -0.942319 0 1.96452 1.95067 -0.0610556
-0.95304 -0.942348 -0.0290741 1.96449 1.95081 -0.0785
-0.95279 -0.942378 0 1.96446 1.95096 -0.0785
-0.95253 -0.942407 -0.0377963 1.96442 1.95107 -0.0465185
-0.95227 -0.942407 0 1.96439 1.95119 -0.0697778
-0.95201 -0.942407 0 1.96436 1.95131 -0.0697778
-0.95175 -0.942407 0 1.96432 1.95139 -0.0552407
-0.95149 -0.942407 0 1.96429 1.95148 -0.0377963
-0.95123 -0.942407 0 1.96425 1.9516 -0.0552407
-0.95097 -0.942407 0 1.96422 1.95168 -0.0465185
-0.95071 -0.942407 0 1.96419 1.95177 -0.0552407
-0.95045 -0.942407 0 1.96415 1.95186 -0.0232593
