torque_1 torque_1_t torque_2 torque_2_t
0.632093 -0.065625 0.241709 0.109375
0.620393 -0.328125 0.242909 0.021875
0.608693 -0.328125 0.243809 0.13125
0.595685 -0.590625 0.245581 0.109375
0.554911 -0.590625 0.246481 0.065625
0.572735 -0.4375 0.247381 0.240625
0.561035 -0.83125 0.248281 0.109375
0.548027 -0.7875 0.250053 0.153125
0.389648 -0.634375 0.252126 0.153125
0.333029 -0.65625 0.253898 0.175
0.509002 -0.634375 0.25567 0.153125
0.379697 -0.896875 0.257442 0.30625
0.484293 -0.74375 0.258342 0.196875
0.472593 -0.525 0.259542 0.175
0.459585 -0.590625 0.261314 0.13125
0.446577 -0.6125 0.263087 0.175
0.360883 -0.74375 0.264859 0.196875
0.231579 -0.83125 0.266931 0.13125
0.40886 -0.371875 0.267831 0.196875
0.395852 -0.2625 0.269603 0.196875
0.384152 -0.809375 0.270803 0.13125
0.18347 -0.65625 0.271703 0.196875
0.360752 -0.39375 0.272603 0.240625
0.349502 -0.634375 0.273503 0.196875
0.337802 -0.65625 0.274703 0.175
0.326102 -0.65625 0.275603 0.196875
0.314402 -0.634375 0.276503 0.2625
0.302702 -0.48125 0.277703 0.153125
0.291002 -0.39375 0.278603 0.196875
0.279302 -0.371875 0.279803 0.196875
0.267602 -0.546875 0.280703 0.21875
0.255902 -0.39375 0.281603 0.153125
0.244202 -0.525 0.282803 0.153125
0.232502 -0.678125 0.283703 0.13125
0.221702 -0.525 0.283403 0.13125
0.210902 -0.546875 0.282803 0.196875
0.200102 -0.175 0.282203 0.21875
0.189752 -0.284375 0.281603 0.240625
0.178952 -0.284375 0.281003 0.35
0.168602 -0.240625 0.280403 0.4375
0.157802 -0.4375 0.279803 0.2625
0.147002 -0.328125 0.279203 0.39375
0.412855 -0.35 0.278603 0.4375
0.125852 -0.30625 0.278003 0.39375
0.115052 -0.284375 0.277103 0.39375
0.104702 -0.39375 0.276503 0.503125
0.0939017 -0.284375 0.275903 0.590625
0.0835517 -0.35 0.275303 0.590625
0.0727517 -0.48125 0.274703 0.153125
0.0619517 -0.371875 0.274103 0.371875
0.0542183 -0.35 0.271759 0.196875
0.0434183 -0.35 0.271159 0.2625
0.0326183 -0.415625 0.270559 0.175
0.0222683 -0.35 0.269959 0.175
0.0114683 -0.328125 0.269359 0.35
0.234569 -0.240625 0.267887 0.240625
-0.00837333 -0.109375 0.267287 0.240625
-0.0191733 -0.0875 0.266687 0.21875
-0.0299733 -0.109375 0.266087 0.196875
0.237189 -0.109375 0.264914 0.39375
-0.049815 -0.30625 0.264314 0.13125
-0.0593067 -0.153125 0.262842 0.196875
-0.0696567 -0.153125 0.262242 0.175
-0.0804567 0.35 0.261642 0.196875
-0.0912567 0.39375 0.261042 0.240625
-0.101607 -0.04375 0.260442 0.196875
-0.111098 0.371875 0.25897 0.39375
-0.121898 0.415625 0.25837 0.13125
-0.132698 0.525 0.25777 0.39375
-0.143048 0.48125 0.25747 0.196875
-0.15254 0.35 0.255998 0.39375
-0.0179696 0.48125 0.255398 0.284375
-0.17369 -0.04375 0.254798 0.328125
-0.18449 0.525 0.254198 0.175
-0.19529 0.109375 0.253598 0.30625
-0.20609 0.328125 0.253298 0.39375
-0.21644 0.284375 0.252698 0.35
-0.225932 -0.13125 0.251226 0.35
-0.0913613 0.30625 0.250626 0.35
-0.247532 0.04375 0.250026 0.39375
-0.257882 0.39375 0.249726 0.153125
-0.268682 0.48125 0.249126 0.21875
-0.279482 0.48125 0.248526 0.153125
-0.290282 0.459375 0.247926 0.240625
-0.300632 0.35 0.247626 0.39375
-0.311432 0.39375 0.247026 0.240625
-0.322232 0.39375 0.246426 0.196875
-0.186353 0.48125 0.244953 0.21875
-0.342073 0.503125 0.244053 0.196875
-0.352423 0.39375 0.243453 0.175
-0.363223 0.634375 0.242553 0.175
-0.372265 0.525 0.240781 0.13125
-0.382615 0.4375 0.240181 0.35
-0.392107 0.678125 0.238409 0.109375
-0.402457 0.459375 0.237509 0.35
-0.337955 0.590625 0.235164 0.13125
-0.419682 0.48125 0.233392 0.39375
-0.428723 0.525 0.23162 0.196875
-0.439523 0.525 0.23102 0.30625
-0.448565 0.415625 0.229248 0.30625
-0.457607 0.65625 0.227476 0.175
-0.468407 0.634375 0.226876 0.35
-0.243547 0.525 0.224231 0.153125
-0.485632 0.48125 0.222459 0.35
-0.494673 0.7875 0.220987 0.328125
-0.505473 0.634375 0.220087 0.371875
-0.44183 0.765625 0.218614 0.39375
-0.246045 0.721875 0.21597 0.328125
-0.226462 0.765625 0.214498 0.30625
-0.540782 0.56875 0.212726 0.35
-0.27407 0.590625 0.210953 0.415625
-0.560623 0.6125 0.210353 0.415625
-0.381134 0.634375 0.208581 0.415625
-0.346564 0.7 0.207109 0.39375
-0.58689 0.0875 0.204464 0.30625
-0.481394 0.853125 0.203864 0.328125
-0.606732 0.65625 0.202092 0.153125
-0.616223 0.875 0.20062 0.35
-0.623957 0.853125 0.197976 0.371875
-0.444467 0.678125 0.196503 0.153125
-0.4522 0.7875 0.193859 0.153125
-0.650673 0.765625 0.192387 0.35
-0.661023 0.809375 0.191487 0.328125
-0.525145 0.7875 0.190014 0.328125
-0.402045 0.83125 0.18767 0.240625
-0.658666 0.7875 0.185898 0.328125
-0.696782 0.853125 0.184426 0.30625
-0.707582 0.896875 0.183526 0.35
-0.599019 0.896875 0.181181 0.39375
-0.607202 0.853125 0.166326 0.328125
-0.657238 0.35 0.17532 0.240625
-0.461903 0.875 0.172976 0.13125
-0.747148 0.875 0.171203 0.328125
-0.567659 0.91875 0.169731 0.13125
-0.764373 0.7875 0.167387 0.30625
-0.627186 0.896875 0.164742 0.153125
-0.663994 0.853125 0.162398 0.153125
-0.436968 0.875 0.158309 0.13125
-0.764516 0.7875 0.151885 0.13125
-0.801773 0.896875 0.154192 0.109375
-0.533303 0.896875 0.153592 0.284375
-0.509796 0.809375 0.149203 0.109375
-0.515362 0.809375 0.145987 0.4375
-0.553478 0.7875 0.145387 0.284375
-0.56297 0.7875 0.145659 0.240625
-0.846907 0.7875 0.131676 0.284375
-0.824708 0.875 0.135727 0.0875
-0.671225 0.984375 0.13629 0.284375
-0.515576 0.875 0.131029 0.109375
-0.475773 1.00625 0.124033 0.328125
-0.644722 1.1375 0.120789 0.284375
-0.695617 0.940625 0.127429 0.196875
-0.74827 1.07187 0.129709 0.328125
-0.900923 0.896875 0.118605 0.0875
-0.672997 1.00625 0.117977 0.328125
-0.51559 1.20312 0.119385 0.328125
-0.475337 0.91875 0.112651 0.2625
-0.567676 0.853125 0.100103 0.284375
-0.925157 0.91875 0.112268 0.35
-0.93244 0.9625 0.106989 -0.0875
-0.630971 1.00625 0.105189 0.328125
-0.313206 1.09375 0.0938033 0.35
-0.432002 0.809375 0.0896867 0.021875
-0.597884 0.83125 0.0928385 0.021875
-0.955815 0.853125 0.0922107 0.328125
-0.964407 0.9625 0.0907107 0.021875
-0.572648 0.940625 0.0918274 0.04375
-0.252717 1.05 0.080733 0.328125
-0.371063 0.7875 0.0757441 0.284375
-0.624618 0.765625 0.0742441 0.04375
-0.983407 0.875 0.0753607 -0.04375
-0.993757 1.00625 0.07357 0.30625
-0.604615 1.05 0.0813737 0.525
-0.282067 0.940625 0.0720237 0.284375
-0.485019 0.7875 0.0606385 0.30625
-0.885252 0.809375 0.0553589 -0.065625
-1.01145 0.984375 0.0573478 0.021875
-1.01918 0.7875 0.063407 -0.065625
-0.586429 1.3125 0.0636515 0
-0.398639 0.896875 0.0467422 0.503125
-0.473374 1.02812 0.0530922 0.30625
-0.756003 0.83125 0.0385089 -0.109375
-1.04211 0.91875 0.0416607 0
-0.744562 1.15938 0.0491737 0.284375
-0.705618 1.11563 0.0360441 -0.021875
-0.59313 1.00625 0.0421033 -0.021875
-0.625562 0.896875 0.0295552 -0.0875
-0.760204 0.83125 0.0263107 -0.175
-0.634037 1.05 0.0184144 0
-0.80037 1.11563 0.0192496 -0.021875
-1.01117 1.05 0.0215293 0
-0.786312 1.33438 0.0188663 0.21875
-0.790121 0.9625 0.012133 0.503125
-0.632263 0.940625 0.0135404 -0.04375
-0.547541 0.91875 0.00419037 -0.13125
-0.872022 1.07187 0.00269037 -0.109375
-0.924675 1.3125 -0.0040337 -0.04375
-1.12225 1.15938 0.00464222 0.175
-0.778476 1.4 -0.00790593 0
-0.61976 1.09375 -0.00359111 0.30625
-0.682721 1.05 -0.01643 -0.021875
-0.937584 0.91875 -0.0167578 -0.109375
-1.13516 1.07187 -0.0173856 -0.13125
-0.905064 1.24687 -0.0223744 -0.021875
-0.46622 1.18125 -0.0419004 -0.04375
-0.464345 0.896875 -0.0503689 -0.04375
-0.835504 0.91875 -0.0509967 -0.021875
-1.15113 1.02812 -0.0504615 -0.13125
-1.15841 1.20312 -0.0409133 -0.065625
-0.533206 1.29062 -0.0519985 -0.04375
-0.369257 1.00625 -0.0660004 -0.04375
-0.560288 0.896875 -0.0738967 -0.021875
-0.934064 0.940625 -0.071617 -0.021875
-1.17656 1.07187 -0.0722356 -0.065625
-1.18429 1.225 -0.0626874 -0.04375
-0.586846 1.33438 -0.0729096 -0.153125
-0.424206 1.05 -0.0810874 -0.175
-0.715688 0.9625 -0.09538 -0.065625
-1.19122 1.07187 -0.0832152 -0.021875
-1.20157 1.26875 -0.0911022 -0.04375
-0.812432 1.3125 -0.0960911 -0.04375
-0.489884 1.15938 -0.0906041 -0.021875
-0.576989 1.02812 -0.102861 -0.065625
-1.02038 1.02812 -0.109013 -0.13125
-1.2171 1.225 -0.103817 -0.13125
-1.10854 1.35625 -0.109969 -0.21875
-0.717227 1.33438 -0.112913 -0.196875
-0.511834 1.11563 -0.119647 -0.021875
-0.598489 1.05 -0.127552 -0.04375
-0.996106 1.05 -0.120049 -0.065625
-1.2386 1.225 -0.128236 -0.196875
-0.939296 1.35625 -0.118115 -0.065625
-0.779271 1.11563 -0.123976 -0.021875
-0.486656 1.20312 -0.139441 -0.04375
-0.689608 0.984375 -0.136589 -0.175
-0.85594 1.05 -0.142741 -0.065625
-1.06805 1.11563 -0.132621 -0.196875
-0.957729 1.20312 -0.141389 -0.04375
-0.799013 1.15938 -0.146969 -0.04375
-0.59362 1.15938 -0.148478 -0.065625
-0.665738 1.07187 -0.161608 -0.065625
-0.874373 1.09375 -0.160791 -0.30625
-1.08648 1.18125 -0.160547 -0.13125
-0.976612 1.20312 -0.160602 -0.0875
-0.772527 1.18125 -0.164719 -0.328125
-0.449529 1.09375 -0.175241 -0.175
-0.683313 1.02812 -0.177613 -0.21875
