angle_1_e angle_1_t d_theta_1_t angle_2_e angle_2_t d_theta_2_t
-1.2963 -1.28603 0 2.39752 2.36523 0
-1.29616 -1.28603 0 2.39732 2.36523 0
-1.29602 -1.28603 0 2.39711 2.36523 0
-1.29588 -1.28603 0 2.3969 2.36526 -0.014537
-1.29574 -1.28603 0 2.3967 2.36535 -0.0232593
-1.29559 -1.28603 0 2.39649 2.36544 -0.0872222
-1.29545 -1.28603 0 2.39629 2.36555 -0.0872222
-1.29531 -1.28603 0 2.39608 2.36567 -0.093037
-1.29517 -1.28603 0 2.39587 2.36584 -0.110481
-1.29503 -1.28603 0 2.39567 2.36602 -0.101759
-1.29489 -1.28603 0 2.39546 2.36619 -0.142463
-1.29475 -1.28603 0 2.39526 2.36643 -0.125019
-1.29461 -1.28603 0 2.39505 2.36672 -0.133741
-1.29447 -1.28603 0 2.39484 2.36701 -0.133741
-1.29433 -1.28603 0 2.39464 2.36724 -0.125019
-1.29418 -1.28603 0 2.39443 2.36747 -0.110481
-1.29404 -1.28603 0 2.39422 2.36765 -0.119204
-1.2939 -1.28603 0.014537 2.39402 2.36779 -0.0785
-1.29376 -1.286 0 2.39381 2.36791 -0.0872222
-1.29362 -1.28597 0 2.39361 2.36797 -0.0465185
-1.29348 -1.28595 0.0610556 2.3934 2.36802 -0.0610556
-1.29334 -1.28592 0.0290741 2.39319 2.36802 0
-1.2932 -1.28589 0.0377963 2.39299 2.36802 0
-1.29306 -1.28589 0 2.39278 2.36802 0
-1.29292 -1.28589 0 2.39258 2.36802 0
-1.29278 -1.28589 0 2.39237 2.36802 0
-1.29264 -1.28589 0 2.39216 2.36802 0
-1.2925 -1.28586 0.0465185 2.39196 2.368 0
-1.29235 -1.28586 0 2.39175 2.368 0
-1.29221 -1.28586 0 2.39154 2.368 0
-1.29207 -1.28586 0 2.39134 2.368 0
-1.29193 -1.28586 0 2.39113 2.368 0
-1.29179 -1.28586 0 2.39093 2.368 0
-1.29172 -1.28586 0 2.3907 2.368 0
-1.29165 -1.28586 0 2.39047 2.368 0
-1.29159 -1.28586 0 2.39024 2.368 0
-1.29152 -1.28586 0 2.39001 2.368 0
-1.29146 -1.28586 0 2.38978 2.368 0
-1.2914 -1.28586 0 2.38955 2.368 0
-1.29133 -1.28586 0 2.38933 2.368 0
-1.29127 -1.28586 0 2.3891 2.368 0
-1.2912 -1.28586 0 2.38887 2.368 0
-1.29114 -1.28586 0 2.38864 2.368 0
-1.29108 -1.28586 0 2.38841 2.368 0
-1.29101 -1.28586 0 2.38818 2.368 0
-1.29095 -1.28586 0 2.38795 2.368 0
-1.29088 -1.28586 0 2.38772 2.368 0
-1.29082 -1.28583 0 2.38749 2.36797 0
-1.29075 -1.2858 0 2.38726 2.36794 0
-1.29069 -1.2858 0 2.38704 2.36794 0
-1.29062 -1.28577 0 2.38681 2.36791 0
-1.29056 -1.28577 0 2.38658 2.36791 0
-1.29049 -1.28577 0 2.38635 2.36791 0
-1.29043 -1.28577 0 2.38612 2.36791 0
-1.29037 -1.28577 0 2.38589 2.36791 0
-1.2903 -1.28577 0 2.38566 2.36791 0
-1.29024 -1.28577 0 2.38543 2.36791 0
-1.29017 -1.28577 0 2.3852 2.36791 0
-1.29011 -1.28577 0 2.38497 2.36791 0
-1.29004 -1.28577 0 2.38474 2.36791 0
-1.28998 -1.28577 0 2.38451 2.36791 0
-1.28991 -1.28577 0 2.38429 2.36791 0
-1.28985 -1.28577 0 2.38406 2.36791 0
-1.28978 -1.28577 0 2.38383 2.36791 0
-1.28972 -1.28577 0 2.3836 2.36788 0
-1.28965 -1.28577 0 2.38337 2.36788 0
-1.28959 -1.28577 0 2.38314 2.36788 0
-1.28952 -1.28577 0 2.38291 2.36788 0
-1.28946 -1.28577 0 2.38268 2.36788 0
-1.28939 -1.28577 0 2.38245 2.36788 0
-1.28933 -1.28577 0 2.38222 2.36788 0
-1.28926 -1.28577 0 2.38199 2.36788 0
-1.2892 -1.28577 0 2.38176 2.36785 0
-1.28913 -1.28577 0 2.38154 2.36785 0
-1.28907 -1.28577 0 2.38131 2.36785 0
-1.289 -1.28577 0 2.38108 2.36785 0
-1.28894 -1.28577 0 2.38085 2.36785 0
-1.28887 -1.28577 0 2.38062 2.36785 0
-1.28881 -1.28577 0 2.38039 2.36785 0
-1.28874 -1.28577 0 2.38016 2.36785 0
-1.28868 -1.28577 0 2.37993 2.36782 0.0290741
-1.28861 -1.28577 0 2.3797 2.36782 0
-1.28854 -1.28577 0 2.37947 2.36782 0
-1.28848 -1.28577 0 2.37924 2.36782 0
-1.28841 -1.28577 0 2.37901 2.36782 0
-1.28835 -1.28577 0 2.37878 2.36779 0.0377963
-1.28828 -1.28577 0 2.37855 2.36779 0
-1.28822 -1.28577 0 2.37833 2.36779 0
-1.28816 -1.28577 0 2.37809 2.36776 0
-1.28813 -1.28574 0.0290741 2.37785 2.36773 0.0377963
-1.2881 -1.28574 0 2.37761 2.36773 0
-1.28807 -1.28574 0 2.37737 2.36773 0
-1.28804 -1.28574 0 2.37713 2.36773 0
-1.28801 -1.28574 0 2.37689 2.3677 0.0610556
-1.28799 -1.28574 0 2.37665 2.3677 0
-1.28796 -1.28574 0 2.37641 2.36768 0
-1.28793 -1.28574 0 2.37617 2.36768 0
-1.2879 -1.28574 0 2.37593 2.36765 0
-1.28787 -1.28574 0 2.37569 2.36765 0
-1.28784 -1.28574 0 2.37545 2.36759 0.0465185
-1.28781 -1.28574 0 2.37521 2.36756 0
-1.28778 -1.28574 0 2.37497 2.36756 0
-1.28775 -1.28574 0 2.37473 2.36753 0.0465185
-1.28772 -1.28574 0 2.37449 2.36753 0
-1.28769 -1.28574 0 2.37425 2.3675 0.0552407
-1.28766 -1.28574 0 2.37401 2.3675 0
-1.28763 -1.28574 0 2.37377 2.36747 0.014537
-1.2876 -1.28574 0 2.37353 2.36747 0
-1.28757 -1.28574 0 2.37329 2.36747 0
-1.28754 -1.28574 0 2.37305 2.36744 0.0465185
-1.28751 -1.28574 0 2.3728 2.36744 0
-1.28748 -1.28574 0 2.37256 2.36744 0
-1.28745 -1.28574 0 2.37232 2.36744 0
-1.28742 -1.28574 0 2.37208 2.36741 0
-1.28738 -1.28574 0 2.37184 2.36741 0
-1.28735 -1.28574 0 2.3716 2.36741 0
-1.28732 -1.28574 0 2.37136 2.36741 0
-1.28729 -1.28574 0 2.37112 2.36739 0
-1.28726 -1.28574 0 2.37088 2.36739 0
-1.28723 -1.28574 0 2.37064 2.36739 0
-1.2872 -1.28574 0 2.3704 2.36739 0
-1.28717 -1.28574 0 2.37016 2.36739 0
-1.28714 -1.28574 0 2.36992 2.36736 0
-1.28711 -1.28574 0 2.36968 2.36736 0
-1.28708 -1.28574 0 2.36944 2.36736 0
-1.28705 -1.28574 0 2.3692 2.36736 0
-1.28701 -1.28574 0 2.36896 2.36736 0
-1.28698 -1.28574 0 2.36872 2.36736 0
-1.28695 -1.28574 0 2.36848 2.36736 0
-1.28692 -1.28574 0 2.36824 2.36733 0.0377963
-1.28689 -1.28574 0 2.36799 2.36733 0
-1.28686 -1.28574 0 2.36775 2.36733 0
-1.28683 -1.28574 0 2.36751 2.36733 0
-1.2868 -1.28574 0 2.36727 2.36733 0
-1.28676 -1.28574 0 2.36703 2.36733 0
-1.28673 -1.28574 0 2.36679 2.36733 0
-1.2867 -1.28574 0 2.36655 2.36733 0
-1.28667 -1.28574 0 2.36631 2.36733 0
-1.28664 -1.28574 0 2.36607 2.36733 0
-1.28661 -1.28574 0 2.36583 2.36733 0
-1.28657 -1.28574 0 2.36559 2.36733 0
-1.28654 -1.28574 0 2.36535 2.36733 0
-1.28651 -1.28574 0 2.36511 2.36733 0
-1.28648 -1.28574 0 2.36487 2.36733 0
-1.28645 -1.28574 0 2.36463 2.36733 0
-1.28641 -1.28574 0 2.36438 2.36733 0
-1.28638 -1.28574 0 2.36414 2.36727 0.0290741
-1.28635 -1.28574 0 2.3639 2.36727 0
-1.28632 -1.28574 0 2.36366 2.36724 0
-1.28628 -1.28574 0 2.36342 2.36721 0
-1.28625 -1.28574 0 2.36318 2.36721 0
-1.28622 -1.28574 0 2.36294 2.36718 0.0377963
-1.28619 -1.28574 0 2.3627 2.36715 0
-1.28616 -1.28574 0 2.36246 2.36715 0
-1.28612 -1.28574 0 2.36222 2.36709 0
-1.28609 -1.28574 0 2.36198 2.36709 0
-1.28606 -1.28574 0 2.36174 2.36707 0.0552407
-1.28602 -1.28574 0 2.3615 2.36704 0
-1.28599 -1.28574 0 2.36125 2.36701 0.014537
-1.28596 -1.28574 0 2.36101 2.36698 0.0465185
-1.28593 -1.28574 0 2.36077 2.36692 0.0377963
-1.28589 -1.28574 0 2.36053 2.36689 0.014537
-1.28588 -1.28574 0 2.36028 2.36686 0.0552407
-1.28588 -1.28574 0 2.36004 2.36683 0.0377963
-1.28587 -1.28574 0 2.35979 2.3668 0
-1.28586 -1.28574 0 2.35954 2.36675 0.0552407
-1.28585 -1.28574 0 2.35929 2.36675 0
-1.28585 -1.28574 0 2.35904 2.36669 0.00581481
-1.28584 -1.28574 0 2.35879 2.36666 0
-1.28583 -1.28574 0 2.35854 2.3666 0
-1.28582 -1.28574 0 2.35829 2.36657 0
-1.28582 -1.28574 0 2.35804 2.36657 0
-1.28581 -1.28574 0 2.35779 2.36654 0
-1.2858 -1.28574 0 2.35755 2.36651 0
-1.28579 -1.28574 0 2.3573 2.36645 0.00581481
-1.28578 -1.28574 0 2.35705 2.36645 0.014537
-1.28578 -1.28574 0 2.3568 2.36643 0.0377963
-1.28577 -1.28574 0 2.35655 2.3664 0.0290741
-1.28576 -1.28574 0 2.3563 2.36637 0
-1.28575 -1.28574 0 2.35605 2.36634 0
-1.28574 -1.28574 0 2.3558 2.36628 0
-1.28573 -1.28574 0 2.35555 2.36625 0
-1.28573 -1.28574 0 2.3553 2.36622 0
-1.28572 -1.28574 0 2.35506 2.36619 0
-1.28571 -1.28574 0 2.35481 2.36616 0.0465185
-1.2857 -1.28574 0 2.35456 2.36611 0.0465185
-1.28569 -1.28574 0 2.35431 2.36608 0
-1.28568 -1.28574 0 2.35406 2.36602 0.0552407
-1.28567 -1.28574 0 2.35381 2.36596 0
-1.28566 -1.28574 0 2.35356 2.3659 0.0377963
-1.28565 -1.28574 0 2.35331 2.36584 0.0697778
-1.28565 -1.28574 0 2.35306 2.36576 0.0465185
-1.28564 -1.28574 0 2.35281 2.3657 0.0610556
-1.28563 -1.28574 0 2.35256 2.36564 0.0552407
-1.28562 -1.28574 0 2.35232 2.36555 0.0290741
-1.28561 -1.28574 0 2.35207 2.3655 0.0465185
-1.2856 -1.28574 0 2.35182 2.36544 0.014537
-1.28559 -1.28574 0 2.35157 2.36538 0.0377963
-1.28558 -1.28574 0 2.35132 2.36529 0.0552407
-1.28557 -1.28574 0 2.35107 2.36523 0.0290741
-1.28556 -1.28574 0 2.35082 2.36515 0.0290741
-1.28555 -1.28574 0 2.35057 2.36509 0.0610556
