angle_1_e angle_1_t d_theta_1_t angle_2_e angle_2_t d_theta_2_t
-0.63824 -0.599682 0 1.96204 1.90046 0
-0.63812 -0.599682 0 1.9617 1.90046 0
-0.63799 -0.599711 0 1.96136 1.90054 0
-0.63787 -0.599798 -0.0465185 1.96102 1.90083 -0.110481
-0.63774 -0.599856 -0.0697778 1.96068 1.90121 -0.215148
-0.63762 -0.599972 -0.0465185 1.96034 1.90179 -0.293648
-0.63749 -0.600059 -0.0785 1.96001 1.90249 -0.389593
-0.63737 -0.600147 -0.0552407 1.95967 1.90328 -0.471
-0.63724 -0.600234 -0.0610556 1.95933 1.90418 -0.566944
-0.63712 -0.600263 -0.0610556 1.95899 1.90508 -0.590204
-0.637 -0.60035 -0.0465185 1.95865 1.90604 -0.566944
-0.63687 -0.600408 -0.0610556 1.95831 1.90697 -0.604741
-0.63675 -0.600467 -0.014537 1.95797 1.90784 -0.558222
-0.63662 -0.600525 -0.0697778 1.95763 1.90865 -0.508796
-0.6365 -0.600641 -0.0610556 1.95729 1.90944 -0.476815
-0.63637 -0.600728 -0.0697778 1.95695 1.91014 -0.421574
-0.63625 -0.600815 -0.0697778 1.95662 1.91078 -0.366333
-0.63612 -0.600903 -0.0697778 1.95628 1.91133 -0.334352
-0.636 -0.600932 -0.0697778 1.95594 1.91182 -0.284926
-0.63587 -0.601019 -0.014537 1.9556 1.91232 -0.238407
-0.63575 -0.601077 -0.0697778 1.95526 1.91267 -0.215148
-0.63562 -0.601164 -0.0610556 1.95492 1.91304 -0.183167
-0.63549 -0.601281 -0.0872222 1.95458 1.91339 -0.125019
-0.63537 -0.601368 -0.0697778 1.95424 1.91366 -0.133741
-0.63524 -0.601455 -0.0465185 1.9539 1.91386 -0.0872222
-0.63512 -0.601571 -0.0377963 1.95356 1.91412 -0.0697778
-0.63499 -0.601629 -0.0552407 1.95322 1.91432 -0.0610556
-0.63487 -0.601775 -0.093037 1.95288 1.91459 -0.0785
-0.63474 -0.601949 -0.0785 1.95254 1.91488 -0.0697778
-0.63462 -0.602066 -0.0785 1.9522 1.91511 -0.0610556
-0.63449 -0.602153 -0.0785 1.95186 1.91534 -0.0872222
-0.63437 -0.60224 -0.0785 1.95152 1.91557 -0.0872222
-0.63424 -0.602356 -0.0872222 1.95118 1.91589 -0.093037
-0.63411 -0.602502 -0.0785 1.95084 1.91624 -0.125019
-0.63399 -0.602589 -0.0785 1.9505 1.91648 -0.101759
-0.63386 -0.602705 -0.0872222 1.95016 1.9168 -0.119204
-0.63374 -0.60288 -0.101759 1.94982 1.9172 -0.125019
-0.63361 -0.602996 -0.0872222 1.94948 1.91752 -0.119204
-0.63349 -0.603141 -0.0785 1.94914 1.91787 -0.110481
-0.63336 -0.603229 -0.0785 1.9488 1.91813 -0.093037
-0.63323 -0.603316 -0.0465185 1.94846 1.91837 -0.110481
-0.63311 -0.603374 -0.0697778 1.94812 1.91857 -0.093037
-0.63302 -0.60349 -0.0290741 1.94779 1.91877 -0.0785
-0.63292 -0.603607 -0.101759 1.94746 1.91898 -0.0377963
-0.63282 -0.603723 -0.0872222 1.94713 1.91912 -0.0465185
-0.63273 -0.603868 -0.101759 1.94679 1.9193 -0.0377963
-0.63263 -0.603897 -0.0610556 1.94646 1.91932 0
-0.63253 -0.603926 0 1.94613 1.91935 0
-0.63244 -0.603955 -0.0377963 1.94579 1.91935 0.014537
-0.63234 -0.604043 -0.0552407 1.94546 1.91944 0
-0.63224 -0.604188 -0.093037 1.94513 1.91956 0.0232593
-0.63215 -0.604304 -0.0872222 1.9448 1.91967 0
-0.63205 -0.604392 -0.0465185 1.94446 1.91976 0
-0.63195 -0.604392 -0.014537 1.94413 1.91976 0
-0.63185 -0.60445 -0.0290741 1.9438 1.91982 0
-0.63176 -0.604537 0 1.94347 1.91988 0
-0.63166 -0.604653 -0.0697778 1.94313 1.91999 0
-0.63156 -0.604769 -0.0872222 1.9428 1.92008 0
-0.63147 -0.604886 -0.0610556 1.94247 1.9202 0
-0.63137 -0.604973 -0.0610556 1.94213 1.92026 0
-0.63127 -0.605002 0 1.9418 1.92028 0
-0.63117 -0.60506 -0.0377963 1.94147 1.92031 0.0290741
-0.63108 -0.605147 -0.0785 1.94113 1.92037 0
-0.63098 -0.605293 -0.110481 1.9408 1.92049 0.0465185
-0.63088 -0.60538 -0.0610556 1.94047 1.92052 0.0465185
-0.63078 -0.605467 -0.0552407 1.94014 1.92055 0.0552407
-0.63069 -0.605554 -0.0697778 1.9398 1.9206 0.0465185
-0.63059 -0.605671 -0.0552407 1.93947 1.92066 0
-0.63049 -0.605787 -0.0872222 1.93914 1.92072 0.0290741
-0.63039 -0.605932 -0.0785 1.9388 1.92081 0.0697778
-0.6303 -0.60602 -0.0697778 1.93847 1.92081 0.0610556
-0.6302 -0.606107 -0.0552407 1.93814 1.92084 0.0552407
-0.6301 -0.606223 -0.0552407 1.9378 1.92089 0.0465185
-0.63 -0.606369 -0.093037 1.93747 1.92092 0.0465185
-0.6299 -0.606572 -0.093037 1.93713 1.92104 0.0697778
-0.62981 -0.606688 -0.0785 1.9368 1.9211 0.0697778
-0.62971 -0.606747 0 1.93647 1.92113 0.0552407
-0.62961 -0.606776 0 1.93613 1.92107 0.0610556
-0.62951 -0.606892 -0.0290741 1.9358 1.92113 0.0377963
-0.62941 -0.607066 -0.110481 1.93547 1.92121 0.0610556
-0.62932 -0.60727 -0.142463 1.93513 1.92136 0.0697778
-0.62922 -0.607386 -0.101759 1.9348 1.92142 0.0377963
-0.62912 -0.607415 -0.0377963 1.93447 1.92136 0.0377963
-0.62902 -0.607415 0 1.93413 1.92127 0.0697778
-0.62892 -0.607415 0 1.9338 1.92119 0.0377963
-0.62882 -0.607532 -0.0552407 1.93346 1.92119 0.0610556
-0.62873 -0.607706 -0.119204 1.93313 1.92124 0.0785
-0.62863 -0.607851 -0.0872222 1.9328 1.92127 0.093037
-0.62853 -0.607939 -0.0552407 1.93246 1.92124 0.093037
-0.62843 -0.607939 0 1.93213 1.9211 0.093037
-0.62833 -0.607968 0 1.93179 1.92095 0.125019
-0.62823 -0.608055 -0.0697778 1.93146 1.92087 0.110481
-0.62813 -0.6082 -0.0872222 1.93112 1.92084 0.119204
-0.62804 -0.608317 -0.093037 1.93079 1.92075 0.125019
-0.62794 -0.608375 0 1.93046 1.9206 0.119204
-0.62784 -0.608375 0 1.93012 1.9204 0.142463
-0.62774 -0.608404 0 1.92979 1.92023 0.133741
-0.62764 -0.60852 -0.0552407 1.92945 1.92014 0.142463
-0.62755 -0.608665 -0.0697778 1.92912 1.92005 0.151185
-0.62747 -0.608753 -0.093037 1.92879 1.91994 0.142463
-0.62739 -0.608811 -0.0552407 1.92846 1.91976 0.165722
-0.6273 -0.608811 0 1.92813 1.91953 0.142463
-0.62722 -0.608811 0 1.9278 1.9193 0.157
-0.62714 -0.608898 -0.0465185 1.92747 1.91918 0.142463
-0.62705 -0.609014 -0.093037 1.92714 1.91906 0.157
-0.62697 -0.609131 -0.0697778 1.92681 1.91895 0.142463
-0.62688 -0.609189 0 1.92648 1.91874 0.151185
-0.6268 -0.609189 0 1.92615 1.91848 0.142463
-0.62672 -0.609218 0 1.92582 1.91831 0.157
-0.62663 -0.609334 -0.0872222 1.92549 1.91822 0.151185
-0.62655 -0.609509 -0.093037 1.92516 1.91816 0.133741
-0.62646 -0.609625 -0.0785 1.92483 1.91799 0.142463
-0.62638 -0.609654 0 1.92449 1.91778 0.142463
