torque_1 torque_1_t torque_2 torque_2_t
-0.790515 -0.13125 -0.339717 0.04375
-0.800865 0.56875 -0.330417 -0.04375
-0.811215 0.65625 -0.320817 -0.503125
-0.820257 0.74375 -0.312389 -0.35
-0.830157 0.56875 -0.302789 -0.371875
-0.839198 0.984375 -0.294361 -0.371875
-0.849548 0.634375 -0.284761 -0.35
-0.857282 1.11563 -0.277206 -0.35
-0.514818 0.940625 -0.270522 -0.415625
-0.521243 0.83125 -0.263539 -0.371875
-0.60297 1.02812 -0.255111 -0.415625
-0.889073 1.07187 -0.245511 -0.240625
-0.899423 0.984375 -0.236211 -0.240625
-0.909773 1.225 -0.226611 -0.13125
-0.683606 1.225 -0.219928 -0.284375
-0.528815 0.65625 -0.213817 -0.21875
-0.533932 1.02812 -0.208006 -0.30625
-0.789653 0.459375 -0.199278 -0.109375
-0.945373 0.48125 -0.189978 -0.21875
-0.955723 0.765625 -0.180378 -0.30625
-0.613259 0.809375 -0.173694 -0.21875
-0.574765 0.4375 -0.167583 -0.35
-0.579882 1.15938 -0.161772 -0.284375
-0.835603 1.05 -0.153044 -0.065625
-0.991323 0.809375 -0.150431 -0.0875
-1.00036 1.225 -0.134144 -0.0875
-0.61429 1.33438 -0.127161 -0.04375
-0.661709 1.225 -0.122222 -0.30625
-0.711746 1.07187 -0.115239 0.04375
-0.749411 1.09375 -0.106811 -0.30625
-0.889286 1.24687 -0.0980833 -0.284375
-0.854717 0.809375 -0.0896556 -0.0875
-0.775228 1.33438 -0.0818 -0.30625
-0.825264 1.18125 -0.0748167 -0.2625
-0.92022 1.20312 -0.0672611 -0.284375
-1.0438 1.24687 -0.0594056 -0.240625
-0.775329 1.37813 -0.0538852 -0.2625
-0.694532 1.33438 -0.0439944 -0.328125
-0.743259 1.225 -0.0378833 -0.284375
-0.868597 1.20312 -0.0294556 -0.240625
-1.11023 1.3125 -0.0207278 -0.175
-1.12013 1.46562 -0.0111278 -0.284375
-0.851661 1.4875 -0.00357222 0.0875
-0.827704 1.37813 0.00253889 0.13125
-0.745598 1.20312 0.00865 -0.284375
-0.795634 1.33438 0.0153333 0.175
-0.920972 1.3125 0.0240611 0.175
-1.16347 1.35625 0.0336611 0.13125
-1.17251 1.55313 0.0420889 0.04375
-0.873204 1.44375 0.0409407 0.153125
-0.717513 1.35625 0.0551926 0.153125
-0.749946 1.35625 0.0615944 0.153125
-0.842693 1.35625 0.0688778 0.196875
-1.12749 1.24687 0.0776056 0.30625
-1.20962 1.61875 0.0875056 0.04375
-1.21907 1.4875 0.0971056 0
-0.829932 1.64062 0.102644 0.021875
-0.628013 1.37813 0.107011 0.0875
-0.718144 1.225 0.11255 0.13125
-1.20515 1.37813 0.120406 0.021875
-1.24367 1.55313 0.130306 0.13125
-1.25357 0.9625 0.139906 0.04375
-0.907593 1.53125 0.145444 0.04375
