torque_1 torque_1_t torque_2 torque_2_t
1.27971 -0.30625 -0.6026 0.21875
1.26801 -0.634375 -0.6014 -0.328125
1.25501 -0.853125 -0.599628 -0.371875
0.932796 -1.1375 -0.595239 -0.459375
1.03347 -1.1375 -0.591722 -0.48125
0.93107 -1.225 -0.588206 -0.546875
0.960364 -1.225 -0.585561 -0.590625
0.990967 -1.26875 -0.582917 -0.6125
1.13656 -1.26875 -0.579972 -0.678125
0.962334 -1.42188 -0.577328 -0.721875
0.786801 -1.33438 -0.573811 -0.721875
0.931084 -1.24687 -0.576981 -0.721875
0.989452 -1.3125 -0.566778 -0.721875
0.903759 -1.29062 -0.564706 -0.765625
1.07711 -1.29062 -0.561189 -0.875
0.712601 -1.35625 -0.557672 -0.7
0.695668 -1.20312 -0.553283 -0.853125
0.83995 -1.1375 -0.549467 -0.7
1.01723 -1.18125 -0.548567 -0.853125
1.00292 -1.225 -0.545922 -0.678125
0.799617 -1.225 -0.542978 -0.809375
0.740381 -1.18125 -0.539461 -0.678125
0.681145 -1.07187 -0.535944 -0.853125
0.712197 -1.11563 -0.534172 -0.721875
0.93309 -1.07187 -0.532972 -0.853125
0.92139 -1.18125 -0.532072 -0.721875
0.907073 -1.20312 -0.529428 -0.83125
0.82138 -1.20312 -0.527356 -0.678125
0.808371 -1.02812 -0.525583 -0.7875
0.868048 -1.15938 -0.523511 -0.678125
0.856348 -1.225 -0.522611 -0.74375
0.84334 -1.15938 -0.520839 -0.634375
0.83164 -1.225 -0.519639 -0.765625
0.81994 -1.18125 -0.518739 -0.634375
0.80914 -1.15938 -0.519039 -0.83125
0.79834 -1.15938 -0.519639 -0.65625
0.78754 -1.1375 -0.520239 -0.7875
0.77719 -1.1375 -0.520839 -0.65625
0.76639 -1.20312 -0.521439 -0.83125
0.75604 -1.05 -0.522039 -0.7
0.74524 -1.11563 -0.522639 -0.678125
0.73444 -1.09375 -0.523239 -0.634375
0.72409 -0.896875 -0.523839 -0.721875
0.71329 -1.05 -0.524439 -0.7
0.70249 -1.02812 -0.525339 -0.809375
0.69214 -1.00625 -0.525939 -0.6125
0.68134 -0.9625 -0.526539 -0.83125
0.67099 -1.02812 -0.527139 -0.65625
0.66019 -0.896875 -0.527739 -0.7875
0.64939 -0.9625 -0.528339 -0.678125
0.63904 -0.9625 -0.528939 -0.634375
0.62824 -0.940625 -0.529539 -0.721875
0.61744 -0.91875 -0.530139 -0.721875
0.60709 -0.853125 -0.530739 -0.721875
0.59629 -0.853125 -0.531339 -0.7
0.586798 -0.853125 -0.532811 -0.678125
0.576448 -0.83125 -0.533411 -0.678125
0.565648 -0.853125 -0.534011 -0.74375
0.554848 -0.809375 -0.534611 -0.721875
0.691177 -0.809375 -0.535783 -0.7
0.535007 -0.875 -0.536383 -0.809375
0.524207 -0.83125 -0.536983 -0.678125
0.513857 -0.83125 -0.537583 -0.83125
0.503057 -0.809375 -0.538183 -0.7
0.638935 -0.721875 -0.539656 -0.7
0.483215 -0.809375 -0.540256 -0.721875
0.472415 -0.721875 -0.540856 -0.721875
0.461615 -0.74375 -0.541456 -0.74375
0.452123 -0.74375 -0.542928 -0.83125
0.441773 -0.721875 -0.543228 -0.721875
0.664874 -0.7 -0.5447 -0.83125
0.421482 -0.74375 -0.5453 -0.7
0.411132 -0.678125 -0.5459 -0.83125
0.400332 -0.678125 -0.5465 -0.678125
0.389532 -0.678125 -0.5471 -0.83125
0.452725 -0.590625 -0.548272 -0.721875
0.370998 -0.56875 -0.549744 -0.83125
0.360198 -0.56875 -0.550344 -0.7
0.349398 -0.56875 -0.550944 -0.83125
0.485277 -0.590625 -0.552417 -0.721875
0.330865 -0.634375 -0.553589 -0.83125
0.320065 -0.56875 -0.554189 -0.7
0.309265 -0.546875 -0.554789 -0.83125
0.373767 -0.546875 -0.557133 -0.678125
0.29204 -0.634375 -0.558306 -0.83125
0.427919 -0.415625 -0.559778 -1.02812
0.273057 -0.546875 -0.56125 -0.765625
0.262257 -0.503125 -0.56185 -0.765625
0.3259 -0.48125 -0.563622 -0.853125
0.244173 -0.503125 -0.565094 -0.7
0.510885 -0.415625 -0.566867 -0.853125
0.22564 -0.459375 -0.568639 -0.765625
0.332895 -0.459375 -0.570111 -0.853125
0.205798 -0.459375 -0.571011 -0.7
0.196757 -0.546875 -0.572783 -0.91875
0.333944 -0.04375 -0.575128 -0.74375
0.455735 -0.546875 -0.5769 -0.83125
0.17049 -0.459375 -0.578672 -0.74375
0.233684 -0.328125 -0.580144 -0.765625
0.150648 -0.328125 -0.581044 -0.853125
0.446884 -0.13125 -0.582817 -0.83125
0.408319 -0.459375 -0.584289 -0.7875
0.23937 -0.459375 -0.586061 -0.721875
0.112273 -0.39375 -0.586961 -0.765625
0.101923 -0.35 -0.586689 -0.853125
0.281413 -0.35 -0.588461 -0.765625
0.200995 -0.39375 -0.590806 -0.853125
0.0743483 0.021875 -0.591706 -0.853125
0.253838 -0.30625 -0.593178 -0.853125
0.055815 -0.35 -0.59495 -0.7875
0.0463233 -0.109375 -0.596722 -0.74375
0.182652 -0.04375 -0.598194 -0.74375
0.0264817 0.0875 -0.599094 -0.91875
0.16281 -0.021875 -0.600567 -0.7875
0.00709 -0.21875 -0.601467 -0.853125
0.142969 0 -0.602939 -0.83125
-0.0127517 0.04375 -0.603839 -0.9625
0.25396 0.0875 -0.604439 -0.765625
-0.031285 -0.35 -0.606211 -1.09375
-0.042085 0 -0.606811 -0.74375
-0.052435 -0.328125 -0.607711 -0.91875
0.0543696 0 -0.609183 -0.74375
0.205235 -0.39375 -0.610956 -0.853125
-0.0817683 -0.04375 -0.611556 -0.765625
-0.09081 0.153125 -0.613028 -0.940625
-0.0725359 0.065625 -0.613928 -0.809375
-0.110652 0.0875 -0.6154 -0.940625
-0.120143 0 -0.617172 -0.7875
-0.129185 0.109375 -0.618644 -0.91875
-0.139985 0 -0.619544 -0.7875
0.0399548 0.109375 -0.621017 -0.9625
-0.159827 0 -0.621617 -0.809375
-0.168868 0.2625 -0.623389 -0.91875
-0.179668 0.04375 -0.623117 -0.853125
0.0874937 0.153125 -0.624589 -0.91875
-0.198202 0.0875 -0.626361 -0.83125
-0.207243 0.153125 -0.627833 -0.940625
0.0872344 0.153125 -0.628433 -0.765625
-0.227085 0.240625 -0.630206 -0.91875
-0.237885 0.0875 -0.630806 -0.875
-0.174241 0.0875 -0.632278 -0.83125
-0.257727 0.284375 -0.636957 -0.853125
-0.26591 0.2625 -0.63465 -0.853125
-0.273643 0.2625 -0.636994 -0.940625
-0.283135 0.21875 -0.638467 -0.984375
-0.292177 0.35 -0.640239 -0.9625
-0.0690757 0.328125 -0.641711 -0.765625
-0.0768091 0.13125 -0.644056 -0.74375
-0.320202 0.0875 -0.644956 -0.875
-0.256558 0.21875 -0.645556 -0.634375
-0.338285 0.56875 -0.647928 -0.65625
-0.346877 0.328125 -0.6503 -0.74375
-0.207931 0.459375 -0.654417 -1.20312
-0.0843813 0.065625 -0.657961 -1.02812
-0.0638989 0.546875 -0.665276 -1.00625
-0.378218 0.109375 -0.661833 -0.74375
-0.38681 0.328125 -0.664206 -1.05
-0.20687 0.284375 -0.665706 -0.853125
-0.170542 0.371875 -0.66895 -1.18125
-0.103832 0.21875 -0.673067 -0.459375
-0.141948 0.6125 -0.674867 -0.634375
-0.397669 0.13125 -0.677239 -0.809375
-0.435785 0.371875 -0.678739 -0.91875
-0.444377 0.39375 -0.680239 -0.91875
-0.378116 0.525 -0.683483 -0.896875
-0.225492 0.4375 -0.686728 -0.896875
-0.275079 0.30625 -0.689972 -0.91875
-0.471793 0.30625 -0.693217 -0.984375
-0.291404 0.4375 -0.694717 -0.809375
-0.255526 0.503125 -0.697961 -0.809375
-0.49671 0.39375 -0.699461 -0.91875
-0.271851 0.48125 -0.702996 -0.940625
-0.279134 0.415625 -0.704206 -0.91875
-0.212874 0.4375 -0.708322 -0.91875
-0.249231 0.415625 -0.718254 -0.853125
-0.41818 0.30625 -0.712194 -0.940625
-0.397698 0.2625 -0.724743 -1.15938
-0.405431 0.13125 -0.721009 -0.91875
-0.411406 0.546875 -0.729487 -1.00625
-0.170702 0.4375 -0.732731 -0.940625
-0.176677 0.39375 -0.732487 -1.02812
-0.460614 0.415625 -0.738348 -0.940625
-0.58681 0.503125 -0.727928 -1.00625
-0.290574 0.634375 -0.729428 -0.940625
-0.455148 0.56875 -0.733544 -1.00625
-0.213135 0.196875 -0.737661 -1.00625
-0.264029 0.6125 -0.751081 -1.05
-0.503047 0.459375 -0.743278 -1.00625
-0.438954 0.546875 -0.743906 -1.00625
