angle_1_e,angle_1_t,d_theta_1_t,angle_2_e,angle_2_t,d_theta_2_t
-1.15086,-1.17256,0,1.75233,1.72491,0
-1.15065,-1.17253,0,1.75237,1.72488,0
-1.15045,-1.1725,0,1.75241,1.72494,-0.0377963
-1.15025,-1.17238,0.0377963,1.75245,1.72488,-0.0610556
-1.15004,-1.17227,0.0697778,1.75249,1.72494,-0.0697778
-1.14984,-1.17215,0.0785,1.75253,1.72508,-0.133741
-1.14963,-1.17206,0.0610556,1.75257,1.72526,-0.157
-1.14943,-1.17198,0.0785,1.75261,1.72552,-0.206426
-1.14922,-1.17189,0.0465185,1.75265,1.72581,-0.252944
-1.14902,-1.17183,0.0697778,1.75269,1.72616,-0.279111
-1.14881,-1.17171,0.0377963,1.75272,1.72653,-0.311093
-1.14861,-1.17163,0.0552407,1.75276,1.72697,-0.311093
-1.14841,-1.17148,0.0552407,1.7528,1.72738,-0.389593
-1.1482,-1.17134,0.093037,1.75284,1.72787,-0.444833
-1.148,-1.17119,0.0872222,1.75288,1.72837,-0.430296
-1.14779,-1.17105,0.110481,1.75292,1.72892,-0.471
-1.14759,-1.17093,0.0785,1.75296,1.72953,-0.502981
-1.14738,-1.17075,0.110481,1.75299,1.73017,-0.566944
-1.14718,-1.17064,0.0872222,1.75303,1.7309,-0.566944
-1.14697,-1.17049,0.093037,1.75307,1.73165,-0.590204
-1.14677,-1.17029,0.119204,1.75311,1.73249,-0.645444
-1.14656,-1.17009,0.125019,1.75315,1.73334,-0.691963
-1.14636,-1.16988,0.142463,1.75318,1.73421,-0.700685
-1.14615,-1.16968,0.125019,1.75322,1.73511,-0.732667
-1.14595,-1.1695,0.125019,1.75326,1.73607,-0.764648
-1.14574,-1.16927,0.133741,1.7533,1.737,-0.764648
-1.14554,-1.1691,0.133741,1.75333,1.73802,-0.79663
-1.14535,-1.16889,0.125019,1.75339,1.73892,-0.764648
-1.14516,-1.16866,0.157,1.75346,1.73991,-0.755926
-1.14497,-1.16843,0.133741,1.75353,1.74078,-0.741389
-1.14478,-1.1682,0.157,1.75359,1.7416,-0.700685
-1.1446,-1.16796,0.142463,1.75366,1.74241,-0.691963
-1.14441,-1.16773,0.174444,1.75373,1.74317,-0.659981
-1.14422,-1.16744,0.151185,1.75379,1.74389,-0.590204
-1.14404,-1.16718,0.174444,1.75386,1.74444,-0.540778
-1.14385,-1.16695,0.142463,1.75392,1.74503,-0.508796
-1.14366,-1.16666,0.174444,1.75399,1.7454,-0.453556
-1.14347,-1.16639,0.174444,1.75406,1.74578,-0.421574
-1.14329,-1.16613,0.174444,1.75412,1.74613,-0.407037
-1.1431,-1.16584,0.183167,1.75419,1.74639,-0.375056
-1.14291,-1.16558,0.165722,1.75425,1.74665,-0.357611
-1.14272,-1.16532,0.174444,1.75432,1.74692,-0.348889
-1.14253,-1.16503,0.174444,1.75438,1.74715,-0.343074
-1.14235,-1.16474,0.197704,1.75445,1.74741,-0.357611
-1.14216,-1.16445,0.197704,1.75451,1.74767,-0.366333
-1.14197,-1.16415,0.183167,1.75458,1.74793,-0.389593
-1.14178,-1.16384,0.188981,1.75465,1.74822,-0.38087
-1.14159,-1.16354,0.220963,1.75471,1.74857,-0.421574
-1.14141,-1.1632,0.197704,1.75478,1.74892,-0.444833
-1.14122,-1.16288,0.220963,1.75484,1.74933,-0.444833
-1.14103,-1.16253,0.220963,1.7549,1.74974,-0.471
-1.14084,-1.16218,0.220963,1.75497,1.7502,-0.558222
-1.14065,-1.16183,0.238407,1.75503,1.75075,-0.596019
-1.14047,-1.16145,0.229685,1.7551,1.75133,-0.645444
-1.14028,-1.1611,0.238407,1.75516,1.75206,-0.686148
-1.14009,-1.16072,0.238407,1.75523,1.75282,-0.755926
-1.1399,-1.16032,0.279111,1.75529,1.75363,-0.782093
-1.13971,-1.15997,0.252944,1.75536,1.75459,-0.878037
-1.13952,-1.15956,0.229685,1.75542,1.75552,-0.892574
-1.13934,-1.15918,0.279111,1.75548,1.75651,-0.933278
-1.13915,-1.15878,0.261667,1.75555,1.75747,-0.924556
-1.13896,-1.1584,0.252944,1.75561,1.75846,-0.901296
-1.13877,-1.15799,0.252944,1.75568,1.75942,-0.933278
-1.13859,-1.15758,0.261667,1.75575,1.76035,-0.869315
-1.13841,-1.15718,0.261667,1.75583,1.76119,-0.846056
-1.13823,-1.15677,0.270389,1.75591,1.76198,-0.79663
-1.13805,-1.15633,0.270389,1.75598,1.76262,-0.723944
-1.13787,-1.15593,0.279111,1.75606,1.76323,-0.668704
-1.13769,-1.15549,0.284926,1.75614,1.76369,-0.613463
-1.13751,-1.15505,0.270389,1.75622,1.7641,-0.572759
-1.13733,-1.15462,0.284926,1.7563,1.76451,-0.508796
-1.13715,-1.15418,0.284926,1.75638,1.7648,-0.471
-1.13697,-1.15378,0.284926,1.75645,1.76506,-0.453556
-1.13679,-1.15337,0.279111,1.75653,1.76532,-0.430296
-1.13661,-1.15296,0.270389,1.75661,1.76552,-0.412852
-1.13643,-1.15255,0.252944,1.75669,1.76573,-0.375056
-1.13625,-1.15215,0.261667,1.75677,1.76596,-0.407037
-1.13607,-1.15168,0.24713,1.75684,1.76619,-0.398315
-1.13589,-1.15122,0.252944,1.75692,1.76642,-0.389593
-1.13571,-1.15081,0.252944,1.757,1.76663,-0.407037
-1.13553,-1.1504,0.252944,1.75708,1.76689,-0.412852
-1.13535,-1.15,0.252944,1.75715,1.76718,-0.407037
-1.13517,-1.14962,0.252944,1.75723,1.76744,-0.430296
-1.13499,-1.14915,0.252944,1.75731,1.76776,-0.439019
-1.13481,-1.14872,0.270389,1.75739,1.76808,-0.453556
-1.13463,-1.14834,0.252944,1.75746,1.7684,-0.485537
-1.13445,-1.14793,0.252944,1.75754,1.76872,-0.476815
-1.13426,-1.14755,0.252944,1.75762,1.76904,-0.471
-1.13408,-1.14718,0.261667,1.75769,1.76939,-0.508796
-1.1339,-1.1468,0.24713,1.75777,1.76971,-0.453556
-1.13372,-1.14633,0.252944,1.75785,1.77006,-0.502981
-1.13354,-1.14595,0.252944,1.75792,1.77032,-0.430296
-1.13336,-1.14561,0.229685,1.758,1.77058,-0.398315
-1.13318,-1.14523,0.24713,1.75808,1.77073,-0.348889
-1.133,-1.14485,0.24713,1.75815,1.77087,-0.343074
-1.13282,-1.1445,0.229685,1.75823,1.77096,-0.279111
-1.13264,-1.14415,0.24713,1.75831,1.77099,-0.252944
-1.13246,-1.14377,0.24713,1.75838,1.77093,-0.215148
-1.13227,-1.1434,0.238407,1.75846,1.77081,-0.197704
-1.13209,-1.14308,0.220963,1.75853,1.77073,-0.142463
-1.13191,-1.1427,0.229685,1.75861,1.77052,-0.125019
-1.13173,-1.14235,0.229685,1.75869,1.77029,-0.0610556
-1.13155,-1.14197,0.252944,1.75876,1.77003,-0.0697778
-1.13137,-1.14162,0.229685,1.75884,1.76977,-0.0465185
-1.13119,-1.14127,0.229685,1.75891,1.76954,-0.0290741
-1.13101,-1.14092,0.215148,1.759,1.76927,-0.0377963
-1.13084,-1.14058,0.215148,1.75909,1.76898,-0.0697778
-1.13067,-1.14026,0.215148,1.75919,1.76878,-0.0290741
-1.1305,-1.13994,0.206426,1.75928,1.76855,-0.0697778
-1.13033,-1.13962,0.215148,1.75937,1.76834,-0.0785
-1.13015,-1.1393,0.215148,1.75946,1.76817,-0.0872222
-1.12998,-1.13901,0.206426,1.75955,1.76799,-0.0872222
-1.12981,-1.13869,0.206426,1.75964,1.76782,-0.101759
-1.12964,-1.13842,0.188981,1.75973,1.7677,-0.0697778
-1.12946,-1.1381,0.206426,1.75982,1.76753,-0.0785
-1.12929,-1.13784,0.188981,1.75991,1.76744,-0.110481
-1.12912,-1.13755,0.183167,1.76,1.76733,-0.101759
-1.12894,-1.13729,0.188981,1.76009,1.76721,-0.101759
-1.12877,-1.13703,0.197704,1.76018,1.76709,-0.101759
-1.1286,-1.13674,0.183167,1.76027,1.76695,-0.093037
-1.12843,-1.13642,0.220963,1.76036,1.76677,-0.093037
-1.12825,-1.13619,0.174444,1.76045,1.76669,-0.0872222
-1.12808,-1.13587,0.174444,1.76054,1.76648,-0.0697778
-1.12791,-1.1356,0.174444,1.76063,1.76634,-0.0552407
-1.12773,-1.13537,0.174444,1.76072,1.76619,-0.0697778
-1.12756,-1.13511,0.157,1.76081,1.76599,-0.0290741
-1.12739,-1.13488,0.157,1.7609,1.76581,-0.0552407
-1.12721,-1.13464,0.157,1.76099,1.76564,-0.0232593
-1.12704,-1.13441,0.165722,1.76108,1.76546,-0.0610556
-1.12687,-1.13415,0.142463,1.76116,1.76526,-0.0232593
-1.12669,-1.13392,0.165722,1.76125,1.76506,0
-1.12652,-1.13369,0.142463,1.76134,1.76485,-0.0377963
-1.12635,-1.13345,0.157,1.76143,1.76465,-0.014537
-1.12617,-1.13325,0.151185,1.76152,1.76448,0
-1.126,-1.13302,0.165722,1.76161,1.76424,0
-1.12583,-1.13281,0.142463,1.7617,1.76407,0
-1.12565,-1.13261,0.142463,1.76179,1.76389,-0.0465185
-1.12548,-1.13241,0.133741,1.76188,1.76372,0
-1.12531,-1.1322,0.142463,1.76196,1.76352,0
-1.12513,-1.132,0.151185,1.76205,1.76334,0
-1.12496,-1.1318,0.133741,1.76214,1.76314,-0.0232593
-1.12478,-1.13159,0.133741,1.76223,1.76294,0
-1.12461,-1.13139,0.142463,1.76232,1.76273,0
-1.12444,-1.13118,0.125019,1.7624,1.76253,0
-1.12426,-1.13101,0.119204,1.76249,1.76235,0
-1.12409,-1.13081,0.125019,1.76258,1.76215,0
-1.12391,-1.1306,0.133741,1.76267,1.76195,0
-1.12374,-1.13043,0.119204,1.76276,1.76177,0
-1.12356,-1.13025,0.119204,1.76284,1.7616,0
-1.12339,-1.13011,0.101759,1.76293,1.76145,0
-1.12322,-1.12993,0.110481,1.76302,1.76128,0
-1.12304,-1.12976,0.093037,1.76311,1.7611,0
-1.12287,-1.12961,0.093037,1.76319,1.76096,0
-1.12269,-1.12947,0.093037,1.76328,1.76081,0
-1.12252,-1.12935,0.093037,1.76337,1.7607,0
-1.12234,-1.12918,0.093037,1.76345,1.76052,0
-1.12216,-1.12906,0.093037,1.76353,1.76041,0
-1.12198,-1.12892,0.093037,1.76361,1.76026,0
-1.12181,-1.12877,0.0697778,1.7637,1.76012,0
-1.12163,-1.12863,0.093037,1.76378,1.75997,0
-1.12145,-1.12848,0.0872222,1.76386,1.75982,0
-1.12127,-1.12836,0.0872222,1.76394,1.75971,0
-1.12109,-1.12825,0.0610556,1.76402,1.75959,0
-1.12092,-1.12813,0.0872222,1.7641,1.7595,0
-1.12074,-1.12802,0.0872222,1.76419,1.75939,0
-1.12056,-1.1279,0.0697778,1.76427,1.75927,0
-1.12038,-1.12778,0.0785,1.76435,1.75916,0
-1.1202,-1.12767,0.0872222,1.76443,1.75904,0
-1.12002,-1.12758,0.0465185,1.76451,1.75895,0
-1.11985,-1.12749,0.0377963,1.76459,1.75889,0
-1.11967,-1.12741,0.0465185,1.76467,1.75884,-0.014537
-1.11949,-1.12729,0.0552407,1.76475,1.75872,0
-1.11931,-1.1272,0.0377963,1.76484,1.75863,0
-1.11913,-1.12711,0.0377963,1.76492,1.75857,0
-1.11895,-1.12703,0.0377963,1.765,1.75852,0
-1.11877,-1.12694,0.0785,1.76508,1.75843,0
-1.1186,-1.12685,0.0610556,1.76516,1.75837,0
-1.11842,-1.12679,0.0465185,1.76524,1.75831,0
-1.11824,-1.12671,0.0232593,1.76532,1.75825,-0.0465185
-1.11806,-1.12662,0.0610556,1.7654,1.7582,-0.0465185
-1.11788,-1.12653,0.0465185,1.76548,1.75814,-0.0552407
-1.1177,-1.12647,0.00581481,1.76556,1.75811,-0.0377963
-1.11752,-1.12639,0.0610556,1.76564,1.75805,-0.0552407
-1.11734,-1.12633,0.0377963,1.76572,1.75805,-0.00581481
-1.11716,-1.12627,0.0697778,1.7658,1.75802,0
-1.11698,-1.12618,0.0290741,1.76588,1.75796,0
-1.1168,-1.12616,0.0290741,1.76596,1.75799,-0.00581481
-1.11663,-1.12607,0.0377963,1.76604,1.75793,-0.0377963
-1.11645,-1.12601,0.0552407,1.76612,1.75791,-0.0552407
-1.11627,-1.12595,0.0377963,1.7662,1.75788,-0.0552407
-1.11609,-1.12589,0.0785,1.76628,1.75785,-0.0377963
-1.11591,-1.12586,0.0610556,1.76636,1.75785,-0.0232593
-1.11573,-1.12581,0.014537,1.76644,1.75785,-0.0377963
-1.11555,-1.12572,0.0552407,1.76652,1.75782,0
-1.11537,-1.12569,0.0552407,1.7666,1.75782,-0.0377963
-1.11519,-1.12563,0,1.76668,1.75779,0
-1.11501,-1.1256,0.0610556,1.76676,1.75779,0
-1.11483,-1.12554,0.0552407,1.76684,1.75776,-0.00581481
-1.11465,-1.12549,0.0377963,1.76691,1.75773,0
-1.11447,-1.12546,0.00581481,1.76699,1.75773,-0.014537
-1.11429,-1.1254,0.0552407,1.76707,1.7577,-0.014537
-1.11411,-1.12537,0.0552407,1.76715,1.7577,-0.0290741
-1.11393,-1.12531,0,1.76723,1.7577,-0.0465185
-1.11375,-1.12528,0.0465185,1.76731,1.7577,-0.00581481
-1.11357,-1.12522,0.014537,1.76739,1.7577,-0.014537
-1.11339,-1.1252,0,1.76746,1.7577,-0.0377963
-1.11321,-1.12517,0,1.76754,1.75773,-0.014537
-1.11303,-1.12511,0.0465185,1.76763,1.75773,-0.0552407
-1.11287,-1.12505,0.014537,1.76773,1.7577,0
-1.1127,-1.12502,0.0290741,1.76783,1.75773,-0.0552407
-1.11253,-1.12499,0,1.76793,1.75779,-0.0232593
-1.11236,-1.12493,0.0377963,1.76803,1.75779,-0.0610556
-1.1122,-1.1249,0.0465185,1.76813,1.75782,-0.0610556
-1.11203,-1.12485,0.0232593,1.76823,1.75782,-0.0610556
-1.11186,-1.12482,0.00581481,1.76833,1.75788,-0.0610556
-1.1117,-1.12473,0.0552407,1.76843,1.75788,-0.0465185
-1.11153,-1.1247,0,1.76853,1.75793,-0.0552407
-1.11136,-1.12467,0.0465185,1.76863,1.75796,-0.0552407
-1.11119,-1.12464,0.0232593,1.76873,1.75802,-0.0465185
-1.11103,-1.12459,0.0290741,1.76883,1.75805,-0.0697778
-1.11086,-1.12453,0.0377963,1.76893,1.75811,-0.0552407
-1.11069,-1.1245,0,1.76903,1.7582,-0.0465185
-1.11052,-1.12444,0.0290741,1.76913,1.75823,-0.0785
