torque_1,torque_1_t,torque_2,torque_2_t
-0.542431,-0.021875,-0.685584,-0.2625
-0.546955,0.371875,-0.687311,-0.56875
-0.551228,0.56875,-0.705756,-0.39375
-0.515524,0.2625,-0.719839,-0.459375
-0.485885,0.503125,-0.723746,-0.7
-0.479256,0.371875,-0.753094,-0.6125
-0.499769,0.525,-0.761362,-0.7875
-0.485144,0.415625,-0.780533,-0.721875
-0.520195,0.48125,-0.797524,-0.721875
-0.500482,0.48125,-0.802885,-0.875
-0.534806,0.4375,-0.810177,-0.9625
-0.520181,0.503125,-0.800274,-0.896875
-0.521547,0.503125,-0.830348,-0.896875
-0.485367,0.6125,-0.846612,-0.940625
-0.492547,0.503125,-0.827987,-0.9625
-0.470904,0.590625,-0.835529,-0.9625
-0.504978,0.503125,-0.837256,-0.940625
-0.473885,0.56875,-0.853996,-0.940625
-0.499237,0.853125,-0.836825,-1.09375
-0.495038,0.65625,-0.830556,-1.02812
-0.468783,0.503125,-0.838098,-1.00625
-0.463131,0.503125,-0.841279,-1.02812
-0.445598,0.503125,-0.824584,-1.02812
-0.463205,0.503125,-0.819043,-1.02812
-0.463844,0.546875,-0.812047,-1.11563
-0.454556,0.6125,-0.789788,-1.11563
-0.455195,0.48125,-0.781089,-1.1375
-0.46358,0.525,-0.744066,-1.09375
-0.430533,0.546875,-0.716742,-1.20312
-0.452728,0.56875,-0.689418,-1.3125
-0.428404,0.371875,-0.650214,-1.15938
-0.441626,0.503125,-0.627251,-1.225
-0.40858,0.6125,-0.594112,-1.02812
-0.42932,0.48125,-0.542552,-1.11563
-0.404019,0.6125,-0.505779,-1.05
-0.434936,0.56875,-0.476751,-1.09375
-0.400436,0.48125,-0.441431,-1.02812
-0.398644,0.459375,-0.417742,-1.02812
-0.396603,0.459375,-0.403251,-0.853125
-0.385362,0.459375,-0.382469,-0.634375
-0.401015,0.546875,-0.368705,-0.91875
-0.390501,0.48125,-0.359552,-0.83125
-0.387982,0.39375,-0.35233,-0.809375
-0.361955,0.4375,-0.354806,-0.809375
-0.359436,0.4375,-0.354126,-0.765625
-0.371455,0.48125,-0.360964,-0.590625
-0.362394,0.48125,-0.351084,-0.634375
-0.327894,0.415625,-0.364214,-0.590625
-0.346931,0.415625,-0.368871,-0.503125
-0.320427,0.459375,-0.360195,-0.48125
-0.316455,0.415625,-0.364603,-0.4375
-0.312482,0.4375,-0.398334,-0.525
-0.291066,0.415625,-0.404922,-0.48125
-0.294839,0.4375,-0.416848,-0.503125
-0.282144,0.415625,-0.420529,-0.371875
-0.277445,0.35,-0.438269,-0.459375
-0.231316,0.371875,-0.432501,-0.35
-0.25351,0.371875,-0.458237,-0.415625
-0.271344,0.371875,-0.443746,-0.371875
-0.216969,0.371875,-0.440885,-0.48125
-0.228987,0.35,-0.414288,-0.525
-0.23301,0.39375,-0.379445,-0.74375
-0.227584,0.35,-0.3732,-0.6125
-0.213186,0.328125,-0.319709,-0.634375
-0.20751,0.284375,-0.289001,-0.721875
-0.193112,0.39375,-0.246663,-0.6125
-0.186709,0.39375,-0.19608,-0.74375
-0.172311,0.35,-0.155195,-0.765625
-0.160094,0.35,-0.117945,-0.65625
-0.168228,0.328125,-0.0894176,-0.634375
-0.147288,0.35,-0.0492602,-0.590625
-0.140885,0.2625,-0.0250935,-0.48125
-0.135209,0.240625,-0.0115796,-0.415625
-0.135348,0.2625,0.00459167,-0.4375
-0.138394,0.196875,0.0164019,-0.371875
-0.150163,0.284375,0.038388,-0.4375
-0.135765,-0.0875,0.026212,0.021875
-0.143172,0.240625,0.034638,-0.0875
-0.130228,0.153125,0.0428139,-0.35
-0.124552,0.21875,0.0371796,-0.2625
-0.118876,0.30625,0.0388139,-0.153125
-0.1132,0.109375,0.0472398,-0.2625
-0.108251,0.065625,0.0401519,-0.153125
-0.101121,0.196875,0.0417861,-0.109375
-0.0772741,0.13125,0.040513,-0.240625
-0.0897694,0.04375,0.0307676,-0.2625
-0.0840935,0.04375,0.0411241,-0.21875
-0.0793944,-0.153125,0.0500269,0.13125
-0.0657231,0.109375,0.0381009,0
-0.0753111,0.065625,0.0717167,-0.13125
-0.0623667,0.0875,0.0537259,-0.04375
-0.0574176,0.109375,0.0948602,-0.175
-0.0764546,0.0875,0.115393,-0.240625
-0.0540611,0.0875,0.14174,-0.21875
-0.049112,0.0875,0.146531,-0.21875
-0.0623343,0.021875,0.178694,-0.021875
-0.0406676,0.065625,0.190504,-0.0875
-0.0357185,0,0.206198,0
-0.0397417,-0.021875,0.210013,-0.175
-0.0536907,-0.021875,0.233703,-0.021875
-0.0400194,0.0875,0.235337,-0.0875
-0.0357972,-0.04375,0.259504,0.48125
-0.00758889,-0.065625,0.246851,0.459375
-0.0266259,0.021875,0.249939,-0.021875
-0.0224037,0.065625,0.251096,0.35
-0.0327185,-0.021875,0.237944,0.48125
-0.0282463,-0.109375,0.212434,0.48125
-0.0245009,0,0.225198,0.503125
-0.0294778,-0.021875,0.196781,0.525
-0.0170102,-0.04375,0.185082,0.590625
-0.0135148,-0.04375,0.17411,0.525
-0.0192185,0,0.167499,0.503125
-0.0154731,0.0875,0.153619,0.525
-0.0306259,0.0875,0.164453,0.109375
-0.00968611,0.109375,0.153481,0.04375
-0.0248389,-0.21875,0.133059,-0.021875
-0.0276352,0.109375,0.132263,-0.021875
-0.0197787,-0.240625,0.127106,0.39375
-0.00876481,0.109375,0.121948,-0.04375
-0.0202833,0.065625,0.120425,0.459375
0.0212583,-0.2625,0.113814,0.56875
-0.0239454,-0.240625,0.112291,0.459375
-0.0202,0.0875,0.113675,0.48125
-0.0179083,-0.065625,0.115059,0
-0.0165935,-0.04375,0.101906,0.04375
-0.0317463,-0.04375,0.11492,0.30625
-0.0301815,0.04375,0.0952259,0.021875
-0.0288667,-0.04375,0.104606,0.459375
-0.0185796,-0.196875,0.0790963,0.371875
-0.0395472,-0.196875,0.0909065,0.175
-0.0149731,-0.065625,0.0951981,0.2625
-0.0366676,-0.04375,0.068962,-0.065625
-0.0205657,-0.04375,0.0732537,-0.109375
-0.0257926,-0.13125,0.0739111,-0.021875
-0.00969074,-0.109375,0.0658463,-0.196875
-0.032112,-0.153125,0.0592352,0.021875
-0.0315241,0.065625,0.0293648,-0.175
-0.0394083,-0.153125,0.046013,0.0875
-0.0298481,-0.13125,0.038925,-0.021875
-0.020538,-0.153125,0.0323139,-0.196875
-0.0371444,-0.021875,0.0133463,-0.153125
-0.0365565,-0.065625,0.017638,0
-0.0269963,-0.065625,0.0103,-0.021875
-0.0436028,-0.13125,0.00321204,-0.021875
-0.0495565,0.04375,-0.00339907,-0.065625
-0.0429037,0,-0.010737,0.13125
-0.0335935,-0.065625,-0.018075,-0.021875
-0.0480194,-0.109375,-0.0246861,-0.196875
-0.0481583,-0.021875,-0.0310472,0.021875
-0.0662185,-0.021875,-0.0369315,-0.021875
-0.0573852,0.021875,-0.0435426,0
-0.0749685,0.04375,-0.0501537,-0.04375
-0.0755843,0.04375,-0.055788,-0.065625
-0.07645,0.065625,-0.0616722,0.04375
-0.0777926,0.0875,-0.0668296,-0.04375
-0.0779315,0.13125,-0.0731907,-0.21875
-0.0795241,-0.065625,-0.0780981,-0.04375
-0.0803898,0.04375,-0.0837324,-0.13125
-0.104265,0.0875,-0.0896167,-0.0875
-0.0818713,0.065625,-0.0952509,-0.065625
-0.0885519,0.065625,-0.100885,-0.175
-0.0901444,-0.0875,-0.105793,-0.35
-0.117904,0.0875,-0.1107,-0.175
-0.0930796,0.109375,-0.114881,-0.153125
-0.0946722,0.0875,-0.120038,-0.21875
-0.113709,0.065625,-0.124945,-0.175
-0.10658,0.0875,-0.129853,-0.284375
-0.09945,0.109375,-0.13476,-0.196875
-0.142473,0.065625,-0.138941,-0.196875
-0.153265,0.109375,-0.142394,-0.21875
-0.146862,0.109375,-0.153117,-0.196875
-0.139732,0.0875,-0.150756,-0.196875
-0.159496,0.0875,-0.155186,-0.35
-0.161816,0.109375,-0.15864,-0.21875
-0.164135,0.13125,-0.162094,-0.196875
-0.125751,0.109375,-0.166274,-0.21875
-0.145265,0.153125,-0.169728,-0.415625
-0.162848,0.0875,-0.173181,-0.240625
-0.188427,0.153125,-0.199894,-0.240625
-0.15295,0.196875,-0.203348,-0.459375
-0.169806,0.153125,-0.211163,-0.2625
-0.213556,0.153125,-0.205168,-0.56875
-0.160635,0.21875,-0.217344,-0.371875
-0.186941,0.153125,-0.194631,-0.21875
-0.158006,0.21875,-0.19445,-0.459375
-0.201029,0.153125,-0.197904,-0.503125
-0.204802,0.196875,-0.202084,-0.39375
-0.198149,0.196875,-0.221529,-0.4375
-0.183751,0.196875,-0.232978,-0.2625
-0.204242,0.196875,-0.235705,-0.284375
-0.166584,0.196875,-0.229709,-0.2625
-0.187802,0.153125,-0.224441,-0.48125
-0.237367,0.109375,-0.233709,-0.48125
-0.198982,0.196875,-0.217538,-0.503125
-0.202756,0.175,-0.238436,-0.2625
-0.261043,0.2625,-0.222265,-0.4375
-0.20376,0.196875,-0.224265,-0.284375
-0.212621,0.175,-0.229899,-0.56875
-0.233112,0.2625,-0.229469,-0.56875
-0.268867,0.240625,-0.238737,-0.328125
