angle_1_e angle_1_t d_theta_1_t angle_2_e angle_2_t d_theta_2_t
-1.15086 -1.16889 0 1.75233 1.73218 0
-1.15065 -1.16889 0 1.75237 1.73218 0
-1.15045 -1.16889 0 1.75241 1.73218 0
-1.15025 -1.16884 0.0377963 1.75245 1.73215 0
-1.15004 -1.16878 0.0610556 1.75249 1.73215 -0.0552407
-1.14984 -1.16872 0.0610556 1.75253 1.73212 0
-1.14963 -1.16872 0 1.75257 1.73215 0
-1.14943 -1.16872 0 1.75261 1.73218 0
-1.14922 -1.16866 0 1.75265 1.73218 0
-1.14902 -1.1686 0.0610556 1.75269 1.73215 -0.0610556
-1.14881 -1.16849 0.0465185 1.75272 1.73212 -0.0465185
-1.14861 -1.1684 0.0872222 1.75276 1.73212 -0.0290741
-1.14841 -1.16834 0.0552407 1.7528 1.73218 -0.0610556
-1.1482 -1.16831 0 1.75284 1.73229 -0.0872222
-1.148 -1.16828 0.0290741 1.75288 1.73244 -0.110481
-1.14779 -1.16823 0.0552407 1.75292 1.7327 -0.119204
-1.14759 -1.16796 0.093037 1.75296 1.73273 -0.125019
-1.14738 -1.16776 0.0872222 1.75299 1.7329 -0.165722
-1.14718 -1.16767 0.0290741 1.75303 1.73316 -0.183167
-1.14697 -1.16761 0 1.75307 1.73345 -0.197704
-1.14677 -1.1675 0.0465185 1.75311 1.73366 -0.197704
-1.14656 -1.16729 0.125019 1.75315 1.73383 -0.220963
-1.14636 -1.16703 0.165722 1.75318 1.73395 -0.220963
-1.14615 -1.16686 0.119204 1.75322 1.73412 -0.215148
-1.14595 -1.16674 0.0872222 1.75326 1.73436 -0.220963
-1.14574 -1.16666 0.0610556 1.7533 1.73462 -0.215148
-1.14554 -1.16654 0.0377963 1.75333 1.73488 -0.238407
-1.14535 -1.16634 0.093037 1.75339 1.73505 -0.220963
-1.14516 -1.16607 0.157 1.75346 1.73514 -0.206426
-1.14497 -1.16581 0.157 1.75353 1.73526 -0.229685
-1.14478 -1.16555 0.142463 1.75359 1.73534 -0.197704
-1.1446 -1.16538 0.119204 1.75366 1.73552 -0.220963
-1.14441 -1.1652 0.101759 1.75373 1.73569 -0.238407
-1.14422 -1.16503 0.110481 1.75379 1.73587 -0.220963
-1.14404 -1.16485 0.125019 1.75386 1.73604 -0.215148
-1.14385 -1.16459 0.125019 1.75392 1.73613 -0.229685
-1.14366 -1.16436 0.142463 1.75399 1.7363 -0.238407
-1.14347 -1.16413 0.174444 1.75406 1.73645 -0.261667
-1.14329 -1.16389 0.157 1.75412 1.73665 -0.270389
-1.1431 -1.16366 0.157 1.75419 1.73683 -0.284926
