angle_1_e,angle_1_t,d_theta_1_t,angle_2_e,angle_2_t,d_theta_2_t
-1.15086,-1.18154,0,1.75233,1.71319,0
-1.15065,-1.18154,0,1.75237,1.71319,0
-1.15045,-1.18154,0,1.75241,1.71319,0
-1.15025,-1.18148,0.0697778,1.75245,1.71316,-0.0465185
-1.15004,-1.1814,0.0552407,1.75249,1.71313,-0.0232593
-1.14984,-1.18131,0.0377963,1.75253,1.71307,-0.0552407
-1.14963,-1.18125,0.0697778,1.75257,1.71307,-0.0610556
-1.14943,-1.18119,0.0610556,1.75261,1.71307,-0.0697778
-1.14922,-1.18111,0.0232593,1.75265,1.71307,-0.0552407
-1.14902,-1.18105,0.0377963,1.75269,1.71316,-0.0872222
-1.14881,-1.18093,0.0785,1.75272,1.71322,-0.101759
-1.14861,-1.18084,0.0465185,1.75276,1.71328,-0.093037
-1.14841,-1.18073,0.0785,1.7528,1.71334,-0.110481
-1.1482,-1.18064,0.0610556,1.75284,1.71345,-0.125019
-1.148,-1.18052,0.0872222,1.75288,1.71357,-0.133741
-1.14779,-1.18041,0.0610556,1.75292,1.71365,-0.151185
-1.14759,-1.18029,0.0785,1.75296,1.7138,-0.165722
-1.14738,-1.18015,0.0552407,1.75299,1.71395,-0.183167
-1.14718,-1.18003,0.0785,1.75303,1.71409,-0.188981
-1.14697,-1.17991,0.110481,1.75307,1.71429,-0.188981
-1.14677,-1.17974,0.101759,1.75311,1.71441,-0.197704
-1.14656,-1.17959,0.093037,1.75315,1.71459,-0.197704
-1.14636,-1.17945,0.110481,1.75318,1.71479,-0.215148
-1.14615,-1.17927,0.110481,1.75322,1.71493,-0.229685
-1.14595,-1.17907,0.110481,1.75326,1.7152,-0.238407
-1.14574,-1.17887,0.110481,1.7533,1.71546,-0.238407
-1.14554,-1.17863,0.110481,1.75333,1.71575,-0.252944
-1.14535,-1.17843,0.110481,1.75339,1.71598,-0.261667
-1.14516,-1.17823,0.110481,1.75346,1.71618,-0.252944
-1.14497,-1.17802,0.125019,1.75353,1.71639,-0.293648
-1.14478,-1.17785,0.119204,1.75359,1.71659,-0.252944
-1.1446,-1.17765,0.125019,1.75366,1.71679,-0.261667
-1.14441,-1.17747,0.110481,1.75373,1.717,-0.24713
-1.14422,-1.1773,0.119204,1.75379,1.71723,-0.252944
-1.14404,-1.17712,0.133741,1.75386,1.71743,-0.252944
-1.14385,-1.17692,0.119204,1.75392,1.71764,-0.252944
-1.14366,-1.17671,0.133741,1.75399,1.71781,-0.252944
-1.14347,-1.17654,0.119204,1.75406,1.71802,-0.252944
-1.14329,-1.17634,0.125019,1.75412,1.71822,-0.279111
-1.1431,-1.17613,0.110481,1.75419,1.71842,-0.279111
-1.14291,-1.17596,0.110481,1.75425,1.71868,-0.284926
-1.14272,-1.17578,0.125019,1.75432,1.71898,-0.311093
-1.14253,-1.17558,0.119204,1.75438,1.71927,-0.293648
-1.14235,-1.17541,0.157,1.75445,1.71956,-0.311093
-1.14216,-1.1752,0.119204,1.75451,1.71985,-0.32563
-1.14197,-1.17503,0.119204,1.75458,1.72017,-0.32563
-1.14178,-1.17485,0.125019,1.75465,1.72057,-0.32563
-1.14159,-1.17459,0.119204,1.75471,1.72107,-0.316907
-1.14141,-1.17433,0.110481,1.75478,1.7215,-0.316907
-1.14122,-1.17407,0.142463,1.75484,1.72188,-0.30237
-1.14103,-1.17381,0.133741,1.7549,1.7222,-0.261667
-1.14084,-1.17355,0.125019,1.75497,1.72249,-0.252944
-1.14065,-1.17328,0.110481,1.75503,1.72267,-0.215148
-1.14047,-1.17302,0.101759,1.7551,1.72287,-0.215148
-1.14028,-1.17279,0.119204,1.75516,1.72302,-0.174444
-1.14009,-1.17259,0.110481,1.75523,1.7231,-0.183167
-1.1399,-1.17232,0.125019,1.75529,1.72328,-0.142463
-1.13971,-1.17203,0.125019,1.75536,1.72334,-0.165722
-1.13952,-1.17177,0.119204,1.75542,1.72354,-0.174444
-1.13934,-1.17154,0.093037,1.75548,1.72369,-0.188981
-1.13915,-1.17131,0.125019,1.75555,1.72386,-0.188981
