torque_1,torque_1_t,torque_2,torque_2_t
-0.613623,0.21875,-0.782804,0.109375
-0.617823,0.21875,-0.783604,-0.153125
-0.621823,0.30625,-0.784404,-0.4375
-0.554882,0.30625,-0.809045,-0.196875
-0.571875,0.328125,-0.798797,-0.48125
-0.591575,0.4375,-0.816751,-0.48125
-0.56263,0.525,-0.820458,-0.415625
-0.57419,0.546875,-0.825619,-0.634375
-0.614441,0.546875,-0.819151,-0.678125
-0.602741,0.634375,-0.834197,-0.896875
-0.563912,0.74375,-0.840903,-0.853125
-0.598149,0.809375,-0.836179,-0.546875
-0.567841,0.7875,-0.844538,-0.546875
-0.587741,0.7875,-0.85028,-1.05
-0.563249,0.809375,-0.853116,-0.6125
-0.59129,0.7875,-0.860893,-0.853125
-0.575519,0.7875,-0.866054,-0.721875
-0.600071,0.7,-0.872469,-0.7
-0.578486,0.7875,-0.873269,-0.940625
-0.548379,0.7875,-0.869999,-0.678125
-0.557612,0.74375,-0.872834,-0.678125
-0.567627,0.765625,-0.870145,-0.74375
-0.551275,0.74375,-0.875397,-0.678125
-0.551986,0.765625,-0.880558,-0.765625
-0.551916,0.721875,-0.880486,-0.940625
-0.552045,0.83125,-0.876053,-0.74375
-0.551393,0.74375,-0.878106,-0.74375
-0.551123,0.678125,-0.879016,-0.809375
-0.550853,0.765625,-0.871984,-1.1375
-0.536045,0.721875,-0.889666,-1.42188
-0.542171,0.721875,-0.866443,-0.875
-0.535886,0.74375,-0.868134,-0.9625
-0.550734,0.721875,-0.858195,-1.00625
-0.542323,0.721875,-0.857651,-0.940625
-0.527897,0.7,-0.85498,-1.26875
-0.542164,0.721875,-0.85211,-0.91875
-0.527356,0.74375,-0.850021,-1.18125
-0.542204,0.721875,-0.847351,-1.07187
-0.535919,0.721875,-0.857564,-0.896875
-0.550186,0.765625,-0.854893,-0.896875
-0.550497,0.74375,-0.853767,-0.875
-0.536271,0.765625,-0.862436,-0.875
-0.541816,0.721875,-0.849099,-0.7875
-0.50413,0.765625,-0.853406,-0.853125
-0.541656,0.721875,-0.85606,-0.853125
-0.541967,0.74375,-0.851064,-1.20312
-0.536464,0.74375,-0.844323,-1.24687
-0.540845,0.940625,-0.831277,-1.24687
-0.547934,1.02812,-0.823954,-1.24687
-0.514519,0.809375,-0.810327,-1.3125
-0.521808,0.65625,-0.784779,-1.18125
-0.529097,0.765625,-0.776003,-1.1375
-0.542201,0.809375,-0.754816,-1.18125
-0.54929,0.875,-0.752145,-1.1375
-0.530993,0.7875,-0.730086,-1.20312
-0.539445,0.7875,-0.734103,-0.984375
-0.523475,0.765625,-0.711462,-1.05
-0.52146,0.678125,-0.723329,-1.05
-0.525841,0.765625,-0.724819,-0.984375
-0.550956,0.940625,-0.73038,-1.00625
-0.518123,0.7875,-0.728291,-0.896875
-0.522504,0.56875,-0.742575,-0.984375
-0.521653,0.721875,-0.739323,-0.590625
-0.505482,0.765625,-0.742177,-0.984375
-0.50443,0.74375,-0.739706,-0.984375
-0.50396,0.74375,-0.763112,-1.05
-0.50349,0.284375,-0.742706,-0.984375
-0.501275,0.721875,-0.758262,-0.984375
-0.489756,0.6125,-0.77876,-0.9625
-0.488123,0.6125,-0.752449,-0.9625
-0.485327,0.721875,-0.755503,-0.940625
-0.473808,0.809375,-0.764953,-0.9625
-0.465197,0.765625,-0.754432,-1.00625
-0.444956,0.590625,-0.754579,-0.984375
-0.459604,0.590625,-0.755306,-1.00625
-0.447504,0.6125,-0.755743,-1.05
-0.420286,0.678125,-0.756471,-1.00625
-0.432608,0.634375,-0.752929,-0.984375
-0.437371,0.65625,-0.767321,-1.05
-0.411897,0.56875,-0.755256,-0.940625
-0.414916,0.765625,-0.743773,-1.00625
-0.430145,0.56875,-0.742266,-0.6125
-0.417464,0.6125,-0.731364,-1.00625
-0.432112,0.56875,-0.72744,-0.984375
-0.401404,0.590625,-0.691243,-0.9625
-0.416634,0.56875,-0.68741,-1.07187
-0.395812,0.56875,-0.67709,-1.02812
-0.393216,0.56875,-0.661245,-1.02812
-0.407282,0.634375,-0.652469,-1.00625
-0.38646,0.546875,-0.640114,-0.940625
-0.391223,0.56875,-0.634154,-1.02812
-0.379123,0.65625,-0.62218,-1.02812
-0.375164,0.2625,-0.601684,-0.853125
-0.38109,0.546875,-0.598632,-0.721875
-0.369571,0.48125,-0.589275,-0.875
-0.375497,0.7,-0.59291,-0.875
-0.363397,0.590625,-0.580264,-0.721875
-0.392582,0.56875,-0.577012,-0.634375
-0.374867,0.56875,-0.56989,-0.809375
-0.373234,0.525,-0.569545,-0.9625
-0.37916,0.721875,-0.571727,-0.74375
-0.376945,0.56875,-0.552393,-0.74375
-0.357867,0.56875,-0.56804,-0.83125
-0.364375,0.546875,-0.56964,-0.809375
-0.338901,0.56875,-0.569877,-0.459375
-0.374482,0.39375,-0.568188,-0.853125
-0.372649,0.546875,-0.575512,-0.634375
-0.370816,0.6125,-0.576349,-0.765625
-0.368401,0.546875,-0.576986,-0.65625
-0.38343,0.56875,-0.584601,-0.7875
-0.372493,0.48125,-0.583493,-0.809375
-0.337516,0.48125,-0.58413,-0.853125
-0.359523,0.459375,-0.590873,-0.83125
-0.357108,0.546875,-0.574356,-0.984375
-0.363616,0.459375,-0.574412,-0.6125
-0.347827,0.546875,-0.590458,-0.4375
-0.370416,0.4375,-0.570162,-0.721875
-0.36006,0.459375,-0.57516,-0.809375
-0.34369,0.48125,-0.563586,-0.459375
-0.355812,0.503125,-0.560443,-0.7875
-0.330719,0.634375,-0.56108,-0.809375
-0.352345,0.48125,-0.566079,-0.74375
-0.358071,0.459375,-0.552469,-0.765625
-0.356819,0.525,-0.560375,-0.940625
-0.354023,0.7,-0.556069,-0.678125
-0.360912,0.459375,-0.552927,-0.765625
-0.349775,0.35,-0.55589,-0.809375
-0.371982,0.48125,-0.557108,-0.765625
-0.355612,0.546875,-0.55949,-0.91875
-0.353779,0.546875,-0.554403,-0.503125
-0.359123,0.503125,-0.55911,-0.809375
-0.352638,0.4375,-0.54928,-0.7875
-0.365341,0.284375,-0.556023,-0.853125
-0.34103,0.48125,-0.558404,-0.765625
-0.339197,0.56875,-0.557006,-0.74375
-0.369927,0.459375,-0.563749,-0.371875
-0.370038,0.525,-0.564386,-0.765625
-0.360064,0.503125,-0.558045,-0.7875
-0.351253,0.415625,-0.564006,-0.765625
-0.367645,0.525,-0.565225,-0.809375
-0.366393,0.678125,-0.578654,-0.721875
-0.381623,0.525,-0.581908,-0.7875
-0.357112,0.39375,-0.586325,-0.853125
-0.364582,0.634375,-0.591123,-0.74375
-0.388534,0.4375,-0.589434,-0.7875
-0.379141,0.503125,-0.604317,-0.74375
-0.347271,0.4375,-0.609316,-0.765625
-0.387886,0.459375,-0.607045,-0.7875
-0.379275,0.284375,-0.612134,-0.809375
-0.364649,0.503125,-0.605503,-0.765625
-0.387819,0.546875,-0.602069,-0.765625
-0.373393,0.65625,-0.620732,-0.7875
-0.388423,0.546875,-0.601108,-0.809375
-0.388534,0.459375,-0.594767,-0.721875
-0.389027,0.503125,-0.59744,-0.765625
-0.389719,0.65625,-0.592643,-0.896875
-0.407856,0.546875,-0.584067,-0.809375
-0.408549,0.546875,-0.584214,-0.91875
-0.391597,0.56875,-0.566534,-0.853125
-0.425434,0.56875,-0.568425,-0.721875
-0.43543,0.56875,-0.546184,-0.91875
-0.38786,0.56875,-0.548656,-0.7
-0.406579,0.590625,-0.546767,-0.634375
-0.399512,0.56875,-0.537319,-0.590625
-0.424627,0.634375,-0.520803,-0.525
-0.443927,0.56875,-0.525019,-0.459375
-0.437641,0.634375,-0.519351,-0.525
