torque_1 torque_1_t torque_2 torque_2_t
-0.811525 0.328125 -0.604637 -0.13125
-0.820975 0.546875 -0.605837 -0.0875
-0.829975 0.48125 -0.607037 -0.30625
-0.609581 0.546875 -0.609109 -0.371875
-0.476858 0.56875 -0.621357 -0.415625
-0.483242 0.546875 -0.612381 -0.546875
-0.859025 0.590625 -0.612709 -0.503125
-0.868025 0.721875 -0.613037 -0.56875
-0.874858 0.809375 -0.614237 -0.590625
-0.514908 0.875 -0.62852 -0.56875
-0.606347 0.721875 -0.627385 -0.7
-0.3672 0.7875 -0.625096 -0.65625
-0.565472 0.721875 -0.630948 -0.65625
-0.905058 0.83125 -0.633892 -0.765625
-0.738306 0.875 -0.635383 -0.765625
-0.588139 1.00625 -0.630477 -0.875
-0.358586 0.83125 -0.631968 -0.809375
-0.393767 0.809375 -0.635776 -0.7875
-0.747731 0.6125 -0.632614 -0.896875
-0.929008 0.74375 -0.628 -0.7
-0.653664 0.91875 -0.623094 -0.896875
-0.182956 0.74375 -0.623713 -1.00625
0.0640417 0.503125 -0.621124 -0.896875
-0.216669 0.503125 -0.615927 -0.853125
-0.412325 0.525 -0.611313 -0.809375
-0.57485 0.590625 -0.6035 -1.02812
-0.718172 0.56875 -0.601201 -1.02812
-0.386119 0.65625 -0.594279 -0.7875
0.000883333 0.525 -0.590855 -0.765625
0.00410833 0.39375 -0.594118 -1.11563
-0.0798889 0.30625 -0.586905 -0.809375
-0.219694 0.328125 -0.588424 -0.678125
-0.325061 0.284375 -0.588779 -0.74375
-0.273428 0.35 -0.581857 -0.83125
-0.186456 0.371875 -0.577561 -0.721875
-0.183231 0.284375 -0.579651 -0.678125
-0.0766472 0.328125 -0.578263 -0.7
0.117158 0.21875 -0.580653 -0.7
0.0148583 0.13125 -0.578092 -0.65625
0.016775 0.153125 -0.577866 -0.65625
-0.174506 0.0875 -0.575305 -0.634375
-0.175206 0.0875 -0.566066 -0.74375
-0.122264 0.196875 -0.561761 -0.6125
0.01835 0.065625 -0.560663 -0.678125
0.179883 0.021875 -0.555194 -0.65625
0.217997 0.109375 -0.551189 -0.678125
0.028025 -0.065625 -0.543694 -0.590625
-0.110922 -0.021875 -0.539389 -0.7
-0.198394 -0.021875 -0.528114 -0.65625
-0.303761 -0.021875 -0.525553 -0.74375
-0.163597 0.175 -0.524737 -0.721875
0.0825417 0.0875 -0.517242 -0.678125
0.384939 -0.04375 -0.517007 -0.678125
0.232922 -0.153125 -0.514746 -0.678125
0.148925 -0.196875 -0.51044 -0.74375
-0.235553 -0.0875 -0.506144 -0.65625
-0.149031 0.21875 -0.503583 -0.65625
-0.185928 -0.0875 -0.50045 -0.74375
-0.149122 0.415625 -0.4944 -0.7
0.098775 0.196875 -0.497944 -0.678125
0.206667 0.065625 -0.497427 -0.809375
0.0528917 -0.2625 -0.494866 -0.6125
-0.0860556 -0.284375 -0.49435 -0.634375
-0.172219 0.153125 -0.489181 -0.590625
-0.329469 -0.21875 -0.491872 -0.56875
-0.0841889 0.175 -0.48962 -0.590625
-0.0831306 0.153125 -0.487359 -0.6125
0.0587917 0.0875 -0.493248 -0.590625
0.0249611 0.0875 -0.48867 -0.634375
-0.167178 -0.196875 -0.48729 -0.6125
-0.272094 0.175 -0.48969 -0.56875
-0.132789 0.30625 -0.491509 -0.7
-0.272594 -0.13125 -0.489829 -0.7
-0.217894 0.240625 -0.48874 -0.7
0.0273861 0.196875 -0.493757 -0.590625
-0.128556 0.13125 -0.494122 -0.590625
-0.0241389 0.240625 -0.494777 -0.2625
-0.268611 -0.04375 -0.494261 -0.634375
-0.219144 0.175 -0.495789 -0.721875
-0.271728 0.30625 -0.499933 -0.721875
-0.273286 0.21875 -0.499426 -0.56875
-0.360758 0.415625 -0.504142 -0.896875
-0.132922 0.35 -0.50189 -0.678125
-0.221703 0.503125 -0.512431 -0.83125
-0.223261 0.30625 -0.512214 -0.765625
-0.223511 0.56875 -0.511407 -0.74375
-0.469292 0.35 -0.520203 -0.65625
-0.610856 0.503125 -0.517079 -0.7875
-0.470242 0.35 -0.527029 -0.2625
-0.367133 0.590625 -0.523905 -0.678125
-0.366075 0.590625 -0.53619 -0.765625
-0.419967 0.13125 -0.535383 -0.940625
-0.669672 0.459375 -0.545342 -0.415625
-0.814711 0.6125 -0.540474 -1.05
-0.624381 0.6125 -0.543446 -0.91875
-0.3791 0.853125 -0.554859 -0.765625
-0.432992 0.65625 -0.550572 -0.721875
-0.681389 0.65625 -0.560231 -0.7
-0.9141 0.7 -0.557107 -0.765625
-0.688881 0.896875 -0.56037 -0.30625
-0.389958 0.853125 -0.562479 -0.74375
-0.441233 0.765625 -0.571276 -0.65625
-0.917717 0.853125 -0.570177 -0.7875
-0.925817 0.875 -0.568216 -0.678125
-0.366536 0.984375 -0.5677 -0.74375
-0.168356 0.74375 -0.576796 -0.9625
-0.394933 0.678125 -0.578624 -0.74375
-0.925917 0.6125 -0.572029 -0.853125
-0.93095 0.83125 -0.56717 -0.74375
-0.178022 0.853125 -0.566381 -0.678125
0.077725 0.678125 -0.574314 -0.678125
-0.163681 0.415625 -0.573816 -0.634375
-0.918825 0.459375 -0.564305 -0.678125
-0.926475 0.678125 -0.556539 -1.00625
-0.557775 0.875 -0.553424 -0.721875
0.271472 0.7875 -0.551763 -0.721875
0.231114 0.196875 -0.548357 -0.721875
-0.540617 0.371875 -0.545242 -0.48125
-0.913292 0.415625 -0.530207 -0.83125
-0.917017 0.56875 -0.517207 -0.678125
0.142933 0.875 -0.517581 -0.765625
0.434878 0.6125 -0.51214 -0.525
-0.0830222 0.240625 -0.509607 -0.9625
-0.891808 0.284375 -0.497479 -0.74375
-0.899908 0.590625 -0.484189 -0.765625
-0.430017 0.371875 -0.480783 -0.48125
0.239614 0.503125 -0.480866 -0.546875
0.494053 0.328125 -0.479787 -0.546875
-0.0251556 0.21875 -0.48365 -0.91875
-0.884967 0.0875 -0.472966 -0.65625
-0.893067 0.503125 -0.46142 -0.896875
-0.860594 0.525 -0.465283 -0.48125
0.156617 0.7875 -0.466239 -0.678125
0.498278 0.35 -0.467194 -0.7
0.313131 0.35 -0.473383 -0.9625
-0.352175 0.0875 -0.463872 -0.678125
-0.884917 0.415625 -0.451453 -0.30625
-0.893875 0.459375 -0.443687 -0.65625
-0.229478 0.74375 -0.440853 -0.875
0.1619 0.415625 -0.440646 -0.634375
0.253247 0.371875 -0.445963 -0.634375
-0.267719 0.109375 -0.442266 -0.590625
-0.885925 0.415625 -0.436244 -0.634375
-0.893575 0.721875 -0.431376 -0.2625
-0.617331 0.65625 -0.425935 -0.6125
0.0161028 0.6125 -0.440264 -0.875
0.109617 0.13125 -0.44907 -0.30625
-0.220319 0.371875 -0.456131 -0.74375
-0.89 0.196875 -0.445448 -0.21875
-0.89765 0.503125 -0.447276 -0.6125
-0.903992 0.7 -0.450848 -0.765625
-0.0442306 0.853125 -0.46227 -0.7
0.20935 0.21875 -0.476009 -0.74375
-0.0861472 0.56875 -0.484814 -0.65625
-0.894933 0.546875 -0.488387 -0.590625
-0.904342 0.678125 -0.489914 -0.853125
-0.911133 0.74375 -0.493187 -0.678125
-0.0513722 0.809375 -0.504309 -0.65625
0.148567 0.175 -0.517476 -0.83125
