angle_1_e,angle_1_t,d_theta_1_t,angle_2_e,angle_2_t,d_theta_2_t
-1.18489,-1.2123,0,2.03546,1.99937,0
-1.18465,-1.2123,0,2.03552,1.99937,0
-1.18442,-1.21227,0,2.03558,1.99937,0
-1.18419,-1.21213,0.00232593,2.03564,1.99942,0.000116296
-1.18396,-1.21201,0.00366333,2.0357,1.99969,0.000293648
-1.18373,-1.21184,0.00740517,2.03576,2.00001,0.000649224
-1.1835,-1.21172,0.0109599,2.03582,2.00044,0.00116476
-1.18327,-1.2116,0.0143369,2.03588,2.00094,0.00182337
-1.18303,-1.21146,0.0175451,2.03594,2.00152,0.00260945
-1.1828,-1.21131,0.0210289,2.036,2.00216,0.00353042
-1.18257,-1.21117,0.0239025,2.03606,2.003,0.00454903
-1.18234,-1.21102,0.0270685,2.03612,2.00396,0.005675
-1.18211,-1.21088,0.0303669,2.03617,2.00504,0.00690959
-1.18188,-1.21073,0.0327735,2.03623,2.00623,0.00820279
-1.18164,-1.21056,0.0362228,2.03629,2.00771,0.00960379
-1.18141,-1.21038,0.0379006,2.03635,2.00919,0.0110186
-1.18118,-1.21021,0.0415296,2.03641,2.01076,0.0125442
-1.18095,-1.20995,0.0457041,2.03647,2.01245,0.0142022
-1.18072,-1.20968,0.050542,2.03653,2.01405,0.0160192
-1.18048,-1.20939,0.056301,2.03658,2.01571,0.0180333
-1.18025,-1.2091,0.0617721,2.03664,2.01698,0.0202202
-1.18002,-1.20881,0.0681326,2.0367,2.01806,0.0226158
-1.17979,-1.20849,0.0738843,2.03676,2.01908,0.0251792
-1.17956,-1.20814,0.0805113,2.03682,2.02001,0.0279458
-1.17932,-1.20777,0.0872432,2.03688,2.02079,0.0309107
-1.17909,-1.20727,0.0948014,2.03693,2.02129,0.0341052
-1.17886,-1.20681,0.101546,2.03699,2.02167,0.0374773
-1.17863,-1.20631,0.109116,2.03705,2.02181,0.0410592
-1.17839,-1.20582,0.116307,2.03711,2.02184,0.0448216
-1.17816,-1.20529,0.123575,2.03716,2.02172,0.0487592
-1.17793,-1.20474,0.130043,2.03722,2.02146,0.0528234
-1.1777,-1.20431,0.136625,2.03728,2.02123,0.0570135
-1.17746,-1.20378,0.142877,2.03734,2.02091,0.0613067
-1.17723,-1.20326,0.149252,2.0374,2.02056,0.0657039
-1.17702,-1.20277,0.155745,2.03749,2.02021,0.070206
-1.1768,-1.2023,0.160605,2.03757,2.01995,0.074726
-1.17659,-1.20186,0.166094,2.03766,2.01969,0.0792944
-1.17637,-1.20134,0.170437,2.03775,2.0194,0.0838515
-1.17615,-1.20085,0.174562,2.03783,2.01917,0.0883871
-1.17594,-1.20032,0.178191,2.03792,2.01899,0.0928772
-1.17572,-1.19986,0.181638,2.038,2.0189,0.0973153
-1.17551,-1.19939,0.184476,2.03809,2.01885,0.101673
-1.17529,-1.19893,0.187173,2.03817,2.01887,0.105948
-1.17507,-1.19849,0.189734,2.03826,2.01905,0.110138
-1.17486,-1.19806,0.191732,2.03834,2.01925,0.114217
-1.17464,-1.19771,0.192903,2.03843,2.0196,0.118152
-1.17442,-1.1973,0.193579,2.03851,2.02001,0.121923
-1.17421,-1.19695,0.194657,2.0386,2.02062,0.12556
-1.17399,-1.19657,0.194374,2.03868,2.02129,0.129
-1.17377,-1.19622,0.193813,2.03877,2.02199,0.132241
-1.17356,-1.19587,0.193572,2.03885,2.02277,0.135308
-1.17334,-1.19553,0.193342,2.03894,2.0237,0.138209
-1.17312,-1.19524,0.193124,2.03902,2.02469,0.140955
-1.1729,-1.19489,0.191754,2.03911,2.02571,0.143495
-1.17269,-1.1946,0.190452,2.03919,2.0269,0.145843
-1.17247,-1.19428,0.188489,2.03928,2.02806,0.147975
-1.17225,-1.19398,0.186188,2.03936,2.0292,0.149886
-1.17204,-1.19367,0.184728,2.03945,2.0303,0.151628
-1.17182,-1.1934,0.183051,2.03953,2.03129,0.153199
-1.1716,-1.19311,0.180586,2.03961,2.03222,0.154568
-1.17138,-1.19285,0.178243,2.0397,2.03306,0.155752
-1.17117,-1.19256,0.176891,2.03978,2.03362,0.156809
-1.17095,-1.19236,0.175169,2.03987,2.0342,0.157727
-1.17073,-1.1921,0.173534,2.03995,2.03469,0.158517
-1.17051,-1.19186,0.171544,2.04003,2.03501,0.159169
-1.1703,-1.19163,0.169218,2.04012,2.03533,0.159671
-1.17008,-1.19137,0.16788,2.0402,2.03556,0.160082
-1.16986,-1.19108,0.166609,2.04028,2.03568,0.160408
-1.16964,-1.19084,0.164239,2.04037,2.03574,0.1606
-1.16942,-1.19061,0.161987,2.04045,2.03577,0.160669
-1.16921,-1.19038,0.160139,2.04053,2.03571,0.160642
-1.16899,-1.19021,0.156784,2.04062,2.03562,0.16045
-1.16877,-1.18997,0.155195,2.0407,2.03548,0.160187
-1.16855,-1.1898,0.152524,2.04078,2.0353,0.159804
-1.16833,-1.18962,0.148822,2.04087,2.03513,0.159255
