torque_1,torque_1_t,torque_2,torque_2_t
0.994,0.240625,1.13914,-0.7
1.0024,0.525,1.14124,-0.6125
1.00943,0.74375,1.14436,-1.00625
1.00178,0.853125,1.1464,-0.984375
0.995877,1.05,1.14535,-1.18125
0.979221,1.09375,1.14319,-1.1375
0.961315,1.18125,1.13687,-1.18125
0.942948,1.225,1.12741,-1.18125
0.919404,1.18125,1.11276,-1.20312
0.897965,1.225,1.09496,-1.29062
0.882006,1.225,1.07201,-1.18125
0.871543,1.225,1.04395,-1.1375
0.855886,1.20312,1.00938,-1.09375
0.838928,1.20312,0.971029,-1.05
0.825445,1.20312,0.929583,-1.09375
0.810221,1.15938,0.885039,-1.07187
0.79382,1.02812,0.838422,-1.09375
0.768059,1.00625,0.788667,-1.07187
0.740093,1.02812,0.741885,-1.07187
0.716239,0.984375,0.695708,-1.1375
0.681707,0.940625,0.652832,-1.225
0.647726,0.896875,0.616992,-1.1375
0.607677,0.875,0.587148,-1.225
0.568353,0.56875,0.560262,-1.20312
0.526385,0.721875,0.540399,-1.1375
0.478989,0.590625,0.528212,-1.1375
0.435586,0.48125,0.519327,-1.07187
0.392009,0.459375,0.518498,-0.940625
0.350549,0.56875,0.52065,-1.02812
0.311435,0.590625,0.524426,-0.9625
0.264904,0.546875,0.532533,-0.896875
0.228283,0.503125,0.543658,-0.875
0.182237,0.48125,0.554706,-0.896875
0.147875,0.328125,0.567775,-0.83125
0.106074,0.328125,0.582866,-0.896875
0.0698489,0.30625,0.596572,-0.809375
0.0399841,0.328125,0.609621,-0.7875
0.00817247,0.284375,0.620629,-0.765625
-0.0122509,0.35,0.632357,-0.809375
-0.0281655,0.2625,0.638392,-0.74375
-0.0474441,0.39375,0.646164,-0.74375
-0.0608175,0.328125,0.651303,-0.809375
-0.0759374,0.153125,0.655136,-0.7875
-0.0917917,0.13125,0.656316,-0.74375
-0.104863,-0.284375,0.655177,-0.7875
-0.117712,-0.021875,0.652413,-0.7875
-0.124525,-0.30625,0.646321,-0.721875
-0.130359,0.153125,0.636592,-0.721875
-0.12998,-0.021875,0.623569,-0.6125
-0.134642,-0.30625,0.606899,-0.940625
-0.135962,-0.30625,0.587932,-0.590625
-0.130517,-0.30625,0.565359,-0.7
-0.126681,0.021875,0.540498,-0.590625
-0.115165,0.30625,0.510012,-0.56875
-0.102664,-0.503125,0.476242,-0.56875
-0.0946934,0.415625,0.442923,-0.503125
-0.0808486,0,0.408351,-0.525
-0.0734469,-0.109375,0.375228,-0.459375
-0.0673185,-0.35,0.340804,-0.503125
-0.0571576,0.0875,0.308498,-0.6125
-0.0463637,0.2625,0.276628,-0.546875
-0.0366778,0.109375,0.24753,-0.634375
-0.0213001,0.109375,0.221926,-0.525
-0.0102967,-0.21875,0.200107,-0.6125
0.000621534,-0.109375,0.182426,-0.503125
0.0138199,-0.065625,0.166183,-0.590625
0.0267198,0.240625,0.156779,-0.634375
0.0343516,0.240625,0.152502,-0.546875
0.0462317,-0.109375,0.151682,-0.56875
0.0539123,0.175,0.153595,-0.56875
0.0576896,-0.109375,0.16163,-0.56875
0.0615885,-0.0875,0.171048,-0.4375
0.0699223,-0.153125,0.182181,-0.546875
0.0710358,0.415625,0.195347,-0.459375
0.0842827,0.021875,0.205859,-0.39375
0.0915683,0.240625,0.216043,-0.415625
0.10253,-0.13125,0.226268,-0.415625
0.111124,0.30625,0.236517,-0.371875
0.118154,0.109375,0.24611,-0.503125
0.126075,0.175,0.256391,-0.371875
0.134647,0.065625,0.26567,-0.415625
0.137868,0.153125,0.276664,-0.371875
0.142393,0.109375,0.28766,-0.35
0.146703,0.371875,0.298659,-0.39375
0.156187,-0.0875,0.308662,-0.35
0.168894,0.371875,0.318352,-0.328125
0.179574,0.240625,0.328418,-0.415625
0.191236,0.21875,0.338514,-0.371875
0.202377,0.0875,0.348634,-0.35
0.209389,0.35,0.358407,-0.4375
0.218294,0.21875,0.368542,-0.459375
0.222454,0.35,0.378666,-0.503125
0.235481,0.284375,0.38745,-0.4375
0.243318,0.2625,0.397607,-0.590625
0.253297,0.0875,0.406758,-0.48125
0.261872,0.240625,0.416935,-0.6125
0.278658,0.328125,0.424765,-0.48125
0.281394,0.240625,0.433935,-0.634375
0.292452,0.30625,0.443119,-0.503125
0.308117,0.0875,0.450966,-0.590625
0.318801,0.328125,0.45917,-0.48125
0.332458,0.109375,0.468066,-0.546875
0.344383,0.48125,0.476305,-0.6125
0.36169,0.30625,0.484581,-0.590625
0.374661,0.459375,0.49252,-0.634375
0.392963,0.30625,0.500848,-0.56875
0.406503,0.48125,0.509188,-0.65625
0.420214,0.4375,0.516168,-0.65625
0.424442,0.634375,0.524482,-0.74375
0.44316,0.459375,0.532487,-0.48125
0.451947,0.153125,0.539807,-0.74375
0.465307,0.4375,0.547806,-0.65625
0.478513,0.7,0.556164,-0.7875
0.48871,0.6125,0.564518,-0.7
0.494926,0.74375,0.57148,-0.7875
0.498816,0.7875,0.579774,-0.7
0.507471,0.35,0.588731,-0.809375
0.513541,0.415625,0.596998,-0.853125
0.519138,0.678125,0.604891,-0.74375
0.52244,0.74375,0.612083,-0.765625
0.522541,0.6125,0.620917,-0.875
0.524119,0.678125,0.629044,-0.765625
0.525449,0.678125,0.636783,-0.9625
0.525859,0.590625,0.643819,-0.83125
0.528542,0.7,0.652519,-0.91875
0.529374,0.875,0.660168,-0.765625
0.534305,0.721875,0.66816,-0.896875
0.536923,0.83125,0.675783,-0.65625
0.534871,0.7875,0.684736,-1.00625
0.537985,0.91875,0.691289,-0.875
0.539707,0.875,0.699194,-0.809375
0.542423,0.7875,0.703681,-0.83125
0.538634,0.721875,0.710161,-0.83125
0.532583,0.634375,0.715923,-0.9625
0.532712,0.678125,0.721669,-0.91875
0.529262,0.74375,0.726362,-0.91875
0.521336,0.896875,0.730335,-0.809375
0.522196,0.30625,0.732933,-0.875
0.519441,0.721875,0.733469,-0.896875
0.515869,0.721875,0.736017,-1.09375
0.520336,0.590625,0.734853,-0.91875
0.520042,0.678125,0.733327,-1.225
0.515113,0.721875,0.731769,-0.721875
0.51664,0.678125,0.727508,-1.02812
0.5167,0.984375,0.721872,-0.83125
0.512457,0.721875,0.71519,-0.91875
0.514304,0.74375,0.706477,-0.721875
0.510306,0.21875,0.695034,-0.875
0.510931,0.678125,0.681204,-0.7875
0.513708,0.6125,0.665345,-0.721875
0.513303,0.678125,0.645414,-0.809375
0.515401,0.678125,0.621768,-0.590625
0.5208,0.65625,0.600852,-0.721875
0.513584,0.721875,0.57481,-0.74375
0.509938,0.678125,0.547728,-0.74375
0.5077,0.765625,0.521654,-0.7875
0.504567,0.853125,0.493536,-0.7875
0.505767,0.65625,0.467806,-0.83125
0.501591,0.7,0.444761,-0.7875
0.492983,0.875,0.423716,-0.7875
0.489417,0.721875,0.403677,-0.853125
0.477028,0.678125,0.387656,-0.853125
0.466383,0.721875,0.377706,-0.809375
0.455016,0.634375,0.371117,-0.765625
0.448539,0.2625,0.36925,-0.83125
0.440165,0.21875,0.37143,-0.896875
0.428973,0.765625,0.378666,-0.853125
0.414616,0.765625,0.389927,-0.875
0.402339,0.371875,0.402172,-0.74375
0.38012,0.196875,0.417393,-0.74375
0.369337,0.590625,0.431576,-0.6125
0.355368,0.459375,0.444706,-0.721875
0.343171,0.525,0.457817,-0.7
0.341472,0.503125,0.468917,-0.65625
0.333423,0.721875,0.482052,-0.7
0.32767,0.503125,0.493155,-0.65625
0.312134,0.546875,0.506256,-0.634375
0.302613,0.415625,0.518329,-0.65625
0.293913,0.459375,0.53142,-0.7
0.286525,0.459375,0.543495,-0.65625
0.283777,0.35,0.554577,-0.765625
0.274593,0.459375,0.566671,-0.74375
0.266412,0.240625,0.577743,-0.896875
0.262185,0.39375,0.588832,-0.765625
0.259095,0.371875,0.597902,-0.74375
0.255104,0.48125,0.608005,-0.74375
0.253401,0.328125,0.617117,-0.809375
0.250531,0.459375,0.625226,-0.7875
0.24413,0.371875,0.633331,-0.678125
0.240977,0.284375,0.640433,-0.7875
0.243954,0.415625,0.645538,-0.765625
0.244759,0.56875,0.652713,-0.83125
0.247469,0.240625,0.655849,-0.7875
0.245838,0,0.660022,-0.83125
0.243386,0.35,0.662835,-0.875
0.238503,0.240625,0.664976,-0.83125
0.239204,0.284375,0.666119,-0.875
0.241045,0.04375,0.666274,-0.83125
0.242753,0.065625,0.667474,-0.83125
0.245704,0.04375,0.665646,-0.853125
0.246819,0.371875,0.664859,-0.7875
0.251806,0.065625,0.663444,-0.853125
0.251706,0.4375,0.662036,-0.7875
0.257438,0.39375,0.659296,-0.875
0.261876,0.65625,0.65694,-0.853125
