angle_1_e,angle_1_t,d_theta_1_t,angle_2_e,angle_2_t,d_theta_2_t
-1.15086,-1.18137,0,1.75233,1.70162,0
-1.15065,-1.18137,0,1.75237,1.70162,0
-1.15045,-1.18128,0.00116296,1.75241,1.70168,5.81481e-05
-1.15025,-1.18116,0.00415759,1.75245,1.70217,0.00026312
-1.15004,-1.18096,0.00787471,1.75249,1.70298,0.0006437
-1.14984,-1.18084,0.0105338,1.75253,1.70389,0.0011382
-1.14963,-1.18067,0.0143682,1.75257,1.70499,0.0017997
-1.14943,-1.18052,0.0187377,1.75261,1.70627,0.0026466
-1.14922,-1.18035,0.0217258,1.75265,1.70772,0.00360057
-1.14902,-1.1802,0.0241284,1.75269,1.70935,0.00462696
-1.14881,-1.18003,0.0264109,1.75272,1.71115,0.00571616
-1.14861,-1.17988,0.0297422,1.75276,1.71296,0.00691746
-1.14841,-1.17974,0.0326162,1.7528,1.71491,0.0082024
-1.1482,-1.17956,0.0349104,1.75284,1.71685,0.0095378
-1.148,-1.17939,0.0378167,1.75288,1.7188,0.0109517
-1.14779,-1.17922,0.0405778,1.75292,1.72089,0.012433
-1.14759,-1.17901,0.0440729,1.75296,1.72276,0.014015
-1.14738,-1.17884,0.0473934,1.75299,1.72447,0.015684
-1.14718,-1.17866,0.0493848,1.75303,1.72598,0.017369
-1.14697,-1.17846,0.0528758,1.75307,1.72723,0.0191443
-1.14677,-1.17823,0.055756,1.75311,1.72816,0.0209749
-1.14656,-1.17799,0.0596553,1.75315,1.72886,0.0229089
-1.14636,-1.17776,0.0633595,1.75318,1.72936,0.0249315
-1.14615,-1.1775,0.0673147,1.75322,1.72953,0.0270506
-1.14595,-1.1773,0.0701999,1.75326,1.72956,0.0292081
-1.14574,-1.17706,0.073377,1.7533,1.72936,0.0314165
-1.14554,-1.17686,0.0756683,1.75333,1.72906,0.0336291
-1.14535,-1.17666,0.0781358,1.75339,1.72869,0.0358545
-1.14516,-1.17645,0.0797531,1.75346,1.72831,0.0380494
-1.14497,-1.17628,0.0812895,1.75353,1.72796,0.0402114
-1.14478,-1.1761,0.0815861,1.75359,1.72764,0.0422801
-1.1446,-1.17599,0.0805596,1.75366,1.72741,0.0441941
-1.14441,-1.17584,0.0788576,1.75373,1.7272,0.0459273
-1.14422,-1.17573,0.0772406,1.75379,1.72709,0.0474929
-1.14404,-1.17567,0.0736693,1.75386,1.72703,0.0488018
-1.14385,-1.17564,0.0718757,1.75392,1.72703,0.0499555
-1.14366,-1.17561,0.0710439,1.75399,1.72706,0.0510099
-1.14347,-1.17558,0.0689454,1.75406,1.72706,0.0519067
-1.14329,-1.17558,0.0654982,1.75412,1.72715,0.0525862
-1.1431,-1.17558,0.0622232,1.75419,1.72723,0.0530681
-1.14291,-1.17558,0.0591121,1.75425,1.72729,0.0533703
-1.14272,-1.17558,0.0561565,1.75432,1.72741,0.0535096
-1.14253,-1.17558,0.0533487,1.75438,1.72749,0.0535015
-1.14235,-1.17558,0.0506812,1.75445,1.72764,0.0533605
-1.14216,-1.17558,0.0481472,1.75451,1.72776,0.0530999
-1.14197,-1.17558,0.0457398,1.75458,1.7279,0.0527319
-1.14178,-1.17558,0.0434528,1.75465,1.72805,0.0522679
-1.14159,-1.17558,0.0412802,1.75471,1.72822,0.0517185
-1.14141,-1.17555,0.0419782,1.75478,1.7284,0.0512315
-1.14122,-1.17552,0.041333,1.75484,1.7286,0.0507366
-1.14103,-1.17549,0.0404293,1.7549,1.72889,0.0502212
-1.14084,-1.17541,0.0414606,1.75497,1.72909,0.0497832
-1.14065,-1.17535,0.0408413,1.75503,1.72938,0.0493361
-1.14047,-1.17526,0.0422881,1.7551,1.7297,0.0489837
-1.14028,-1.17517,0.0416274,1.75516,1.73008,0.0486159
-1.14009,-1.17506,0.041872,1.75523,1.73049,0.0482787
-1.1399,-1.17494,0.0437034,1.75529,1.73095,0.0480499
-1.13971,-1.17477,0.044571,1.75536,1.73148,0.047876
-1.13952,-1.17462,0.0453952,1.75542,1.73206,0.0477519
-1.13934,-1.17445,0.0477773,1.75548,1.73267,0.0477532
-1.13915,-1.17427,0.0513486,1.75555,1.73337,0.047933
-1.13896,-1.17407,0.0538692,1.75561,1.73415,0.0482298
-1.13877,-1.17387,0.0566998,1.75568,1.73497,0.0486533
-1.13859,-1.17366,0.0593889,1.75575,1.73581,0.0491901
-1.13841,-1.17343,0.0626703,1.75583,1.73668,0.0498641
-1.13823,-1.1732,0.0657877,1.75591,1.73752,0.0506603
-1.13805,-1.17294,0.0696215,1.75598,1.73846,0.0516083
-1.13787,-1.17267,0.0736997,1.75606,1.73933,0.0527129
-1.13769,-1.17238,0.0762656,1.75614,1.74014,0.0538905
-1.13751,-1.17215,0.0791394,1.75622,1.74101,0.055153
-1.13733,-1.17183,0.0843408,1.7563,1.74189,0.0566124
-1.13715,-1.17154,0.0879737,1.75638,1.74261,0.0581804
-1.13697,-1.17125,0.0922973,1.75645,1.74322,0.0598863
-1.13679,-1.17099,0.0952416,1.75653,1.74378,0.061654
-1.13661,-1.1707,0.0996379,1.75661,1.74418,0.0635532
-1.13643,-1.17041,0.102942,1.75669,1.74447,0.0655227
-1.13625,-1.17012,0.106081,1.75677,1.74462,0.0675506
-1.13607,-1.1698,0.109063,1.75684,1.74468,0.0696262
-1.13589,-1.16953,0.111169,1.75692,1.74462,0.0717034
-1.13571,-1.16924,0.113461,1.757,1.74442,0.0737912
-1.13553,-1.16895,0.115638,1.75708,1.74412,0.0758836
-1.13535,-1.16866,0.118142,1.75715,1.7438,0.0779965
-1.13517,-1.1684,0.119794,1.75723,1.74349,0.0800864
-1.13499,-1.16811,0.122091,1.75731,1.74314,0.0821866
-1.13481,-1.16785,0.123109,1.75739,1.74285,0.0842327
-1.13463,-1.16759,0.123641,1.75746,1.74258,0.0862031
-1.13445,-1.16735,0.124582,1.75754,1.74235,0.0881221
-1.13426,-1.16715,0.123441,1.75762,1.74215,0.089888
-1.13408,-1.16695,0.12352,1.75769,1.74194,0.0915696
-1.1339,-1.16671,0.122868,1.75777,1.74171,0.0931345
-1.13372,-1.16651,0.122685,1.75785,1.74151,0.094612
-1.13354,-1.16631,0.121638,1.75792,1.7413,0.0959633
-1.13336,-1.16613,0.121517,1.758,1.74113,0.097241
-1.13318,-1.16596,0.120093,1.75808,1.74096,0.0983835
-1.133,-1.16578,0.119176,1.75815,1.74078,0.0994232
-1.13282,-1.16558,0.118741,1.75823,1.74058,0.100389
-1.13264,-1.16541,0.118328,1.75831,1.7404,0.101286
-1.13246,-1.16523,0.1175,1.75838,1.74026,0.102097
-1.13227,-1.16506,0.115986,1.75846,1.74008,0.102791
-1.13209,-1.16491,0.114838,1.75853,1.73994,0.103394
-1.13191,-1.16477,0.113458,1.75861,1.73982,0.103897
-1.13173,-1.16459,0.112146,1.75869,1.73968,0.104309
-1.13155,-1.16442,0.11119,1.75876,1.7395,0.104653
-1.13137,-1.16427,0.109992,1.75884,1.73939,0.10492
-1.13119,-1.16413,0.108417,1.75891,1.73924,0.105095
-1.13101,-1.16395,0.107648,1.759,1.73909,0.105223
-1.13084,-1.16384,0.106191,1.75909,1.73898,0.105271
-1.13067,-1.16369,0.104806,1.75919,1.73886,0.105248
-1.1305,-1.16354,0.102619,1.75928,1.73875,0.105116
-1.13033,-1.1634,0.100977,1.75937,1.7386,0.104909
-1.13015,-1.16325,0.09869,1.75946,1.73851,0.104598
-1.12998,-1.16311,0.0976805,1.75955,1.7384,0.104253
-1.12981,-1.16296,0.0971576,1.75964,1.73828,0.103898
-1.12964,-1.16282,0.0953525,1.75973,1.73819,0.103471
-1.12946,-1.1627,0.094946,1.75982,1.73814,0.103044
-1.12929,-1.16256,0.0948505,1.75991,1.73805,0.102635
-1.12912,-1.16241,0.0935969,1.76,1.73799,0.102183
-1.12894,-1.16227,0.0935689,1.76009,1.7379,0.101752
-1.12877,-1.16212,0.0932516,1.76018,1.73787,0.101327
-1.1286,-1.162,0.0916418,1.76027,1.73784,0.100843
