torque_1,torque_1_t,torque_2,torque_2_t
1.1756,0.48125,1.69451,-1.26875
1.18295,0.6125,1.69591,-0.765625
1.18893,1.02812,1.69223,-1.26875
1.16802,1.24687,1.68232,-1.68437
1.14506,1.33438,1.66112,-1.68437
1.11268,1.44375,1.63876,-1.6625
1.08542,1.37813,1.60915,-1.79375
1.06281,1.6625,1.57742,-1.94687
1.04051,1.77188,1.53848,-1.75
1.0234,1.61875,1.49642,-1.72812
1.00638,1.35625,1.44887,-1.8375
0.994333,1.00625,1.40062,-1.79375
0.980804,1.37813,1.35132,-1.8375
0.978573,1.53125,1.29592,-1.81563
0.966041,1.4,1.24254,-1.64062
0.949348,1.18125,1.17894,-1.6625
0.930483,1.35625,1.12852,-1.68437
0.906509,1.26875,1.06954,-1.75
0.873263,1.18125,1.01693,-1.72812
0.840801,1.15938,0.966268,-1.79375
0.802537,1.07187,0.925681,-1.81563
0.759393,1.09375,0.897188,-1.8375
0.728178,1.09375,0.877449,-1.88125
0.703941,1.07187,0.865158,-1.79375
0.68134,1.3125,0.862008,-1.925
0.664661,1.05,0.864969,-1.79375
0.655884,1.24687,0.873727,-1.64062
0.654938,0.9625,0.88564,-1.44375
0.660849,1.15938,0.897999,-1.4
0.675504,0.984375,0.910488,-1.3125
0.684707,0.65625,0.919665,-1.3125
0.688867,0.940625,0.92722,-1.29062
0.693281,1.225,0.934834,-1.225
0.702983,0.9625,0.939122,-1.18125
0.730491,0.9625,0.942903,-1.24687
0.758204,1.07187,0.944444,-1.3125
0.785831,1.02812,0.946468,-1.29062
0.812409,1.02812,0.947595,-1.20312
0.837641,1.05,0.947464,-1.26875
0.862276,1.09375,0.947783,-1.29062
0.879179,1.05,0.948831,-1.29062
0.902352,1.20312,0.947261,-1.29062
0.908417,1.26875,0.947375,-1.29062
0.930391,1.225,0.94588,-1.29062
0.944082,1.26875,0.946109,-1.24687
0.964151,1.15938,0.944717,-1.35625
0.983499,1.18125,0.9444,-1.3125
0.996346,1.26875,0.94172,-1.15938
1.00281,1.29062,0.941425,-1.26875
1.01994,1.33438,0.937775,-1.26875
1.02117,1.4875,0.936125,-1.3125
1.02301,1.59688,0.9348,-1.20312
1.02828,1.33438,0.933124,-1.24687
1.02187,1.33438,0.92971,-1.3125
1.02157,1.42188,0.926938,-1.15938
1.01618,1.55313,0.924479,-1.20312
1.00624,1.53125,0.920592,-1.18125
0.997846,1.26875,0.915982,-1.225
0.990382,1.33438,0.911996,-1.20312
0.972939,1.33438,0.905895,-1.05
0.964185,1.33438,0.897054,-1.11563
0.942616,1.33438,0.89083,-1.11563
0.925147,1.29062,0.88082,-1.1375
0.903716,1.29062,0.87073,-1.1375
0.883213,1.24687,0.856847,-1.11563
0.862574,1.225,0.842901,-1.11563
0.844955,1.11563,0.825506,-1.07187
0.82904,1.18125,0.805369,-1.09375
0.807381,1.11563,0.786193,-1.02812
0.789759,1.11563,0.763926,-0.984375
0.771662,0.875,0.743651,-0.984375
0.759705,1.00625,0.726411,-1.05
0.742875,1.18125,0.70777,-1.18125
0.729942,0.875,0.691495,-1.09375
0.714946,1.00625,0.672135,-1.05
0.700224,1.00625,0.653783,-0.984375
0.683376,0.984375,0.635405,-0.984375
0.667613,0.984375,0.6187,-0.940625
0.653411,0.940625,0.606406,-0.91875
0.641905,0.940625,0.593098,-0.896875
0.630782,1.02812,0.583866,-1.00625
0.623218,0.91875,0.578374,-0.896875
0.617053,0.940625,0.576313,-1.00625
0.608822,0.91875,0.578341,-0.9625
0.602844,0.896875,0.583439,-1.07187
0.592857,0.875,0.593283,-0.896875
0.587391,0.875,0.603496,-0.853125
0.579258,0.875,0.614734,-0.896875
0.576872,0.853125,0.626679,-0.7875
0.578677,0.853125,0.635968,-0.7875
0.579334,0.853125,0.646319,-0.896875
0.580883,0.875,0.655343,-0.896875
0.582314,0.896875,0.664756,-0.896875
0.587847,0.74375,0.672182,-0.896875
0.588949,0.83125,0.681325,-0.875
0.593153,0.896875,0.689842,-0.9625
0.601808,0.853125,0.69638,-0.91875
0.609073,0.853125,0.703638,-0.875
0.613719,0.896875,0.711276,-0.809375
0.619023,0.940625,0.717584,-0.984375
0.628723,0.853125,0.724295,-0.91875
0.637999,0.853125,0.730036,-0.83125
0.657048,0.853125,0.734505,-0.875
0.665028,0.853125,0.740376,-0.9625
0.67049,0.91875,0.743883,-0.896875
0.683299,0.853125,0.749158,-1.18125
0.696682,0.896875,0.75245,-0.91875
0.707019,0.83125,0.757151,-0.91875
0.709323,0.984375,0.762522,-0.9625
0.716883,1.02812,0.764865,-0.940625
0.720097,0.940625,0.767207,-0.9625
0.718208,0.984375,0.770547,-0.9625
0.724257,1.02812,0.771864,-1.11563
0.732277,0.590625,0.773201,-1.225
0.743975,0.678125,0.774575,-1.00625
0.750197,0.940625,0.777997,-1.02812
0.761821,1.225,0.778397,-1.05
0.765509,0.984375,0.78083,-1.07187
0.768723,1.02812,0.782241,-1.05
0.775162,1.02812,0.785706,-1.02812
0.781272,1.05,0.789186,-1.09375
0.779424,1.09375,0.791622,-1.15938
0.78634,1.09375,0.795091,-1.18125
0.783941,1.07187,0.798532,-1.07187
0.785493,1.05,0.801956,-1.07187
0.784693,1.00625,0.80638,-0.9625
0.784943,1.02812,0.810789,-1.09375
0.788918,1.09375,0.815204,-1.1375
0.792208,1.07187,0.819614,-1.07187
0.797753,1.02812,0.825725,-1.1375
0.80002,1.1375,0.831161,-1.1375
0.813078,1.11563,0.834606,-1.11563
0.825577,1.11563,0.840124,-1.15938
0.826701,0.678125,0.844607,-1.15938
0.827479,1.09375,0.850092,-1.09375
0.834077,1.09375,0.85559,-1.18125
0.838121,1.15938,0.860064,-1.11563
0.846522,1.09375,0.865578,-1.1375
0.852947,1.18125,0.868709,-1.18125
0.859981,1.15938,0.873214,-1.225
0.865989,1.18125,0.875683,-1.1375
0.866813,1.09375,0.879145,-1.1375
0.865177,1.18125,0.882574,-1.15938
0.876072,1.225,0.885685,-1.15938
0.884687,1.18125,0.888144,-1.20312
0.890015,1.07187,0.890599,-1.24687
0.898044,1.24687,0.892039,-1.20312
0.904516,1.24687,0.893481,-1.3125
0.913341,1.24687,0.895602,-1.29062
0.925897,1.26875,0.897086,-1.225
0.929975,1.26875,0.898559,-1.18125
0.934345,1.26875,0.900018,-1.18125
0.94296,1.29062,0.901134,-1.20312
0.950672,1.18125,0.903623,-1.225
0.96319,1.26875,0.904101,-1.15938
0.97461,1.35625,0.905269,-1.225
0.99289,1.3125,0.90751,-1.33438
0.993991,1.35625,0.909711,-1.225
0.996064,1.4,0.912238,-1.29062
0.999545,1.4,0.915409,-1.24687
1.01731,1.35625,0.918633,-1.26875
1.02374,1.33438,0.919812,-1.37813
1.03122,1.37813,0.924045,-1.26875
1.0348,1.4,0.926219,-1.26875
1.04093,1.42188,0.929751,-1.26875
1.04696,1.42188,0.932923,-1.3125
1.05072,1.42188,0.935056,-1.11563
1.0535,1.46562,0.939204,-1.26875
1.05731,1.37813,0.942316,-1.37813
1.06079,1.4,0.944393,-1.29062
1.06465,1.37813,0.946453,-1.225
1.06707,1.37813,0.94849,-1.26875
1.07221,1.42188,0.951891,-1.29062
1.07463,1.46562,0.95492,-1.37813
1.08295,1.46562,0.955923,-1.09375
1.09108,1.46562,0.956933,-1.37813
1.09648,1.50937,0.958956,-1.53125
1.10434,1.42188,0.959968,-1.24687
1.10766,1.4875,0.959945,-1.24687
1.1212,1.53125,0.960974,-1.26875
1.12163,1.46562,0.961976,-1.26875
1.13266,1.53125,0.963,-1.29062
1.13333,1.575,0.964003,-1.3125
1.14411,1.50937,0.964009,-1.26875
1.14409,1.50937,0.963986,-1.29062
1.14424,1.24687,0.962918,-1.24687
1.14454,1.55313,0.962844,-1.26875
1.15147,1.53125,0.959722,-1.35625
1.15439,1.55313,0.959648,-1.24687
1.15349,1.55313,0.956486,-1.26875
1.16927,1.575,0.954397,-1.3125
1.16961,1.575,0.953306,-1.33438
1.17759,1.55313,0.951213,-1.3125
1.17778,1.61875,0.950117,-1.3125
1.18243,1.61875,0.946989,-1.3125
1.18217,1.61875,0.942817,-1.3125
1.18208,1.59688,0.938621,-1.24687
1.17997,1.61875,0.933374,-1.11563
1.18294,1.53125,0.926759,-1.26875
1.17685,1.61875,0.92147,-1.24687
1.18115,1.59688,0.913131,-1.1375
1.18076,1.61875,0.905794,-1.18125
1.18093,1.61875,0.897432,-1.18125
1.17853,1.55313,0.888028,-1.18125
1.17317,1.64062,0.879608,-1.15938
1.17235,1.59688,0.868784,-1.07187
1.1809,1.59688,0.858343,-1.1375
1.18157,1.61875,0.849268,-1.11563
1.17895,1.59688,0.840524,-1.11563
1.17252,1.59688,0.831739,-1.1375
1.17451,1.59688,0.822958,-1.11563
1.17068,1.575,0.814153,-1.11563
1.16678,1.59688,0.805325,-1.15938
1.17586,1.64062,0.796539,-1.15938
1.17658,1.59688,0.789786,-1.15938
1.17265,1.64062,0.785045,-1.15938
1.17473,1.59688,0.779287,-1.20312
1.18745,1.55313,0.776641,-1.15938
