angle_1_e,angle_1_t,d_theta_1_t,angle_2_e,angle_2_t,d_theta_2_t
-1.15086,-1.18398,0,1.75233,1.71113,0
-1.15065,-1.18398,0,1.75237,1.71113,0
-1.15045,-1.18398,0,1.75241,1.71113,0
-1.15025,-1.18398,0,1.75245,1.71115,0
-1.15004,-1.18398,0,1.75249,1.71118,0
-1.14984,-1.18398,0,1.75253,1.71118,0
-1.14963,-1.18398,0,1.75257,1.71121,0
-1.14943,-1.18398,0,1.75261,1.71124,0
-1.14922,-1.18398,0,1.75265,1.71127,0
-1.14902,-1.18398,0,1.75269,1.71133,0
-1.14881,-1.18395,0.00276204,1.75272,1.71136,0.000138102
-1.14861,-1.18395,0.00262394,1.75276,1.71145,0.000262394
-1.14841,-1.18393,0.00249274,1.7528,1.7115,0.000373911
-1.1482,-1.18393,0.0023681,1.75284,1.71156,0.00047362
-1.148,-1.18387,0.00530247,1.75288,1.71159,0.000715063
-1.14779,-1.18387,0.00503735,1.75292,1.71168,0.000931177
-1.14759,-1.18384,0.00478548,1.75296,1.71171,0.00112389
-1.14738,-1.18381,0.00454621,1.75299,1.71179,0.00129501
-1.14718,-1.18378,0.00548186,1.75303,1.71182,0.00150435
-1.14697,-1.18378,0.00520777,1.75307,1.71188,0.00168952
-1.14677,-1.18375,0.00494738,1.75311,1.71191,0.00185241
-1.14656,-1.18375,0.00470001,1.75315,1.71194,0.00199479
-1.14636,-1.18372,0.00446501,1.75318,1.71194,0.00211831
-1.14615,-1.18369,0.00424176,1.75322,1.71194,0.00222448
-1.14595,-1.18369,0.00402967,1.75326,1.71194,0.00231474
-1.14574,-1.18366,0.005718,1.7533,1.71194,0.0024849
-1.14554,-1.18363,0.0054321,1.75333,1.71191,0.00263226
-1.14535,-1.18363,0.0051605,1.75339,1.71191,0.00275867
-1.14516,-1.18361,0.00679229,1.75346,1.71188,0.00296035
-1.14497,-1.18355,0.00645267,1.75353,1.71185,0.00313497
-1.14478,-1.18352,0.00613004,1.75359,1.71182,0.00328472
-1.1446,-1.18349,0.00582354,1.75366,1.71179,0.00341166
-1.14441,-1.18349,0.00553236,1.75373,1.71182,0.0035177
-1.14422,-1.18346,0.00525574,1.75379,1.71179,0.0036046
-1.14404,-1.18346,0.00499296,1.75386,1.71182,0.00367402
-1.14385,-1.18343,0.00590627,1.75392,1.71179,0.00378563
-1.14366,-1.18343,0.00561096,1.75399,1.71182,0.0038769
-1.14347,-1.1834,0.00533041,1.75406,1.71185,0.00394957
-1.14329,-1.18337,0.00506389,1.75412,1.71185,0.00400529
-1.1431,-1.18337,0.00481069,1.75419,1.71188,0.00404556
-1.14291,-1.18334,0.00645997,1.75425,1.71188,0.00416628
-1.14272,-1.18331,0.00613698,1.75432,1.71188,0.00426481
-1.14253,-1.18331,0.00583013,1.75438,1.71191,0.00434308
-1.14235,-1.18329,0.00786455,1.75445,1.71191,0.00451915
-1.14216,-1.18323,0.00863428,1.75451,1.71188,0.00472491
-1.14197,-1.18323,0.00820257,1.75458,1.71194,0.00489879
-1.14178,-1.1832,0.00779244,1.75465,1.71194,0.00504348
-1.14159,-1.18317,0.00929263,1.75471,1.71194,0.00525593
-1.14141,-1.18314,0.008828,1.75478,1.71197,0.00543454
-1.14122,-1.18311,0.0083866,1.75484,1.71197,0.00558214
-1.14103,-1.18311,0.00796727,1.7549,1.712,0.0057014
-1.14084,-1.18308,0.00945872,1.75497,1.712,0.00588926
-1.14065,-1.18305,0.0113117,1.75503,1.712,0.00616039
-1.14047,-1.18302,0.0107461,1.7551,1.71203,0.00638967
-1.14028,-1.18302,0.0102088,1.75516,1.71206,0.00658063
-1.14009,-1.18299,0.0124604,1.75523,1.71209,0.00687462
-1.1399,-1.18297,0.0132911,1.75529,1.71211,0.00719544
-1.13971,-1.18297,0.0126265,1.75536,1.71217,0.007467
-1.13952,-1.18291,0.013885,1.75542,1.71217,0.0077879
-1.13934,-1.18291,0.0131908,1.75548,1.71223,0.00805804
-1.13915,-1.18288,0.0144211,1.75555,1.71229,0.00837619
-1.13896,-1.18288,0.0137,1.75561,1.71238,0.00864238
-1.13877,-1.18285,0.0144687,1.75568,1.71243,0.0089337
-1.13859,-1.18285,0.0137453,1.75575,1.71252,0.00917428
-1.13841,-1.18282,0.0133487,1.75583,1.71261,0.009383
-1.13823,-1.18282,0.0126813,1.75591,1.71272,0.00954792
-1.13805,-1.18279,0.0132102,1.75598,1.71281,0.00973103
-1.13787,-1.18279,0.0125497,1.75606,1.71296,0.00987197
-1.13769,-1.18279,0.0119222,1.75614,1.7131,0.00997448
-1.13751,-1.18276,0.0113261,1.75622,1.71325,0.0100421
-1.13733,-1.18276,0.0107598,1.7563,1.71342,0.0100779
-1.13715,-1.18273,0.0109487,1.75638,1.71363,0.0101215
