torque_1,torque_1_t,torque_2,torque_2_t
0.718079,0.678125,0.619056,-0.56875
0.720079,0.503125,0.621306,-0.21875
0.722329,0.503125,0.623556,-0.39375
0.71706,0.7875,0.62723,-0.7875
0.710879,0.7,0.630871,-0.721875
0.712791,0.546875,0.633792,-0.7
0.703043,0.7875,0.63666,-0.74375
0.700637,0.875,0.640249,-0.765625
0.689382,0.83125,0.642326,-0.765625
0.678277,0.896875,0.644353,-0.765625
0.66679,0.875,0.647788,-0.809375
0.671383,0.875,0.649799,-0.83125
0.674845,0.875,0.651835,-0.853125
0.670893,0.896875,0.654587,-0.853125
0.674684,0.984375,0.656638,-0.7875
0.664265,0.83125,0.659371,-0.83125
0.654645,0.896875,0.662065,-0.83125
0.646749,0.853125,0.664007,-0.91875
0.635854,0.896875,0.667363,-0.896875
0.626712,0.896875,0.669965,-0.83125
0.617541,0.853125,0.671809,-0.896875
0.624609,0.83125,0.673702,-0.9625
0.629456,0.91875,0.676361,-1.00625
0.633124,0.875,0.679054,-0.9625
0.639031,0.721875,0.68106,-0.940625
0.634256,0.525,0.684509,-0.9625
0.628506,0.809375,0.687212,-0.940625
0.622835,0.896875,0.689897,-0.875
0.615293,0.809375,0.691829,-0.91875
0.622216,1.07187,0.693558,-0.91875
0.614046,0.7875,0.695503,-0.9625
0.621135,0.875,0.696768,-1.11563
0.621844,0.415625,0.698774,-0.9625
0.629337,0.853125,0.700094,-0.83125
0.635555,1.05,0.702181,-0.940625
0.638831,0.459375,0.703557,-0.853125
0.643951,1.11563,0.704233,-0.984375
0.650582,0.940625,0.70494,-0.984375
0.642897,0.459375,0.705607,-0.940625
0.650448,0.91875,0.706308,-0.984375
0.656756,0.875,0.706311,-0.896875
0.657248,0.875,0.707039,-1.07187
0.649796,0.91875,0.707976,-0.984375
0.652969,0.590625,0.708676,-0.984375
0.656059,0.875,0.70939,-0.9625
0.648168,0.91875,0.71104,-0.9625
0.655248,1.00625,0.711748,-0.940625
0.652602,0.853125,0.711963,-0.91875
0.659613,0.984375,0.713413,-1.00625
0.659081,0.875,0.714381,-0.91875
0.656472,0.7875,0.715081,-0.984375
0.656976,0.896875,0.716512,-0.9625
0.654588,0.6125,0.718178,-0.91875
0.661117,1.00625,0.719628,-0.9625
0.657911,0.525,0.722039,-0.9625
0.652724,0.853125,0.723447,-1.05
0.650744,0.91875,0.72582,-1.05
0.656207,0.875,0.727973,-1.02812
0.647627,0.7875,0.730084,-1.02812
0.655507,0.765625,0.731756,-1.00625
0.647805,0.875,0.734599,-1.00625
0.641945,0.809375,0.735481,-0.940625
0.649537,0.91875,0.738335,-0.984375
0.651952,0.809375,0.739746,-0.65625
0.643909,1.02812,0.742094,-1.02812
0.651572,0.853125,0.744962,-0.9625
0.659618,0.809375,0.746663,-0.984375
0.652074,0.678125,0.748807,-0.9625
0.644911,0.7,0.750186,-1.02812
0.640362,0.853125,0.753253,-0.83125
0.634591,0.984375,0.755318,-1.11563
0.643686,0.809375,0.756704,-1.00625
0.637137,0.83125,0.756852,-1.00625
0.643349,0.853125,0.759697,-1.07187
0.638351,0.678125,0.760335,-1.02812
0.643128,0.83125,0.761978,-1.07187
0.652068,0.91875,0.762688,-1.07187
0.646099,0.875,0.764345,-1.05
0.655006,0.896875,0.764341,-1.02812
0.649006,0.896875,0.765761,-1.02812
0.657406,0.853125,0.767472,-1.05
0.654286,0.9625,0.768187,-1.1375
0.649218,0.91875,0.768396,-1.07187
0.657812,0.91875,0.770101,-1.00625
0.651492,0.940625,0.770566,-1.09375
0.659864,0.91875,0.772278,-1.07187
0.661565,1.05,0.772539,-1.05
0.663747,1.00625,0.773536,-1.05
0.671924,0.875,0.774572,-1.09375
0.664958,0.896875,0.775565,-1.09375
0.668115,1.05,0.775115,-1.07187
0.676291,0.984375,0.776883,-1.07187
0.670777,0.896875,0.777162,-1.05
0.663684,0.896875,0.778129,-1.02812
0.672013,0.896875,0.779388,-1.00625
0.675126,0.896875,0.779679,-0.9625
0.678173,0.896875,0.779978,-0.984375
0.685994,0.765625,0.779586,-0.984375
0.687899,0.896875,0.780651,-0.984375
0.696303,0.896875,0.780294,-0.984375
0.689588,0.91875,0.780625,-0.984375
0.698036,0.896875,0.779534,-0.984375
0.693543,0.91875,0.779142,-1.05
0.701195,0.91875,0.778782,-1.00625
0.703428,0.91875,0.777695,-1.00625
0.710476,0.9625,0.776637,-1.02812
0.716008,0.74375,0.775597,-1.00625
0.705325,0.984375,0.773041,-1.02812
0.697159,0.74375,0.771165,-0.940625
0.703501,0.91875,0.768589,-1.02812
0.696495,0.9625,0.764515,-0.984375
0.700581,0.74375,0.760459,-1.00625
0.704753,0.91875,0.755693,-0.9625
0.702953,0.984375,0.750912,-1.05
0.706861,0.9625,0.745671,-0.984375
0.707228,0.896875,0.739449,-1.00625
0.714898,0.74375,0.732533,-0.984375
0.714719,0.940625,0.724884,-0.940625
0.704662,0.765625,0.716451,-0.984375
0.698068,0.83125,0.707986,-0.875
0.694477,0.9625,0.698774,-0.91875
0.687721,0.984375,0.688074,-0.91875
0.681355,1.1375,0.67832,-0.896875
0.681424,0.896875,0.667113,-0.91875
0.691481,0.896875,0.655955,-0.91875
0.69967,0.7875,0.646545,-0.940625
0.694632,0.9625,0.636129,-0.896875
0.689661,1.15938,0.625687,-0.853125
0.687171,0.91875,0.616686,-0.91875
0.684381,0.896875,0.608652,-0.91875
0.675695,1.02812,0.601056,-0.853125
0.671819,0.9625,0.592717,-0.896875
0.66844,1.07187,0.585091,-0.91875
0.670133,0.91875,0.576997,-0.875
0.680552,0.853125,0.570164,-0.83125
0.680576,0.896875,0.564062,-0.83125
0.679651,0.940625,0.557952,-0.809375
0.690013,0.940625,0.551895,-0.809375
0.698218,0.896875,0.547581,-0.896875
0.693709,0.9625,0.543719,-0.7875
0.702811,0.9625,0.539896,-0.853125
0.70186,0.83125,0.538975,-0.809375
0.698315,0.9625,0.537302,-0.91875
0.706429,0.853125,0.536394,-0.74375
0.704012,0.875,0.537173,-0.809375
0.714376,0.678125,0.538473,-0.74375
0.721892,1.09375,0.539805,-0.83125
0.721339,0.984375,0.54258,-0.74375
0.726443,0.9625,0.5461,-0.809375
0.726257,1.05,0.548155,-0.74375
0.73514,0.9625,0.55195,-0.83125
0.744122,1.15938,0.555528,-0.7
0.744997,1.15938,0.558372,-0.7875
0.738375,1.24687,0.560442,-0.678125
0.746233,0.984375,0.564727,-0.7
0.745481,0.984375,0.567541,-0.7
0.753577,1.00625,0.570388,-0.74375
0.747761,0.9625,0.572717,-0.634375
0.756588,0.984375,0.574102,-0.74375
0.757316,1.09375,0.576206,-0.721875
0.751282,1.00625,0.577544,-0.74375
0.745124,0.65625,0.578847,-0.7875
0.74003,1.09375,0.57989,-0.721875
0.733801,1.05,0.579443,-0.721875
0.731833,0.875,0.579709,-0.721875
0.742147,0.940625,0.579293,-0.721875
0.741394,0.984375,0.579121,-0.721875
0.733201,1.225,0.577926,-0.721875
0.73057,0.875,0.578173,-0.721875
0.732711,0.940625,0.576978,-0.7875
0.732355,0.7,0.57676,-0.74375
0.72866,1.05,0.574815,-0.74375
0.722798,1.18125,0.573571,-0.6125
0.717507,1.05,0.572303,-0.721875
0.713725,0.9625,0.571021,-0.875
0.710411,0.875,0.569727,-0.7875
0.711414,0.940625,0.569421,-0.875
0.718461,0.678125,0.568904,-0.7875
0.711136,0.91875,0.569082,-0.809375
0.709544,0.56875,0.569259,-0.765625
0.700517,0.984375,0.569397,-0.940625
0.699489,1.18125,0.571243,-0.809375
0.701174,0.940625,0.572128,-0.83125
0.692151,0.56875,0.57443,-0.853125
0.691329,0.853125,0.57674,-0.83125
0.687156,0.91875,0.579039,-0.721875
0.679312,0.56875,0.582035,-0.853125
0.679407,0.940625,0.585043,-0.940625
0.679252,0.65625,0.58879,-0.678125
0.671351,0.809375,0.592758,-0.91875
0.671596,1.05,0.597218,-0.809375
