angle_1_e,angle_1_t,d_theta_1_t,angle_2_e,angle_2_t,d_theta_2_t
-1.16149,-1.18314,0,1.72769,1.69575,0
-1.16143,-1.18314,0,1.72786,1.69575,0
-1.16136,-1.18314,0,1.72802,1.69575,0
-1.1613,-1.18314,0,1.72819,1.69575,0
-1.16123,-1.18314,0,1.72836,1.69575,0
-1.16117,-1.18314,0,1.72852,1.69575,0
-1.1611,-1.18314,0,1.72869,1.69575,0
-1.16104,-1.18314,0,1.72886,1.69575,0
-1.16097,-1.18314,0,1.72903,1.69575,0
-1.16091,-1.18314,0,1.72919,1.69575,0
-1.16084,-1.18314,0,1.72936,1.69575,0
-1.16078,-1.18314,0,1.72953,1.69575,0
-1.16071,-1.18314,0,1.72969,1.69575,0
-1.16065,-1.18314,0,1.72986,1.69575,0
-1.16058,-1.18314,0,1.73003,1.69575,0
-1.16052,-1.18314,0,1.73019,1.69575,0
-1.16045,-1.18314,0,1.73036,1.69575,0
-1.16039,-1.18314,0,1.73053,1.69575,0
-1.16032,-1.18314,0,1.73069,1.69575,0
-1.16025,-1.18314,0,1.73086,1.69575,0
-1.16019,-1.18314,0,1.73103,1.69575,0
-1.16012,-1.18314,0,1.73119,1.69575,0
-1.16006,-1.18314,0,1.73136,1.69575,0
-1.15999,-1.18314,0,1.73153,1.69575,0
-1.15993,-1.18314,0,1.73169,1.69575,0
-1.15986,-1.18314,0,1.73186,1.69575,0
-1.1598,-1.18314,0,1.73203,1.69575,0
-1.15973,-1.18314,0,1.73219,1.69575,0
-1.15966,-1.18314,0,1.73236,1.69575,0
-1.1596,-1.18314,0,1.73253,1.69575,0
-1.15953,-1.18314,0,1.73269,1.69575,0
-1.15947,-1.18314,0,1.73286,1.69575,0
-1.1594,-1.18314,0,1.73302,1.69575,0
-1.15933,-1.18314,0,1.73319,1.69575,0
-1.15927,-1.18314,0,1.73336,1.69575,0
-1.1592,-1.18314,0,1.73352,1.69575,0
-1.15914,-1.18314,0,1.73369,1.69575,0
-1.15907,-1.18314,0,1.73385,1.69575,0
-1.159,-1.18314,0,1.73402,1.69575,0
-1.15894,-1.18314,0,1.73418,1.69575,0
-1.15887,-1.18314,0,1.73435,1.69575,0
-1.15884,-1.18314,0,1.73446,1.69575,0
-1.15882,-1.18314,0,1.73455,1.69575,0
-1.1588,-1.18314,0,1.73463,1.69575,0
-1.15878,-1.18314,0,1.73472,1.69575,0
-1.15876,-1.18314,0,1.7348,1.69575,0
-1.15874,-1.18314,0,1.73489,1.69575,0
-1.15873,-1.18314,0,1.73497,1.69575,0
-1.15871,-1.18314,0,1.73506,1.69575,0
-1.15869,-1.18314,0,1.73514,1.69575,0
-1.15867,-1.18314,0,1.73523,1.69575,0
-1.15865,-1.18314,0,1.73532,1.69575,0
-1.15863,-1.18314,0,1.7354,1.69575,0
-1.15861,-1.18314,0,1.73549,1.69575,0
-1.15859,-1.18314,0,1.73557,1.69575,0
-1.15858,-1.18314,0,1.73566,1.69575,0
-1.15856,-1.18314,0,1.73574,1.69575,0
-1.15854,-1.18314,0,1.73583,1.69575,0
-1.15852,-1.18314,0,1.73591,1.69575,0
-1.1585,-1.18314,0,1.736,1.69575,0
-1.15848,-1.18314,0,1.73608,1.69575,0
-1.15846,-1.18314,0,1.73617,1.69575,0
-1.15844,-1.18314,0,1.73625,1.69575,0
-1.15843,-1.18314,0,1.73634,1.69575,0
-1.15841,-1.18314,0,1.73642,1.69575,0
-1.15839,-1.18314,0,1.73651,1.69575,0
-1.15837,-1.18314,0,1.73659,1.69575,0
-1.15835,-1.18314,0,1.73668,1.69575,0
-1.15833,-1.18314,0,1.73676,1.69575,0
-1.15831,-1.18314,0,1.73685,1.69575,0
-1.15829,-1.18314,0,1.73694,1.69575,0
-1.15828,-1.18314,0,1.73702,1.69575,0
