torque_1,torque_1_t,torque_2,torque_2_t
0.137674,-0.153125,0.0824981,-0.13125
0.138024,-0.175,0.0829481,-0.39375
0.138424,-0.153125,0.0834481,-0.4375
0.138774,-0.153125,0.0838981,0.021875
0.139124,-0.0875,0.0843481,-0.2625
0.139474,0.30625,0.0848481,-0.4375
0.139874,0.2625,0.0852981,0
0.140224,0.35,0.0857981,-0.525
0.140574,-0.109375,0.0862481,0
0.140924,0.30625,0.0867481,-0.2625
0.141324,0.39375,0.0871981,-0.21875
0.141674,-0.13125,0.0876981,0.021875
0.142024,-0.196875,0.0881481,0.021875
0.142374,-0.0875,0.0885981,-0.459375
0.142774,-0.0875,0.0890981,-0.04375
0.143124,-0.196875,0.0895481,-0.39375
0.143474,0.196875,0.0900481,-0.021875
0.143824,-0.153125,0.0904981,-0.30625
0.144224,-0.175,0.0909481,0
0.144574,0.284375,0.0914481,-0.21875
0.144924,0.39375,0.0918981,0.13125
0.145274,-0.153125,0.0923981,0.0875
0.145674,0.2625,0.0928481,-0.2625
0.146024,-0.153125,0.0933481,-0.415625
0.146374,0.56875,0.0937981,0.109375
0.146724,0.2625,0.0942481,0.021875
0.147124,0.284375,0.0947481,-0.021875
0.147474,-0.196875,0.0951981,0
0.147824,0.21875,0.0956981,-0.175
0.148224,0.2625,0.0961481,-0.35
0.148574,0.2625,0.0965981,-0.2625
0.148924,0.35,0.0970981,-0.371875
0.149274,0.240625,0.0975481,0.0875
0.149674,0.30625,0.0979981,-0.2625
0.150024,0.2625,0.0984981,-0.175
0.150374,0.240625,0.0989481,0
0.150774,-0.196875,0.0994481,-0.284375
0.151124,-0.153125,0.0998981,-0.371875
0.151474,0.48125,0.100348,-0.021875
0.151874,0.21875,0.100848,-0.240625
0.152224,-0.196875,0.101298,0.0875
0.152524,-0.153125,0.101498,-0.21875
0.152824,0.196875,0.101498,-0.2625
0.153124,0.153125,0.101548,0
0.153424,0.2625,0.101598,0
0.153724,0.21875,0.101598,-0.284375
0.154024,-0.153125,0.101648,0.0875
0.154324,0.30625,0.101698,-0.284375
0.154624,0.196875,0.101698,0.021875
0.154874,0.328125,0.101748,-0.0875
0.155174,0.153125,0.101798,-0.065625
0.155474,-0.196875,0.101798,-0.4375
0.155774,-0.175,0.101848,0
0.156074,-0.021875,0.101898,-0.48125
0.156374,0.175,0.101898,-0.284375
0.156674,0.30625,0.101948,-0.35
0.156974,-0.196875,0.101998,-0.04375
0.157274,0.2625,0.101998,-0.525
0.157574,-0.04375,0.102048,-0.284375
0.157824,0.153125,0.102098,-0.284375
0.158124,0.48125,0.102098,-0.2625
0.158424,0.21875,0.102148,-0.2625
0.158724,-0.153125,0.102198,-0.04375
