angle_1_e,angle_1_t,d_theta_1_t,angle_2_e,angle_2_t,d_theta_2_t
-1.1743,-1.20346,0,1.72748,1.71177,0
-1.17423,-1.20346,0,1.72757,1.71177,0
-1.17415,-1.20346,0,1.72767,1.71177,0
-1.17408,-1.20346,0,1.72776,1.71177,0
-1.17401,-1.20346,0,1.72785,1.71177,0
-1.17394,-1.20346,0,1.72795,1.71177,0
-1.17386,-1.20346,0,1.72804,1.71177,0
-1.17379,-1.20346,0,1.72814,1.71177,0
-1.17372,-1.20346,0,1.72823,1.71177,0
-1.17365,-1.20346,0,1.72833,1.71177,0
-1.17357,-1.20346,0,1.72842,1.71177,0
-1.1735,-1.20346,0,1.72852,1.71177,0
-1.17343,-1.20346,0,1.72861,1.71177,0
-1.17336,-1.20346,0,1.7287,1.71177,0
-1.17328,-1.20346,0,1.7288,1.71177,0
-1.17321,-1.20346,0,1.72889,1.71177,0
-1.17314,-1.20346,0,1.72899,1.71177,0
-1.17307,-1.20346,0,1.72908,1.71177,0
-1.17299,-1.20346,0,1.72917,1.71177,0
-1.17292,-1.20346,0,1.72927,1.71177,0
-1.17285,-1.20346,0,1.72936,1.71177,0
-1.17278,-1.20346,0,1.72946,1.71177,0
-1.1727,-1.20346,0,1.72955,1.71177,0
-1.17263,-1.20346,0,1.72965,1.71177,0
-1.17256,-1.20346,0,1.72974,1.71177,0
-1.17249,-1.20346,0,1.72983,1.71177,0
-1.17241,-1.20346,0,1.72993,1.71177,0
-1.17234,-1.20346,0,1.73002,1.71177,0
-1.17227,-1.20346,0,1.73012,1.71177,0
-1.17219,-1.20346,0,1.73021,1.71177,0
-1.17212,-1.20346,0,1.7303,1.71177,0
-1.17205,-1.20346,0,1.7304,1.71177,0
-1.17198,-1.20346,0,1.73049,1.71177,0
-1.1719,-1.20346,0,1.73058,1.71177,0
-1.17183,-1.20346,0,1.73068,1.71177,0
-1.17176,-1.20346,0,1.73077,1.71177,0
-1.17168,-1.20346,0,1.73087,1.71177,0
-1.17161,-1.20346,0,1.73096,1.71177,0
-1.17154,-1.20346,0,1.73105,1.71177,0
-1.17146,-1.20346,0,1.73115,1.71177,0
-1.17139,-1.20346,0,1.73124,1.71177,0
-1.17133,-1.20346,0,1.73128,1.71177,0
-1.17127,-1.20346,0,1.73128,1.71177,0
-1.17121,-1.20346,0,1.73129,1.71177,0
-1.17115,-1.20346,0,1.7313,1.71177,0
-1.17109,-1.20346,0,1.7313,1.71177,0
-1.17103,-1.20346,0,1.73131,1.71177,0
-1.17097,-1.20346,0,1.73132,1.71177,0
-1.17091,-1.20346,0,1.73132,1.71177,0
-1.17086,-1.20346,0,1.73133,1.71177,0
-1.1708,-1.20346,0,1.73134,1.71177,0
-1.17074,-1.20346,0,1.73134,1.71177,0
-1.17068,-1.20346,0,1.73135,1.71177,0
-1.17062,-1.20346,0,1.73136,1.71177,0
-1.17056,-1.20346,0,1.73136,1.71177,0
-1.1705,-1.20346,0,1.73137,1.71177,0
-1.17044,-1.20346,0,1.73138,1.71177,0
-1.17038,-1.20346,0,1.73138,1.71177,0
-1.17032,-1.20346,0,1.73139,1.71177,0
-1.17027,-1.20346,0,1.7314,1.71177,0
-1.17021,-1.20346,0,1.7314,1.71177,0
-1.17015,-1.20346,0,1.73141,1.71177,0
-1.17009,-1.20346,0,1.73142,1.71177,0
-1.17003,-1.20346,0,1.73142,1.71177,0
-1.16997,-1.20346,0,1.73143,1.71177,0
-1.16991,-1.20346,0,1.73144,1.71177,0
-1.16985,-1.20346,0,1.73144,1.71177,0
-1.16979,-1.20346,0,1.73145,1.71177,0
-1.16973,-1.20346,0,1.73146,1.71177,0
-1.16967,-1.20346,0,1.73146,1.71177,0
-1.16961,-1.20346,0,1.73147,1.71177,0
-1.16956,-1.20346,0,1.73148,1.71177,0
-1.1695,-1.20346,0,1.73148,1.71177,0
-1.16944,-1.20346,0,1.73149,1.71177,0
-1.16938,-1.20346,0,1.7315,1.71177,0
-1.16932,-1.20346,0,1.7315,1.71177,0
-1.16926,-1.20346,0,1.73151,1.71177,0
-1.1692,-1.20346,0,1.73152,1.71177,0
-1.16914,-1.20346,0,1.73152,1.71177,0
-1.16908,-1.20346,0,1.73153,1.71177,0
-1.16902,-1.20346,0,1.73154,1.71177,0
-1.16896,-1.20343,0,1.73154,1.71174,0
-1.16889,-1.20343,0,1.73153,1.71174,0
-1.16881,-1.20343,0,1.73152,1.71174,0
-1.16874,-1.20343,0,1.73152,1.71174,0
-1.16866,-1.20343,0,1.73151,1.71174,0
-1.16859,-1.20343,0,1.7315,1.71174,0
-1.16852,-1.20343,0,1.73149,1.71174,0
-1.16844,-1.20343,0,1.73149,1.71174,0
-1.16837,-1.20343,0,1.73148,1.71174,0
-1.16829,-1.20343,0,1.73147,1.71174,0
-1.16822,-1.20343,0,1.73146,1.71174,0
-1.16815,-1.20343,0,1.73146,1.71174,0
-1.16807,-1.20343,0,1.73145,1.71174,0
-1.168,-1.20343,0,1.73144,1.71174,0
-1.16793,-1.2034,0.00188981,1.73143,1.71171,9.44907e-05
-1.16785,-1.2034,0.00179532,1.73143,1.71171,0.000179532
-1.16778,-1.2034,0.00170556,1.73142,1.71171,0.000255834
-1.1677,-1.2034,0.00162028,1.73141,1.71171,0.000324056
-1.16763,-1.2034,0.00153927,1.7314,1.71171,0.000384816
