torque_1,torque_1_t,torque_2,torque_2_t
0.137118,0.175,0.118773,0.0875
0.137618,0.328125,0.119223,-0.503125
0.138118,0.175,0.119673,-0.30625
0.138618,0.109375,0.120123,-0.459375
0.139168,0.21875,0.120573,0.196875
0.139668,0.153125,0.121023,-0.284375
0.140168,0.328125,0.121473,-0.48125
0.140668,-0.021875,0.121923,0
0.141168,0.153125,0.122373,-0.2625
0.141718,0.109375,0.122773,-0.371875
0.142218,0.196875,0.123223,-0.503125
0.142718,0.21875,0.123673,0.109375
0.143218,0.240625,0.124123,-0.371875
0.143768,0.175,0.124573,-0.30625
0.144268,-0.065625,0.125023,-0.48125
0.143459,0.240625,0.125589,-0.284375
0.144017,0.175,0.126013,-0.503125
0.144573,-0.065625,0.12644,0.13125
0.145175,0.240625,0.126819,-0.459375
0.145725,0.175,0.12725,-0.503125
0.146127,0.153125,0.127829,0.196875
0.146672,0.328125,0.128264,-0.525
0.147265,0.21875,0.128701,0
0.147369,0.153125,0.129278,-0.2625
0.147922,0.240625,0.129712,-0.021875
0.147891,0.21875,0.130432,-0.459375
0.148504,0.196875,0.130813,-0.153125
0.148918,0.196875,0.131392,-0.48125
0.149474,0.240625,0.131828,0.153125
0.150078,0.175,0.132266,-0.525
0.14903,0.21875,0.132815,0.04375
0.149651,0.240625,0.133223,0.13125
0.147794,0.240625,0.133674,-0.459375
0.14857,0.30625,0.13404,0.2625
0.149284,0.240625,0.134416,-0.021875
0.149988,0.175,0.1348,0.021875
0.150731,-0.065625,0.135193,-0.546875
0.151415,0.175,0.135593,0.021875
0.152089,0.196875,0.135949,0.109375
0.152755,0.196875,0.136362,0.04375
0.153462,0.175,0.136781,0.04375
0.154012,0.21875,0.136905,-0.04375
0.154454,0.2625,0.136984,-0.284375
0.154939,0.240625,0.137018,-0.459375
0.155367,0.196875,0.137055,0.04375
0.155839,0.196875,0.137097,0.175
0.156255,0.175,0.137141,-0.21875
0.156715,0.21875,0.137189,-0.021875
0.157119,0.21875,0.137239,0.021875
0.157569,0.21875,0.137292,0.109375
0.157963,0.153125,0.137346,0.109375
0.158403,0.196875,0.137403,-0.284375
0.158838,0.240625,0.137462,-0.546875
0.159219,0.175,0.137522,0.153125
0.159645,0.328125,0.137584,0.065625
0.160018,0.21875,0.137647,-0.21875
0.160438,0.175,0.137711,-0.503125
0.160803,0.196875,0.137826,-0.021875
0.161216,0.2625,0.137892,0.175
0.161575,0.153125,0.137813,-0.021875
0.161982,0.13125,0.13788,0.021875
0.159428,0.2625,0.138024,0.04375
0.159822,0.21875,0.138175,-0.284375
0.160351,0.21875,0.138188,-0.065625
0.157915,0.175,0.138283,-0.48125
0.158565,0.175,0.138245,0.0875
0.15915,0.2625,0.138218,-0.546875
0.156573,0.153125,0.138272,-0.546875
0.157283,0.21875,0.138197,-0.175
0.158022,0.175,0.138138,-0.021875
0.158692,0.21875,0.137949,-0.021875
0.159394,0.240625,0.137918,-0.56875
0.160078,0.21875,0.1379,-0.04375
0.160695,0.21875,0.137893,-0.153125
0.161347,0.21875,0.137897,-0.153125
0.161933,0.175,0.13791,-0.284375
0.162555,0.153125,0.137931,0.021875
0.162968,0.153125,0.138156,-0.56875
0.163563,0.284375,0.138193,0.153125
0.164097,0.2625,0.138236,-0.546875
0.164668,0.240625,0.138285,-0.459375
0.165129,0.21875,0.138239,-0.503125
0.165529,0.21875,0.138099,-0.284375
0.165869,0.13125,0.137962,-0.240625
0.166199,0.240625,0.137829,0.13125
0.16652,0.196875,0.1377,-0.503125
0.166833,0.284375,0.137574,0.153125
0.167138,0.196875,0.1375,0.13125
0.167435,0.240625,0.137379,0.065625
0.167775,0.240625,0.13726,0.0875
0.168057,0.21875,0.137142,0.021875
0.168333,0.2625,0.137027,-0.48125
0.168603,0.2625,0.136767,0.021875
0.168867,0.284375,0.136653,0.153125
0.169125,0.21875,0.136541,-0.175
0.169428,0.196875,0.136429,-0.459375
0.169675,0.2625,0.136317,0.175
0.169918,0.240625,0.136206,-0.48125
0.170156,0.196875,0.136095,0.109375
0.167482,0.21875,0.136061,-0.175
0.167849,0.2625,0.135888,-0.240625
0.167915,0.240625,0.136013,-0.503125
0.168312,-0.021875,0.135852,0.13125
0.168648,0.21875,0.135696,-0.13125
0.168975,0.2625,0.135545,0.021875
0.169294,0.175,0.135399,0.109375
0.169604,0.196875,0.135256,0.04375
0.166707,0.196875,0.135236,-0.546875
0.167154,0.240625,0.135031,0.065625
0.167636,0.196875,0.134836,0.21875
0.168054,0.196875,0.13465,-0.35
0.168459,0.21875,0.134472,0.109375
0.168851,0.240625,0.134301,-0.30625
0.169231,0.21875,0.134137,-0.48125
0.169599,0.240625,0.13398,-0.503125
0.170006,0.2625,0.133828,-0.021875
0.170353,0.196875,0.133681,-0.175
0.17069,0.196875,0.133538,-0.459375
0.171018,0.240625,0.1334,-0.503125
0.171337,0.196875,0.133265,0.153125
0.171648,0.240625,0.133133,0.04375
0.17195,0.240625,0.133005,0.065625
0.172195,0.240625,0.132929,-0.525
0.172432,0.2625,0.132805,0.153125
0.172663,0.240625,0.132733,-0.459375
0.172887,0.240625,0.132613,-0.021875
0.173105,0.21875,0.132544,-0.04375
0.173317,0.2625,0.132476,-0.21875
0.173524,0.196875,0.13236,-0.503125
0.173725,0.21875,0.132294,0.109375
0.173871,0.240625,0.132179,0.13125
0.174062,0.196875,0.132115,-0.4375
0.174249,0.21875,0.132001,0.109375
0.174431,0.284375,0.131937,0.175
0.174609,0.196875,0.131874,-0.04375
0.174784,0.21875,0.13176,0.153125
0.174954,0.196875,0.131696,0.021875
0.175122,0.196875,0.131583,0.175
0.175285,0.153125,0.131519,0.0875
0.175396,0.328125,0.131404,-0.525
0.175553,0.21875,0.13134,0.13125
0.175708,0.196875,0.131275,-0.503125
0.174261,0.2625,0.131268,-0.546875
0.174483,0.240625,0.13117,0.2625
0.174699,0.196875,0.131024,-0.590625
0.173601,0.196875,0.131047,-0.525
0.173863,0.240625,0.13088,0.021875
0.174118,0.240625,0.130767,0.21875
0.173493,0.196875,0.130786,0.13125
0.173718,0.153125,0.130615,0.13125
0.17384,0.21875,0.130645,0.065625
0.174099,0.175,0.130485,-0.415625
0.174204,0.21875,0.130524,-0.525
0.174448,0.21875,0.130371,0.175
0.174684,0.196875,0.130272,0.04375
0.173314,0.196875,0.130286,0.13125
0.173609,0.21875,0.13011,-0.284375
0.170988,0.21875,0.130067,-0.503125
0.171352,0.240625,0.12984,0.13125
0.169716,0.21875,0.129773,0.065625
0.170049,0.21875,0.129671,0.0875
0.170363,0.240625,0.129633,0.065625
0.170759,0.240625,0.129708,0.13125
0.171284,0.240625,0.129749,-0.546875
0.16932,0.21875,0.129837,0.021875
0.169784,0.240625,0.129942,0.0875
0.170373,-0.04375,0.129965,-0.48125
0.170797,0.240625,0.130097,0.240625
0.169748,0.240625,0.130204,0.153125
0.168319,0.240625,0.130328,0.021875
0.168999,0.153125,0.130276,-0.04375
0.16762,0.196875,0.130338,0.153125
0.168107,0.21875,0.130615,-0.284375
0.168663,0.2625,0.130715,0.04375
0.169048,0.21875,0.130977,-0.546875
0.16723,0.240625,0.130955,0.021875
0.165068,0.240625,0.13098,-0.48125
0.165635,0.21875,0.131174,-0.04375
0.166313,0.21875,0.131297,0.13125
0.164053,0.240625,0.131466,0.0875
0.16292,0.196875,0.13147,0.065625
0.162281,0.21875,0.131763,-0.546875
0.160259,0.21875,0.131921,-0.56875
0.158432,0.240625,0.131848,-0.415625
0.156408,0.13125,0.132035,-0.546875
0.156072,0.240625,0.131986,-0.021875
0.155465,0.196875,0.132184,0.13125
0.154586,0.196875,0.132231,0.13125
0.153311,0.240625,0.132312,0.065625
0.150786,0.240625,0.132448,0.0875
0.147648,0.2625,0.132234,-0.153125
0.147476,0.175,0.132382,0.021875
0.14638,0.240625,0.132477,-0.284375
0.146199,0.2625,0.132594,0.021875
0.144126,0.240625,0.132584,-0.065625
0.141861,0.21875,0.132787,0.21875
0.142307,0.153125,0.132735,-0.459375
0.140255,0.175,0.132853,0.021875
0.138294,0.153125,0.132898,0.065625
0.136274,0.153125,0.133069,0.0875
0.13608,0.2625,0.13312,-0.503125
0.13666,0.13125,0.133116,0.0875
0.136381,0.2625,0.133472,0.175
0.136832,0.153125,0.133913,0.04375
0.13644,0.21875,0.134309,-0.39375
0.134762,0.0875,0.134879,0.21875
0.134276,0.284375,0.135407,0.153125
0.133277,0.21875,0.135831,0.0875
0.131264,0.21875,0.136321,-0.284375
0.12954,0.2625,0.136691,-0.525
0.129309,0.240625,0.137175,0.0875
0.127098,0.284375,0.137675,0
0.127028,0.240625,0.138002,-0.503125
