angle_1_e,angle_1_t,d_theta_1_t,angle_2_e,angle_2_t,d_theta_2_t
-1.11918,-1.145,0,2.14436,2.12011,0
-1.11903,-1.145,0,2.14441,2.12011,0
-1.11887,-1.14494,0,2.14447,2.12005,0
-1.11872,-1.14485,0.00188981,2.14452,2.12002,9.44907e-05
-1.11857,-1.1447,0.00572032,2.14457,2.11994,0.000375782
-1.11841,-1.14456,0.00979542,2.14462,2.11985,0.000846764
-1.11826,-1.14441,0.0139575,2.14467,2.11988,0.0015023
-1.11811,-1.14424,0.0179115,2.14472,2.11991,0.00232276
-1.11796,-1.14409,0.021377,2.14478,2.11999,0.00327547
-1.1178,-1.14395,0.0246693,2.14483,2.12017,0.00434516
-1.11765,-1.1438,0.0277969,2.14488,2.12037,0.00551775
-1.1175,-1.14363,0.0310589,2.14493,2.12063,0.00679481
-1.11735,-1.14345,0.0341578,2.14498,2.12092,0.00816296
-1.11719,-1.14325,0.0387009,2.14503,2.12122,0.00968986
-1.11704,-1.14302,0.043889,2.14509,2.12154,0.0113998
-1.11689,-1.14276,0.0492538,2.14514,2.12183,0.0132925
-1.11673,-1.14244,0.0550772,2.14519,2.12209,0.0153817
-1.11658,-1.14215,0.0606095,2.14524,2.12244,0.0176431
-1.11643,-1.14186,0.0663012,2.14529,2.12279,0.020076
-1.11628,-1.14156,0.0717084,2.14534,2.12322,0.0226577
-1.11612,-1.14124,0.0768452,2.14539,2.12366,0.025367
-1.11597,-1.14095,0.0817251,2.14545,2.12418,0.0281849
-1.11582,-1.14063,0.0867972,2.1455,2.12473,0.0311155
-1.11566,-1.14029,0.0911796,2.14555,2.12529,0.0341187
-1.11551,-1.13994,0.0969419,2.1456,2.12593,0.0372599
-1.11536,-1.13959,0.102852,2.14565,2.12659,0.0405395
-1.1152,-1.13921,0.108758,2.1457,2.12723,0.0439504
-1.11505,-1.13886,0.114804,2.14575,2.12796,0.0474931
-1.1149,-1.13845,0.119821,2.1458,2.12866,0.0511095
-1.11474,-1.13808,0.124588,2.14585,2.12936,0.0547834
-1.11459,-1.1377,0.12868,2.14591,2.13005,0.0584782
-1.11444,-1.13732,0.133003,2.14596,2.13072,0.0622045
-1.11428,-1.13694,0.136674,2.14601,2.1313,0.065928
-1.11413,-1.13653,0.140889,2.14606,2.1318,0.069676
-1.11398,-1.13616,0.144892,2.14611,2.13221,0.0734368
-1.11382,-1.13578,0.149568,2.14616,2.13244,0.0772434
-1.11367,-1.13537,0.153138,2.14621,2.13253,0.0810381
-1.11352,-1.13496,0.156965,2.14626,2.13247,0.0848344
-1.11336,-1.13453,0.161037,2.14631,2.13226,0.0886446
-1.11321,-1.13401,0.164034,2.14636,2.13183,0.092414
-1.11306,-1.1336,0.16688,2.14641,2.13142,0.0961373
-1.1129,-1.13322,0.17002,2.14646,2.13101,0.0998315
-1.11275,-1.13284,0.173004,2.14651,2.13061,0.10349
-1.1126,-1.13246,0.174239,2.14657,2.1302,0.107028
-1.11244,-1.13209,0.175848,2.14662,2.12982,0.110469
-1.11229,-1.13171,0.177377,2.14667,2.12944,0.113814
-1.11213,-1.13133,0.179265,2.14672,2.12907,0.117087
-1.11198,-1.13098,0.180187,2.14677,2.12872,0.120242
-1.11183,-1.1306,0.182662,2.14682,2.12834,0.123363
-1.11167,-1.13025,0.18385,2.14687,2.12799,0.126387
-1.11152,-1.12988,0.184543,2.14692,2.12764,0.129295
-1.11137,-1.12953,0.185201,2.14697,2.12729,0.13209
-1.11121,-1.12921,0.185099,2.14702,2.12697,0.134741
-1.11106,-1.12889,0.18573,2.14707,2.12668,0.13729
-1.1109,-1.12857,0.184729,2.14712,2.12639,0.139662
-1.11075,-1.12828,0.183779,2.14717,2.12616,0.141868
