torque_1,torque_1_t,torque_2,torque_2_t
0.65946,0.065625,1.548,-0.13125
0.665802,0.415625,1.55156,-0.56875
0.658755,0.678125,1.5542,-0.809375
0.642987,0.48125,1.55413,-1.05
0.628621,0.74375,1.54961,-1.20312
0.6134,0.525,1.53892,-1.46562
0.59904,0.809375,1.52162,-1.59688
0.585073,0.65625,1.49726,-1.68437
0.573722,0.634375,1.46806,-1.6625
0.5804,0.7,1.42451,-1.81563
0.568817,0.7875,1.37785,-1.79375
0.561845,0.7,1.32507,-1.64062
0.54965,0.721875,1.26788,-1.64062
0.528372,0.721875,1.17577,-1.6625
0.51267,0.91875,1.12286,-1.61875
0.481875,0.7,1.03279,-1.575
0.453517,0.678125,0.973167,-1.4
0.425113,0.809375,0.922614,-1.35625
0.396288,0.634375,0.867618,-1.42188
0.362373,0.35,0.818205,-1.37813
0.332549,0.546875,0.769585,-1.575
0.296945,0.240625,0.725263,-1.46562
0.257332,0.48125,0.688694,-1.59688
0.211723,0.634375,0.656796,-1.46562
0.162249,0.4375,0.640938,-1.46562
0.11239,0.0875,0.629748,-1.4875
0.0603982,0.35,0.631984,-1.44375
0.0120773,0.109375,0.641526,-1.3125
-0.0348764,0.13125,0.65798,-1.44375
-0.085323,0.13125,0.67958,-1.26875
-0.13,0.13125,0.704601,-1.33438
-0.173131,0.065625,0.728721,-1.29062
-0.214341,-0.48125,0.749742,-1.07187
-0.251988,-0.196875,0.768571,-1.1375
-0.297017,-0.065625,0.789518,-1.24687
-0.325064,-0.39375,0.80964,-1.1375
-0.372245,-0.525,0.833193,-1.3125
-0.410311,-0.39375,0.854574,-1.18125
-0.449398,-0.590625,0.871559,-1.26875
-0.478707,-0.459375,0.889022,-1.225
-0.506291,-0.7,0.905206,-1.225
-0.521567,-0.525,0.918407,-1.20312
-0.539754,-0.56875,0.932121,-1.24687
-0.554315,-0.56875,0.944155,-1.225
-0.568188,-0.7875,0.954101,-1.26875
-0.584467,-0.83125,0.962351,-1.225
-0.600117,-0.634375,0.968489,-1.35625
-0.612203,-0.39375,0.97294,-1.37813
-0.619749,-0.678125,0.975316,-1.35625
-0.626746,-0.875,0.977335,-1.33438
-0.631696,-0.809375,0.975967,-1.33438
-0.631946,-0.91875,0.971638,-1.46562
-0.633843,-0.48125,0.966087,-1.42188
-0.633309,-0.7875,0.96108,-1.29062
