angle_1_e,angle_1_t,d_theta_1_t,angle_2_e,angle_2_t,d_theta_2_t
-1.13362,-1.15104,0,2.1376,2.09644,0
-1.13352,-1.15104,0,2.13768,2.09644,0
-1.13342,-1.15104,0,2.13776,2.09644,0
-1.13333,-1.15104,0,2.13783,2.09644,0
-1.13323,-1.15104,0,2.13791,2.09644,0
-1.13313,-1.15104,0,2.13798,2.09644,0
-1.13304,-1.15104,0,2.13806,2.09644,0
-1.13294,-1.15104,0,2.13814,2.09644,0
-1.13284,-1.15104,0,2.13821,2.09644,0
-1.13275,-1.15104,0,2.13829,2.09644,0
-1.13265,-1.15104,0,2.13836,2.09644,0
-1.13255,-1.15104,0,2.13844,2.09644,0
-1.13246,-1.15104,0,2.13852,2.09644,0
-1.13236,-1.15104,0,2.13859,2.09644,0
-1.13226,-1.15104,0,2.13867,2.09644,0
-1.13217,-1.15104,0,2.13874,2.09644,0
-1.13207,-1.15104,0,2.13882,2.09644,0
-1.13197,-1.15104,0,2.1389,2.09644,0
-1.13188,-1.15104,0,2.13897,2.09644,0
-1.13178,-1.15104,0,2.13905,2.09644,0
-1.13168,-1.15101,0,2.13912,2.09642,0
-1.13159,-1.15101,0,2.1392,2.09642,0
-1.13149,-1.15101,0,2.13928,2.09642,0
-1.13139,-1.15101,0,2.13935,2.09642,0
-1.13129,-1.15101,0,2.13943,2.09642,0
-1.1312,-1.15101,0,2.1395,2.09642,0
-1.1311,-1.15101,0,2.13958,2.09642,0
-1.131,-1.15101,0,2.13965,2.09642,0
-1.13091,-1.15101,0,2.13973,2.09642,0
-1.13081,-1.15101,0,2.13981,2.09642,0
-1.13071,-1.15098,0.000290741,2.13988,2.09639,1.4537e-05
-1.13062,-1.15096,0.000276204,2.13996,2.09636,2.76204e-05
-1.13052,-1.15096,0.000262394,2.14003,2.09636,3.9359e-05
-1.13042,-1.15096,0.000249274,2.14011,2.09636,4.98548e-05
-1.13032,-1.15096,0.00023681,2.14018,2.09636,5.92025e-05
-1.13023,-1.15096,0.00022497,2.14026,2.09636,6.74909e-05
-1.13013,-1.15096,0.000213721,2.14033,2.09636,7.48024e-05
-1.13003,-1.15096,0.000203035,2.14041,2.09636,8.1214e-05
-1.12993,-1.15096,0.000192883,2.14049,2.09636,8.67975e-05
-1.12984,-1.15096,0.000183239,2.14056,2.09636,9.16196e-05
-1.12974,-1.15096,0.000174077,2.14064,2.09636,9.57425e-05
-1.12964,-1.15096,0.000165373,2.14071,2.09636,9.9224e-05
-1.12955,-1.15096,0.000157105,2.14079,2.09636,0.000102118
-1.12945,-1.15096,0.000149249,2.14086,2.09636,0.000104475
-1.12935,-1.15096,0.000141787,2.14094,2.09636,0.00010634
-1.12925,-1.15096,0.000134698,2.14101,2.09636,0.000107758
-1.12916,-1.15096,0.000127963,2.14109,2.09636,0.000108768
-1.12906,-1.15096,0.000121565,2.14116,2.09636,0.000109408
-1.12896,-1.15096,0.000115486,2.14124,2.09636,0.000109712
-1.12886,-1.15096,0.000109712,2.14131,2.09636,0.000109712
-1.12877,-1.15096,0.000104226,2.14139,2.09636,0.000109438
-1.12867,-1.15096,9.90151e-05,2.14147,2.09636,0.000108917
-1.12857,-1.15096,9.40644e-05,2.14154,2.09636,0.000108174
-1.12847,-1.15096,8.93612e-05,2.14162,2.09636,0.000107233
-1.12837,-1.15096,8.48931e-05,2.14169,2.09636,0.000106116
-1.12828,-1.15096,8.06484e-05,2.14177,2.09636,0.000104843
-1.12818,-1.15096,7.6616e-05,2.14184,2.09636,0.000103432
-1.12808,-1.15096,7.27852e-05,2.14192,2.09636,0.000101899
-1.12798,-1.15096,6.9146e-05,2.14199,2.09636,0.000100262
-1.12789,-1.15096,6.56887e-05,2.14207,2.09636,9.8533e-05
-1.12779,-1.15096,6.24042e-05,2.14214,2.09633,9.67266e-05
-1.1277,-1.15096,5.9284e-05,2.14221,2.0963,9.48544e-05
-1.1276,-1.15096,5.63198e-05,2.14229,2.0963,9.29277e-05
-1.12751,-1.15096,5.35038e-05,2.14236,2.0963,9.09565e-05
-1.12742,-1.15096,5.08286e-05,2.14243,2.0963,8.89501e-05
-1.12733,-1.15096,4.82872e-05,2.1425,2.0963,8.6917e-05
-1.12724,-1.15096,4.58728e-05,2.14258,2.0963,8.48648e-05
-1.12715,-1.15096,4.35792e-05,2.14265,2.0963,8.28005e-05
-1.12706,-1.15096,4.14002e-05,2.14272,2.0963,8.07305e-05
-1.12697,-1.15096,3.93302e-05,2.14279,2.0963,7.86605e-05
-1.12688,-1.15096,3.73637e-05,2.14287,2.0963,7.65956e-05
-1.12679,-1.15096,3.54955e-05,2.14294,2.0963,7.45406e-05
-1.1267,-1.15096,3.37208e-05,2.14301,2.0963,7.24996e-05
-1.1266,-1.15096,3.20347e-05,2.14308,2.0963,7.04764e-05
-1.12651,-1.15096,3.0433e-05,2.14315,2.0963,6.84742e-05
-1.12642,-1.15096,2.89113e-05,2.14323,2.0963,6.64961e-05
-1.12633,-1.15096,2.74658e-05,2.1433,2.0963,6.45446e-05
-1.12624,-1.15096,2.60925e-05,2.14337,2.09627,6.26219e-05
-1.12615,-1.15096,2.47879e-05,2.14344,2.09627,6.07302e-05
-1.12606,-1.15096,2.35485e-05,2.14352,2.09627,5.88712e-05
-1.12597,-1.15096,2.2371e-05,2.14359,2.09627,5.70461e-05
-1.12587,-1.15096,2.12525e-05,2.14366,2.09627,5.52565e-05
-1.12578,-1.15096,2.01899e-05,2.14373,2.09627,5.35031e-05
-1.12569,-1.15096,1.91804e-05,2.1438,2.09627,5.1787e-05
-1.1256,-1.15096,1.82214e-05,2.14388,2.09627,5.01087e-05
-1.12551,-1.15096,1.73103e-05,2.14395,2.09627,4.84688e-05
-1.12542,-1.15096,1.64448e-05,2.14402,2.09627,4.68676e-05
-1.12533,-1.15096,1.56225e-05,2.14409,2.09627,4.53053e-05
-1.12524,-1.15096,1.48414e-05,2.14416,2.09627,4.37821e-05
-1.12514,-1.15096,1.40993e-05,2.14424,2.09627,4.2298e-05
-1.12505,-1.15096,1.33944e-05,2.14431,2.09627,4.08528e-05
-1.12496,-1.15096,1.27246e-05,2.14438,2.09627,3.94464e-05
-1.12487,-1.15096,1.20884e-05,2.14445,2.09624,3.80785e-05
-1.12478,-1.15096,1.1484e-05,2.14452,2.09624,3.67488e-05
-1.12469,-1.15096,1.09098e-05,2.14459,2.09624,3.54568e-05
-1.1246,-1.15096,1.03643e-05,2.14467,2.09624,3.42022e-05
-1.1245,-1.15096,9.84609e-06,2.14474,2.09624,3.29844e-05
-1.12441,-1.15096,9.35379e-06,2.14481,2.09624,3.18029e-05
-1.12432,-1.15096,8.8861e-06,2.14488,2.09624,3.0657e-05
-1.12423,-1.15096,8.44179e-06,2.14495,2.09624,2.95463e-05
-1.12414,-1.15096,8.0197e-06,2.14503,2.09624,2.84699e-05
-1.12405,-1.15096,7.61872e-06,2.1451,2.09624,2.74274e-05
-1.12395,-1.15096,7.23778e-06,2.14517,2.09624,2.64179e-05
-1.12386,-1.15096,6.87589e-06,2.14524,2.09624,2.54408e-05
-1.12377,-1.15096,6.5321e-06,2.14531,2.09624,2.44954e-05
-1.12368,-1.15096,6.20549e-06,2.14538,2.09624,2.35809e-05
-1.12359,-1.15096,5.89522e-06,2.14546,2.09624,2.26966e-05
-1.12349,-1.15096,5.60046e-06,2.14553,2.09624,2.18418e-05
-1.1234,-1.15096,5.32043e-06,2.1456,2.09624,2.10157e-05
-1.12331,-1.15096,5.05441e-06,2.14567,2.09624,2.02177e-05
-1.12322,-1.15096,4.80169e-06,2.14574,2.09621,1.94469e-05
-1.12313,-1.15096,4.56161e-06,2.14581,2.09621,1.87026e-05
-1.12304,-1.15096,4.33353e-06,2.14589,2.09621,1.79841e-05
-1.12294,-1.15096,4.11685e-06,2.14596,2.09621,1.72908e-05
-1.12285,-1.15096,3.91101e-06,2.14603,2.09621,1.66218e-05
-1.12276,-1.15096,3.71546e-06,2.1461,2.09621,1.59765e-05
-1.12267,-1.15096,3.52968e-06,2.14617,2.09621,1.53541e-05
-1.12258,-1.15096,3.3532e-06,2.14624,2.09621,1.47541e-05
-1.12248,-1.15096,3.18554e-06,2.14631,2.09621,1.41757e-05
-1.12239,-1.15096,3.02626e-06,2.14639,2.09621,1.36182e-05
-1.1223,-1.15096,2.87495e-06,2.14646,2.09621,1.3081e-05
-1.1222,-1.15096,2.7312e-06,2.14653,2.09621,1.25635e-05
-1.12211,-1.15096,2.59464e-06,2.1466,2.09621,1.20651e-05
-1.12201,-1.15096,2.46491e-06,2.14667,2.09621,1.15851e-05
-1.12191,-1.15096,2.34167e-06,2.14674,2.09621,1.11229e-05
-1.12181,-1.15096,2.22458e-06,2.14682,2.09621,1.0678e-05
-1.12172,-1.15096,2.11335e-06,2.14689,2.09621,1.02498e-05
-1.12162,-1.15096,2.00769e-06,2.14696,2.09621,9.83766e-06
-1.12152,-1.15096,1.9073e-06,2.14703,2.09621,9.44114e-06
-1.12142,-1.15096,1.81194e-06,2.1471,2.09621,9.05968e-06
-1.12133,-1.15096,1.72134e-06,2.14717,2.09621,8.69276e-06
-1.12123,-1.15096,1.63527e-06,2.14724,2.09621,8.33989e-06
-1.12113,-1.15096,1.55351e-06,2.14732,2.09621,8.00057e-06
-1.12103,-1.15096,1.47583e-06,2.14739,2.09621,7.67433e-06
-1.12093,-1.15096,1.40204e-06,2.14746,2.09621,7.36072e-06
-1.12084,-1.15096,1.33194e-06,2.14753,2.09621,7.05928e-06
-1.12074,-1.15096,1.26534e-06,2.1476,2.09621,6.76958e-06
-1.12064,-1.15096,1.20208e-06,2.14767,2.09621,6.49121e-06
-1.12054,-1.15096,1.14197e-06,2.14774,2.09621,6.22374e-06
-1.12044,-1.15096,1.08487e-06,2.14782,2.09621,5.9668e-06
-1.12035,-1.15096,1.03063e-06,2.14789,2.09621,5.71999e-06
-1.12025,-1.15096,9.79098e-07,2.14796,2.09621,5.48295e-06
-1.12015,-1.15096,9.30143e-07,2.14803,2.09621,5.25531e-06
-1.12005,-1.15096,8.83636e-07,2.1481,2.09621,5.03672e-06
-1.11995,-1.15096,8.39454e-07,2.14817,2.09621,4.82686e-06
-1.11986,-1.15096,7.97481e-07,2.14824,2.09621,4.62539e-06
-1.11976,-1.15096,7.57607e-07,2.14831,2.09621,4.432e-06
-1.11966,-1.15096,7.19727e-07,2.14839,2.09621,4.24639e-06
-1.11956,-1.15096,6.83741e-07,2.14846,2.09621,4.06826e-06
-1.11946,-1.15096,6.49553e-07,2.14853,2.09621,3.89732e-06
-1.11936,-1.15096,6.17076e-07,2.1486,2.09621,3.73331e-06
-1.11927,-1.15096,5.86222e-07,2.14867,2.09621,3.57595e-06
-1.11917,-1.15096,5.56911e-07,2.14874,2.09621,3.425e-06
-1.11907,-1.15096,5.29065e-07,2.14881,2.09621,3.28021e-06
-1.11897,-1.15096,5.02612e-07,2.14888,2.09621,3.14133e-06
-1.11887,-1.15096,4.77482e-07,2.14895,2.09621,3.00813e-06
-1.11877,-1.15096,4.53607e-07,2.14903,2.09621,2.88041e-06
-1.11868,-1.15096,4.30927e-07,2.1491,2.09621,2.75793e-06
-1.11858,-1.15096,4.09381e-07,2.14917,2.09621,2.64051e-06
-1.11848,-1.15096,3.88912e-07,2.14924,2.09621,2.52793e-06
-1.11838,-1.15096,3.69466e-07,2.14931,2.09621,2.42e-06
-1.11828,-1.15096,3.50993e-07,2.14938,2.09621,2.31655e-06
-1.11818,-1.15096,3.33443e-07,2.14945,2.09621,2.2174e-06
-1.11808,-1.15096,3.16771e-07,2.14952,2.09621,2.12237e-06
-1.11799,-1.15096,3.00932e-07,2.14959,2.09621,2.03129e-06
-1.11789,-1.15096,2.85886e-07,2.14966,2.09621,1.94402e-06
-1.11779,-1.15096,2.71592e-07,2.14973,2.09621,1.8604e-06
-1.11769,-1.15096,2.58012e-07,2.14981,2.09621,1.78028e-06
-1.11759,-1.15096,2.45111e-07,2.14988,2.09621,1.70352e-06
-1.11749,-1.15096,2.32856e-07,2.14995,2.09621,1.62999e-06
-1.11739,-1.15096,2.21213e-07,2.15002,2.09621,1.55955e-06
-1.1173,-1.15096,2.10152e-07,2.15009,2.09621,1.49208e-06
-1.1172,-1.15096,1.99645e-07,2.15016,2.09618,1.42746e-06
-1.1171,-1.15096,1.89662e-07,2.15023,2.09618,1.36557e-06
-1.117,-1.15096,1.80179e-07,2.1503,2.09618,1.3063e-06
-1.1169,-1.15096,1.7117e-07,2.15037,2.09618,1.24954e-06
-1.1168,-1.15096,1.62612e-07,2.15044,2.09618,1.1952e-06
-1.1167,-1.15096,1.54481e-07,2.15051,2.09618,1.14316e-06
-1.1166,-1.15093,0.00232607,2.15058,2.09615,0.00011739
-1.11651,-1.15093,0.00220977,2.15065,2.09615,0.000222009
-1.11641,-1.15093,0.00209928,2.15073,2.09615,0.000315872
-1.1163,-1.15093,0.00199432,2.15079,2.09615,0.000399794
-1.11617,-1.15093,0.0018946,2.15084,2.09615,0.000474535
-1.11605,-1.15093,0.00179987,2.15089,2.09615,0.000540802
-1.11593,-1.15093,0.00170988,2.15095,2.09615,0.000599255
-1.1158,-1.15093,0.00162438,2.151,2.09615,0.000650512
-1.11568,-1.15093,0.00154316,2.15105,2.09615,0.000695144
-1.11555,-1.15093,0.00146601,2.1511,2.09615,0.000733687
-1.11543,-1.15093,0.00139271,2.15116,2.09615,0.000766638
-1.1153,-1.15093,0.00204992,2.15121,2.09615,0.000830803
-1.11518,-1.1509,0.00194743,2.15126,2.09612,0.000886634
-1.11505,-1.1509,0.00185005,2.15131,2.09612,0.000934805
-1.11493,-1.1509,0.00175755,2.15136,2.09612,0.000975942
-1.11481,-1.1509,0.00166967,2.15142,2.09612,0.00101063
-1.11468,-1.15087,0.00434823,2.15147,2.0961,0.00117751
-1.11456,-1.15087,0.00413082,2.15152,2.0961,0.00132517
-1.11443,-1.15087,0.00392428,2.15157,2.0961,0.00145513
-1.11431,-1.15087,0.00372806,2.15162,2.0961,0.00156878
-1.11418,-1.15084,0.00354166,2.15168,2.09607,0.00166742
-1.11406,-1.15084,0.00336458,2.15173,2.09607,0.00175228
-1.11393,-1.15081,0.0039232,2.15178,2.09604,0.00186082
-1.11381,-1.15081,0.00372704,2.15183,2.09604,0.00195413
-1.11368,-1.15081,0.00354069,2.15188,2.09604,0.00203346
-1.11356,-1.15078,0.00568958,2.15194,2.09598,0.00221627
-1.11343,-1.15078,0.0054051,2.15199,2.09598,0.00237571
-1.11331,-1.15075,0.0058617,2.15204,2.09595,0.00255001
-1.11318,-1.15075,0.00556861,2.15209,2.09595,0.00270094
-1.11306,-1.15072,0.00529018,2.15214,2.09592,0.0028304
-1.11293,-1.15072,0.00502567,2.15219,2.09592,0.00294016
-1.11281,-1.15069,0.00710031,2.15225,2.09586,0.00314817
-1.11268,-1.15066,0.0067453,2.1523,2.09583,0.00332803
-1.11256,-1.15064,0.00640803,2.15235,2.0958,0.00348203
-1.11243,-1.15061,0.00914041,2.1524,2.09578,0.00376495
-1.11231,-1.15061,0.00868339,2.15245,2.09578,0.00401087
-1.11218,-1.15058,0.0105751,2.1525,2.09575,0.00433908
-1.11206,-1.15058,0.0100464,2.15256,2.09572,0.00462445
-1.11193,-1.15055,0.00954407,2.15261,2.09569,0.00487043
-1.11181,-1.15052,0.0102298,2.15266,2.09566,0.0051384
-1.11168,-1.15049,0.00971834,2.15271,2.09563,0.0053674
-1.11156,-1.15049,0.00923242,2.15276,2.09563,0.00556065
-1.11143,-1.15046,0.0087708,2.15281,2.09557,0.00572116
-1.11131,-1.15043,0.0106582,2.15286,2.09554,0.00596801
-1.11118,-1.1504,0.0128873,2.15292,2.09551,0.00631397
-1.11106,-1.15037,0.0141328,2.15297,2.09549,0.00670491
-1.11093,-1.15034,0.0148798,2.15302,2.09546,0.00711366
-1.11081,-1.15029,0.0155895,2.15307,2.0954,0.00753745
-1.11068,-1.15026,0.0148101,2.15312,2.09534,0.00790108
-1.11056,-1.15023,0.0152325,2.15317,2.09531,0.00826765
-1.11043,-1.1502,0.0144709,2.15322,2.09528,0.00857782
