torque_1,torque_1_t,torque_2,torque_2_t
0.0863169,0.153125,0.12757,-0.153125
0.0869669,0.0875,0.12792,-0.153125
0.0876169,0.109375,0.12827,-0.175
0.0882669,0.175,0.12857,-0.175
0.0889169,0.109375,0.12892,-0.153125
0.0895669,0.175,0.12922,-0.13125
0.0902169,0.175,0.12957,-0.196875
0.0908669,0.109375,0.12992,-0.153125
0.0914669,0.109375,0.13022,0.021875
0.0921169,0.153125,0.13057,-0.196875
0.0927669,0.109375,0.13087,-0.175
0.0934169,0.065625,0.13122,-0.196875
0.0940669,0.0875,0.13157,-0.109375
0.0947169,0.175,0.13187,-0.175
0.0953669,0.13125,0.13222,-0.109375
0.0960169,0.109375,0.13252,-0.21875
0.0966669,0.13125,0.13287,-0.175
0.0973169,0.109375,0.13322,-0.196875
0.0979669,0.13125,0.13352,-0.13125
0.0986169,0.109375,0.13387,-0.109375
0.0992669,0.065625,0.13417,-0.196875
0.0998669,0.21875,0.13452,-0.21875
0.100517,0.153125,0.13482,-0.175
0.101167,0.0875,0.13517,-0.196875
0.101817,0.065625,0.13547,-0.153125
0.102467,0.109375,0.13582,-0.153125
0.103117,0.109375,0.13617,-0.175
0.103767,0.109375,0.13647,-0.13125
0.104417,0.109375,0.13682,-0.153125
0.105067,0.153125,0.13712,-0.153125
0.105717,0.0875,0.13747,-0.196875
0.106367,0.109375,0.13777,-0.153125
0.107017,0.0875,0.13812,-0.13125
0.107667,0.0875,0.13842,-0.153125
0.108317,0.175,0.13877,-0.196875
0.108967,0.13125,0.13907,-0.13125
0.109617,0.0875,0.13942,-0.153125
0.110267,0.109375,0.13972,-0.153125
0.110917,0.0875,0.14007,-0.109375
0.111567,0.175,0.14037,-0.21875
0.112217,0.109375,0.14072,-0.153125
0.112867,0.109375,0.14102,-0.153125
0.113517,0.13125,0.14137,-0.153125
0.114167,0.065625,0.14167,-0.196875
0.114817,0.109375,0.14202,-0.153125
0.115467,0.109375,0.14232,-0.21875
0.116117,0.109375,0.14267,-0.175
0.116767,0.153125,0.14297,-0.153125
0.117417,0.153125,0.14332,-0.175
0.118067,0.153125,0.14362,-0.21875
0.118717,0.153125,0.14397,-0.065625
0.119367,0.13125,0.14427,-0.175
0.120017,0.153125,0.14462,-0.196875
0.120667,0.153125,0.14492,-0.175
0.121317,0.153125,0.14527,-0.109375
0.121967,0.196875,0.14557,-0.153125
0.122617,0.0875,0.14592,-0.175
0.123267,0.175,0.14622,-0.196875
0.123917,0.153125,0.14657,-0.196875
0.124567,0.13125,0.14687,-0.21875
0.125217,0.13125,0.14717,-0.175
0.125867,0.109375,0.14752,-0.175
0.126517,0.153125,0.14782,-0.196875
0.127167,0.13125,0.14812,-0.196875
0.127817,0.13125,0.14847,-0.196875
0.128467,0.0875,0.14877,-0.21875
0.129117,0.109375,0.14907,-0.153125
0.129767,0.153125,0.14937,-0.35
0.130417,0.153125,0.14972,-0.196875
0.131067,0.13125,0.15002,-0.175
0.131667,0.13125,0.15032,-0.21875
0.132317,0.2625,0.15062,-0.196875
0.132967,0.109375,0.15097,-0.240625
0.133617,0.240625,0.15127,-0.2625
0.134267,-0.021875,0.15157,-0.196875
0.134917,0.109375,0.15187,-0.153125
0.135567,0.13125,0.15217,-0.175
0.136217,-0.04375,0.15252,-0.196875
0.136867,0.153125,0.15282,-0.21875
0.137517,0.175,0.15312,-0.196875
0.138167,0.0875,0.15342,-0.153125
0.138817,0.175,0.15377,-0.13125
0.139467,0.153125,0.15407,-0.196875
0.140117,0.240625,0.15437,-0.2625
0.140767,0.2625,0.15467,-0.21875
0.141417,0.175,0.15497,-0.153125
0.142067,0.175,0.15532,-0.196875
0.142667,0.13125,0.15562,-0.196875
0.143317,0.21875,0.15592,-0.196875
0.143967,0.153125,0.15622,-0.196875
0.144617,0.21875,0.15652,-0.153125
0.145267,0.153125,0.15687,-0.196875
0.145917,0.13125,0.15717,-0.21875
0.146567,0.153125,0.15747,-0.196875
0.147217,0.21875,0.15777,-0.196875
0.147867,0.175,0.15807,-0.175
0.148517,0.196875,0.15837,-0.175
0.149167,0.2625,0.15872,-0.196875
0.149817,0.153125,0.15902,-0.21875
0.150467,0.2625,0.15932,-0.21875
0.151117,0.240625,0.15962,-0.196875
0.151767,0.196875,0.15992,-0.371875
0.152417,0.153125,0.16022,-0.196875
0.153067,0.13125,0.16057,-0.21875
0.153717,0.175,0.16087,-0.175
0.154367,0.196875,0.16117,-0.196875
0.152109,0.196875,0.161547,-0.175
0.152898,0.153125,0.161785,-0.175
0.153679,0.196875,0.162029,-0.284375
0.154453,0.196875,0.162329,-0.196875
0.155222,0.196875,0.162585,-0.21875
0.155984,0.240625,0.162845,-0.175
0.156741,0.30625,0.16311,-0.196875
0.157493,0.2625,0.16338,-0.21875
0.158239,0.196875,0.163653,-0.284375
0.159031,0.196875,0.163931,-0.175
0.159622,0.196875,0.164356,-0.21875
0.160355,0.196875,0.16469,-0.0875
0.161084,0.196875,0.164976,-0.21875
0.161808,0.196875,0.165265,-0.175
0.162529,0.175,0.165556,-0.21875
0.163246,0.196875,0.165849,-0.21875
0.16396,0.196875,0.166094,-0.21875
0.164721,0.175,0.166391,-0.240625
0.162958,0.175,0.166727,-0.240625
0.163829,0.2625,0.166975,-0.2625
0.164641,0.175,0.167179,-0.240625
0.165446,0.196875,0.16744,-0.21875
0.166293,0.196875,0.167656,-0.240625
0.167082,0.153125,0.167927,-0.2625
0.167914,0.196875,0.168153,-0.196875
0.16869,0.2625,0.168434,-0.04375
0.169314,0.2625,0.168813,-0.196875
0.170128,0.2625,0.169101,-0.196875
0.170886,0.21875,0.169343,-0.21875
0.171688,0.21875,0.169637,-0.196875
0.172436,0.196875,0.169884,-0.153125
0.173178,0.240625,0.170183,-0.196875
0.173966,0.2625,0.170435,-0.175
0.174554,0.153125,0.170884,-0.196875
0.175333,0.196875,0.17114,-0.21875
0.176059,0.30625,0.171447,-0.240625
0.17683,0.196875,0.171705,-0.30625
0.177548,0.21875,0.172015,-0.21875
0.178263,0.175,0.172276,-0.240625
0.179024,0.30625,0.172588,-0.240625
0.179587,0.35,0.172996,-0.21875
0.180343,0.065625,0.17326,-0.240625
0.181045,0.196875,0.173574,-0.196875
0.181795,0.196875,0.173838,-0.21875
0.182493,0.21875,0.174154,-0.21875
0.183238,0.2625,0.174419,-0.196875
0.183058,0.175,0.174862,-0.240625
0.183785,0.2625,0.175112,-0.21875
0.184559,0.196875,0.175413,-0.196875
0.185278,0.196875,0.175667,-0.175
0.185899,0.196875,0.176067,-0.240625
0.186612,0.196875,0.176373,-0.175
0.187371,0.196875,0.17663,-0.240625
0.187932,0.240625,0.177084,-0.196875
0.188541,0.196875,0.177488,-0.196875
0.189242,0.196875,0.177798,-0.196875
0.189845,0.196875,0.178204,-0.21875
0.190541,0.240625,0.178466,-0.21875
0.191285,0.196875,0.178777,-0.153125
0.191977,0.13125,0.17904,-0.240625
0.192571,0.35,0.179498,-0.240625
0.193259,0.240625,0.179761,-0.240625
0.193849,0.284375,0.180219,-0.196875
0.194533,0.284375,0.180483,-0.240625
0.194393,0.240625,0.180874,-0.21875
0.19511,0.240625,0.181171,-0.240625
0.192966,0.196875,0.181496,-0.196875
0.193669,0.240625,0.18183,-0.240625
0.194558,0.196875,0.182076,-0.240625
0.194951,0.240625,0.182418,-0.240625
0.19569,0.196875,0.182817,-0.21875
0.196516,0.2625,0.183027,-0.240625
0.194911,0.35,0.18333,-0.240625
0.195545,0.328125,0.183841,-0.196875
0.196506,0.04375,0.184021,-0.196875
0.197308,0.065625,0.184356,-0.196875
0.198099,0.284375,0.1847,-0.21875
0.197423,0.284375,0.185016,-0.30625
0.19521,0.284375,0.185267,-0.21875
0.194785,0.2625,0.185449,-0.196875
0.195815,0.2625,0.185701,-0.240625
0.194495,0.2625,0.185914,-0.13125
0.195594,0.30625,0.186149,-0.196875
0.196717,0.2625,0.186405,-0.240625
0.197909,0.0875,0.186486,-0.240625
0.198785,0.30625,0.186924,-0.21875
0.199784,0.21875,0.187233,-0.30625
0.20081,0.240625,0.187558,-0.240625
0.198713,0.21875,0.187769,-0.196875
0.199801,0.2625,0.188051,-0.30625
0.1981,0.21875,0.188281,-0.240625
0.199324,0.284375,0.188536,-0.196875
0.200467,0.30625,0.188762,-0.196875
0.201581,0.2625,0.189059,-0.284375
0.202717,0.21875,0.189373,-0.2625
0.203776,0.2625,0.189704,-0.240625
0.20481,0.284375,0.19,-0.2625
0.20582,0.328125,0.190361,-0.284375
0.206857,0.284375,0.190733,-0.240625
0.20506,0.2625,0.191048,-0.240625
0.204254,0.2625,0.191283,-0.175
0.202402,0.04375,0.191513,-0.240625
0.202222,0.2625,0.191732,-0.2625
0.202806,0.2625,0.19191,-0.21875
0.204165,0.284375,0.192166,-0.065625
0.203547,0.196875,0.1924,-0.240625
0.202987,0.284375,0.192613,-0.21875
0.204228,0.240625,0.192952,-0.21875
0.205768,0.30625,0.193078,-0.196875
0.207072,0.2625,0.193374,-0.240625
0.20834,0.2625,0.193643,-0.240625
0.206569,0.240625,0.193906,-0.240625
0.205593,0.284375,0.194137,-0.240625
0.20513,0.30625,0.194301,-0.196875
0.204768,0.21875,0.194501,-0.240625
0.204405,0.284375,0.194687,-0.284375
0.205977,0.21875,0.194859,-0.240625
0.207548,0.240625,0.195113,-0.30625
0.208876,0.284375,0.195543,-0.2625
0.210448,0.284375,0.195515,-0.196875
0.211736,0.30625,0.195997,-0.2625
0.213223,0.196875,0.196211,-0.240625
0.214526,0.240625,0.196541,-0.240625
0.213951,0.240625,0.196893,-0.240625
0.213385,0.30625,0.197218,-0.240625
0.21244,0.35,0.19746,-0.196875
0.21409,0.284375,0.197634,-0.2625
0.213174,0.328125,0.19792,-0.196875
0.211946,0.30625,0.198116,-0.240625
0.213667,0.30625,0.198249,-0.328125
0.212138,0.328125,0.198482,-0.240625
0.213671,0.30625,0.198845,-0.240625
0.215391,0.30625,0.198999,-0.2625
0.21706,0.284375,0.199182,-0.284375
0.218586,0.30625,0.199487,-0.240625
0.22016,0.30625,0.19972,-0.35
0.220969,0.328125,0.200053,-0.196875
0.222645,0.30625,0.200261,-0.196875
0.224279,0.30625,0.200538,-0.240625
0.225874,0.328125,0.200783,-0.240625
0.227432,0.30625,0.201043,-0.284375
0.228955,0.30625,0.201367,-0.240625
0.230007,0.328125,0.201791,-0.240625
0.231479,0.30625,0.202081,-0.240625
0.232919,0.328125,0.202432,-0.328125
0.23433,0.2625,0.202742,-0.284375
0.235713,0.328125,0.203059,-0.240625
0.237069,0.328125,0.203434,-0.196875
0.2384,0.328125,0.203764,-0.284375
0.239707,0.328125,0.204099,-0.240625
0.240991,0.30625,0.204438,-0.284375
0.242253,0.2625,0.20483,-0.240625
0.243495,0.328125,0.205176,-0.196875
0.243409,0.30625,0.205639,-0.240625
0.24467,0.328125,0.205962,-0.196875
0.245912,0.371875,0.206338,-0.240625
0.247133,0.240625,0.206667,-0.240625
0.248336,0.30625,0.206998,-0.284375
0.249521,0.30625,0.207332,-0.284375
0.25069,0.284375,0.207716,-0.240625
0.248935,0.328125,0.208128,-0.21875
0.250211,0.328125,0.208402,-0.284375
0.251465,0.2625,0.208682,-0.21875
0.252699,0.30625,0.209018,-0.196875
0.253914,0.284375,0.209308,-0.240625
0.254965,0.30625,0.209748,-0.284375
0.256144,0.30625,0.210047,-0.240625
0.257357,0.284375,0.210398,-0.196875
0.258504,0.328125,0.210701,-0.240625
0.259637,0.39375,0.211006,-0.240625
0.26061,0.328125,0.211459,-0.284375
0.258662,0.30625,0.21169,-0.328125
0.259906,0.328125,0.21198,-0.2625
0.261131,0.284375,0.212227,-0.240625
0.262192,0.371875,0.212626,-0.240625
0.261927,0.35,0.212849,-0.240625
0.263171,0.35,0.213081,-0.240625
0.264396,0.35,0.213321,-0.2625
0.265601,0.35,0.213618,-0.196875
0.264754,0.35,0.213968,-0.2625
0.26602,0.39375,0.214184,-0.240625
0.267119,0.35,0.214554,-0.328125
0.268199,0.328125,0.214932,-0.240625
0.269455,0.35,0.215172,-0.30625
0.269335,0.328125,0.215585,-0.30625
0.270565,0.415625,0.215811,-0.284375
0.27163,0.30625,0.21619,-0.328125
0.272823,0.30625,0.216431,-0.328125
0.273853,0.39375,0.216823,-0.21875
0.275012,0.39375,0.217075,-0.284375
0.273249,0.35,0.217408,-0.30625
0.274516,0.30625,0.217657,-0.328125
0.275617,0.39375,0.218011,-0.328125
0.273986,0.35,0.218305,-0.04375
0.275186,0.2625,0.218614,-0.284375
0.276362,0.371875,0.218937,-0.2625
0.277083,0.371875,0.219059,-0.284375
0.278108,0.39375,0.219381,-0.196875
0.27932,0.371875,0.219811,-0.284375
0.28075,0.328125,0.219962,-0.328125
0.281918,0.39375,0.220464,-0.284375
0.283307,0.371875,0.220634,-0.328125
0.284289,0.371875,0.220951,-0.2625
0.282747,0.371875,0.221256,-0.2625
0.282828,0.30625,0.221642,-0.30625
0.284347,0.371875,0.221753,-0.240625
0.285308,0.371875,0.222162,-0.328125
0.284756,0.30625,0.222442,-0.2625
0.283161,0.371875,0.222612,-0.284375
0.283094,0.371875,0.222915,-0.284375
0.284716,0.30625,0.223097,-0.21875
0.283489,0.328125,0.223283,-0.240625
0.285179,0.30625,0.223446,-0.328125
0.286634,0.284375,0.22378,-0.39375
0.288247,0.371875,0.223992,-0.284375
0.289775,0.371875,0.224275,-0.284375
0.291319,0.371875,0.224527,-0.284375
0.292781,0.371875,0.224796,-0.328125
0.294117,0.371875,0.225226,-0.30625
0.29552,0.48125,0.22538,-0.328125
0.296219,0.371875,0.225724,-0.328125
0.295715,0.4375,0.225984,-0.2625
0.294892,0.371875,0.226202,-0.284375
0.294833,0.371875,0.226551,-0.284375
0.296462,0.371875,0.226777,-0.30625
0.298004,0.240625,0.227073,-0.30625
0.299562,0.415625,0.227339,-0.328125
0.300892,0.371875,0.227766,-0.284375
0.30006,0.371875,0.228006,-0.35
0.301641,0.415625,0.228265,-0.30625
0.300085,0.4375,0.228466,-0.284375
0.299427,0.525,0.228682,-0.284375
0.300687,0.415625,0.229014,-0.328125
0.302405,0.371875,0.229227,-0.284375
0.304033,0.371875,0.229463,-0.30625
0.302619,0.415625,0.229644,-0.284375
0.302289,0.415625,0.22995,-0.328125
0.302933,0.415625,0.230111,-0.328125
0.304026,0.4375,0.230283,-0.4375
0.302733,0.240625,0.230458,-0.284375
0.304651,0.415625,0.230616,-0.328125
0.305741,0.35,0.230788,-0.328125
0.306289,0.415625,0.231106,-0.328125
0.308155,0.328125,0.231308,-0.284375
0.309922,0.371875,0.231538,-0.328125
0.311549,0.415625,0.231938,-0.30625
0.311338,0.328125,0.232169,-0.415625
0.310359,0.371875,0.232355,-0.30625
0.31209,0.4375,0.232716,-0.2625
0.313867,0.35,0.23296,-0.284375
0.315358,0.4375,0.23322,-0.284375
0.314299,0.415625,0.233435,-0.284375
0.314984,0.6125,0.233647,-0.328125
0.31379,0.371875,0.233812,-0.371875
0.315268,0.39375,0.234148,-0.13125
0.314431,0.371875,0.23435,-0.240625
0.314118,0.371875,0.234479,-0.284375
0.316141,0.4375,0.234695,-0.284375
0.318011,0.39375,0.235091,-0.2625
0.31968,0.4375,0.235365,-0.371875
0.320438,0.459375,0.23559,-0.2625
0.319605,0.4375,0.235824,-0.284375
0.318422,0.415625,0.236161,-0.2625
0.320535,0.371875,0.23639,-0.284375
0.322296,0.415625,0.236501,-0.30625
0.32411,0.4375,0.236885,-0.328125
0.326064,0.415625,0.237203,-0.240625
0.327966,0.415625,0.237547,-0.30625
0.329818,0.371875,0.237914,-0.284375
0.329732,0.4375,0.238256,-0.284375
0.32926,0.48125,0.238514,-0.13125
0.330892,0.4375,0.238842,-0.328125
0.332633,0.525,0.23934,-0.30625
0.332581,0.415625,0.239669,-0.30625
0.334416,0.459375,0.239973,-0.328125
0.333926,0.415625,0.240292,-0.30625
0.335396,0,0.240775,-0.240625
0.337266,0.48125,0.241087,-0.328125
0.336763,0.459375,0.241414,-0.30625
0.337201,0.0875,0.24173,-0.30625
0.336646,0.415625,0.242014,-0.30625
0.338482,0.35,0.242423,-0.328125
0.337648,0.459375,0.242696,-0.371875
0.337772,0.459375,0.242952,-0.4375
0.339826,0.503125,0.243192,-0.371875
0.34095,0.415625,0.243639,-0.371875
0.34162,0.503125,0.244086,-0.284375
0.343552,0.459375,0.244367,-0.328125
0.343591,0.525,0.244676,-0.35
0.344254,0.459375,0.245131,-0.35
0.346085,0.525,0.245564,-0.328125
0.345682,0.4375,0.245869,-0.328125
0.347235,0.503125,0.246342,-0.371875
0.347148,0.4375,0.246599,-0.328125
0.348849,0.503125,0.246928,-0.371875
0.348038,0.4375,0.247215,-0.371875
0.349784,0.525,0.247773,-0.35
0.351038,0.4375,0.248101,-0.2625
0.350675,0.48125,0.248349,-0.328125
0.352556,0.459375,0.248822,-0.30625
0.352055,0.48125,0.249264,-0.30625
0.352925,0.48125,0.249513,-0.371875
0.352779,0.503125,0.250086,-0.371875
0.352526,0.459375,0.250147,-0.415625
0.354512,0.4375,0.250583,-0.284375
0.356581,0.459375,0.250906,-0.328125
0.356121,0.503125,0.251296,-0.284375
0.356885,0.415625,0.251737,-0.30625
0.35605,0.546875,0.252092,-0.240625
0.358056,0.459375,0.252532,-0.371875
0.358256,0.546875,0.252761,-0.415625
0.360235,0.459375,0.25322,-0.371875
0.359391,0.546875,0.25359,-0.328125
0.358337,0.459375,0.253968,-0.35
0.360571,0.546875,0.25419,-0.328125
0.362448,0.35,0.254497,-0.30625
0.360869,0.503125,0.254945,-0.30625
0.360662,0.48125,0.255326,-0.35
0.360361,0.56875,0.255884,-0.284375
0.360107,0.503125,0.256376,-0.35
0.360481,0.546875,0.256719,-0.35
0.362475,0.48125,0.257448,-0.328125
0.361729,0.328125,0.257953,-0.371875
0.36081,0.065625,0.258425,-0.4375
0.36026,0.546875,0.258875,-0.39375
0.35948,0.503125,0.259502,-0.39375
0.359048,0.459375,0.259916,-0.328125
0.359398,0.6125,0.260483,-0.30625
0.359901,0.48125,0.260912,-0.415625
0.359249,0.415625,0.261368,-0.39375
