angle_1_e,angle_1_t,d_theta_1_t,angle_2_e,angle_2_t,d_theta_2_t
-1.12494,-1.14915,0,2.12448,2.09505,0
-1.12484,-1.14915,0,2.12456,2.09505,0
-1.12474,-1.14915,0,2.12465,2.09505,0
-1.12465,-1.14907,0.00276204,2.12473,2.09505,0.000138102
-1.12455,-1.14895,0.00654894,2.12482,2.09505,0.000458644
-1.12445,-1.1488,0.0105826,2.1249,2.09508,0.000964841
-1.12435,-1.14866,0.0144146,2.12499,2.09522,0.00163733
-1.12425,-1.14851,0.0183457,2.12507,2.09621,0.00247275
-1.12415,-1.14816,0.0229525,2.12515,2.0965,0.00349673
-1.12406,-1.1479,0.0264567,2.12524,2.0979,0.00464473
-1.12396,-1.14776,0.0302218,2.12532,2.09877,0.00592359
-1.12386,-1.14755,0.0333626,2.12541,2.09967,0.00729554
-1.12376,-1.14738,0.0372185,2.12549,2.10083,0.00879169
-1.12366,-1.14715,0.0420447,2.12557,2.10197,0.0104543
-1.12356,-1.14686,0.0477924,2.12566,2.10307,0.0123212
-1.12346,-1.14662,0.0532528,2.12574,2.10421,0.0143678
-1.12337,-1.14636,0.0588763,2.12583,2.1054,0.0165932
-1.12327,-1.14607,0.0653815,2.12591,2.10671,0.0190327
-1.12317,-1.14575,0.0712708,2.12599,2.1079,0.0216446
-1.12307,-1.14546,0.0775924,2.12608,2.10927,0.024442
-1.12297,-1.14508,0.0844702,2.12616,2.11057,0.0274434
-1.12287,-1.14476,0.0901319,2.12625,2.11203,0.0305778
-1.12277,-1.1443,0.0966735,2.12633,2.11351,0.0338826
-1.12267,-1.14389,0.102597,2.12641,2.11467,0.0373183
-1.12258,-1.14343,0.110115,2.1265,2.11581,0.0409581
-1.12248,-1.14299,0.115657,2.12658,2.11648,0.0446931
-1.12238,-1.14261,0.122231,2.12666,2.11706,0.0485699
-1.12228,-1.1422,0.128039,2.12675,2.11744,0.0525434
-1.12218,-1.1418,0.133122,2.12683,2.11764,0.0565723
-1.12208,-1.1413,0.140712,2.12692,2.11758,0.0607793
-1.12198,-1.14084,0.147632,2.127,2.11732,0.0651219
-1.12188,-1.14037,0.154497,2.12708,2.11688,0.0695907
-1.12178,-1.13994,0.159419,2.12717,2.11642,0.0740821
-1.12168,-1.13953,0.165404,2.12725,2.1159,0.0786482
-1.12159,-1.13906,0.170217,2.12733,2.11528,0.0832266
-1.12149,-1.13869,0.174353,2.12742,2.11482,0.0877829
-1.12139,-1.13825,0.178283,2.1275,2.1143,0.0923079
-1.12129,-1.13781,0.181289,2.12758,2.1138,0.096757
-1.12119,-1.13746,0.184872,2.12767,2.11342,0.101163
-1.12109,-1.13709,0.186676,2.12775,2.11305,0.105438
-1.12099,-1.13671,0.189263,2.12784,2.1127,0.10963
-1.12089,-1.13639,0.190848,2.12792,2.11241,0.113691
-1.12079,-1.13607,0.190755,2.128,2.11209,0.117544
-1.12069,-1.13575,0.192265,2.12809,2.1118,0.12128
-1.12059,-1.1354,0.192537,2.12817,2.1115,0.124843
-1.12049,-1.13508,0.192359,2.12825,2.11124,0.128218
-1.12039,-1.1347,0.19219,2.12834,2.11095,0.131417
-1.12029,-1.13438,0.191739,2.12842,2.11075,0.134433
-1.1202,-1.13406,0.192473,2.1285,2.11052,0.137335
-1.1201,-1.13374,0.191572,2.12859,2.11034,0.140047
-1.12,-1.13339,0.191152,2.12867,2.11017,0.142602
-1.1199,-1.1331,0.190752,2.12875,2.11005,0.14501
-1.1198,-1.13281,0.189501,2.12884,2.10999,0.147234
-1.1197,-1.13255,0.187585,2.12892,2.11002,0.149252
-1.1196,-1.13229,0.185329,2.129,2.11002,0.151056
-1.1195,-1.13206,0.183186,2.12909,2.11011,0.152662
-1.1194,-1.1318,0.18115,2.12917,2.11023,0.154087
-1.1193,-1.13159,0.178779,2.12925,2.11043,0.155321
-1.1192,-1.1313,0.176963,2.12933,2.11069,0.156403
-1.1191,-1.13107,0.174366,2.12942,2.11095,0.157301
-1.119,-1.13087,0.171899,2.1295,2.11124,0.158031
-1.11892,-1.13066,0.169264,2.12959,2.11162,0.158593
-1.11884,-1.13049,0.166761,2.12968,2.11203,0.159001
-1.11876,-1.13028,0.164383,2.12977,2.11244,0.15927
-1.11868,-1.13011,0.161688,2.12986,2.11293,0.159391
-1.1186,-1.12996,0.158255,2.12995,2.11351,0.159335
-1.11852,-1.12982,0.154995,2.13004,2.11415,0.159118
-1.11844,-1.12964,0.152769,2.13013,2.11482,0.1588
-1.11836,-1.1295,0.147892,2.13022,2.11555,0.158255
-1.11828,-1.12935,0.144423,2.13031,2.11656,0.157563
-1.1182,-1.12915,0.142726,2.1304,2.11749,0.156821
-1.11812,-1.12898,0.140677,2.13049,2.11845,0.156014
-1.11804,-1.1288,0.139604,2.13058,2.11947,0.155194
-1.11796,-1.12866,0.137712,2.13067,2.1204,0.154319
-1.11788,-1.12851,0.135914,2.13076,2.12122,0.153399
-1.1178,-1.12836,0.134206,2.13085,2.12194,0.15244
-1.11772,-1.12825,0.131421,2.13094,2.1227,0.151389
-1.11764,-1.12807,0.129502,2.13103,2.12331,0.150294
-1.11756,-1.12793,0.127388,2.13112,2.12386,0.149149
-1.11748,-1.12778,0.126106,2.13121,2.12421,0.147997
-1.1174,-1.12764,0.124162,2.1313,2.1245,0.146805
-1.11732,-1.12746,0.123478,2.13139,2.12456,0.145639
-1.11724,-1.12729,0.120793,2.13148,2.12444,0.144396
-1.11716,-1.12714,0.119115,2.13157,2.1243,0.143132
-1.11708,-1.12694,0.11752,2.13166,2.12392,0.141852
-1.117,-1.12677,0.116296,2.13175,2.12363,0.140574
-1.11692,-1.12662,0.114842,2.13184,2.12337,0.139287
-1.11684,-1.12647,0.113752,2.13193,2.12316,0.138011
-1.11676,-1.12636,0.112425,2.13202,2.12299,0.136731
-1.11668,-1.12627,0.109857,2.13211,2.1229,0.135388
-1.1166,-1.12613,0.107853,2.1322,2.12276,0.134011
-1.11652,-1.12604,0.10435,2.13229,2.12267,0.132528
