torque_1,torque_1_t,torque_2,torque_2_t
1.08482,0,1.66382,-0.240625
1.08982,0.39375,1.66782,-0.984375
1.09482,0.590625,1.67037,-1.20312
1.08551,0.721875,1.67092,-1.42188
1.06627,1.00625,1.67042,-1.75
1.03842,1.00625,1.66205,-1.79375
1.0062,1.225,1.64825,-1.42188
0.977187,1.3125,1.62417,-1.72812
0.949365,1.35625,1.59223,-1.61875
0.927262,1.37813,1.552,-1.6625
0.905173,1.4,1.49377,-1.75
0.887636,1.20312,1.43019,-1.77188
0.87029,1.20312,1.35494,-1.55313
0.848285,1.225,1.2835,-1.55313
0.822107,1.1375,1.20379,-1.59688
0.790591,1.15938,1.11768,-1.50937
0.754253,1.15938,1.02326,-1.42188
0.716347,1.3125,0.933098,-1.35625
0.677252,0.765625,0.849613,-1.44375
0.630733,1.07187,0.770864,-1.09375
0.59624,0.896875,0.691558,-1.59688
0.559587,0.940625,0.614157,-1.55313
0.522439,0.809375,0.546873,-0.9625
0.47933,0.853125,0.492102,-1.50937
0.443496,0.721875,0.447969,-1.53125
0.400337,0.721875,0.419264,-1.64062
0.356208,0.6125,0.404082,-1.24687
0.317152,0.65625,0.398544,-1.46562
0.276601,0.6125,0.40364,-0.7875
0.234224,0.503125,0.415959,-1.18125
0.195378,0.503125,0.435023,-0.896875
0.151392,0.459375,0.458908,-1.11563
0.112874,0.4375,0.486635,-0.875
0.0755149,0.525,0.513395,-0.896875
0.0523392,0.371875,0.535338,-0.940625
0.024839,0.240625,0.554896,-0.940625
-0.0116093,0.21875,0.588545,-0.83125
-0.028032,0.196875,0.605314,-0.853125
-0.0441831,0.065625,0.622146,-0.875
-0.0583956,0.13125,0.637096,-0.940625
-0.0785137,0.13125,0.651121,-0.940625
-0.0864731,0.153125,0.661819,-0.765625
-0.098573,-0.04375,0.674537,-0.7
-0.103528,-0.240625,0.682475,-0.83125
-0.108567,0.0875,0.686629,-0.896875
-0.115139,-0.0875,0.691809,-0.7875
-0.118652,0.065625,0.691754,-0.7875
-0.121846,-0.35,0.68982,-0.91875
-0.1303,-0.4375,0.684083,-0.39375
-0.13154,0.04375,0.673563,-0.83125
-0.140817,-0.328125,0.660679,-0.721875
-0.148106,-0.065625,0.642029,-0.83125
-0.151074,-0.328125,0.620039,-0.634375
-0.150663,-0.2625,0.591355,-0.65625
-0.150605,-0.39375,0.560786,-0.678125
-0.155015,-0.35,0.526408,-0.65625
-0.156953,-0.39375,0.485775,-0.7
-0.164286,-0.328125,0.445665,-0.634375
-0.168677,-0.284375,0.40219,-0.7875
-0.175933,0.065625,0.369421,-0.91875
-0.184935,-0.39375,0.336162,-0.74375
-0.19432,0.04375,0.310188,-0.65625
-0.198076,-0.0875,0.287648,-0.65625
-0.207491,-0.021875,0.27043,-0.7875
-0.210977,0.0875,0.254703,-0.721875
-0.217552,-0.459375,0.246256,-0.678125
-0.228444,-0.021875,0.247036,-0.721875
-0.239947,0,0.250217,-0.765625
-0.250505,-0.459375,0.262126,-0.765625
-0.25733,-0.04375,0.27842,-0.634375
-0.267876,-0.39375,0.298127,-0.678125
-0.274691,-0.04375,0.317357,-0.634375
-0.282321,-0.065625,0.335144,-0.634375
-0.285791,-0.30625,0.350044,-0.4375
-0.285486,-0.371875,0.363532,-0.56875
-0.285479,-0.459375,0.377557,-0.546875
-0.282123,-0.35,0.391136,-0.590625
-0.277764,-0.415625,0.403308,-0.590625
-0.271654,-0.371875,0.415535,-0.590625
-0.269695,-0.415625,0.429753,-0.459375
-0.258669,-0.13125,0.442092,-0.56875
-0.246451,-0.2625,0.453044,-0.503125
-0.231096,-0.109375,0.464077,-0.6125
