angle_1_e,angle_1_t,d_theta_1_t,angle_2_e,angle_2_t,d_theta_2_t
-1.14714,-1.17273,0,1.75054,1.72857,0
-1.1471,-1.17273,0,1.75054,1.72857,0
-1.14705,-1.17273,0,1.75054,1.72857,0
-1.14701,-1.17273,0,1.75054,1.72857,0
-1.14696,-1.17273,0,1.75054,1.7286,0
-1.14692,-1.17273,0,1.75054,1.7286,0
-1.14687,-1.17273,0,1.75054,1.72863,0
-1.14683,-1.17273,0,1.75055,1.72866,0
-1.14678,-1.1727,0,1.75055,1.72866,0
-1.14674,-1.1727,0,1.75055,1.72866,0
-1.14669,-1.1727,0,1.75055,1.72866,0
-1.14665,-1.1727,0,1.75055,1.72866,0
-1.1466,-1.1727,0,1.75055,1.72866,0
-1.14656,-1.1727,0,1.75055,1.72869,0
-1.14651,-1.1727,0,1.75055,1.72869,0
-1.14647,-1.1727,0,1.75056,1.72869,0
-1.14642,-1.1727,0,1.75056,1.72869,0
-1.14638,-1.1727,0,1.75056,1.72869,0
-1.14633,-1.1727,0,1.75056,1.72869,0
-1.14629,-1.17267,0.00276204,1.75056,1.72866,0.000138102
-1.14624,-1.17267,0.00262394,1.75056,1.72866,0.000262394
-1.1462,-1.17267,0.00249274,1.75056,1.72866,0.000373911
-1.14615,-1.17267,0.0023681,1.75057,1.72866,0.00047362
-1.14611,-1.17267,0.0022497,1.75057,1.72866,0.000562424
-1.14606,-1.17267,0.00213721,1.75057,1.72866,0.000641163
-1.14602,-1.17267,0.00203035,1.75057,1.72866,0.000710623
-1.14597,-1.17267,0.00192883,1.75057,1.72866,0.000771533
-1.14593,-1.17267,0.00183239,1.75057,1.72866,0.000824576
-1.14588,-1.17267,0.00174077,1.75057,1.72866,0.000870386
-1.14584,-1.17267,0.00165373,1.75057,1.72869,0.000909553
-1.14579,-1.17267,0.00157105,1.75058,1.72869,0.000942628
-1.14575,-1.17267,0.00149249,1.75058,1.72869,0.000970121
-1.1457,-1.17267,0.00141787,1.75058,1.72869,0.000992509
-1.14566,-1.17267,0.00134698,1.75058,1.72869,0.00101023
-1.14561,-1.17267,0.00127963,1.75058,1.72869,0.0010237
-1.14557,-1.17267,0.00121565,1.75058,1.72869,0.0010333
-1.14552,-1.17267,0.00115486,1.75058,1.72869,0.00103938
-1.14548,-1.17267,0.00109712,1.75059,1.72869,0.00104226
-1.14543,-1.17267,0.00104226,1.75059,1.72869,0.00104226
-1.14538,-1.17267,0.000990151,1.75059,1.72869,0.00103966
-1.14534,-1.17267,0.000940644,1.75059,1.72869,0.00103471
-1.1453,-1.17267,0.000893612,1.75059,1.72869,0.00102765
-1.14525,-1.17267,0.000848931,1.75059,1.72869,0.00101872
-1.14521,-1.17267,0.000806484,1.75059,1.72869,0.00100811
-1.14516,-1.17267,0.00076616,1.75059,1.72869,0.000996008
-1.14512,-1.17267,0.000727852,1.7506,1.72869,0.000982601
-1.14508,-1.17267,0.00069146,1.7506,1.72869,0.000968044
-1.14503,-1.17264,0.000656887,1.7506,1.72866,0.000952486
-1.14499,-1.17264,0.000624042,1.7506,1.72866,0.000936063
-1.14494,-1.17264,0.00059284,1.7506,1.72866,0.000918902
-1.1449,-1.17264,0.000563198,1.7506,1.72866,0.000901117
-1.14486,-1.17264,0.000535038,1.7506,1.72866,0.000882813
-1.14481,-1.17264,0.000508286,1.75061,1.72866,0.000864087
-1.14477,-1.17264,0.000482872,1.75061,1.72866,0.000845026
-1.14472,-1.17264,0.000458728,1.75061,1.72866,0.000825711
-1.14468,-1.17264,0.000435792,1.75061,1.72866,0.000806215
-1.14464,-1.17264,0.000414002,1.75061,1.72866,0.000786605
-1.14459,-1.17264,0.000393302,1.75061,1.72866,0.00076694
-1.14455,-1.17264,0.000373637,1.75061,1.72866,0.000747274
-1.14451,-1.17264,0.000354955,1.75062,1.72866,0.000727658
-1.14446,-1.17264,0.000337208,1.75062,1.72866,0.000708136
-1.14442,-1.17264,0.000320347,1.75062,1.72866,0.000688746
-1.14437,-1.17264,0.00030433,1.75062,1.72866,0.000669526
-1.14433,-1.17264,0.000289113,1.75062,1.72866,0.000650505
-1.14429,-1.17264,0.000274658,1.75062,1.72866,0.000631713
-1.14424,-1.17264,0.000260925,1.75062,1.72866,0.000613173
-1.1442,-1.17264,0.000247879,1.75062,1.72866,0.000594909
-1.14415,-1.17264,0.000235485,1.75063,1.72866,0.000576937
-1.14411,-1.17264,0.00022371,1.75063,1.72866,0.000559276
-1.14407,-1.17264,0.000212525,1.75063,1.72866,0.000541938
-1.14402,-1.17264,0.000201899,1.75063,1.72866,0.000524936
-1.14398,-1.17264,0.000191804,1.75063,1.72866,0.00050828
-1.14393,-1.17264,0.000182214,1.75063,1.72866,0.000491976
-1.14389,-1.17264,0.000173103,1.75063,1.72866,0.000476033
-1.14385,-1.17264,0.000164448,1.75064,1.72866,0.000460454
-1.1438,-1.17264,0.000156225,1.75064,1.72866,0.000445242
-1.14376,-1.17264,0.000148414,1.75064,1.72866,0.000430401
-1.14371,-1.17264,0.000140993,1.75064,1.72866,0.00041593
-1.14367,-1.17264,0.000133944,1.75064,1.72866,0.000401831
-1.14363,-1.17264,0.000127246,1.75064,1.72866,0.000388102
-1.14358,-1.17264,0.000120884,1.75064,1.72866,0.000374741
-1.14354,-1.17264,0.00011484,1.75065,1.72866,0.000361746
-1.14349,-1.17264,0.000109098,1.75065,1.72866,0.000349113
-1.14345,-1.17264,0.000103643,1.75065,1.72866,0.00033684
-1.14341,-1.17264,9.84609e-05,1.75066,1.72866,0.000324921
-1.14336,-1.17264,9.35379e-05,1.75066,1.72866,0.000313352
-1.14332,-1.17264,8.8861e-05,1.75066,1.72866,0.000302127
-1.14327,-1.17264,8.44179e-05,1.75067,1.72866,0.000291242
-1.14323,-1.17264,8.0197e-05,1.75067,1.72866,0.00028069
-1.14319,-1.17264,7.61872e-05,1.75067,1.72866,0.000270464
-1.14314,-1.17264,7.23778e-05,1.75068,1.72866,0.00026056
-1.1431,-1.17264,6.87589e-05,1.75068,1.72866,0.00025097
-1.14306,-1.17264,6.5321e-05,1.75068,1.72866,0.000241688
-1.14301,-1.17264,6.20549e-05,1.75069,1.72866,0.000232706
-1.14297,-1.17264,5.89522e-05,1.75069,1.72866,0.000224018
-1.14292,-1.17264,5.60046e-05,1.75069,1.72866,0.000215618
-1.14288,-1.17264,5.32043e-05,1.7507,1.72866,0.000207497
-1.14284,-1.17264,5.05441e-05,1.7507,1.72866,0.000199649
-1.14279,-1.17264,4.80169e-05,1.7507,1.72866,0.000192068
-1.14275,-1.17264,4.56161e-05,1.75071,1.72866,0.000184745
-1.1427,-1.17264,4.33353e-05,1.75071,1.72866,0.000177675
-1.14266,-1.17264,4.11685e-05,1.75071,1.72866,0.000170849
-1.14262,-1.17264,3.91101e-05,1.75072,1.72866,0.000164262
-1.14257,-1.17264,3.71546e-05,1.75072,1.72866,0.000157907
-1.14253,-1.17264,3.52968e-05,1.75072,1.72866,0.000151776
-1.14248,-1.17264,3.3532e-05,1.75073,1.72866,0.000145864
-1.14244,-1.17264,3.18554e-05,1.75073,1.72866,0.000140164
-1.1424,-1.17264,3.02626e-05,1.75073,1.72866,0.000134669
-1.14235,-1.17264,2.87495e-05,1.75074,1.72866,0.000129373
-1.14231,-1.17264,2.7312e-05,1.75074,1.72866,0.00012427
-1.14226,-1.17264,2.59464e-05,1.75074,1.72866,0.000119354
-1.14222,-1.17264,2.46491e-05,1.75075,1.72866,0.000114618
-1.14218,-1.17262,0.000314157,1.75075,1.72863,0.000124595
-1.14213,-1.17262,0.00029845,1.75075,1.72863,0.000133288
-1.14209,-1.17262,0.000283527,1.75076,1.72863,0.0001408
-1.14204,-1.17262,0.000269351,1.75076,1.72863,0.000147227
-1.142,-1.17262,0.000255883,1.75076,1.72863,0.00015266
-1.14196,-1.17262,0.000243089,1.75077,1.72863,0.000157182
-1.14191,-1.17259,0.00212075,1.75077,1.7286,0.00025536
-1.14187,-1.17259,0.00201471,1.75077,1.7286,0.000343328
-1.14182,-1.17259,0.00191398,1.75078,1.7286,0.00042186
-1.14178,-1.17259,0.00181828,1.75078,1.7286,0.000491681
-1.14173,-1.17256,0.0044894,1.75079,1.72857,0.000691567
-1.14169,-1.17256,0.00426493,1.7508,1.72857,0.000870235
-1.14164,-1.17256,0.00405168,1.75081,1.72857,0.00102931
-1.1416,-1.17253,0.0038491,1.75081,1.72854,0.0011703
-1.14155,-1.1725,0.00365664,1.75082,1.72851,0.00129461
-1.14151,-1.1725,0.00347381,1.75083,1.72851,0.00140357
-1.14146,-1.1725,0.00330012,1.75084,1.72851,0.0014984
-1.14141,-1.1725,0.00313512,1.75085,1.72851,0.00158024
-1.14137,-1.17247,0.0032691,1.75086,1.72848,0.00166468
-1.14132,-1.17247,0.00310565,1.75086,1.72848,0.00173673
-1.14128,-1.17247,0.00295036,1.75087,1.72848,0.00179741
-1.14123,-1.17247,0.00280285,1.75088,1.72848,0.00184768
-1.14119,-1.17247,0.0026627,1.75089,1.72848,0.00188843
-1.14114,-1.17247,0.00252957,1.7509,1.72848,0.00192049
-1.14109,-1.17244,0.00240309,1.7509,1.72845,0.00194462
-1.14105,-1.17244,0.00228294,1.75091,1.72845,0.00196154
-1.141,-1.17244,0.00216879,1.75092,1.72845,0.0019719
-1.14096,-1.17244,0.00206035,1.75093,1.72845,0.00197632
-1.14091,-1.17244,0.00195733,1.75094,1.72848,0.00197537
-1.14087,-1.17244,0.00185946,1.75095,1.72848,0.00196958
-1.14082,-1.17244,0.00176649,1.75095,1.72848,0.00195942
-1.14077,-1.17241,0.00240502,1.75096,1.72845,0.0019817
-1.14073,-1.17241,0.00228477,1.75097,1.72845,0.00199686
-1.14068,-1.17241,0.00217053,1.75098,1.72845,0.00200554
-1.14064,-1.17241,0.002062,1.75099,1.72845,0.00200836
-1.14059,-1.17241,0.0019589,1.75099,1.72845,0.00200589
-1.14055,-1.17241,0.00186096,1.751,1.72845,0.00199864
-1.1405,-1.17241,0.00176791,1.75101,1.72845,0.00198711
-1.14045,-1.17241,0.00167951,1.75102,1.72845,0.00197173
-1.14041,-1.17241,0.00159554,1.75103,1.72845,0.00195292
-1.14036,-1.17241,0.00151576,1.75104,1.72845,0.00193106
-1.14032,-1.17238,0.00143997,1.75104,1.72842,0.0019065
-1.14027,-1.17238,0.00136797,1.75105,1.72842,0.00187958
-1.14023,-1.17238,0.00129958,1.75106,1.72842,0.00185058
-1.14018,-1.17238,0.0012346,1.75107,1.72842,0.00181978
-1.14013,-1.17238,0.00117287,1.75108,1.72842,0.00178743
-1.14009,-1.17238,0.00111422,1.75108,1.72842,0.00175377
-1.14004,-1.17238,0.00105851,1.75109,1.72842,0.00171901
-1.14,-1.17238,0.00100559,1.7511,1.72842,0.00168334
-1.13995,-1.17238,0.000955308,1.75111,1.72845,0.00164694
-1.1399,-1.17238,0.000907543,1.75112,1.72845,0.00160997
-1.13985,-1.17238,0.000862165,1.75114,1.72845,0.00157258
-1.1398,-1.17238,0.000819057,1.75115,1.72845,0.0015349
-1.13975,-1.17238,0.000778104,1.75117,1.72845,0.00149706
-1.1397,-1.17235,0.00350124,1.75119,1.72842,0.00159727
-1.13965,-1.17235,0.00332617,1.7512,1.72842,0.00168372
-1.1396,-1.17235,0.00315987,1.75122,1.72842,0.00175752
-1.13954,-1.17235,0.00300187,1.75124,1.72842,0.00181974
-1.13949,-1.17235,0.00285178,1.75125,1.72842,0.00187134
-1.13944,-1.17235,0.00270919,1.75127,1.72842,0.00191323
-1.13939,-1.17235,0.00257373,1.75128,1.72842,0.00194626
-1.13934,-1.17235,0.00244504,1.7513,1.72842,0.0019712
-1.13929,-1.17235,0.00232279,1.75132,1.72842,0.00198878
-1.13924,-1.17235,0.00220665,1.75133,1.72842,0.00199967
-1.13919,-1.17232,0.00442225,1.75135,1.7284,0.0021208
-1.13914,-1.17232,0.00420113,1.75136,1.7284,0.00222482
-1.13909,-1.17232,0.00399108,1.75138,1.7284,0.00231313
-1.13903,-1.17232,0.00379152,1.7514,1.7284,0.00238705
-1.13898,-1.17232,0.00360195,1.75141,1.7284,0.00244779
-1.13893,-1.1723,0.00458481,1.75143,1.72837,0.00255465
-1.13888,-1.1723,0.00435557,1.75145,1.72837,0.00264469
-1.13883,-1.1723,0.00413779,1.75146,1.72837,0.00271935
-1.13878,-1.1723,0.0039309,1.75148,1.72837,0.00277992
-1.13873,-1.1723,0.00373436,1.75149,1.72837,0.00282765
-1.13868,-1.17227,0.00630968,1.75151,1.72834,0.00300175
-1.13863,-1.17227,0.00599419,1.75153,1.72834,0.00315137
-1.13857,-1.17227,0.00569448,1.75154,1.72834,0.00327853
-1.13852,-1.17227,0.00540976,1.75156,1.72834,0.00338509
-1.13847,-1.17224,0.00659298,1.75157,1.72831,0.00354548
-1.13842,-1.17224,0.00626333,1.75159,1.72831,0.00368137
-1.13837,-1.17224,0.00595016,1.75161,1.72831,0.00379481
-1.13832,-1.17218,0.00565265,1.75162,1.72825,0.00388771
-1.13827,-1.17218,0.00537002,1.75164,1.72825,0.00396182
-1.13822,-1.17218,0.00510152,1.75165,1.72825,0.00401881
-1.13816,-1.17218,0.00484644,1.75167,1.72825,0.00406019
-1.13811,-1.17218,0.00460412,1.75169,1.72828,0.00408738
-1.13806,-1.17215,0.00582762,1.7517,1.72825,0.0041744
-1.13801,-1.17215,0.00553624,1.75172,1.72825,0.00424249
-1.13796,-1.17215,0.00525943,1.75173,1.72825,0.00429334
-1.13791,-1.17215,0.00499645,1.75175,1.72825,0.00432849
-1.13785,-1.17215,0.00474663,1.75177,1.72825,0.0043494
-1.13779,-1.17215,0.0045093,1.7518,1.72825,0.00435739
-1.13773,-1.17212,0.00428383,1.75182,1.72822,0.00435372
-1.13767,-1.17212,0.00406964,1.75185,1.72822,0.00433951
-1.13761,-1.17212,0.00386616,1.75187,1.72822,0.00431584
-1.13755,-1.17212,0.00367285,1.7519,1.72822,0.00428369
-1.13749,-1.17212,0.00348921,1.75193,1.72822,0.00424397
-1.13743,-1.17209,0.00636753,1.75195,1.72819,0.00435015
-1.13737,-1.17209,0.00604915,1.75198,1.72819,0.0044351
-1.13731,-1.17209,0.00574669,1.75201,1.72819,0.00450068
-1.13725,-1.17209,0.00545936,1.75203,1.72819,0.00454861
-1.13719,-1.17209,0.00518639,1.75206,1.72819,0.0045805
-1.13713,-1.17209,0.00492707,1.75208,1.72819,0.00459783
-1.13707,-1.17206,0.00468072,1.75211,1.72816,0.00460197
-1.13701,-1.17206,0.00444668,1.75214,1.72816,0.00459421
-1.13695,-1.17206,0.00422435,1.75216,1.72816,0.00457572
-1.13689,-1.17206,0.00401313,1.75219,1.72816,0.00454759
-1.13683,-1.17206,0.00381247,1.75221,1.72816,0.00451083
-1.13677,-1.17203,0.00478481,1.75224,1.72813,0.00452453
-1.13671,-1.17203,0.00454557,1.75227,1.72813,0.00452558
-1.13665,-1.17203,0.00431829,1.75229,1.72813,0.00451522
-1.13659,-1.17203,0.00410238,1.75232,1.72813,0.00449458
-1.13653,-1.172,0.00389726,1.75235,1.72811,0.00446471
-1.13647,-1.172,0.0037024,1.75237,1.72811,0.00442659
-1.13641,-1.172,0.00351728,1.7524,1.72811,0.00438113
-1.13635,-1.172,0.00334141,1.75242,1.72813,0.00432914
-1.13629,-1.172,0.00317434,1.75245,1.72813,0.0042714
-1.13623,-1.17198,0.00301563,1.75248,1.72811,0.00420861
-1.13617,-1.17198,0.00286484,1.7525,1.72811,0.00414143
-1.13611,-1.17198,0.0027216,1.75253,1.72811,0.00407043
-1.13605,-1.17198,0.00258552,1.75255,1.72811,0.00399619
-1.13599,-1.17195,0.0031831,1.75258,1.72808,0.00395553
-1.13593,-1.17195,0.00302394,1.75261,1.72808,0.00390895
-1.13587,-1.17195,0.00287275,1.75263,1.72808,0.00385714
-1.13581,-1.17192,0.00272911,1.75266,1.72805,0.00380074
-1.13575,-1.17192,0.00259265,1.75268,1.72808,0.00374034
-1.13569,-1.17192,0.00246302,1.75271,1.72808,0.00367647
-1.13563,-1.17189,0.00233987,1.75273,1.72805,0.00360964
-1.13557,-1.17186,0.00222288,1.75276,1.72802,0.0035403
-1.13551,-1.17186,0.00211173,1.75279,1.72802,0.00346888
-1.13545,-1.17186,0.00200615,1.75281,1.72802,0.00339574
-1.13537,-1.17183,0.00423176,1.75286,1.72799,0.00343754
-1.1353,-1.17183,0.00402018,1.7529,1.72799,0.00346667
-1.13522,-1.17183,0.00381917,1.75294,1.72799,0.0034843
-1.13515,-1.1718,0.00639025,1.75298,1.72796,0.00362959
-1.13507,-1.1718,0.00607073,1.75303,1.72796,0.00375165
-1.135,-1.1718,0.0057672,1.75307,1.72796,0.00385243
-1.13492,-1.17177,0.00693254,1.75311,1.72793,0.00400643
-1.13485,-1.17177,0.00658591,1.75316,1.72793,0.00413541
-1.13477,-1.17177,0.00625662,1.7532,1.72796,0.00424147
-1.1347,-1.17177,0.00594379,1.75324,1.72796,0.00432658
-1.13462,-1.17174,0.0056466,1.75328,1.72793,0.00439259
-1.13455,-1.17174,0.00536427,1.75333,1.72793,0.00444117
-1.13447,-1.17171,0.00742198,1.75337,1.7279,0.00459021
-1.1344,-1.17171,0.00705088,1.75341,1.7279,0.00471324
-1.13432,-1.17171,0.00669834,1.75345,1.7279,0.0048125
-1.13424,-1.17171,0.00636342,1.7535,1.7279,0.00489004
-1.13417,-1.17169,0.00749895,1.75354,1.72787,0.00502049
-1.13409,-1.17169,0.00712401,1.75358,1.72787,0.00512567
-1.13402,-1.17169,0.00676781,1.75362,1.72787,0.00520777
-1.13394,-1.17166,0.00642941,1.75367,1.72784,0.00526885
-1.13387,-1.17166,0.00610794,1.75371,1.72784,0.00531081
-1.13379,-1.17166,0.00580255,1.75375,1.72784,0.0053354
-1.13372,-1.17166,0.00551242,1.75379,1.72784,0.00534425
-1.13364,-1.17163,0.00799884,1.75384,1.72781,0.00547698
-1.13357,-1.17163,0.00759889,1.75388,1.72781,0.00558307
-1.13349,-1.17163,0.00721895,1.75392,1.72781,0.00566487
-1.13342,-1.17163,0.006858,1.75396,1.72781,0.00572452
-1.13334,-1.17163,0.0065151,1.754,1.72781,0.00576405
-1.13327,-1.1716,0.00895138,1.75405,1.72781,0.00592342
-1.13319,-1.1716,0.00850381,1.75409,1.72784,0.00605244
-1.13312,-1.1716,0.00807862,1.75413,1.72784,0.00615375
-1.13304,-1.17157,0.00956451,1.75417,1.72781,0.00632429
-1.13297,-1.17157,0.00908628,1.75422,1.72781,0.00646239
-1.13289,-1.17157,0.00863197,1.75426,1.72781,0.00657086
-1.13282,-1.17157,0.00820037,1.7543,1.72781,0.00665234
-1.13274,-1.17151,0.00808109,1.75434,1.72776,0.00672378
-1.13267,-1.17151,0.00767704,1.75438,1.72776,0.00677144
-1.13259,-1.17151,0.00729319,1.75443,1.72776,0.00679753
-1.13251,-1.17148,0.00692853,1.75447,1.72773,0.00680408
-1.13244,-1.17148,0.0065821,1.75451,1.72773,0.00679298
-1.13235,-1.17148,0.00625299,1.75457,1.72773,0.00676598
-1.13226,-1.17148,0.00594035,1.75464,1.72773,0.0067247
-1.13216,-1.17145,0.00753314,1.7547,1.7277,0.00676512
-1.13207,-1.17145,0.00715649,1.75477,1.7277,0.00678469
-1.13198,-1.17145,0.00679866,1.75483,1.7277,0.00678539
-1.13188,-1.17145,0.00645873,1.7549,1.72773,0.00676905
-1.13179,-1.17142,0.00613579,1.75496,1.7277,0.00673739
-1.1317,-1.17142,0.005829,1.75503,1.7277,0.00669197
-1.1316,-1.17139,0.00553755,1.75509,1.72767,0.00663425
-1.13151,-1.17139,0.00526067,1.75516,1.72767,0.00656557
-1.13142,-1.17139,0.00499764,1.75522,1.72767,0.00648718
-1.13132,-1.17137,0.00474776,1.75529,1.72764,0.0064002
