torque_1,torque_1_t,torque_2,torque_2_t
0.617933,-0.21875,0.903765,0.04375
0.619433,0.371875,0.879006,-0.503125
0.619761,0.459375,0.875461,-0.56875
0.614865,0.48125,0.870443,-0.6125
0.614553,0.546875,0.863384,-0.56875
0.604354,0.6125,0.852197,-0.7
0.59992,0.678125,0.838946,-0.7
0.587549,0.678125,0.824185,-0.74375
0.588524,0.7,0.804782,-0.91875
0.577512,0.678125,0.784748,-0.765625
0.574597,0.809375,0.760918,-1.02812
0.565992,0.7875,0.736483,-0.7875
0.554267,0.853125,0.710817,-0.83125
0.54834,0.634375,0.685438,-0.809375
0.538287,0.809375,0.658848,-1.09375
0.530415,0.74375,0.631658,-0.83125
0.522338,0.809375,0.605016,-0.809375
0.524194,0.721875,0.579588,-0.7875
0.515429,0.83125,0.554709,-0.765625
0.509619,0.721875,0.529249,-0.765625
0.503744,0.765625,0.503781,-0.7875
0.492868,0.721875,0.47885,-0.74375
0.482137,0.809375,0.455062,-0.7
0.473871,0.56875,0.430959,-0.721875
0.464748,0.7875,0.40626,-0.65625
0.45631,0.74375,0.382113,-0.56875
0.453762,0.809375,0.358291,-0.153125
0.443673,0.525,0.336767,-0.525
0.43772,0.765625,0.314668,-0.74375
0.42473,0.634375,0.293979,-0.525
0.415149,0.7,0.27357,-0.35
0.405647,0.196875,0.254591,-0.459375
0.396806,0.678125,0.235899,-0.48125
0.396149,0.56875,0.219566,-0.525
0.385824,0.65625,0.204381,-0.4375
0.375045,0.65625,0.190621,-0.35
0.366977,0.503125,0.178901,-0.48125
0.358627,0.546875,0.169494,-0.35
0.350251,0.525,0.16213,-0.525
0.339528,0.459375,0.157066,-0.503125
0.328898,0.590625,0.153159,-0.39375
0.31807,0.459375,0.152158,-0.328125
0.311948,0.35,0.152922,-0.634375
0.306231,0.525,0.155751,-0.30625
0.297696,0.459375,0.158578,-0.39375
0.281589,0.415625,0.163109,-0.240625
0.272163,0.415625,0.166466,-0.39375
0.262721,0.35,0.170122,-0.240625
0.249489,0.39375,0.174631,-0.48125
0.241912,0.39375,0.177981,-0.196875
0.227543,0.35,0.182476,-0.284375
0.218597,0.4375,0.186109,-0.196875
0.204919,0.39375,0.190292,-0.35
0.18587,0.21875,0.194729,-0.240625
0.171274,0.30625,0.199147,-0.240625
0.153345,0.284375,0.202356,-0.13125
0.138068,0.284375,0.206718,-0.284375
0.12676,0.04375,0.208465,-0.328125
0.110549,0.328125,0.210759,-0.240625
0.098063,0.065625,0.212483,-0.35
0.0844681,-0.021875,0.215071,-0.21875
0.0712791,0.065625,0.21561,-0.196875
0.0581756,0.196875,0.215575,-0.109375
0.0474828,0,0.215552,-0.21875
0.0315175,0.153125,0.215208,-0.2625
0.0181059,0.04375,0.214287,-0.371875
0.00653556,0.2625,0.212502,-0.175
-0.000665574,0.13125,0.209572,-0.284375
-0.00629248,0.109375,0.206982,-0.175
-0.0124555,0,0.2053,-0.21875
-0.0188843,0.13125,0.20248,-0.175
-0.0232361,0.021875,0.199123,-0.2625
-0.0287292,0.109375,0.195797,-0.21875
-0.033893,0.021875,0.193374,-0.21875
-0.0367121,-0.109375,0.188946,-0.196875
-0.0363846,0.021875,0.185747,-0.328125
-0.0400397,0.0875,0.182581,-0.04375
-0.0393905,0.065625,0.178293,-0.21875
-0.039504,0.04375,0.175224,-0.240625
-0.0366096,-0.065625,0.169591,-0.196875
-0.0354189,0.13125,0.167197,-0.21875
-0.0339021,-0.0875,0.163704,-0.196875
-0.0267951,-0.35,0.160881,-0.21875
-0.0166541,0.021875,0.158144,-0.175
-0.0181677,0.0875,0.155417,-0.240625
-0.0162254,-0.175,0.155343,-0.240625
-0.00871424,0.0875,0.152716,-0.196875
-0.00545769,-0.04375,0.150989,-0.175
-0.00329203,0.0875,0.151031,-0.196875
0.0134937,-0.021875,0.150311,-0.21875
0.0171639,0.04375,0.151366,-0.153125
0.0205454,0.328125,0.151566,-0.21875
0.0274817,0.065625,0.152674,-0.196875
0.0349311,0.21875,0.154696,-0.196875
0.0381726,-0.04375,0.156726,-0.240625
0.0409398,0.153125,0.158762,-0.196875
0.0540174,-0.109375,0.161745,-0.153125
0.0582445,0.109375,0.162987,-0.30625
0.0649083,-0.021875,0.165127,-0.153125
0.0787859,0.109375,0.167334,-0.284375
0.0849704,0.153125,0.168683,-0.153125
0.0902898,0.153125,0.170916,-0.196875
0.103763,0.175,0.172331,-0.153125
0.116593,0,0.173796,-0.284375
0.128813,0.30625,0.175304,-0.21875
0.13085,0.109375,0.176791,-0.2625
0.143278,0.21875,0.177443,-0.2625
0.153124,0.35,0.178992,-0.284375
0.164544,0.0875,0.179697,-0.153125
0.175468,0.13125,0.180426,-0.284375
0.185621,0.240625,0.181174,-0.240625
0.195627,0.13125,0.181938,-0.2625
0.205207,0.13125,0.182715,-0.196875
0.214383,0.109375,0.1835,-0.196875
0.223175,0.30625,0.184292,-0.240625
0.231303,0.153125,0.185087,-0.328125
0.239384,0.153125,0.185884,-0.240625
0.247136,0.175,0.18668,-0.175
0.254576,0.284375,0.187474,-0.065625
0.261718,0.35,0.188263,-0.284375
0.268279,0.2625,0.189046,-0.21875
0.274871,0.328125,0.189822,-0.240625
0.281509,0.525,0.191189,-0.175
0.287905,0.21875,0.192846,-0.240625
0.294071,0.30625,0.194193,-0.21875
0.299719,0.21875,0.195829,-0.21875
0.305459,0.30625,0.197452,-0.175
0.311003,0.240625,0.198763,-0.415625
0.316359,0.459375,0.20036,-0.153125
0.321237,0.371875,0.201644,-0.240625
0.326247,0.459375,0.203213,-0.153125
0.331096,0.284375,0.204768,-0.240625
0.335793,0.35,0.206009,-0.196875
0.340344,0.13125,0.207534,-0.13125
0.344459,0.415625,0.208745,-0.21875
0.348742,0.30625,0.210241,-0.240625
0.352901,0.546875,0.211421,-0.21875
0.356943,0.634375,0.212887,-0.240625
0.360572,0.590625,0.214337,-0.240625
0.364395,0.48125,0.215473,-0.175
0.368116,0.328125,0.216894,-0.35
0.371742,0.371875,0.218,-0.175
0.375276,0.503125,0.219392,-0.30625
0.3729,0.503125,0.221613,-0.284375
0.376497,0.503125,0.22265,-0.39375
0.380005,0.503125,0.223976,-0.240625
0.383428,0.48125,0.224991,-0.328125
0.380082,0.371875,0.227131,-0.240625
0.383337,0.35,0.228091,-0.284375
0.374884,0.371875,0.230146,-0.21875
