angle_1_e,angle_1_t,d_theta_1_t,angle_2_e,angle_2_t,d_theta_2_t
-1.1609,-1.17398,0,1.7602,1.73194,0
-1.16077,-1.17398,0,1.76021,1.73194,0
-1.16064,-1.17398,0,1.76022,1.73194,0
-1.16051,-1.17395,0,1.76024,1.73191,0
-1.16039,-1.17395,0,1.76025,1.73191,0
-1.16026,-1.17395,0,1.76026,1.73191,0
-1.16013,-1.17395,0,1.76027,1.73191,0
-1.16,-1.17395,0,1.76029,1.73194,0
-1.15988,-1.17395,0,1.7603,1.73194,0
-1.15975,-1.17395,0,1.76031,1.73194,0
-1.15962,-1.17395,0,1.76032,1.73194,0
-1.1595,-1.17395,0,1.76034,1.73194,0
-1.15937,-1.17395,0,1.76035,1.73194,0
-1.15924,-1.17395,0,1.76036,1.73194,0
-1.15911,-1.17395,0,1.76037,1.73194,0
-1.15899,-1.17395,0,1.76039,1.73197,0
-1.15886,-1.17395,0,1.7604,1.73197,0
-1.15873,-1.17395,0,1.76041,1.73197,0
-1.1586,-1.17395,0,1.76042,1.73197,0
-1.15848,-1.17395,0,1.76043,1.73197,0
-1.15835,-1.17395,0,1.76045,1.73197,0
-1.15822,-1.17395,0,1.76046,1.73197,0
-1.15809,-1.17395,0,1.76047,1.73197,0
-1.15797,-1.17395,0,1.76048,1.73197,0
-1.15784,-1.17395,0,1.7605,1.732,0
-1.15771,-1.17395,0,1.76051,1.732,0
-1.15758,-1.17395,0,1.76052,1.732,0
-1.15746,-1.17395,0,1.76053,1.732,0
-1.15733,-1.17395,0,1.76054,1.732,0
-1.1572,-1.17395,0,1.76056,1.732,0
-1.15707,-1.17395,0,1.76057,1.732,0
-1.15694,-1.17395,0,1.76058,1.732,0
-1.15682,-1.17395,0,1.76059,1.732,0
-1.15669,-1.17395,0,1.7606,1.732,0
-1.15656,-1.17395,0,1.76061,1.73203,0
-1.15643,-1.17395,0,1.76063,1.73203,0
-1.15631,-1.17395,0,1.76064,1.73203,0
-1.15618,-1.17395,0,1.76065,1.73203,0
-1.15605,-1.17395,0,1.76066,1.73203,0
-1.15592,-1.17395,0,1.76067,1.73203,0
-1.15579,-1.17395,0,1.76068,1.73203,0
-1.15566,-1.17395,0,1.76071,1.73203,0
-1.15552,-1.17395,0,1.76073,1.73203,0
-1.15537,-1.17395,0,1.76076,1.73203,0
-1.15523,-1.17395,0,1.76079,1.73203,0
-1.15509,-1.17395,0,1.76082,1.73203,0
-1.15495,-1.17395,0,1.76085,1.73203,0
-1.15481,-1.17395,0,1.76087,1.73203,0
-1.15466,-1.17392,0,1.7609,1.732,0
-1.15452,-1.17392,0,1.76093,1.732,0
-1.15438,-1.17392,0,1.76096,1.732,0
-1.15424,-1.17392,0,1.76098,1.732,0
-1.1541,-1.17392,0,1.76101,1.732,0
-1.15395,-1.17392,0,1.76104,1.732,0
-1.15381,-1.17389,0.000726852,1.76106,1.73197,3.63426e-05
-1.15367,-1.17389,0.000690509,1.76109,1.732,6.90509e-05
-1.15353,-1.17387,0.000655984,1.76112,1.73197,9.83976e-05
-1.15339,-1.17387,0.00135004,1.76115,1.73197,0.00016098
-1.15324,-1.17387,0.00128253,1.76117,1.73197,0.000217057
-1.1531,-1.17384,0.00398044,1.7612,1.73194,0.000405227
-1.15296,-1.17384,0.00378142,1.76123,1.73194,0.000574036
