torque_1,torque_1_t,torque_2,torque_2_t
0.0976639,-0.328125,0.175838,0.04375
0.0979639,-0.065625,0.176438,0.109375
0.0983139,0.109375,0.177038,0.196875
0.0986139,0.04375,0.177638,0.175
0.0989139,0.196875,0.178238,-0.0875
0.0992639,0.175,0.178693,-0.109375
0.0995639,0.240625,0.179147,-0.065625
0.0999139,0.13125,0.179747,-0.328125
0.100214,0.13125,0.180202,-0.021875
0.100514,0.196875,0.180802,-0.065625
0.100864,-0.240625,0.181256,-0.04375
0.101164,0,0.181856,-0.04375
0.101514,0.13125,0.182456,-0.240625
0.101814,0.30625,0.182766,-0.459375
0.102164,0.13125,0.183366,-0.284375
0.102464,0.284375,0.183966,-0.13125
0.102764,0.175,0.18442,-0.240625
0.103114,-0.153125,0.18502,-0.175
0.103414,0.109375,0.18557,-0.56875
0.103764,0,0.18617,-0.196875
0.104064,0.196875,0.18677,-0.175
0.104414,0.30625,0.18737,-0.21875
0.104714,0.13125,0.18797,0.021875
0.105064,0.196875,0.18857,-0.175
0.105364,0.196875,0.189025,-0.175
0.105664,0.153125,0.189625,-0.196875
0.106014,-0.196875,0.190225,-0.328125
0.106314,0.0875,0.190825,-0.196875
0.106664,0.065625,0.191425,-0.109375
0.106964,0.13125,0.192025,-0.371875
0.107314,0.175,0.192625,-0.175
0.107614,0.153125,0.193225,-0.153125
0.107964,-0.196875,0.193825,-0.109375
0.108264,0.196875,0.194425,-0.371875
0.108614,0.13125,0.195025,-0.30625
0.108914,0.175,0.19548,-0.13125
0.109119,0.13125,0.196175,-0.196875
0.109419,0.196875,0.196775,-0.196875
0.109769,0.109375,0.197375,-0.13125
0.110069,0.196875,0.197975,-0.2625
0.110419,-0.240625,0.198575,-0.175
0.110719,0.153125,0.199125,-0.0875
0.111069,0.196875,0.19953,-0.153125
0.111419,0.153125,0.20008,-0.13125
0.111769,0.175,0.20058,-0.240625
0.112119,0.109375,0.20113,-0.21875
0.112469,0.196875,0.20168,-0.240625
0.112769,0.153125,0.20218,-0.153125
0.113119,0.13125,0.20273,-0.065625
0.113469,0.153125,0.20328,-0.415625
0.113819,0.153125,0.20378,-0.240625
0.114169,0.13125,0.204184,-0.240625
0.114519,0.153125,0.204734,-0.13125
0.114819,0.021875,0.205234,-0.153125
0.115169,0.13125,0.205784,-0.065625
0.115519,0.196875,0.206334,-0.153125
0.115869,0.153125,0.206834,-0.240625
0.116219,0.21875,0.207384,-0.0875
0.116569,0.153125,0.207934,-0.109375
0.116919,0.153125,0.208434,-0.13125
0.117269,0,0.208839,-0.065625
0.117569,0.13125,0.209389,-0.21875
0.117919,0.13125,0.209889,-0.065625
0.118269,0.30625,0.210439,-0.109375
0.118619,0.196875,0.210989,-0.13125
0.118969,0.13125,0.211344,-0.2625
0.119319,0.153125,0.211894,-0.371875
0.119669,0.13125,0.212444,-0.30625
0.120019,0.196875,0.212944,-0.21875
0.120319,0.153125,0.213494,-0.13125
0.120669,0.153125,0.213848,-0.503125
0.121019,0.196875,0.214398,-0.175
0.121369,0.175,0.214948,-0.065625
0.121719,0.2625,0.215448,-0.196875
0.122069,0.153125,0.215998,-0.175
0.122419,0.196875,0.216548,-0.13125
0.122769,0.21875,0.217048,-0.371875
0.123119,0.240625,0.217598,-0.109375
0.123469,0.153125,0.218098,-0.415625
0.123819,0.175,0.218648,-0.153125
0.124119,0.153125,0.219198,-0.459375
0.124519,0.175,0.219748,-0.196875
0.124969,0.153125,0.220253,-0.590625
0.125419,0.21875,0.220853,-0.0875
0.125819,0.153125,0.221503,-0.240625
0.126269,0.13125,0.222103,-0.459375
0.126719,0.153125,0.222753,-0.35
0.127169,0.21875,0.223353,-0.021875
0.127619,0.021875,0.224003,-0.175
0.128019,0.0875,0.224653,-0.175
0.128469,0.21875,0.225253,-0.30625
0.128919,0.196875,0.225903,-0.153125
0.129369,0.153125,0.226503,-0.415625
0.129819,0.196875,0.227007,-0.0875
0.130219,0.196875,0.227462,-0.2625
0.130669,0.21875,0.228112,-0.56875
0.131119,0.196875,0.228762,-0.21875
0.131569,0.196875,0.229362,-0.196875
0.132019,0.153125,0.230012,-0.109375
0.132469,0.153125,0.230612,-0.196875
0.132869,0.175,0.231262,-0.13125
0.133319,0,0.231862,-0.153125
0.133769,0.021875,0.232512,0
0.134219,0.196875,0.233112,-0.175
0.134669,0.175,0.233762,-0.109375
0.135119,0.153125,0.234362,0
0.135569,0.175,0.235012,-0.065625
0.135969,0.153125,0.235612,0
0.136419,0.196875,0.236262,0.021875
0.136869,0.2625,0.236717,-0.2625
0.137319,0,0.237367,-0.109375
0.137769,0.240625,0.237967,-0.328125
0.138219,0.328125,0.238617,-0.065625
0.138669,0.196875,0.239217,-0.153125
0.139119,0.196875,0.239867,-0.0875
0.139519,0.175,0.240467,-0.153125
0.139969,0.196875,0.241117,-0.30625
0.140419,0.196875,0.241717,-0.21875
0.140869,0.328125,0.242367,-0.153125
0.141319,0.2625,0.242967,-0.21875
0.141769,0.2625,0.243617,-0.196875
0.142219,0.153125,0.244217,-0.30625
0.142869,0.21875,0.244821,-0.021875
0.143469,0.35,0.245571,-0.196875
0.144119,0.021875,0.246321,-0.04375
0.144769,0.240625,0.247071,0.04375
0.145419,0.21875,0.247821,-0.0875
0.146019,0.196875,0.248426,-0.109375
0.146669,0.175,0.249176,-0.0875
0.147319,0.21875,0.249926,-0.196875
0.147919,0.196875,0.250676,-0.240625
0.148569,0.196875,0.251376,-0.459375
0.149219,0.21875,0.251981,-0.109375
0.149869,0.196875,0.252731,-0.240625
0.150469,0.240625,0.253481,-0.21875
0.151119,0.240625,0.254085,-0.153125
0.149297,0.21875,0.254922,-0.065625
0.150064,0.240625,0.25562,-0.240625
0.150824,0.196875,0.256323,-0.021875
0.151529,0.2625,0.256981,0.021875
0.152279,0.240625,0.257548,-0.065625
0.153023,0.240625,0.258265,-0.240625
0.153763,0.175,0.258986,-0.240625
0.154499,0.35,0.25971,-0.196875
0.15518,0.0875,0.260388,-0.240625
0.155907,0.109375,0.260973,-0.328125
0.156631,0.240625,0.261707,-0.35
0.15735,0.196875,0.262443,-0.153125
0.158066,0.196875,0.263036,-0.04375
0.158779,0.284375,0.263727,-0.371875
0.159439,0,0.264469,-0.065625
0.160146,0.175,0.265213,0
0.160849,0.21875,0.265814,-0.065625
0.161551,0.13125,0.266511,-0.109375
0.162249,0.04375,0.26726,-0.065625
0.162945,0.196875,0.26801,-0.021875
0.163639,0.13125,0.268761,-0.415625
0.164331,0.13125,0.269318,-0.109375
0.164971,0.196875,0.269926,-0.021875
0.165658,0.2625,0.270679,-0.240625
0.166344,0.065625,0.271434,-0.13125
0.167028,0.175,0.272139,-0.503125
0.16786,0.240625,0.272995,-0.2625
0.168791,0.04375,0.273755,-0.284375
0.16967,0.04375,0.274662,-0.240625
0.170548,0.065625,0.275519,-0.240625
0.171424,0.153125,0.276426,-0.240625
0.172349,0.240625,0.277188,-0.39375
