theta_1_t,d_theta_1_t,q_1_t,theta_2_t,d_theta_2_t,q_2_t
-0.000988333,0,-3.63884e-05,-0.00404081,0,8.40088e-05
-0.000988333,0,-3.63884e-05,-0.00404081,0,0.000120228
-0.000988333,0,-3.63884e-05,-0.00404081,0,8.40088e-05
-0.000988333,0,-3.63884e-05,-0.00404081,0,9.62593e-05
-0.000988333,0,-3.63884e-05,-0.00404081,0,0.000107977
-0.000988333,0,-3.63884e-05,-0.00404081,0,8.40088e-05
-0.000988333,0,-3.63884e-05,-0.00404081,0,8.40088e-05
-0.000988333,0,-3.63884e-05,-0.00404081,0,0.000120228
-0.000988333,0,-2.44042e-05,-0.00404081,0,8.40088e-05
-0.000988333,0,-2.44042e-05,-0.00404081,0,9.62593e-05
-0.000988333,0,-2.44042e-05,-0.00404081,0,8.40088e-05
-0.000988333,0,-2.44042e-05,-0.00404081,0,0.000107977
-0.000988333,0,-2.44042e-05,-0.00404081,0,9.62593e-05
-0.000988333,0,-2.44042e-05,-0.00404081,0,0.000107977
-0.000988333,0,-3.63884e-05,-0.00404081,0,9.62593e-05
-0.000988333,0,-2.44042e-05,-0.00404081,0,0.000107977
-0.000988333,0,-2.44042e-05,-0.00404081,0,0.000107977
-0.000988333,0,-3.63884e-05,-0.00404081,0,0.000107977
-0.000988333,0,-3.63884e-05,-0.00404081,0,8.40088e-05
-0.000988333,0,-2.44042e-05,-0.00404081,0,8.40088e-05
-0.000988333,0,-3.63884e-05,-0.00404081,0,0.000107977
-0.000988333,0,-2.44042e-05,-0.00404081,0,8.40088e-05
-0.000988333,0,-3.63884e-05,-0.00404081,0,0.000107977
-0.000988333,0,-2.44042e-05,-0.00404081,0,8.40088e-05
-0.000988333,0,-3.63884e-05,-0.00404081,0,0.000107977
-0.000988333,0,-3.63884e-05,-0.00404081,0,0.000107977
-0.000988333,0,-3.63884e-05,-0.00404081,0,0.000107977
-0.000988333,0,-2.44042e-05,-0.00404081,0,0.000120228
-0.000988333,0,-3.63884e-05,-0.00404081,0,0.000107977
-0.000988333,0,-2.44042e-05,-0.00404081,0,8.40088e-05
-0.000988333,0,-2.44042e-05,-0.00404081,0,9.62593e-05
-0.000988333,0,-2.44042e-05,-0.00404081,0,9.62593e-05
-0.000988333,0,-3.63884e-05,-0.00404081,0,9.62593e-05
-0.000988333,0,-3.63884e-05,-0.00404081,0,8.40088e-05
-0.000988333,0,-2.44042e-05,-0.00404081,0,9.62593e-05
-0.000988333,0,-2.44042e-05,-0.00404081,0,0.000120228
-0.000988333,0,-2.44042e-05,-0.00404081,0,9.62593e-05
-0.000988333,0,-3.63884e-05,-0.00404081,0,9.62593e-05
-0.000988333,0,-3.63884e-05,-0.00404081,0,9.62593e-05
-0.000988333,0,-2.44042e-05,-0.00404081,0,0.000120228
-0.000988333,0,-3.63884e-05,-0.00404081,0,9.62593e-05
-0.000988333,0,-2.44042e-05,-0.00404081,0,9.62593e-05
-0.000988333,0,-2.44042e-05,-0.00404081,0,9.62593e-05
-0.000988333,0,-2.44042e-05,-0.00404081,0,9.62593e-05
-0.000988333,0,-2.44042e-05,-0.00404081,0,9.62593e-05
-0.000988333,0,-3.63884e-05,-0.00404081,0,8.40088e-05
-0.000988333,0,-2.44042e-05,-0.00404081,0,0.000131946
-0.000988333,0,-2.44042e-05,-0.00404081,0,0.000120228
-0.000988333,0,-2.44042e-05,-0.00404081,0,9.62593e-05
-0.000988333,0,-3.63884e-05,-0.00404081,0,0.000120228
-0.000988333,0,-3.63884e-05,-0.00404081,0,0.000107977
-0.000988333,0,-3.63884e-05,-0.00404081,0,0.000107977
-0.000988333,0,-2.44042e-05,-0.00404081,0,0.000107977
-0.000988333,0,-2.44042e-05,-0.00404081,0,7.22909e-05
-0.000988333,0,-3.63884e-05,-0.00404081,0,9.62593e-05
-0.000988333,0,-2.44042e-05,-0.00404081,0,0.000107977
-0.000988333,0,-2.44042e-05,-0.00404081,0,9.62593e-05
-0.000988333,0,-3.63884e-05,-0.00404081,0,8.40088e-05
-0.000988333,0,-2.44042e-05,-0.00404081,0,8.40088e-05
-0.000988333,0,-3.63884e-05,-0.00404081,0,0.000120228
-0.000988333,0,-2.44042e-05,-0.00404081,0,0.000107977
-0.000988333,0,-3.63884e-05,-0.00404081,0,0.000107977
-0.000988333,0,-2.44042e-05,-0.00404081,0,9.62593e-05
-0.000988333,0,-2.44042e-05,-0.00404081,0,0.000107977
-0.000988333,0,-2.44042e-05,-0.00404081,0,9.62593e-05
-0.000988333,0,-2.44042e-05,-0.00404081,0,9.62593e-05
-0.000988333,0,-2.44042e-05,-0.00404081,0,0.000107977
-0.000988333,0,-3.63884e-05,-0.00404081,0,0.000120228
-0.000988333,0,-2.44042e-05,-0.00404081,0,9.62593e-05
-0.000988333,0,-3.63884e-05,-0.00404081,0,9.62593e-05
-0.000988333,0,-3.63884e-05,-0.00404081,0,9.62593e-05
-0.000988333,0,-3.63884e-05,-0.00404081,0,0.000107977
-0.000988333,0,-3.63884e-05,-0.00404081,0,8.40088e-05
-0.000988333,0,-2.44042e-05,-0.00404081,0,8.40088e-05
-0.000988333,0,-2.44042e-05,-0.00404081,0,9.62593e-05
-0.000988333,0,-2.44042e-05,-0.00404081,0,0.000107977
-0.000988333,0,-3.63884e-05,-0.00404081,0,7.22909e-05
-0.000988333,0,-2.44042e-05,-0.00404081,0,9.62593e-05
-0.000988333,0,-2.44042e-05,-0.00404081,0,9.62593e-05
-0.000988333,0,-3.63884e-05,-0.00404081,0,8.40088e-05
-0.000988333,0,-2.44042e-05,-0.00404081,0,0.000120228
-0.000988333,0,-3.63884e-05,-0.00404081,0,0.000107977
-0.000988333,0,-3.63884e-05,-0.00404081,0,0.000107977
-0.000988333,0,-2.44042e-05,-0.00404081,0,0.000107977
-0.000988333,0,-2.44042e-05,-0.00404081,0,0.000107977
-0.000988333,0,-2.44042e-05,-0.00404081,0,0.000107977
-0.000988333,0,-2.44042e-05,-0.00404081,0,9.62593e-05
-0.000988333,0,-2.44042e-05,-0.00404081,0,0.000131946
-0.000988333,0,-2.44042e-05,-0.00404081,0,8.40088e-05
-0.000988333,0,-3.63884e-05,-0.00404081,0,0.000107977
-0.000988333,0,-2.44042e-05,-0.00404081,0,0.000120228
-0.000988333,0,-2.44042e-05,-0.00404081,0,0.000107977
-0.000988333,0,-2.44042e-05,-0.00404081,0,9.62593e-05
-0.000988333,0,-2.44042e-05,-0.00404081,0,9.62593e-05
-0.000988333,0,-2.44042e-05,-0.00404081,0,0.000131946
-0.000988333,0,-3.63884e-05,-0.00404081,0,0.000107977
-0.000988333,0,-2.44042e-05,-0.00404081,0,0.000120228
-0.000988333,0,-2.44042e-05,-0.00404081,0,8.40088e-05
-0.000988333,0,-3.63884e-05,-0.00404081,0,0.000131946
-0.000988333,0,-2.44042e-05,-0.00404081,0,0.000131946
-0.000988333,0,-3.63884e-05,-0.00404081,0,9.62593e-05
-0.000988333,0,-2.44042e-05,-0.00404081,0,9.62593e-05
-0.000988333,0,-3.63884e-05,-0.00404081,0,8.40088e-05
-0.000988333,0,-2.44042e-05,-0.00404081,0,0.000120228
-0.000988333,0,-3.63884e-05,-0.00404081,0,0.000107977
-0.000988333,0,-2.44042e-05,-0.00404081,0,0.000107977
-0.000988333,0,-3.63884e-05,-0.00404081,0,0.000107977
-0.000988333,0,-3.63884e-05,-0.00404081,0,0.000120228
-0.000988333,0,-3.63884e-05,-0.00404081,0,0.000131946
-0.000988333,0,-3.63884e-05,-0.00404081,0,0.000131946
-0.000988333,0,-2.44042e-05,-0.00404081,0,0.000107977
-0.000988333,0,-3.63884e-05,-0.00404081,0,0.000107977
-0.000988333,0,-3.63884e-05,-0.00404081,0,0.000107977
-0.000988333,0,-3.63884e-05,-0.00404081,0,9.62593e-05
-0.000988333,0,-2.44042e-05,-0.00404081,0,0.000120228
-0.000988333,0,-2.44042e-05,-0.00404081,0,0.000120228
-0.000988333,0,-3.63884e-05,-0.00404081,0,0.000107977
-0.000988333,0,-3.63884e-05,-0.00404081,0,0.000131946
-0.000988333,0,-3.63884e-05,-0.00404081,0,0.000120228
-0.000988333,0,-3.63884e-05,-0.00404081,0,0.000120228
-0.000988333,0,-3.63884e-05,-0.00404081,0,0.000107977
-0.000988333,0,-3.63884e-05,-0.00404081,0,0.000144196
-0.000988333,0,-3.63884e-05,-0.00404081,0,0.000120228
-0.000988333,0,-3.63884e-05,-0.00404081,0,0.000107977
-0.000988333,0,-2.44042e-05,-0.00404081,0,9.62593e-05
-0.000988333,0,-3.63884e-05,-0.00404081,0,0.000107977
-0.000988333,0,-2.44042e-05,-0.00404081,0,0.000107977
-0.000988333,0,-3.63884e-05,-0.00404081,0,0.000107977
-0.000988333,0,-3.63884e-05,-0.00404081,0,9.62593e-05
-0.000988333,0,-3.63884e-05,-0.00404081,0,9.62593e-05
-0.000988333,0,-3.63884e-05,-0.00404081,0,0.000107977
-0.000988333,0,-3.63884e-05,-0.00404081,0,9.62593e-05
-0.000988333,0,-2.44042e-05,-0.00404081,0,8.40088e-05
